# numFound=46 rows=46 query=creator:"Bach, Carl"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
diewasserrder00bachgoog	1886-01-01T00:00:00Z	1886	Carl von Bach, Carl Bach	Die Wasserräder	German	americana
imslp-for-solo-flute-wq132-h562-bach-carl-philipp-emanuel			Bach, Carl Philipp Emanuel	Sonata for Solo Flute, Wq.132 (H.562)		imslp; patron-library-collection
versuchberdiewah0000carl	1994-01-01T00:00:00Z	1994	Bach, Carl Philipp Emanuel, 1714-1788	Versuch über die wahre Art das Clavier zu spielen : Faksimile-Reprint der Ausgaben von Teil I, Berlin 1753 (mit den Ergänzungen der Auflage Leipzig 1787) und Teil II, Berlin 1762	ger	internetarchivebooks; inlibrary; printdisabled; fav-minguet; fav-mvideira; fav-yycwilliam
imslp-sonata-in-f-major-wq154-h576-bach-carl-philipp-emanuel	1747-01-01T00:00:00Z	1747	Bach, Carl Philipp Emanuel	Trio Sonata in F major, Wq.154 (H.576)		imslp; patron-library-collection
imslp-in-a-major-wq11722-h222-bach-carl-philipp-emanuel			Bach, Carl Philipp Emanuel	Solfeggio in A major, Wq.117/22 (H.222)		imslp; patron-library-collection
varia00cont	1800-01-01T00:00:00Z	1800	Contains (work): Bach, August Wilhelm, 1796-1869. Fantaisie, piano, op. 9; Contains (work): Bach, August Wilhelm, 1796-1869. Rondeau, piano, op. 11; Contains (work): Bach, Carl Phi	Varia	ita	bostonpubliclibrary; americana; fav-lonniehh; fav-pere432
solfeggietto00bach	1906-01-01T00:00:00Z	1906	Bach, Carl Philipp Emanuel, 1714-1788	Solfeggietto	zxx	sheetmusicbyu; brigham_young_university; americana
elasticittundfe03bachgoog	1898-01-01T00:00:00Z	1898	Bach, Carl von, 1847-	Elasticität und Festigkeit. Die für die Technik wichtigsten Sätze und deren erfahrungsmässige Grundlage	ger	americana
10623726bsb	1787-01-01T00:00:00Z	1787	Bach, Carl Philipp Emanuel	Carl Philipp Emanuel Bachs Versuch über die wahre Art das Clavier zu spielen: mit Exempeln und achtzehn Probe-Stücken in sechs Sonaten erläutert. 1	German	german-online-libraries; booksbylanguage_german; booksbylanguage
imslp-fr-kenner-und-liebhaber-wq55-59-61-bach-carl-philipp-emanuel	1779-01-01T00:00:00Z	1779	Bach, Carl Philipp Emanuel	Clavier-Sonaten für Kenner und Liebhaber, Wq.55-59, 61	German	imslp; patron-library-collection
