# numFound=1448 rows=300 query=creator:"Franklin, Benjamin" AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
willofbenjaminfr00fran	1897-01-01T00:00:00Z	1897	Franklin, Benjamin, 1706-1790	The will of Benjamin Franklin and proceedings of trustees and courts relating thereto	eng	library_of_congress; americana
writingsofbenjam07franuoft	1905-07-01T00:00:00Z	1905	Franklin, Benjamin, 1706-1790; Smyth, Albert Henry, 1863-1907	The writings of Benjamin Franklin;	eng	robarts; toronto; university_of_toronto; fav-daniil_nikel; fav-kpellet; fav-stinkers; fav-yvee555
workstheodorepa03parkgoog	1907-01-01T00:00:00Z	1907	Parker, Theodore, 1810-1860; Cooke, George Willis, 1848-1923; Eliot, Samuel A. (Samuel Atkins), 1862-1950; Higginson, Thomas Wentworth, 1823-1911; Hosmer, James Kendall, 1834-1927;	[The works of Theodore Parker] [microform]	eng	americana
workswriting10thorrich	1884-01-01T00:00:00Z	1884	Thoreau, Henry David, 1817-1862; Scudder, Horace Elisha, 1838-1902; Blake, H. G. O. (Harrison Gray Otis), 1816?-1898; Emerson, Ralph Waldo, 1803-1882; Sanborn, F. B. (Franklin Benj	The writings of Henry David Thoreau	eng	cdl; americana; fav-j105; fav-kmcmxcv; fav-oneninetyfivenationsrising
writingshenryda00torrgoog	1906-01-01T00:00:00Z	1906	Thoreau, Henry David, 1817-1862; Torrey, Bradford, 1843-1912; Sanborn, F. B. (Franklin Benjamin), 1831-1917	The writings of Henry David Thoreau	eng	americana
writingsofhenryd03thor	1906-01-01T00:00:00Z	1906	Thoreau, Henry David, 1817-1862; Torrey, Bradford, 1843-1912; Sanborn, F. B. (Franklin Benjamin), 1831-1917	The writings of Henry David Thoreau	eng	bostonpubliclibrary; americana; fav-historyjoe; fav-matman1515; fav-old_gray_egg
writingsofhenryd05thor	1906-01-01T00:00:00Z	1906	Thoreau, Henry David, 1817-1862; Torrey, Bradford, 1843-1912; Sanborn, F. B. (Franklin Benjamin), 1831-1917	The writings of Henry David Thoreau	eng	bostonpubliclibrary; americana; fav-historyjoe; fav-karenjmclean; fav-lindempreacher; fav-noahgrey; fav-old_gray_egg; fav-volkvulture; fav-zetarriaga
writingsofhenryd19thorrich	1906-01-01T00:00:00Z	1906	Thoreau, Henry David, 1817-1862; Torrey, Bradford, 1843-1912; Sanborn, F. B. (Franklin Benjamin), 1831-1917; Emerson, Ralph Waldo, 1803-1882; Thoreau, Henry David, 1817-1862, scrib	The writings of Henry David Thoreau	eng	cdl; americana; fav-oneninetyfivenationsrising
reportuponfores00houggoog	1892-01-01T00:00:00Z	1892	Franklin Benjamin Hough	Report Upon Forestry	English	americana
worksofbenjamin02franiala	1882-01-01T00:00:00Z	1882	Franklin, Benjamin, 1706-1790; Sparks, Jared, 1789-1866	The works of Benjamin Franklin, containing several political and historical tracts not included in any former edition, and many letters, official and private, not hitherto publishe	eng	cdl; americana
