# numFound=2897 rows=200 query=title:(Franklin) AND creator:("Franklin") AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
franklinmintalmavol4fran_b5m5	1973-01-01T00:00:00Z	1973	The Franklin Mint	The Franklin Mint Almanac: January 1973	eng	newmannumismaticrestricted; wustl; americana; globallibraries
franklinmintalmavol1fran_o6y0	1980-11-01T00:00:00Z	1980	The Franklin Mint	The Franklin Mint Almanac: November/December 1980	eng	newmannumismaticrestricted; wustl; americana; globallibraries
franklinmintalmavol1fran_e9e3	1981-05-01T00:00:00Z	1981	The Franklin Mint	The Franklin Mint Almanac: May/June 1981	eng	newmannumismaticrestricted; wustl; americana; globallibraries
franklinmintalmavol2fran7	1971-07-01T00:00:00Z	1971	The Franklin Mint	The Franklin Mint Almanac: July 1971	eng	newmannumismaticrestricted; wustl; americana; globallibraries
numismaticissues1973fran	1973-01-01T00:00:00Z	1973	The Franklin Mint	Numismatic Issues of the Franklin Mint: 1973 Edition	eng	newmannumismaticrestricted; wustl; americana; globallibraries
youngphoenixship00youn_0			Young Phoenix (Ship); Wing, Benjamin Franklin	[Young Phoenix (Ship) of New Bedford, Mass., mastered by Benjamin Franklin Wing, keeper Benjamin Franklin Wing, on voyage 2 October 1860 - 19 November 1863],	English	newbedfordwhalingmuseumlogbooksandjournals; newbedfordwhalingmuseum; americana
witwisdomoffrank0000fran	1950-01-01T00:00:00Z	1950	Franklin D. Roosevelt	The wit and wisdom of Franklin D. Roosevelt	eng	internetarchivebooks; printdisabled; inlibrary
autobiographyofb1884fran	1884-01-01T00:00:00Z	1884	Franklin, Benjamin, 1706-1790	The autobiography of Benjamin Franklin : published verbatim from the original manuscript	eng	brigham_young_university; americana; fav-anita361; fav-drewblanco; fav-greenteamatcha; fav-jasonhanchang; fav-joe_collins; fav-mike_truz; fav-millerhj; fav-sadscientists; fav-shayn
CMAMS18115	1990-01-01T00:00:00Z	1990	Franklin, Rhonda D.	Franklin, Rhonda D.--1990 May Show	English	clevelandmuseumofartmayshow; clevelandmuseumofart; patron-library-collection
writingsofbenjam07franuoft	1905-07-01T00:00:00Z	1905	Franklin, Benjamin, 1706-1790; Smyth, Albert Henry, 1863-1907	The writings of Benjamin Franklin;	eng	robarts; toronto; university_of_toronto; fav-daniil_nikel; fav-kpellet; fav-stinkers; fav-yvee555
writingsbenjami08frangoog	1905-01-01T00:00:00Z	1905	Benjamin Franklin	The Writings of Benjamin Franklin	eng	americana
numismaticissues1971fran	1971-01-01T00:00:00Z	1971	The Franklin Mint	Numismatic Issues of the Franklin Mint: 1971 Edition	eng	newmannumismaticrestricted; wustl; americana; globallibraries
residentbusiness1890fran	1890-01-01T00:00:00Z	1890	Franklin (Mass.)	Resident and business directory of the town of Franklin, Massachusetts	eng	franklinhistoricalmuseum; regionaldigitizationmass; americana; fav-ba11zooka; fav-caroline_thomas129
worksofbenjamin02franiala	1882-01-01T00:00:00Z	1882	Franklin, Benjamin, 1706-1790; Sparks, Jared, 1789-1866	The works of Benjamin Franklin, containing several political and historical tracts not included in any former edition, and many letters, official and private, not hitherto publishe	eng	cdl; americana
worksofbenjamin03franiala	1882-01-01T00:00:00Z	1882	Franklin, Benjamin, 1706-1790; Sparks, Jared, 1789-1866	The works of Benjamin Franklin, containing several political and historical tracts not included in any former edition, and many letters, official and private, not hitherto publishe	eng	cdl; americana; fav-kpellet
recordcelebrati04socigoog	1906-01-01T00:00:00Z	1906	American Philosophical Society. Library; Hays, I. Minis (Isaac Minis), 1847-1925; American Philosophical Society; Benjamin Franklin Collection (Library of Congress) DLC	The record of the celebration of the two hundredth anniversary of the birth of Benjamin Franklin : under the auspices of the American Philosophical Society, held at Philadelphia fo	eng	americana
recallbenfrank00buffrich	1912-01-01T00:00:00Z	1912	Buffington, Joseph, 1855-1947; Franklin and Marshall College	A recall of Benjamin Franklin	eng	cdl; americana
reportoflordscom00grea	1772-01-01T00:00:00Z	1772	Great Britain. Board of Trade; Downshire, Wills Hill, 1st marquis of, 1718-1793; Franklin, Benjamin, 1706-1790	Report of the Lords commissioners for trade and plantations : on the petition of the Honourable Thomas Walpole, Benjamin Franklin, John Sargent, and Samuel Wharton, esquires, and t	eng	university_pittsburgh; americana; fav-mdumerrill; fav-perry_wallace_iii
townoffranklinan1881fran	1881-01-01T00:00:00Z	1881	Franklin (Mass.)	Town of Franklin annual report	eng	franklinhistoricalmuseum; regionaldigitizationmass; americana
townoffranklinan1899fran	1899-01-01T00:00:00Z	1899	Franklin (Mass.)	Town of Franklin annual report	eng	franklinhistoricalmuseum; regionaldigitizationmass; americana
reportoftwentyse00fran	1874-01-01T00:00:00Z	1874	Franklin Institute (Philadelphia, Pa.)	Report of the twenty-seventh Exhibition of American Manufactures : held in the city of Philadelphia, from October 6th, to November 12th, 1874 / by the Franklin Institute, of the St	eng	statelibrarypennsylvania; americana
timemanagementin00winw	1990-01-01T00:00:00Z	1990	Winwood, Richard I; Franklin Institute (Salt Lake City, Utah)	Time management : an introduction to the Franklin system	eng	internetarchivebooks; americana; printdisabled; fav-abhijeet_librarymall; fav-beetlejuice959; fav-fpeniche; fav-jacuff00; fav-joshmitchell; fav-katie_mcgarry; fav-plinckplonck; fav
townoffranklinan1872fran	1872-01-01T00:00:00Z	1872	Franklin (Mass.)	Town of Franklin annual report	eng	franklinhistoricalmuseum; regionaldigitizationmass; americana
unmutilatedauto00franrich	1909-01-01T00:00:00Z	1909	Franklin, Benjamin, 1706-1790; Bigelow, John, 1817-1911	The autobiography of Benjamin Franklin; the unmutilated and correct version;	eng	cdl; americana; fav-bellasue; fav-joshuatcharles; fav-malloryfjohnson
proceedingsofche3189fran			Franklin Institute (Philadelphia, Pa.). Chemical Section.	Proceedings of the Chemical Section of the Franklin Institute.	English	upenn; americana
proceedingselec00phigoog	1892-01-01T00:00:00Z	1892	Electrical Section , Pa.) Franklin Institute (Philadelphia	Proceedings of the Electrical Section of the Franklin Institute	English	americana
thirtyyearsinar00frangoog	1859-01-01T00:00:00Z	1859	John Franklin	Thirty Years in the Arctic Regions, Or, The Adventures of Sir John Franklin	English	americana; fav-luis_ortego; fav-olga_rodriguez
