# numFound=54 rows=54 query=creator:"Fugger" AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
BSG_FOLZ732INV694RES	1702-01-01T00:00:00Z	1702	Fugger, Anton Rupert (16..-17..)	Aureum philosophiae saeculum immortalibus Josephi Primi Augusti romanorum et hungariae regis, archiducis austriae, &c. &c. honoribus consecratum. Seu natalis eidem saeculi inventa,	lat	bibliothequesaintegenevievelivres; bibliothequesaintegenevieve; fav-19omhs72; fav-august_bernhard_rave; fav-justmeagain
vondergestuterey00fugg	1611-01-01T00:00:00Z	1611	Fugger, Marcus, 1529-1597	Von der Gestüterey, das ist, ein grundtliche Beschreibung wie vnd wa man ein Gestüt von guten edlen Kriegsrossen auffrichten, vnderhalten, vnd wie man die jungen von einem Jar zu	ger	getty; americana; fav-declangray; fav-zed22
11568743bsb	1885-01-01T00:00:00Z	1885	Fugger, Eberhard von	Kloster Fürstenfeld, eine Wittelsbacher Stiftung und deren Schicksale von 1258 - 1803: ein Beitrag zur Geschichte unseres engeren Vaterlandes	German	german-online-libraries; booksbylanguage_german; booksbylanguage
dlibra.kul.pl.P.XVI.495	1560-01-16T00:00:00Z	1560	Fugger, Ulrich (ca 1526-1584).; Agylaeus, Henricus (ca 1532-1595).	Imp. Leonis Avgvsti Constitvtiones Novellae, aut Correctoriæ legum repurgationes, / latinæ nunc primum ab Henrico Agylæe Factæ. [...].		polishpdbooks; polishpublicdomain
IA41543505_0058	1929-05-06T00:00:00Z	1929	Fugger Kirchberg-Weissenhorn, Clemens Graf	Der Panamerikanismus und das amerikanische Völkerrecht.	German	theses-and-dissertations; leiden-university
11842680bsb	1885-01-01T00:00:00Z	1885	Fugger, Eberhard von	Kloster Fürstenfeld, eine Wittelsbacher Stiftung und deren Schicksale von 1258 - 1803: ein Beitrag zur Geschichte unseres engeren Vaterlandes	German	german-online-libraries; booksbylanguage_german; booksbylanguage
pubmed-PMC3384414	2012-05-14T00:00:00Z	2012	Kousholt, Arne Nedergaard; Fugger, Kasper; Hoffmann, Saskia; Larsen, Brian D.; Menzel, Tobias; Sartori, Alessandro A.; S?rensen, Claus Storgaard	CtIP-dependent DNA resection is required for DNA damage checkpoint maintenance but not initiation.	eng	pubmed; journals
10271023bsb	1709-01-01T00:00:00Z	1709	Fugger-Kirchberg-Weissenhorn, Johanna Katharina von	Geistliche Seelen-Waid, Das ist: Schöne, außerlesne, trostreiche Morgens- Abends- Meß- Beicht- und Communion-Gebetter, Wie auch Zum hochwürdigsten Sacrament deß Altars, ...	German	german-online-libraries; booksbylanguage_german; booksbylanguage
00008752bsb	1885-01-01T00:00:00Z	1885	Fugger, Eberhard von	Kloster Fürstenfeld, eine Wittelsbacher Stiftung und deren Schicksale von 1258 - 1803: ein Beitrag zur Geschichte unseres engeren Vaterlandes	German	german-online-libraries; booksbylanguage_german; booksbylanguage
diespiegelungder0000gise	1988-01-01T00:00:00Z	1988	Fugger, Gisela	Die Spiegelung der zwölf Monatstugenden im Märchen : ein Übungsbuch für den Jahreslauf	ger	internetarchivebooks; inlibrary; printdisabled
arxiv-1611.02496	2016-11-08T00:00:00Z	2016	Bernadette Charron-Bost; Matthias Függer; Thomas Nowak	Multidimensional Asymptotic Consensus in Dynamic Networks		arxiv; journals
00007467bsb	1883-01-01T00:00:00Z	1883	Fugger, Eberhard von	Geschichte des Klosters Indersdorf von seiner Gründung bis auf unsere Zeit: nach Urkunden und historischen Quellen bearbeitet	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11266354bsb	1785-01-01T00:00:00Z	1785	Fugger, Maria Joseph von	Patriotische Gedanken von den leibfälligen Bauren-Gütern in Schwaben	German	german-online-libraries; booksbylanguage_german; booksbylanguage
10559269bsb	1785-01-01T00:00:00Z	1785	Fugger, Philipp Carl	Abhandlung über die Grenzen der dem hohen Kurthume Mainz über den Mainstrom von Lohr bis an dessen Ergießung in den Rhein zustehenden Oberherrschaft	German	german-online-libraries; booksbylanguage_german; booksbylanguage
pubmed-PMC4005910	2014-03-11T00:00:00Z	2014	Tenzer, Stefan; Crawford, Hayley; Pymm, Phillip; Gifford, Robert; Sreenu, Vattipally B.; Weimershaus, Mirjana; de Oliveira, Tulio; Burgevin, Anne; Gerstoft, Jan; Akkad, Nadja; Lunn	HIV-1 Adaptation to Antigen Processing Results in Population-Level Immune Evasion and Affects Subtype Diversification.	eng	pubmed; journals
11842701bsb	1885-01-01T00:00:00Z	1885	Fugger, Eberhard von	Kloster Wessobrunn, ein Stück Kulturgeschichte unseres engeren Vaterlandes: nach Urkunden und historischen Quellen bearbeitet	German	german-online-libraries; booksbylanguage_german; booksbylanguage
katalog190900fugg	1909-01-01T00:00:00Z	1909	Fugger Museum (Augsburg, Germany)	Katalog 1909	ger	getty; americana
11266403bsb	1788-01-01T00:00:00Z	1788	Fugger, Markus	Von der Zucht der Kriegs- und Bürgerpferde. 1	German	german-online-libraries; booksbylanguage_german; booksbylanguage
00109283bsb	1878-01-01T00:00:00Z	1878	Fugger, Eberhard	Die Mineralien des Herzogthumes Salzburg	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11568747bsb	1883-01-01T00:00:00Z	1883	Fugger, Eberhard von	Geschichte des Klosters Indersdorf von seiner Gründung bis auf unsere Zeit: nach Urkunden und historischen Quellen bearbeitet	German	german-online-libraries; booksbylanguage_german; booksbylanguage
arxiv-1504.05479	2015-04-21T00:00:00Z	2015	Bernadette Charron-Bost; Matthias Függer; Thomas Nowak	A Proof of the Convergence of the Hegselmann-Krause Dynamics on the Circle	English	arxiv; journals
11860528bsb	1883-01-01T00:00:00Z	1883	Fugger, Eberhard von	Geschichte des Klosters Indersdorf von seiner Gründung bis auf unsere Zeit: nach Urkunden und historischen Quellen bearbeitet	German	german-online-libraries; booksbylanguage_german; booksbylanguage
16896354338888bsb-00047183	1558-01-01T00:00:00Z	1558	Später Hartmann Schedel, Johann Jakob Fugger und München, Herzogliche Bibliothek, 1558-1623. Aus der Bibliothek Hartmann Schedels an Johann Jakob Fugger	Sammlung astronomisch-komputistischer und naturwissenschaftlicher Texte - BSB Clm 210	ger	booksbylanguage_german; booksbylanguage; fav-daniil_nikel
00107791bsb	1796-01-01T00:00:00Z	1796	Fugger, Friedrich von	Nachlass von August Graf von Platen-Hallermünde (1796 - 1835) -	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11568748bsb	1885-01-01T00:00:00Z	1885	Fugger, Eberhard von	Kloster Wessobrunn, ein Stück Kulturgeschichte unseres engeren Vaterlandes: nach Urkunden und historischen Quellen bearbeitet	German	german-online-libraries; booksbylanguage_german; booksbylanguage
00107783bsb	1817-01-01T00:00:00Z	1817	Fugger, Friedrich von	Nachlass von August Graf von Platen-Hallermünde (1796 - 1835) -	German	german-online-libraries; booksbylanguage_german; booksbylanguage
arxiv-1408.0620	2014-08-04T00:00:00Z	2014	Bernadette Charron-Bost; Matthias Függer; Thomas Nowak	Approximate Consensus in Highly Dynamic Networks: The Role of Averaging Algorithms		arxiv; journals
11374057bsb	1878-01-01T00:00:00Z	1878	Fugger, Eberhard	Die Mineralien des Herzogthumes Salzburg	German	german-online-libraries; booksbylanguage_german; booksbylanguage
bub_gb_Rf46AAAAcAAJ	1802-01-01T00:00:00Z	1802	Markus Fugger	Von der Zucht der Kriegs und Bürgerpferde	German	europeanlibraries
introduction-to-neuroengineering	2024-09-01T00:00:00Z	2024	Mercedes Terry, Abigail Tubbs, Blair Dupre, Brandon Fugger, Enrique Alvarez Vazquez	Introduction to Neuroengineering	eng	opensource; fav-alexandru_canciu; fav-bernadette9413; fav-industrial; fav-musci84
byzantinaehistor00prop	1562-01-01T00:00:00Z	1562	Propertius, Sextus; Acominatus, Nicetas Choniates; Wolf, Hieronymus, 1516-1580; Fugger, Anton, 1493-1560; Chalkokondyles, Laonicus, ca.1430-ca.1490; Clauser, Konrad, d.1611; Gundel	Byzantinae historiae Libri XI : quibus res a Graecis Imperatorib. per annos CXLV a Theodoro Lascari priore usque ad Andronici Palaeologi posterioris obitum gestae describuntur...	lat	johnmkellyrare; kellylibrary; toronto; university_of_toronto; fav-clavius; fav-deep_rabbit_hole; fav-gregorovivs; fav-harpocrates887; fav-ipapanik; fav-plgo_org
10019135bsb	1785-01-01T00:00:00Z	1785	Fugger, Philipp Carl	Abhandlung über die Grenzen der dem hohen Kurthume Mainz über den Mainstrom von Lohr bis an dessen Ergießung in den Rhein zustehenden Oberherrschaft	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11860529bsb	1884-01-01T00:00:00Z	1884	Fugger, Eberhard von	Kloster Fürstenfeld, eine Wittelsbacher Stiftung und deren Schicksale von 1258 - 1803: ein Beitrag zur Geschichte unseres engeren Vaterlandes	German	german-online-libraries; booksbylanguage_german; booksbylanguage
dieinventurderfi00fugg	1905-01-01T00:00:00Z	1905	Fugger family; Strieder, Jacob, 1877-	Die Inventur der Firma Fugger aus dem Jahre 1527. Eingeleitet und hrsg. von Jacob Strieder	eng	robarts; toronto; university_of_toronto; fav-jonte_kalin
A10915739	1501-01-01T00:00:00Z	1501	Arzobispo de Toledo; Toledo (Archidiócesis). Arzobispo; Fugger, Familia	Muy illustre Señor. En este negocio del Arçobispo de Toledo con los Fucares y Fiscal de su Majestad, sobre el artículo que se tracta, cerca de la fuerza del dicho Fiscal, y Fucares	spa	bibliotecauniversitariadesevilla; patron-library-collection
pubmed-PMC3019552	2010-12-05T00:00:00Z	2010	J?rgensen, Stine; Eskildsen, Morten; Fugger, Kasper; Hansen, Lisbeth; Yoo Larsen, Marie Sofie; Kousholt, Arne Nedergaard; Syljuasen, Randi G.; Trelle, Morten Beck; N?rregaard Jense	SET8 is degraded via PCNA-coupled CRL4(CDT2) ubiquitylation in S phase and after UV irradiation.	eng	pubmed; journals
11880710bsb	1885-01-01T00:00:00Z	1885	Fugger, Eberhard	Naturwissenschaftliche Studien und Beobachtungen aus und über Salzburg: Geologie der Stadt Salzburg ; Spuren der Eiszeit im Lande Salzburg ; Die Steinbrüche von Bergheim und Muntig	German	german-online-libraries; booksbylanguage_german; booksbylanguage
10295329bsb	1802-01-01T00:00:00Z	1802	Fugger, Markus	Marx Fugger Herr v. Kirchberg und Weissenhorn, von der Zucht der Kriegs- und Bürgerpferde. 1	German	german-online-libraries; booksbylanguage_german; booksbylanguage
