# numFound=54 rows=54 query=subject:(Fugger) AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
diepuppenspieler0000kink_m3n4	2000-01-01T00:00:00Z	2000	Kinkel, Tanja 1969- Verfasser	Die Puppenspieler Roman	ger	internetarchivebooks; inlibrary; printdisabled
daszeitalterderf01ehre	1922-01-01T00:00:00Z	1922	Ehrenberg, Richard, 1857-1921	Das Zeitalter der Fugger. Geldkapital und Kreditverkehr im 16. Jahrhundert	ger	robarts; toronto; university_of_toronto; fav-jonte_kalin; fav-mmos; fav-thegreenflyingkiwi
fuggernewsletter0000klar_d1b1	1924-01-01T00:00:00Z	1924	Klarwill, Victor, 1873-ed	The Fugger news-letters, being a selection of unpublished letters from the correspondents of the house of Fugger during the years 1568-1605. Authorized translation by Pauline de Ch	eng	trent_university; internetarchivebooks; fav-delon108; fav-jonathandurrant; fav-le_meme_mon; fav-mentalpanda; fav-vaclavkosar
rothen-geysius	2020-11-17T00:00:00Z	2020	QUINTO FICARI	FABULA MONTEFIASCONIA/ BIS	ita	booksbylanguage_italian; booksbylanguage
katalog190900fugg	1909-01-01T00:00:00Z	1909	Fugger Museum (Augsburg, Germany)	Katalog 1909	ger	getty; americana
grossevermogenih00ehre_0	1902-01-01T00:00:00Z	1902	Ehrenberg, Richard, 1857-1921	Grosse Vermögen, ihre Entstehung und ihre Bedeutung [microform]	ger	transcluding; ColumbiaUniversityLibraries; microfilm; americana
JansenStudienZurFuggerGeschichte	1907-01-01T00:00:00Z	1907		Jansen Studien Zur Fugger Geschichte	ger	booksbylanguage_german; booksbylanguage
fuggernewsletter0000klar	1926-01-01T00:00:00Z	1926	Klarwill, Victor, 1873-	The Fugger news-letters	eng	trent_university; internetarchivebooks; fav-delon108; fav-linda_hill; fav-piptay123
hansfugger15311500lill	1908-01-01T00:00:00Z	1908	Lill, Georg, 1883-1951	Hans Fugger (1531-1598) und die kunst	ger	getty; americana; fav-_hp_
grossevermogenih00ehre	1905-01-01T00:00:00Z	1905	Ehrenberg, Richard, 1857-1921	Grosse Vermögen : ihre Entstehung und ihre Bedeutung	ger	getty; americana; fav-mmos; fav-panzerking; fav-tasilo
vomwebstuhlzurwe0000ahls	1983-01-01T00:00:00Z	1983	Ahlsen, Leopold, 1927-	Vom Webstuhl zur Weltmacht : die Geschichte vom unglaublichen Aufstieg der Fugger : Roman	ger	internetarchivebooks; inlibrary; printdisabled; fav-ximenole
dieanfngederfu00jans	1907-01-01T00:00:00Z	1907	Jansen, Max, 1871-1912	Die anfänge der Fugger (bis 1494)	ger	allen_county; americana
diefuggerinrom1400schuuoft	1904-01-01T00:00:00Z	1904	Schulte, Aloys, 1857-1941	Die Fugger in Rom, 1495-1523. Mit Studien zur Geschichte des kirchlichen Finanzwesens jener Zeit	ger	robarts; toronto; university_of_toronto; fav-curious_perkunos; fav-jonte_kalin
estestestdownloadableproof	2020-03-02T00:00:00Z	2020	QUINTO FICARI	EST EST EST Volume2 Downloadable Proof	ita	booksbylanguage_italian; booksbylanguage
fuggernewsletter0000klar_i1r6	1970-01-01T00:00:00Z	1970	Klarwill, Victor von, 1873- editor	The Fugger news-letters, second series; being a further selection from the Fugger papers specially referring to Queen Elizabeth and matters relating to England during the years 156	eng	internetarchivebooks; inlibrary; printdisabled; fav-aunt_carol; fav-hk777
daszeitalterderf02ehre	1922-01-01T00:00:00Z	1922	Ehrenberg, Richard, 1857-1921	Das Zeitalter der Fugger. Geldkapital und Kreditverkehr im 16. Jahrhundert	ger	robarts; toronto; university_of_toronto; fav-curious_lady910; fav-mmos; fav-uitgever
aphis_TN10005_AC_7060_MFugger_finapp_121212_Redacted				TN10005 AC 7060 MFugger finapp 121212 Redacted	eng	aphis_enforcement_mirror; thememoryhole; patron-library-collection
fuggernewsletter0000unse	1926-01-01T00:00:00Z	1926	Klarwill, Victor, 1873- editor	The Fugger news-letters : Second series. Being a further selection from the Fugger papers specially referring to Queen Elizabeth and matters relating to England during the years 15	eng	marygrovecollege; internetarchivebooks; americana; fav-chonkyapple; fav-mentalpanda
fuggerzeitungenu00klaruoft	1923-01-01T00:00:00Z	1923	Klarwill, Victor, 1873-	Fugger-Zeitungen : ungedruckte Briefe an das Haus Fugger aus den Jahren 1568-1605	ger	robarts; toronto; university_of_toronto; fav-jonte_kalin; fav-mariewid; fav-tittiesprinkles
luther-blissett-q	1999-01-01T00:00:00Z	1999	Luther Blissett	LUTHER BLISSETT Q	ita	booksbylanguage_italian; booksbylanguage; fav-emmett_moskowitz; fav-testthing191
die-fugger-2-das-handbuch-1997	1997-01-01T00:00:00Z	1997	SUNFLOWERS Interactive Entertainment Software GmbH	Die Fugger 2 Das Handbuch 1997	ger	booksbylanguage_german; booksbylanguage; fav-anne_khan
Banknotenpresse	1926-01-01T00:00:00Z	1926	unbekannt	Die Banknotenpresse	ger	offcenter; deemphasize
diefrauendeshaus0000scha	1989-01-01T00:00:00Z	1989	Schad, Martha	Die Frauen des Hauses Fugger von der Lilie (15.-17. Jahrhundert) : Augsburg, Ortenburg, Trient	ger	internetarchivebooks; inlibrary; printdisabled; fav-konradiner; fav-lothar_balhorn; binghamton-ol; riceuniversity-ol; rochester-ol
chronikderfamili00meye	1902-01-01T00:00:00Z	1902	Meyer, Christian, 1842-	Chronik der familie Fugger vom jahre 1599	ger	bpllfhc; bostonpubliclibrary; americana; fav-jonte_kalin
diepuppenspieler0000kink_m9g9	1996-01-01T00:00:00Z	1996	Kinkel, Tanja 1969- Verfasser	Die Puppenspieler Roman	ger	internetarchivebooks; inlibrary; printdisabled; fav-nhbacts9_3s_k
derreichstemannd0000stei	2016-01-01T00:00:00Z	2016	Steinmetz, Greg Verfasser	Der reichste Mann der Weltgeschichte Leben und Werk von Jakob Fugger	ger	internetarchivebooks; inlibrary; printdisabled; fav-ivstvs; fav-mmos
hansfugger00lill	1907-01-01T00:00:00Z	1907	Lill, Georg, 1883-1951	Hans Fugger [microform]	ger	transcluding; ColumbiaUniversityLibraries; microfilm; americana; theses-and-dissertations
16896354338888bsb-00047183	1558-01-01T00:00:00Z	1558	Später Hartmann Schedel, Johann Jakob Fugger und München, Herzogliche Bibliothek, 1558-1623. Aus der Bibliothek Hartmann Schedels an Johann Jakob Fugger	Sammlung astronomisch-komputistischer und naturwissenschaftlicher Texte - BSB Clm 210	ger	booksbylanguage_german; booksbylanguage; fav-daniil_nikel
DTIC_ADA424118	2004-03-19T00:00:00Z	2004	Defense Technical Information Center	DTIC ADA424118: Security of Rear Areas	english	dticarchive; usgovernmentmirrors; government-documents
frauenverfolgung0000unse	1993-01-01T00:00:00Z	1993		Frauen Verfolgung und Widerstand	ger	internetarchivebooks; inlibrary; printdisabled; fav-adlrik; fav-bolek28; fav-chrisgmueller; fav-danim97; fav-egku; fav-lothar_balhorn; fav-mmos
gri_33125008669588	1618-01-01T00:00:00Z	1618	Custos, Dominicus, -1612	Fuggerorum et Fuggerarum : quae in familia natae, quaèue in familiam transierunt, quot extant aere expressae imagines	lat	getty; americana; fav-declangray; fav-gray333; fav-helgiklimov
reflexions-sur-lhistoire-des-banques-a-lepoque-moderne	1929-07-15T00:00:00Z	1929	Henri Hauser	Réflexions Sur l'Histoire Des Banques À l'Époque Moderne	fre	opensource
dieanfngederfug00jansgoog	1907-01-01T00:00:00Z	1907	Max Jansen	Die anfänge der Fugger	ger	americana
deibele-1952-und-1953-fugger	1952-01-01T00:00:00Z	1952	Albert Deibele	Albert Deibele: Die Fugger in Gmünd, 1952+1953	deu	opensource; community
hansjakobfugger100maas	1922-01-01T00:00:00Z	1922	Maasen, Wilhelm, 1888-1916; Ruf, Paul, 1890-1964	Hans Jakob Fugger (1516-1575) ein Beitrag zur Geschichte des 16. Jahrhunderts	ger	robarts; toronto; university_of_toronto
diefuggeralsmont8919sche	1929-01-01T00:00:00Z	1929	Scheuermann, Ludwig, 1895-	Die Fugger als Montanindustrielle in Tirol und Kärnten; ein Beitrag zur Wirtschaftsgeschichte des 16. und 17. Jahrhunderts	ger	university_of_illinois_urbana-champaign; americana
GeschichteNachbearbeitet			Michael Kruppe	Die Geschichte der Fuggerfaktorei in Erfurt 1503-1556	German	booksbylanguage_german; booksbylanguage
