# numFound=84 rows=84 query=title:(Fugger) AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
BSG_FOLZ732INV694RES	1702-01-01T00:00:00Z	1702	Fugger, Anton Rupert (16..-17..)	Aureum philosophiae saeculum immortalibus Josephi Primi Augusti romanorum et hungariae regis, archiducis austriae, &c. &c. honoribus consecratum. Seu natalis eidem saeculi inventa,	lat	bibliothequesaintegenevievelivres; bibliothequesaintegenevieve; fav-19omhs72; fav-august_bernhard_rave; fav-justmeagain
groesgeldjakobfu0000unse	1986-01-01T00:00:00Z	1986	Frederik Hetmann	Großes Geld. Jakob Fugger und seine Zeit	ger	internetarchivebooks; printdisabled
daszeitalterder00ehregoog	1896-01-01T00:00:00Z	1896	Richard Ehrenberg	Das Zeitalter der Fugger: Geldkapital und Creditverkehr im 16. Jahrhundert	German	americana
daszeitalterderf01unse	1896-01-01T00:00:00Z	1896	Ehrenberg, Richard,1857-1921	Das Zeitalter der Fugger : Geldkapital und Creditverkehr im 16. Jahrhundert	ger	medicalheritagelibrary; cushingwhitneymedicallibrary; americana; medicallibrary; fav-drfromhades; fav-harpocrates887; fav-mmos
dashausfugger00staugoog	1900-01-01T00:00:00Z	1900	Anton Stauber	Das Haus Fugger	German	americana
gunteroggerdiefu0000gesc	1978-01-01T00:00:00Z	1978	Geschichte einer Familie	Gunter Ogger DIE FUGGER	eng	internetarchivebooks; inlibrary; printdisabled; fav-chief1986; fav-jgamble88
catalogueofcolle00sot_cjw	1870-01-01T00:00:00Z	1870	Sotheby, Wilkinson & Hodge	Catalogue of the collections of coins and medals formed by the Compte de Fugger-Glott, William Henry Cox, Esq., and the late John Adkins Barton, Esq., of Poole and the Isle of Wigh	eng	americannumismaticsociety; newmannumismatic; wustl; americana; globallibraries; fav-pere432
bwb_Y0-BWD-809	1978-01-01T00:00:00Z	1978	Gunter Ogger	Die Fugger Geschichte Einer Familie	eng	internetarchivebooks; printdisabled; inlibrary
bub_gb_yoE_v27PJa8C	1702-01-01T00:00:00Z	1702	Adriano Morselli	Il Tullo Ostilio drama per musica rappresentato in Siena l'anno 1702. E dedicata all'illustrissimo signore Massimiliano Antonio Egidio Fugger ..	Italian	europeanlibraries
bwb_S0-BJR-549	1924-01-01T00:00:00Z	1924	Victor von Klarwill	The Fugger News-Letters	eng	internetarchivebooks; fav-sherrimm
fuggernewsletter0000klar	1926-01-01T00:00:00Z	1926	Klarwill, Victor, 1873-	The Fugger news-letters	eng	trent_university; internetarchivebooks; fav-delon108; fav-linda_hill; fav-piptay123
