# numFound=57 rows=57 query=creator:"Law, John" AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
aftermethodmessi0000lawj	2004-01-01T00:00:00Z	2004	Law, John, 1946-	After method : mess in social science research	eng	internetarchivebooks; printdisabled; fav-gloria_mast; fav-jennylearnsstuff; fav-momoita; fav-vhscraps; americanuniversity-ol; binghamton-ol; occidentalcollegelibrary-ol; riceuniver
cu31924028803728	1858-01-01T00:00:00Z	1858	Law, John, 1796-1873; Vincennes Historical and Antiquarian Society (Vincennes, Ind.)	The colonial history of Vincennes, under the French, British, and American governments : from its first settlement down to the territorial administration of General William Henry H	eng	cornell; americana
oeuvresdejlawcon00lawj	1790-01-01T00:00:00Z	1790	Law, John, 1671-1729	Oeuvres de J. Law, : contrôleur-général des finances des France, sous le régent; contenant les principles su le numéraire, le commerce, le crédit et les banques. Avec des notes	fre	jcbfrench; JohnCarterBrownLibrary; americana; globallibraries; fav-anselmaxxing
isbn_9780966567670	2008-01-01T00:00:00Z	2008	Law, John W	Diana Ross in Central Park : 25th anniversary retrospective	eng	internetarchivebooks; inlibrary; printdisabled; fav-daani_victoria; fav-hepcat1962
forgingalbertasc00conn	2005-01-01T00:00:00Z	2005	Connors, Richard Travanion, 1964-; Law, John M; University of Alberta. Centre for Constitutional Studies	Forging Alberta's constitutional framework	eng	universityofalbertapress; university_of_alberta_libraries; toronto; printdisabled; fav-cattattude; fav-kennethns; universityofalbertapress-ol
practicaldirect00duncgoog	1856-01-01T00:00:00Z	1856	John Duncan , solicitor at law John Duncan	Practical Directions for Forming and Managing Joint-stock Companies: With Limited Liability Or ...	English	europeanlibraries
modernhyderabadd00lawj	1914-01-01T00:00:00Z	1914	Law, John, fl. 1881-1921	Modern Hyderabad (Deccan)	eng	cdl; americana; fav-aun_mehdi; fav-blackfirebackfire; fav-dawahbackup; fav-kedar_alladwar; fav-kievlyanin; fav-ramap; fav-rohit_gupta696; fav-sainath_b; fav-sampath_raja_ram; fav-s
addressdelivered00lawj	1839-01-01T00:00:00Z	1839	Law, John, 1796-1873; Vincennes Historical and Antiquarian Society	Address delivered before the Vincennes Historical and Antiquarian Society, February 22, 1839	eng	library_of_congress; americana
picturingpower00gord	1988-01-01T00:00:00Z	1988	Fyfe, Gordon; Law, John, 1946-	Picturing power : visual depiction and social relations	eng	internetarchivebooks; inlibrary; printdisabled; fav-barry_o_apos_neill; fav-csanka; fav-francesco_giarrusso; fav-jhon_buramat; fav-mattia_tosi; fav-paadin_jm; fav-panzerking; fav-p
mathematicaltab00youngoog	1884-01-01T00:00:00Z	1884	Henry Law, John Radford Young	Mathematical tables for trigonometrical, astronomical, and nautical calculations. [With] Tables ...	English	europeanlibraries
lordsofrenaissan0000lawj	1981-01-01T00:00:00Z	1981	Law, John E. (John Easton)	The lords of Renaissance Italy : the signori, 1250-1500	eng	internetarchivebooks; inlibrary; printdisabled; fav-jmb14; fav-littleboots3; fav-mdmercury
cihm_20081	1720-01-01T00:00:00Z	1720	Law, John, 1671-1729; France. Sovereign (1714-1774 : Louis XV)	The Present state of the French revenues and trade, and of the controversy betwixt the Parliament of Paris, and Mr. Law [microform] : containing the Parliament of Paris's remonstra	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm; fav-tessat97
adgerlawancestra00lawj			Law, John Adger, 1869-	Adger-Law ancestral note-book / by John Adger Law.	eng	allen_county; americana; fav-kathryn_watkins; fav-kimberly_watts842
