# numFound=123 rows=123 query=creator:"Keynes, John Maynard" AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
bwb_S0-CPU-191	1951-01-01T00:00:00Z	1951	Geoffrey Keynes , John Maynard Keynes	Essays in Biography	English	internetarchivebooks; printdisabled; inlibrary
essaysinpersuasi00john_1	1991-01-01T00:00:00Z	1991	Keynes, John Maynard, 1883-1946	Essays in persuasion	eng	internetarchivebooks; printdisabled; fav-azgonzo602; fav-jeffgenovy; fav-katarinamilovanovic3; fav-marco_barros_falc_n
economicconseque0000unse_j6i3	1920-01-01T00:00:00Z	1920	Keynes, John Maynard, 1883-1946	The economic consequences of the peace	eng	internetarchivebooks; fav-manikhe; fav-stinkers
economicconseque0000keyn_t5g4	1971-01-01T00:00:00Z	1971	Keynes, John Maynard, 1883-1946	The economic consequences of the peace	eng	internetarchivebooks; inlibrary; printdisabled; fav-bennac1089; fav-hsu_maggie
dli.csl.5738	1913-01-01T00:00:00Z	1913	Keynes, John Maynard	Indian currency and finance	eng	digitallibraryindia; JaiGyan; fav-be_m_s_qu_suerte_; fav-gregourious
dli.ernet.241664	1930-01-01T00:00:00Z	1930	Keynes John Maynard	A Treatise On Money Vol I	eng	digitallibraryindia; JaiGyan
dli.ernet.260098	1950-01-01T00:00:00Z	1950	Keynes John Maynard	A Treatise On Money Vol I	eng	digitallibraryindia; JaiGyan
generaltheoryaft0000keyn	1973-01-01T00:00:00Z	1973	Keynes, John Maynard, 1883-1946	The general theory and after	eng	internetarchivebooks; inlibrary; printdisabled
essaysinbiograph0000keyn_f2h3	1972-01-01T00:00:00Z	1972	Keynes, John Maynard, 1883-1946	Essays in biography	eng	internetarchivebooks; inlibrary; printdisabled; fav-generalk187; unb-ol; universityofcoloradoboulder-ol
cu31924014110435	1921-01-01T00:00:00Z	1921	Keynes, John Maynard, 1883-1946	A treatise on probability	eng	cornell; americana; fav-das_ist_irshad; fav-emad_sadeghi; fav-fran879; fav-manikhe
in.ernet.dli.2015.150074	1923-01-01T00:00:00Z	1923	Keynes, John Maynard	A Treatise On Money Vol.1 Ed.1st	eng	digitallibraryindia; JaiGyan; fav-anithasiva; fav-jcarrero
in.ernet.dli.2015.206376	1924-01-01T00:00:00Z	1924	Keynes John Maynard	Indian Currency And Finance	eng	digitallibraryindia; JaiGyan
dli.ernet.448905			Keynes John Maynard	A Treatise On Money Vol Ii	eng	digitallibraryindia; JaiGyan
dli.ernet.234061	1921-01-01T00:00:00Z	1921	Keynes John Maynard; Francis William	A Treatise On Probability	eng	digitallibraryindia; JaiGyan
in.ernet.dli.2015.45328	1922-01-01T00:00:00Z	1922	Keynes, John Maynard	A Revision Of The Treaty	eng	digitallibraryindia; JaiGyan; fav-collegium
economicconsequ00keyn	1920-01-01T00:00:00Z	1920	Keynes, John Maynard, 1883-1946	The economic consequences of the peace	eng	robarts; toronto; university_of_toronto; fav-jwbarry; fav-shan794870; fav-shivam_kumar416; fav-sidharth_mandal; fav-snr84; fav-www_jupiter2saturn_com; fav-yousefns
dli.ernet.988	1932-01-01T00:00:00Z	1932	Keynes John Maynard	A Tract on Monetary Reform (1932)	eng	digitallibraryindia; JaiGyan; fav-nicolemgobert
dli.ernet.2307	1933-01-01T00:00:00Z	1933	Keynes John Maynard	Essays In Biography	eng	digitallibraryindia; JaiGyan; fav-markame
treatiseonmoney0002keyn	1958-01-01T00:00:00Z	1958	Keynes, John Maynard, 1883-1946	A treatise on money. --	eng	trent_university; internetarchivebooks; inlibrary; printdisabled; fav-aristo25; fav-dancedany; fav-paulomoura; fav-wstepien; fav-zosimos_alchemista
essaysinliberali00libeuoft	1922-01-01T00:00:00Z	1922	Liberal Summer School (1922 : Oxford, England); Keynes, John Maynard, 1883-1946; Boxall, Leonard E., (bookplate); Boxall, Leonard E., (autograph)	Essays in liberalism : being the lectures and papers, which were delivered at the Liberal summer school at Oxford, 1922	eng	robarts; toronto; university_of_toronto; fav-mike_h294
TheEconomicConsequencesOfThePeace			Keynes, John Maynard, 1883-1946	The Economic Consequences of the Peace		opensource; community; fav-agent_muffy_s_uncle_fester; fav-klotusflower96; fav-simon_t
economicconsequ09keyngoog	1920-01-01T00:00:00Z	1920	Keynes, John Maynard, 1883-1946. cn	The economic consequences of the peace	eng	americana
afp8900.0001.001.umich.edu	1920-01-01T00:00:00Z	1920	Keynes, John Maynard, 1883-1946	The economic consequences of the peace	eng	michigan_books; americana; fav-bluguy
in.ernet.dli.2015.121957	1934-01-01T00:00:00Z	1934	Keynes, John Maynard	A Treatise On Money The Applied Theory Of Money. Vol. Ii	eng	digitallibraryindia; JaiGyan; fav-jcarrero
revisionoftreaty00keyn_1	1922-01-01T00:00:00Z	1922	Keynes, John Maynard, 1883-1946	A revision of the Treaty : being a sequel to The economic consequences of the peace	eng	university_of_illinois_urbana-champaign; americana; fav-costudies; fav-rohit_gupta696
