# numFound=480 rows=200 query=title:(Keynes) AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
bwb_KV-107-289	1970-01-01T00:00:00Z	1970	LEE SCRIVEN	WE BUILT THIS CITY ON ROCK N ROLL A PICTORIAL GUIDE TO MILTON KEYNES CULTURE		internetarchivebooks; printdisabled; inlibrary
bwb_Y0-BNP-813	1955-01-01T00:00:00Z	1955	Symour E. Harris	JOhn Maynard Keynes	eng	internetarchivebooks; printdisabled; inlibrary
williamblakeessa0000mort	1973-01-01T00:00:00Z	1973	morton d. paley, michael phillips	william blake essays in honour of sir geoffrey keynes	eng	internetarchivebooks; graduatetheologicalunion; printdisabled; inlibrary
economicsofjohnm0000unse_b2q8	1948-01-01T00:00:00Z	1948		the economics of john maynard keynes	eng	internetarchivebooks; inlibrary; printdisabled
carthaginianpeac0000etie	1946-01-01T00:00:00Z	1946	Etienne Mantoux	The Carthaginian Peace Or the Economic Consequences of Mr. Keynes	eng	internetarchivebooks; inlibrary; printdisabled; fav-grovergirl00; fav-hined475; fav-rohit_gupta696; fav-sergiomargarido; fav-user_50073
John-Maynard-Keynes_Langfristprognose			John Maynard Keynes	Langfristprognose • von John Maynard Keynes	ger	booksbylanguage_german; booksbylanguage; fav-jssesions
in.ernet.dli.2015.74011	1948-01-01T00:00:00Z	1948	Dudley Dillard	The Economics Of John Maynard Keynes The Theory Of A Monetary Economy	eng	digitallibraryindia; JaiGyan; fav-lawrence-faisal; fav-swarup_dey
economistssociet0000unse	1973-01-01T00:00:00Z	1973	Finkelstein, Joseph, 1926-	Economists and society; the development of economic thought from Aquinas to Keynes	eng	internetarchivebooks; inlibrary; printdisabled
dli.ernet.54345	1951-01-01T00:00:00Z	1951	Eato John	Marx Against Keynes (1951)	eng	digitallibraryindia; JaiGyan; fav-dimitriospap; fav-dsa559library
geoffreykeynestr0000unse	1961-01-01T00:00:00Z	1961		geoffrey keynes : tributes on the occasion of his seventienth birthday	eng	internetarchivebooks; inlibrary; printdisabled
