# numFound=624 rows=300 query=creator:"Mill, John Stuart" AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
principlesofpoli00mill_3	1865-01-01T00:00:00Z	1865	Mill, John Stuart, 1806-1873	Principles of political economy :with some of their applications to social philosophy /	eng	library_of_congress; fedlink; americana; fav-afnan_marwani
principlesofpoli00milluoft	1909-01-01T00:00:00Z	1909	Mill, John Stuart, 1806-1873	Principles of political economy, with some of their applications to social philosophy	eng	robarts; toronto; university_of_toronto
principlesofpoli04mill	1920-01-01T00:00:00Z	1920	Mill, John Stuart, 1806-1873; Ashley, W. J. (William James), 1860-1927, ed	Principles of political economy, with some of their applications to social philosophy	eng	library_of_congress; americana
fp0135_2	1848-01-01T00:00:00Z	1848	Mill, John Stuart	Principles of political economy with some of their applications to social philosophy. In two volumes	eng	bem-prato; patron-library-collection; fav-jimski
utilitarianismli0000mill_t8w5	1910-01-01T00:00:00Z	1910	Mill, John Stuart, 1806-1873, author	Utilitarianism, liberty, and representative government	eng	claremont_school_of_theology; internetarchivebooks; fav-ayereego; fav-jahanzeb_shah; fav-mo_mns
DissertationsAndDiscussionsPoliticalPhilosophicalHistoricalV3	1882-01-01T00:00:00Z	1882	Mill, John Stuart, 1806-1873	Dissertations And Discussions: Political Philosophical and Historical Volume 3	eng	OhioStateUniversityLibrary; americana; fav-jorgeh13
threeessaysonre00millgoog	1969-01-01T00:00:00Z	1969	Mill, John Stuart, 1806-1873	Three essays on religion	eng	americana; fav-ftftftft_ftftft; fav-jorgeh13; fav-naomi_helinirina; fav-venwon
anexaminationsi05millgoog	1865-01-01T00:00:00Z	1865	Mill, John Stuart, 1806-1873	An examination of Sir William Hamilton's philosophy, and of the principal philosophical questions discussed in his writings	eng	americana; fav-jorgeh13
utilitarianismli0000mill_s2h4	1972-01-01T00:00:00Z	1972	Mill, John Stuart, 1806-1873	Utilitarianism, liberty, representative government	eng	internetarchivebooks; printdisabled; inlibrary; fav-g_-_money; johnshopkins-ol
johnstuartmillth0000mill	1909-01-01T00:00:00Z	1909	Mill, John Stuart; Carlyle, Thomas	John Stuart Mill : Thomas Carlyle : Characteristics, Inaugural Address, Essay on Scott; With . . . Vol: 25 1909 [Hardcover]	eng	internetarchivebooks
johnstuartmillhi00mill	1873-01-01T00:00:00Z	1873	Mill, John Stuart, 1806-1873	John Stuart Mill: his life and works	eng	robarts; toronto; university_of_toronto; fav-revpaula; fav-trishtrinitron; fav-viro23412
Mill_GW_12	1880-01-01T00:00:00Z	1880	Mill, John Stuart	Gesammelte Werke. Zwölfter Band. Vermischte Schriften III. Ueber Frauenemancipation. Plato. Arbeiterfrage. Socialismus.	ger	CollectionOfTheInternationalPsychoanalyticUniversityBerlin; patron-schools-colleges-university-libraries; patron-library-collection; fav-dmitri_ivanov; fav-lu_prado_; fav-psycholog
systemoflogicrat00mill_1	1850-01-01T00:00:00Z	1850	Mill, John Stuart, 1806-1873	A system of logic, ratiocinative and inductive: being a connected view of the principles of evidence and the methods of scientific investigation	eng	university_of_illinois_urbana-champaign; americana
synopsisoffirstt00mill	1888-01-01T00:00:00Z	1888	Mill, John Stuart, 1806-1873; Laughlin, James Laurence, 1850-1933. [from old catalog]	A synopsis of the first three books of John Stuart Mill's Principles of political economy	eng	library_of_congress; americana; fav-revpaula
subjectionofwome0000mill_v6s0	1981-01-01T00:00:00Z	1981	Mill, John Stuart, 1806-1873	The subjection of women	eng	internetarchivebooks
principlespolit03millgoog	1849-01-01T00:00:00Z	1849	Mill, John Stuart, 1806-1873	Principles of political economy : with some of their applications to social philosophy	eng	europeanlibraries
sc_0087329581_00000001653943	1938-01-01T00:00:00Z	1938	Mill, John Stuart (1806-1873)	On Liberty /John Stuart Mill	eng	sciencespo; folkscanomy
india.history.resource.77050	1910-01-01T00:00:00Z	1910	Mill, John Stuart; Elliot, Hugh S. R. (Ed.); Taylor, Mary	The Letters of John Stuart Mill, Vol. II	eng	IndiaHistory; JaiGyan
considerationson05669gut			Mill, John Stuart, 1806-1873	Considerations on Representative Government	eng	gutenberg; fav-never_enough_knowledge
dli.ministry.23571	1930-01-01T00:00:00Z	1930	Mill, John Stuart	A system of logic ratiocinative and inductive : being a connected view of the principles of evidence and the methods of scientific investigation	eng	digitallibraryindia; JaiGyan; fav-ramap
dli.bengal.10689.4985	1859-01-01T00:00:00Z	1859	Mill, John Stuart	Dissertations And Discussions - Vol.1	eng	digitallibraryindia; JaiGyan
grundstzederpol00millgoog	1840-01-01T00:00:00Z	1840	Mill, John Stuart, 1806-1873	Grundsätze der politischen Oekonomie, nebst einigen Anwendungen auf die Gesellschafts-Wissenschaft	ger	americana; fav-archiv_des_linksliberalismus
onliberty05millgoog	1863-01-01T00:00:00Z	1863	Mill, John Stuart, 1806-1873	On liberty	eng	americana; fav-katiebeard; fav-w_dewils0n
dissertationsdis00milliala	1865-01-01T00:00:00Z	1865	Mill, John Stuart, 1806-1873	Dissertations and discussions: political, philosophical, and historical	eng	cdl; americana; fav-stephen_maclean; fav-uri_aurora
dissertationsdis02mill	1874-01-01T00:00:00Z	1874	Mill, John Stuart, 1806-1873	Dissertations and discussions : political, philosophical, and historical	eng	brigham_young_university; americana
dissertationsdis03mill	1874-01-01T00:00:00Z	1874	Mill, John Stuart, 1806-1873	Dissertations and discussions : political, philosophical, and historical	eng	brigham_young_university; americana
in.ernet.dli.2015.96132	1879-01-01T00:00:00Z	1879	Mill, John Stuart	A System Of Logic Vol. 2 Ed. 10th	eng	digitallibraryindia; JaiGyan
cihm_37992	1838-01-01T00:00:00Z	1838	Mill, John Stuart, 1806-1873	Lord Durham and the Canadians [microform] : a reprint from the January number of the London and Westminster Review	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm; fav-ana_luisa_mota; fav-xram
rationalejudici05bentgoog	1827-01-01T00:00:00Z	1827	Bentham, Jeremy, 1748-1832; Mill, John Stuart, 1806-1873	Rationale of judicial evidence, specially applied to English practice	eng	europeanlibraries; fav-claudio_a_cama_o_silva; fav-jonam; fav-judge_birmingham; fav-violabec
utilitarianismli0000mill	1910-01-01T00:00:00Z	1910	Mill, John Stuart, 1806-1873, author	Utilitarianism, liberty, and representative government	eng	internetarchivebooks; fav-ruqayah_bhat; fav-sam_co130
dli.ministry.11462	1919-01-01T00:00:00Z	1919	Mill, John Stuart	Consideration on Representative Government	eng	digitallibraryindia; JaiGyan; fav-jblood04; fav-revpaula
earlydraftofjohn0000mill	1961-01-01T00:00:00Z	1961	Mill, John Stuart, 1806-1873	The early draft of John Stuart Mill's autobiography	eng	trent_university; internetarchivebooks; inlibrary; printdisabled; fav-romeosyne
onlibertyotheres0000mill	1926-01-01T00:00:00Z	1926	Mill, John Stuart, 1806-1873	On liberty, and other essays;	eng	claremont_school_of_theology; internetarchivebooks; fav-hawkseked222; fav-stevie_hunter853
onlibertyxero00milluoft	1859-01-01T00:00:00Z	1859	Mill, John Stuart, 1806-1873	On liberty	eng	utmississauga; toronto; university_of_toronto; fav-adamw653; fav-amanda_costa_da_silva_vitorino; fav-blake_burge; fav-davood777; fav-f_f391; fav-garchiver; fav-ichibang; fav-kda382
essaysonsomeunse12004gut			Mill, John Stuart, 1806-1873	Essays on some unsettled Questions of Political Economy	eng	gutenberg
fp-0143	1867-01-01T00:00:00Z	1867	Mill, John Stuart	Inaugural address : delivered to the University of St. Andrews feb. 1st 1867	eng	bem-prato; patron-library-collection; fav-sad_wolf7
threeessaysonrel0000mill_m0h5	1884-01-01T00:00:00Z	1884	Mill, John Stuart, 1806-1873	Three essays on religion	eng	claremont_school_of_theology; internetarchivebooks; fav-hsali
subjectionofwome00unse	1997-01-01T00:00:00Z	1997	Mill, John Stuart, 1806-1873	The subjection of women	eng	booksforukraine; americana; inlibrary; printdisabled; fav-moelbarqi
subjectionofwome2001mill	2001-01-01T00:00:00Z	2001	Mill, John Stuart, 1806-1873; Alexander, Edward, 1936-	The subjection of women	eng	internetarchivebooks; printdisabled; fav-astrid14633; fav-dsix01; fav-royalhwt; fav-sjamesshort_outlook_com; binghamton-ol; gwulibraries-ol; rochester-ol; the-claremont-colleges-ol
systemoflogicrat0000john	1848-01-01T00:00:00Z	1848	Mill, John Stuart, 1806-1873	A system of logic, ratiocinative and inductive; being a connected view of the principles of evidence and the methods of scientific investigation	eng	internetarchivebooks
systemoflogicrat01mill	1874-01-01T00:00:00Z	1874	Mill, John Stuart, 1806-1873	A system of logic, ratiocinative and inductive: being a connected view of the principles of evidence and the methods of scientific investigation	eng	library_of_congress; americana; fav-uri_aurora
systmedelogiqued00mill	1866-01-01T00:00:00Z	1866	Mill, John Stuart, 1806-1873; J. L. H. P. (Jean Louis Hippolyte Peisse), 1803-1880, tr	Système de logique déductive et inductive [microform]; exposé des principes de la preuve et des méthodes de recherche scientifique	fre	ColumbiaUniversityLibraries; microfilm; americana
in.ernet.dli.2015.99873	1910-01-01T00:00:00Z	1910	Mill,john Stuart	The Letters Of John Stuart Mill Vol. 2	eng	digitallibraryindia; JaiGyan; fav-j_van_schoor; fav-xtemporaneous
mrjsmilluponpers52mill	1884-01-01T00:00:00Z	1884	Mill, John Stuart, 1806-1873	Mr. J. S. Mill upon personal representation	eng	victorianbrighamyounguniv; brigham_young_university; americana; fav-eveepretty
memoriesofoldfri01foxc	1882-01-01T00:00:00Z	1882	Fox, Caroline, 1819-1871; Pym, Horace N; Mill, John Stuart, 1806-1873	Memories of old friends : being extracts from the journals of Caroline Fox of Penjerrick, Cornwall from 1835 to 1871	eng	cdl; americana; fav-csykes; fav-desafinada; fav-mborth
essaysonpolitics0000mill	1962-01-01T00:00:00Z	1962	Mill, John Stuart, 1806-1873	Essays on politics and culture	eng	marygrovecollege; internetarchivebooks; americana; inlibrary; printdisabled; fav-graieb; fav-jorgeh13
autobiographyess25mill	1909-01-01T00:00:00Z	1909	Mill, John Stuart, 1806-1873; Mill, John Stuart, 1806-1873. Essay on liberty; Carlyle, Thomas, 1795-1881. Characteristics; Carlyle, Thomas, 1795-1881. Inaugural address at Edinburg	Autobiography ; Essay on liberty	eng	internetarchivebooks; americana
utilitarianismli00mill_0	1976-01-01T00:00:00Z	1976	Mill, John Stuart, 1806-1873	Utilitarianism, liberty, representative government	eng	internetarchivebooks; printdisabled; inlibrary; fav-breeadams27; fav-llewellyn1977; fav-minette1993; fav-mmrrll; fav-rameez9968; fav-salehj
absoluteequality00dick	1865-01-01T00:00:00Z	1865	Dickson, William Martin, 1827-1889. [from old catalog]; Daniel Murray Pamphlet Collection (Library of Congress) DLC [from old catalog]; YA Pamphlet Collection (Library of Congress)	The absolute equality of all men before the law, the only true basis of reconstruction. An address by William M. Dickson, delivered at Oberlin, Ohio, October 3, 1865, with and appe	eng	library_of_congress; americana
systemoflogicrat00mill	1848-01-01T00:00:00Z	1848	Mill, John Stuart, 1806-1873	A system of logic, ratiocinative and inductive; being a connected view of the principles of evidence and the methods of scientific investigation	eng	library_of_congress; americana; fav-uri_aurora
anexaminationsi02millgoog	1963-01-01T00:00:00Z	1963	Mill, John Stuart, 1806-1873	Collected works	eng	americana; fav-adamw653; fav-asu12000; fav-cjrd; fav-mastermind93; fav-murphbass23; fav-revpaula; fav-senmaida; fav-xandolli
milltextscomment0000mill	1997-01-01T00:00:00Z	1997	Mill, John Stuart, 1806-1873	Mill : texts, commentaries	eng	internetarchivebooks; printdisabled; fav-akssaf; fav-black_saint_8; fav-castor58; fav-fabian_camilo_santana; fav-franchescajones; fav-isabella_armour; fav-jlcranfield; fav-lightloo
anexaminationofs01millrich	1865-01-01T00:00:00Z	1865	Mill, John Stuart, 1806-1873; Making of America Project	An examination of Sir William Hamilton's philosophy and of the principal philosophical questions discussed in his writings	eng	cdl; americana
a592839101milluoft	1868-01-01T00:00:00Z	1868	Mill, John Stuart, 1806-1873	A system of logic ratiocinative and inductive : being a connected view of the principles of evidence and the methods of scientific investigation	eng	saint_marys_college; toronto; fav-ariel_ponce; fav-clara_khin; fav-gabriela_karolak; fav-jkdanonymoushouse; fav-jubay; fav-mittat; fav-teraenglish; fav-uri_aurora
journalsdebating0000mill	1988-01-01T00:00:00Z	1988	Mill, John Stuart, 1806-1873	Journals and debating speeches	eng	internetarchivebooks; printdisabled; fav-samatteb; universityofcoloradoboulder-ol
positivephilosop00mill	1887-01-01T00:00:00Z	1887	Mill, John Stuart, 1806-1873	The positive philosophy of Auguste Comte	eng	cdl; americana; fav-kanki
utilitarianismli00milluoft	1910-01-01T00:00:00Z	1910	Mill, John Stuart, 1806-1873	Utilitarianism, liberty & representative government	eng	kellylibrary; toronto; university_of_toronto; fav-kms118; fav-uri_aurora
utilitarianizmos00mill	1882-01-01T00:00:00Z	1882	Mill, John Stuart, 1806-1873	Utilitarianizm : o svobodi͡e	rus	university_of_illinois_urbana-champaign; americana
principlesofpol00mill	1909-01-01T00:00:00Z	1909	Mill, John Stuart, 1806-1873; Ashley, W. J. (William James), 1860-1927	Principles of political economy : with some of their applications to social philosophy	eng	rutgersuniversitylibraries; americana; fav-msolisjavier
principlesofpoli0000mill_j9p2	1865-01-01T00:00:00Z	1865	Mill, John Stuart, 1806-1873	Principles of political economy : with some of their applications to social philosophy	eng	internetarchivebooks; fav-sartaj_mashori; fav-wsoldati
principlesofpoli00milliala	1900-01-01T00:00:00Z	1900	Mill, John Stuart, 1806-1873	Principles of political economy : with some of their applications to social philosophy	eng	cdl; americana; fav-uri_aurora
principlespolit26millgoog	1973-01-01T00:00:00Z	1973	Mill, John Stuart	Principles of political economy : with some of their applications to social philosophy	eng	europeanlibraries
principlespolit49millgoog	1894-01-01T00:00:00Z	1894	Mill, John Stuart, 1806-1873	Principles of political economy : with some of their applications to social philosophy	eng	americana
enfranchisemento00mill	1868-01-01T00:00:00Z	1868	Mill, Harriet Hardy Taylor, 1807-1858; Mill, John Stuart, 1806-1873, joint author	Enfranchisement of women ..	eng	university_of_illinois_urbana-champaign; americana; fav-aelagrand; fav-alicebookworm; fav-ana_paulina_de_las_pe_nas_rincon; fav-bfdbddfxd; fav-blue37; fav-duruk; fav-iv_n_guzm_n; f
prefacestolibert0000mill	1983-01-01T00:00:00Z	1983	Mill, John Stuart, 1806-1873	Prefaces to liberty : selected writings of John Stuart Mill	eng	internetarchivebooks; inlibrary; printdisabled; fav-hjmcinnis; fav-timothy_hair; the-claremont-colleges-ol; tulsacc-ol
arefutationofwag00longuoft	1904-01-01T00:00:00Z	1904	Longe, Francis Davy; Fawcett, Henry, 1833-1884; Mill, John Stuart, 1806-1873	[A refutation of] the wage-fund theory, 1866	eng	robarts; toronto; university_of_toronto
a592839102milluoft	1868-01-01T00:00:00Z	1868	Mill, John Stuart, 1806-1873	A system of logic ratiocinative and inductive : being a connected view of the principles of evidence and the methods of scientific investigation	eng	saint_marys_college; toronto; fav-jkdanonymoushouse; fav-mittat; fav-uri_aurora
humboldtlibrary12unkngoog	1890-01-01T00:00:00Z	1890	Mill, John Stuart, 1806-1873	Utilitarianism ...	eng	americana; fav-agent-lisa
principlesofpoli02mill	1900-01-01T00:00:00Z	1900	Mill, John Stuart, 1806-1873	Principles of political economy, with some of their applications to social philosophy	eng	cdl; americana
principlespolit11millgoog	1973-01-01T00:00:00Z	1973	Mill, John Stuart	Principles of political economy : with some of their applications to social philosophy	eng	americana
principlespolit19millgoog	1973-01-01T00:00:00Z	1973	Mill, John Stuart	Principles of political economy : with some of their applications to social philosophy	eng	americana
analysisphenome03millgoog	1967-01-01T00:00:00Z	1967	Mill, James, 1773-1836; Mill, John Stuart, 1806-1873, ed	Analysis of the phenomena of the human mind	eng	europeanlibraries
principesdconom00millgoog	1854-01-01T00:00:00Z	1854	Mill, John Stuart, 1806-1873	Principes d'économie politique, avec quelques-unes de leurs applications a l'économie sociale	fre	americana
principlesof00milliala	1885-01-01T00:00:00Z	1885	Mill, John Stuart, 1806-1873	Principles of political economy : with some of their applications to social philosophy	eng	cdl; americana
principlespolit51millgoog	1886-01-01T00:00:00Z	1886	Mill, John Stuart, 1806-1873	Principles of political economy, with some of their applications to social philosophy	eng	americana
utilitarianizmos00mill_0	1866-01-01T00:00:00Z	1866	Mill, John Stuart, 1806-1873	Utilitarianizm : o svobodi͡e	rus; eng	university_of_illinois_urbana-champaign; americana
politicaleconomy01milliala	1920-01-01T00:00:00Z	1920	Mill, John Stuart, 1806-1873	Principles of political economy, with some of their applications to social philosophy	eng	cdl; americana
