# numFound=87 rows=87 query=creator:"Ricardo, David" AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
workscorresponde0011rica	1951-01-01T00:00:00Z	1951	Ricardo, David, 1772-1823	The works and correspondence of David Ricardo;	eng	internetarchivebooks; inlibrary; printdisabled; fav-ajspain; fav-daniil_nikel; fav-gfdsa4800; fav-pursuerofknowledge; fav-terry_judge; fav-usha_kamble278; americanuniversity-ol; fr
workscorresponde0009unse	1952-01-01T00:00:00Z	1952	Ricardo, David, 1772-1823	The works and correspondence of David Ricardo / Vol. 9, Letters, July 1821-1823	eng	marygrovecollege; internetarchivebooks; americana; inlibrary; printdisabled; fav-daniil_nikel
grundgesetzeder01diehgoog	1877-01-01T00:00:00Z	1877	Ricardo, David, 1772-1823	Grundgesetze der volkswirthschaft und besteuerung ..	ger	americana
principlespolit00ricagoog	1992-01-01T00:00:00Z	1992	Ricardo, David, 1772-1823	The principles of political economy and taxation	eng	americana
lettersdavidric00assogoog	1895-01-01T00:00:00Z	1895	Ricardo, David, 1772-1823	Letters of David Ricardo to John Ramsay McCulloch, 1816-1823	eng	americana
principlesofpoli0000rica_w7b0	1948-01-01T00:00:00Z	1948	Ricardo, David, 1772-1823	The principles of political economy and taxation	eng	internetarchivebooks; inlibrary; printdisabled; fav-gaoopenlib
principlesofpoli0000unse	1911-01-01T00:00:00Z	1911	Ricardo, David, 1772-1823	The principles of political economy & taxation	eng	internetarchivebooks; fav-aru13
mrricardosspeech00ricarich	1843-01-01T00:00:00Z	1843	Ricardo, David, 1772-1823	Mr. Ricardo's speech on the subject of commercial treaties, in the House of Commons, on the 25th April, 1843	eng	cdl; americana; fav-daniil_nikel; fav-michellewb
workscorresponde0008unse	1962-01-01T00:00:00Z	1962	Ricardo, David	The works and correspondence of David Ricardo. Vol. 8 Letters 1819 - June 1821	eng	marygrovecollege; internetarchivebooks; americana; inlibrary; printdisabled; fav-danielr_2; fav-shmhz72
oeuvrescompletes14rica	1847-01-01T00:00:00Z	1847	Ricardo, David, 1772-1823	Oeuvres completes	fre	ubclibrary; toronto; fav-fernando_scoparo; fav-hocine21
principlesofpoli0000rica_s3j2	1965-01-01T00:00:00Z	1965	Ricardo, David, 1772-1823	The principles of political economy and taxation	eng	trent_university; internetarchivebooks; inlibrary; printdisabled; fav-emilio_ocampo; fav-gaoopenlib
economicessays0000rica	1968-01-01T00:00:00Z	1968	Ricardo, David	Economic essays	eng	trent_university; internetarchivebooks; inlibrary; printdisabled
workscorresponde0009rica_p6d5	1951-01-01T00:00:00Z	1951	(RICARDO, David). PIERO, Sraffa, edited by	The Works and Correspondence of David Ricardo : Volume X: Biographical Miscellany	eng	internetarchivebooks; printdisabled; inlibrary
