# numFound=5046 rows=300 query=title:(Ricardo) AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
RICARDOOZCAR2018PROMOCIONAL				RICARDO OZCAR [ 2018 PROMOCIONAL]		opensource_media; community
gov.uscourts.wieb.422633				Ricardo D Smith, Jr.	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.wiwb.137847				Ricardo Garcia Guzman and Sofia Avella-Salas	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.flmb.1188908				Juan Ricardo Hernandez	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.txsb.385938				Ricardo Sanchez Chamberlain	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.wieb.400409				Ricardo Santiago	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.txsd.1657827				United States v. Ricardo-Delgado	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.txsb.434105				Ricardo McDonald	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.moeb.365399				Ricardo Morales	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.nyeb.426471				Corey Ricardo Sage	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.txnb.480757				Ricardo P. Cantu and Blanche v. Cantu	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.txsb.431128				Ricardo Ramirez, Jr	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.txeb.183814				Manuel Armando Ricardo	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.wawb.661691				Ricardo Ruiz Hernandez and Janeen Sunshine Ruiz	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.vaeb.690742				Ricardo Ramos	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.wieb.405453				Ricardo Gonzalez and Maria Christina Meza Morquecho	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.ilcb.144312				Ricardo Silverio Martinez	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.wieb.412187				Ricardo R. McClain	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.txnb.436824				Ricardo Palacios	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.txnb.483443				Ricardo Quintana and Maria Romelia Mendiola	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.pamb.267836				Ricardo Marlon King	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.wieb.374870				Ricardo Hernandez	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.cacb.1791210				Ricardo C. Ramirez	eng	usfederalcourts; USGovernmentDocuments; government-documents
gov.uscourts.wieb.409099				Ricardo Santiago	eng	usfederalcourts; USGovernmentDocuments; government-documents
336696-ricardo-lagos-senador-declaracion-intereses-2010	2012-04-16T00:00:00Z	2012		Ricardo Lagos Weber. Declaración de Intereses 2010	Portuguese	documentcloud
gov.uscourts.mab.485969				Ricardo Bernard	eng	usfederalcourts; USGovernmentDocuments; government-documents
BRes102102E	1887-01-01T00:00:00Z	1887	Ricardo, David, 1772-1823	Letters of David Ricardo to Thomas Robert Malthus : 1810-1823	eng	bibliotecauniversitariadesevilla; patron-library-collection; fav-dsa559library
rpemgrosso1845	1845-01-01T00:00:00Z	1845	Mato Grosso.Presidente da Província	Discurso recitado pelo exm. presidente da provincia de Matto-Grosso, Ricardo José Gomes Jardim, na abertura da sessão ordinaria da Assembléa Legislativa Provincial, em o 1o de març	por	memoriaestatisticadobrasil; brasiliana
ricardopalma0000jose	1965-01-01T00:00:00Z	1965	Jose Miguel Oviedo	Ricardo Palma	eng	internetarchivebooks; printdisabled; inlibrary
ricardoromerodib0000orti	1981-01-01T00:00:00Z	1981	Ortiz Monasterio, Luis, 1906-1990	Ricardo Romero, dibujante, 1903-1929	spa	internetarchivebooks; inlibrary; printdisabled
ricardo-garcia-uso-de-razon_202403	1995-01-01T00:00:00Z	1995	Ricardo García Damborronea	Ricardo García, Uso De Razón	spa	booksbylanguage_spanish; booksbylanguage
ricardo-j.-gomez-las-teorias-cientificas.-desarrollo-estructura-fundamentacion.-	1981-01-01T00:00:00Z	1981	Roberto Torretti	Ricardo J. Gomez, Las Teorias Cientificas. Desarrollo - Estructura - Fundamentacion. Tomo I. (Buenos Aires. El Coloquio, 1977), 422 pp., $18.00	eng	opensource; community
ricardo-castillo-ocho-preludios-para-piano_202008	2020-07-14T00:00:00Z	2020	Ricardo Castillo	RICARDO CASTILLO OCHO PRELUDIOS Para Piano	Spanish	booksbylanguage_spanish; booksbylanguage
