# numFound=907 rows=300 query=creator:"Rothschild" AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
throughshnkana00clarrich	1912-01-01T00:00:00Z	1912	Clark, Robert Sterling; Sowerby, Arthur de Carle, 1885-1954; Chepmell, Claude Herries, 1864-; Rothschild, Nathaniel Charles, 1877-1923; Hogg, Henry Roughton	Through Shên-kan; the account of the Clark expedition in north China, 1908-9	eng	cdl; americana; fav-geographyinitiative; fav-rishonlin
IA41546707_0030	1963-01-01T00:00:00Z	1963	Rothschild, Warda Toba	Über Längenmessungen der Desoxyribonucleinsäure	German	theses-and-dissertations; leiden-university
voyagedemlebaron03roth	1922-01-01T00:00:00Z	1922	Rothschild, Maurice, baron de, 1881-	Voyage de M. le baron Maurice de Rothschild en Éthiopie et en Afrique orientale anglaise (1904-1905) : résultats scientifiques : animaux articulés	fre	biodiversity
HandbookOfPreciousStones1903	1903-01-01T00:00:00Z	1903	Rothschild, Meyer D.	A hand-book of precious stones	eng	gialibrary; patron-library-collection; fav-silverwoodceramics
dersynagogalcul00davgoog	1870-01-01T00:00:00Z	1870	Rothschild (David)	Der Synagogal-cultus: In historisch-kritischer Entwickelung	German	americana
driscoll_bx_208_series_9_sheet_music_cover_040	1770-01-01T00:00:00Z	1770	McPhail, Lindsay, 1895-1965; Richmond, Eddie; Rothschild, Irving	Flag That Train (To Alabam)	English	newberry; fav-fomosexual
arxiv-0912.3023	2009-12-15T00:00:00Z	2009	E. Rivers; A. Markowitz; K. Pottschmidt; S. Roth; L. Barragán; F. Fürst; S. Suchy; I. Kreykenbohm; J. Wilms; R. Rothschild	A Comprehensive Spectral Analysis of the X-Ray Pulsar 4U 1907+09 from Two Observations with the Suzaku X-Ray Observatory	English	arxiv; journals
arxiv-1101.1545	2011-01-07T00:00:00Z	2011	Elizabeth Rivers; Alex Markowitz; Richard Rothschild	Spectral Survey of X-Ray Bright Active Galactic Nuclei from the Rossi X-ray Timing Explorer	English	arxiv; journals
arxiv-astro-ph0606639	2006-06-26T00:00:00Z	2006	Thomas W. J. Thompson; Richard E. Rothschild; John A. Tomsick	Geometrical Distance Determination using Type I X-ray Bursts	English	arxiv; journals
arxiv-math0008112	2000-08-15T00:00:00Z	2000	M. S. Baouendi; P. Ebenfelt; Linda Preiss Rothschild	Dynamics of the Segre varieties of a real submanifold in complex space	English	arxiv; journals
IA41547924_0094	1931-01-01T00:00:00Z	1931	Rothschild, Walter	Die sogenannten Ehescheidungsverträge	German	theses-and-dissertations; leiden-university
IA40153311_0235	1914-01-01T00:00:00Z	1914	Rothschild, Bernhard	Zur Frage des Arsenzoster.	German	theses-and-dissertations; lanemedicallibrary
easygourmet00iren	1977-01-01T00:00:00Z	1977	Irene Rothschild	easy gourmet	eng	internetarchivebooks; americana; inlibrary; printdisabled; fav-kevinsonline; fav-steffib
ladanseartistiqu0000bder	1949-01-01T00:00:00Z	1949	B. de Rothschild	La Danse Artistique aux USA Tendances Modernes		internetarchivebooks; printdisabled; inlibrary
gml-us1860-65-37-roths-ahwhe	1866-01-01T00:00:00Z	1866	Rothschild, Willy de, Lady.; Stackpole, Patrick M. Engraver.; Oakes. Engraver.; Hugo, Victor, 1802-1885. Lyricist.; Reed, Fanny. Dedicatee.; Schirmer, G. (Gustav), 1829-1893, publi	Ah! wherefore? = Si vous n'avez rien à  me dire : romance / la Baronne Willy de Rothschild paroles de Victor Hugo.		gaylordmusiclibrary; wustl; americana
histoiredelapos01rothgoog	1876-01-01T00:00:00Z	1876	Arthur de Rothschild	Histoire de la poste aux lettres et du timbre-poste depuis leurs origines jusqu'à nos jours	French	americana
histoiredelapos03rothgoog	1873-01-01T00:00:00Z	1873	Arthur de Rothschild	Histoire de la poste aux lettres depuis ses origines les plus anciennes ...	French	americana
india.history.resource.91960	1896-01-01T00:00:00Z	1896	Rothschild, Ferdinand baron	Personal Characteristics, from French History	eng	IndiaHistory; JaiGyan
gri_33125001113733	1884-01-01T00:00:00Z	1884	Rothschild, James, baron de, 1844-1881; Picot, Emile, 1844-1918	Catalogue des livres composant la bibliothèque de feu M.le baron James de Rothschild	fre	getty; americana; fav-pere432
gri_33125016183945	1901-01-01T00:00:00Z	1901	Rothschild, Nathaniel von, 1836-1905, photographer	Reise-Erinnerungen	ger	getty; americana; fav-altomentis; fav-emfalcone; fav-helgiklimov; fav-knyhy
rothschildonanti0000roth	1986-01-01T00:00:00Z	1986	Rothschild, Sigmund	Rothschild on antiques & collectibles : a practical guide to collecting	eng	internetarchivebooks; inlibrary; printdisabled; fav-artisanfan; fav-boatchoo; fav-brickenhallow; fav-jecko696; fav-pere432; fav-renlasode; openlibrary-d-ol
fertilization00roth	1956-01-01T00:00:00Z	1956	Rothschild, Nathaniel Mayer Victor Rothschild, Baron, 1910-	Fertilization	eng	biodiversity; MBLWHOI; blc; americana; fav-carl_leninger; fav-jginger1975; fav-m_nica_pinhal
bp_1980244	1876-01-01T00:00:00Z	1876	Rothschild, J. (Jules), 1838-1900	Musée entomologique illustré : histoire naturelle iconographique des insectes	fre	bpsc_madge; brucepeel; university_of_alberta_libraries; toronto; fav-altomentis; fav-lessismor3; fav-lokamata108; fav-phasmidia; fav-pyratox
bp_1980244-1	1876-01-01T00:00:00Z	1876	Rothschild, J. (Jules), 1838-1900	Musée entomologique illustré : histoire naturelle iconographique des insectes	fre	brucepeel; university_of_alberta_libraries; toronto; fav-bobsmithz; fav-emi974; fav-lessismor3; fav-lokamata108; fav-pyratox; fav-sasha_maksimova718
calajhs_001493	1950-01-01T00:00:00Z	1950	Rothschild, Otto	Organization chart, Federation of Jewish Welfare Organizations of Los Angeles, circa 1950	eng	jewish-hist-society-sc; californiarevealed; stream_only; americana
improbabilityofl0000roth_o0n7	2015-01-01T00:00:00Z	2015	Rothschild, Hannah, 1962- author	The improbability of love : a novel	eng	internetarchivebooks; printdisabled
cataloguedelivr01degoog	1884-01-01T00:00:00Z	1884	Rothschild, James, baron de, 1844-1881; Picot, Emile, 1844-1918	Catalogue de livres composant la bibliothéque de feu M. le baron James de Rothschild	fre	europeanlibraries; fav-pere432; fav-stefaniacecilia
randomvariables0000roth	1984-01-01T00:00:00Z	1984	Rothschild, Nathaniel Mayer Victor Rothschild, Baron, 1910-1990	Random variables	eng	internetarchivebooks; inlibrary; printdisabled; fav-mayer_el; fav-voracious_researcher_real_intellectual
luigiboccherinih0000germ_o4z4	1965-01-01T00:00:00Z	1965	Germaine de rothschild	Luigi boccherini his life and work	eng	internetarchivebooks; printdisabled; inlibrary
gri_33125001113741	1884-01-01T00:00:00Z	1884	Rothschild, James, baron de, 1844-1881; Picot, Emile, 1844-1918	Catalogue des livres composant la bibliothèque de feu M.le baron James de Rothschild	fre	getty; americana; fav-pere432
recueildeposies06rothgoog	1856-01-01T00:00:00Z	1856	Anatole de Montaiglon , Nathan James Édouard Rothschild, James de Rothschild	Recueil de poésies françoises des XVe et XVIe siècles	French	europeanlibraries
sculpturethrough000623mbp	1942-01-01T00:00:00Z	1942	LINCOLN ROTHSCHILD	SCULPTURE THROUGH THE AGES	eng	universallibrary; fav-artemisrose2002; fav-krishnaswamy
IA41533922_0864	1921-03-10T00:00:00Z	1921	Rothschild, Richard	Die wechselseitigen Beziehungen zwischen Allgemein- und Organerkrankungen und der Zahnkaries. unter besonderer Berücksichtigung ihres Einflusses auf die Entstehung und den Verlauf 	German	theses-and-dissertations; leiden-university
throughshnkana01clar	1912-01-01T00:00:00Z	1912	Clark, Robert Sterling; Chepmell, Claude Herries, 1864-; Hogg, Henry Roughton; Rothschild, Nathaniel Charles, 1877-1923; Sowerby, Arthur de Carle, 1885-1954	Through Shên-kan : the account of the Clark expedition in north China, 1908-9	eng	biodiversity; americana; fav-545s; fav-geographyinitiative; fav-hulanhai; fav-pbh211; fav-rceberwein; fav-shelby0726
innerlifeofempir0000roth_n6f3	2011-01-01T00:00:00Z	2011	Rothschild, Emma, 1948-	The inner life of empires : an eighteenth-century history	eng	internetarchivebooks; printdisabled; fav-alinso; fav-archive3001502; fav-avmo; fav-feurst; fav-hawkeye99; fav-pceb66; fav-user_29811
lemistreduvielt06rothgoog	1878-01-01T00:00:00Z	1878	Emile Picot, James Rothschild	Le Mistére du Viel Testament	fre	americana
lincolnmasterme02rothgoog	1906-01-01T00:00:00Z	1906	Rothschild, Alonzo, 1862-1915	Lincoln, master of men; a study in character	eng	americana
lincolnmasterofm00rothsc	1906-01-01T00:00:00Z	1906	Rothschild, Alonzo, 1862-1915	Lincoln, master of men : a study in character	eng	illinoishistoryandlincoln; university_of_illinois_urbana-champaign; americana
lincolnmaster00roths	1908-01-01T00:00:00Z	1908	Rothschild, Alonzo, 1862-1915. [from old catalog]	Lincoln, master of men; a study in character	eng	library_of_congress; americana; fav-j_glastonbury
lincolnmaster2243roth	1906-01-01T00:00:00Z	1906	Rothschild, Alonzo, 1862-1915	Lincoln, master of men : a study in character	eng	lincolncollection; americana
honestabestudy00rothrich	1917-01-01T00:00:00Z	1917	Rothschild, Alonzo, 1862-1915; Rothschild, John	"Honest Abe"; a study in integrity based on the early life of Abraham Lincoln	eng	cdl; americana; fav-katy_debasa806
IA41552318_0114	1906-01-01T00:00:00Z	1906	Rothschild, Julius	Die Beziehungen der Pachymeningitis fibrosa chronica externa zu den mit ihr in Zusammenhang gebrachten Erkrankungen.	German	theses-and-dissertations; leiden-university
