# numFound=615 rows=100 query=title:("mathematical theory of communication" OR "shannon 1948" OR "bell system technical journal" OR "shannon information") AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
systembelltechni2122amerrich	1922-01-01T00:00:00Z	1922	American Telephone and Telegraph Company	The Bell System technical journal	eng	prelinger_library; americana; patron-library-collection
bitsavers_BellSystemJV31N03195205_9411506	1952-05-01T00:00:00Z	1952		magazine :: Bell System Technical Journal :: BSTJ V31N03 195205	eng	bitsavers_bstj; bitsavers
bitsavers_BellSystemJV53N06197407_9345846	1974-07-01T00:00:00Z	1974		magazine :: Bell System Technical Journal :: BSTJ V53N06 197407	eng	bitsavers_bstj; bitsavers
bitsavers_BellSystemJV54N05197505_7854614	1975-05-01T00:00:00Z	1975		magazine :: Bell System Technical Journal :: BSTJ V54N05 197505	eng	bitsavers_bstj; bitsavers
bitsavers_BellSystemJV55N07197609_6577385	1976-09-01T00:00:00Z	1976		magazine :: Bell System Technical Journal :: BSTJ V55N07 197609	eng	bitsavers_bstj; bitsavers
bitsavers_BellSystemJV39N02196003_7034335	1960-03-01T00:00:00Z	1960		magazine :: Bell System Technical Journal :: BSTJ V39N02 196003	eng	bitsavers_bstj; bitsavers
bitsavers_BellSystemJV39N03196005_13774783	1960-05-01T00:00:00Z	1960		magazine :: Bell System Technical Journal :: BSTJ V39N03 196005	eng	bitsavers_bstj; bitsavers
bitsavers_BellSystemJV46N04196704_6114655	1967-04-01T00:00:00Z	1967		magazine :: Bell System Technical Journal :: BSTJ V46N04 196704	eng	bitsavers_bstj; bitsavers
bitsavers_BellSystemJV49N07197009_18179045	1970-09-01T00:00:00Z	1970		magazine :: Bell System Technical Journal :: BSTJ V49N07 197009	eng	bitsavers_bstj; bitsavers
bitsavers_BellSystemJV62N10198312Part2_7069827				magazine :: Bell System Technical Journal :: BSTJ V62N10 198312 Part 2	eng	bitsavers_bstj; bitsavers
bitsavers_BellSystemJV58N06197907Part2_8995200				magazine :: Bell System Technical Journal :: BSTJ V58N06 197907 Part 2	eng	bitsavers_bstj; bitsavers
bwb_S0-BSU-636	1949-01-01T00:00:00Z	1949	Claude E. Shannon ,Warren Weaver	The mathematical theory of communication	eng	internetarchivebooks; printdisabled; inlibrary; fav-charles_meissner
sim_att-technical-journal_1967_46_index	1967-01-01T00:00:00Z	1967		The Bell System Technical Journal 1967: Vol 46 Index	English	pub_att-technical-journal; sim_microfilm; periodicals
sim_att-technical-journal_1970_49_index_0	1970-01-01T00:00:00Z	1970		The Bell System Technical Journal 1970: Vol 49 Index	English	pub_att-technical-journal; sim_microfilm; periodicals
