# numFound=11 rows=11 query=title:(turing) AND creator:(turing) AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
alan-turing-yaglom-trakhtenbrot-vensel-solodovnikov-nouvelles-orientations-des-m	2023-01-01T00:00:00Z	2023	Turing, Alan	Alan Turing Yaglom, Trakhtenbrot, Vensel, Solodovnikov Nouvelles Orientations Des Mathématiques Mir 1975	fre	booksbylanguage_french; booksbylanguage
alanmturing0000turi_z0y2	2012-01-01T00:00:00Z	2012	Turing, Sara, 1881-1976	Alan M. Turing	eng	internetarchivebooks; printdisabled; fav-andy_heitmann691; fav-arch0172; fav-conail; fav-erdteil; fav-kit_holmboe; fav-raiden_artworks; fav-ryan_vallo; fav-teojog; fav-weerosie3184
alan-turing-et-per-martin-lof-fondements-de-linformatique-logique-modeles-et-cal	2023-01-01T00:00:00Z	2023	Turing, Alan	Alan Turing Et Per Martin Lof Fondements De L’informatique Logique, Modèles, Et Calculs Cours INF 423 De L’ Ecole Polytechnique Olivier Bournez Version Du 20 Septembre 2013 Poly Go	fre	booksbylanguage_french; booksbylanguage; fav-benoit_fuleran
alan-turing-and-kurt-godel-logic-for-computer-science-foundations-of-automatic-t	2023-01-01T00:00:00Z	2023	Turing, Alan	Alan Turing And Kurt Godel Logic For Computer Science Foundations Of Automatic Theorem Proving Copyright 2003, Jean H. Gallier Logic Gallier	eng	opensource; fav-mirrshad
bim_eighteenth-century_answers-for-james-turing_turing-james-merchant-_1767	1767-01-01T00:00:00Z	1767	Turing, James, merchant in Middleburgh.	Answers for James Turing merchant in Middleburgh, and John Watson writer in Edinburgh, his trustee, to the petition of James Lindsay merchant in Dysart, and David Thomson merchant 	English	pub_eighteenth-century; bim_microfilm; microfilm
Turing1936OnCumputableNumbers	1936-01-01T00:00:00Z	1936	Alan Turing	Turing 1936 On Cumputable Numbers	eng	scholarworkspaces; community; fav-archive_rooke; fav-botellitadejerez; fav-dingua; fav-edo9k; fav-steven_paley552; fav-user532593
alan-turing.-the-chemical-basis-of-morphogenesis	2023-12-29T00:00:00Z	2023	Alan Turing	Alan Turing. The Chemical Basis Of Morphogenesis	eng	opensource; fav-jdpeterman; fav-mehrheit
alan-turing-et-godel-kurt-algebre-cours-de-mathematiques-premiere-annee-exo-7-livre-algebre-1	2023-01-01T00:00:00Z	2023	Turing, Alan	Alan Turing Et Godel Kurt ALGEBRE COURS DE MATHEMATIQUES PREMIERE ANNEE Exo 7 Livre Algebre 1	fre	booksbylanguage_french; booksbylanguage; fav-laichar
alanmturing0000turi	2012-01-01T00:00:00Z	2012	Turing, Sara, 1881-1976	Alan M. Turing	eng	internetarchivebooks; printdisabled; fav-artursz; fav-conail; fav-icactus; fav-ked2015; fav-marie034; fav-shuvodip_das_himu; binghamton-ol; dartmouthlibrary-ol; gwulibraries-ol; ma
profalanturingde0000turi	2015-01-01T00:00:00Z	2015	Turing, Dermot, author	Prof : Alan Turing decoded	eng	internetarchivebooks; inlibrary; printdisabled; fav-_loch_ness_; fav-adyjayaputro; fav-ahbrick820; fav-andy_heitmann133; fav-andy_heitmann691; fav-casal58; fav-cgay88; fav-charlie7
alanturingcodebr0000turi	2017-01-01T00:00:00Z	2017	Turing	Alan turing codebreakers puzzle book	eng	internetarchivebooks; printdisabled; inlibrary; fav-andy_heitmann691; fav-cindyjo_fryer; fav-conail; fav-german_festey; fav-jennxenon; fav-jkdanonymoushouse; fav-marinru; fav-my_ut
