# numFound=120 rows=120 query=title:(Veblen) AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
bwb_Y0-DBF-291	1950-01-01T00:00:00Z	1950	Max Lerner	The Portable Veblen		internetarchivebooks; printdisabled; inlibrary; fav-kobathedread
thorsteinveblenc0000doug	1958-01-01T00:00:00Z	1958	douglas f. dowd	thorstein veblen: a critical reappraisal	eng	internetarchivebooks; printdisabled; inlibrary
thorsteinveblenc0000dowd	1977-01-01T00:00:00Z	1977	Dowd, Douglas Fitzgerald, 1919- ed	Thorstein Veblen, a critical reappraisal : lectures and essays commemorating the hundredth anniversary of Veblen's birth	eng	internetarchivebooks; inlibrary; printdisabled
thorsteinveblenb0000unse	1953-01-01T00:00:00Z	1953	David Riesman	Thorstein Veblen by Riesman, David (1995) Paperback	eng	internetarchivebooks; printdisabled; inlibrary
thorsteinveblenc0000unse_u6d3	1960-01-01T00:00:00Z	1960		Thorstein Veblen a Critical Interpretation	eng	internetarchivebooks; inlibrary; printdisabled
veblen0000hobs	1990-01-01T00:00:00Z	1990	Hobson, J. A. (John Atkinson), 1858-1940	Veblen	eng	internetarchivebooks; inlibrary; printdisabled; fav-douglas_kayse; fav-neval763; binghamton-ol
tayloredlivesnar0000bant	1993-01-01T00:00:00Z	1993	Banta, Martha	Taylored lives : narrative productions in the age of Taylor, Veblen, and Ford	eng	trent_university; internetarchivebooks; inlibrary; printdisabled; fav-b_b113; fav-bleumerle; fav-bleupenter; fav-dok_game_view; fav-fbeghini; fav-gone_to_persia; fav-heloizamonte; 
thorsteinveblen0000unse_n8h1	1960-01-01T00:00:00Z	1960		thorstein veblen	eng	internetarchivebooks; inlibrary; printdisabled
thorsteinveblenv0000jorg	1999-01-01T00:00:00Z	1999	Jorgensen, Elizabeth Watkins	Thorstein Veblen : Victorian firebrand	eng	internetarchivebooks; printdisabled; fav-garciliro; fav-neval763; americanuniversity-ol; binghamton-ol; dartmouthlibrary-ol; gwulibraries-ol; johnshopkins-ol; marymount-ol; riceuni
vebleninperspect0000edge	2001-01-01T00:00:00Z	2001	Edgell, Stephen	Veblen in perspective : his life and thought	eng	internetarchivebooks; printdisabled; fav-neval763
thorsteinveblent0000digg	1999-01-01T00:00:00Z	1999	Diggins, John P	Thorstein Veblen : theorist of the leisure class	eng	internetarchivebooks; printdisabled; fav-bsarchive1; fav-caglarnursah; fav-ultimav; belmont-ol; gwulibraries-ol; johnshopkins-ol; uni-ol
portableveblenno0000mcke_n9v5	2016-01-01T00:00:00Z	2016	McKenzie, Elizabeth, 1958- author	The portable Veblen : a novel	eng	internetarchivebooks; printdisabled; fav-bsarchive1; fav-shelley_whitaker
bwb_Y0-BXV-291	1964-01-01T00:00:00Z	1964	Douglas F. Dowd	Thorstein Veblen	eng	internetarchivebooks; printdisabled; inlibrary
ThorsteinVeblenATeoriaDaClasseOciosa1965	2019-04-12T00:00:00Z	2019	José Octavio Dettmann	Thorstein Veblen - A Teoria Da Classe Ociosa (1965)	por	booksbylanguage_portuguese; booksbylanguage; fav-douglas_kayse; fav-edson_fernandes; fav-kleber_manoel; fav-lucas_wohl; fav-rgalmeida1
