# numFound=11 rows=11 query=creator:"von Neumann, John" AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
theoryofgameseco00vonn	1953-01-01T00:00:00Z	1953	Von Neumann, John, 1903-1957; Morgenstern, Oskar, 1902-1977	Theory of games and economic behavior	eng	internetarchivebooks; americana; printdisabled; fav-airpolack; fav-aleiro; fav-alex3_14159; fav-alexrpaul; fav-andkor; fav-angela713; fav-ashkrit_sharma; fav-ballwall12; fav-bengi7
theoryofselfrepr00vonn_0	1966-01-01T00:00:00Z	1966	Von Neumann, John, 1903-1957; Burks, Arthur W. (Arthur Walter), 1915-2008	Theory of self-reproducing automata	eng	university_of_illinois_urbana-champaign; americana; fav-16807; fav-_rgb; fav-abrownha; fav-adam_k340; fav-antonioprieto; fav-arashsadri; fav-arisbe_a_guess_at_the_riddle; fav-arist
theoryofselfrepr0000vonn_x7g0	1966-01-01T00:00:00Z	1966	Von Neumann, John, 1903-1957	Theory of self-reproducing automata	eng	internetarchivebooks; printdisabled; inlibrary; fav-mbucu_mbucu; fav-trrrrtttktkttrr
continuousgeomet0000vonn	1998-01-01T00:00:00Z	1998	Von Neumann, John, 1903-1957	Continuous geometry	eng	trent_university; internetarchivebooks; printdisabled; fav-bengi7878; fav-bsherman26; fav-cloudburst2; fav-halk3n; fav-nicholas_n; fav-rakshith_v5846; fav-swarup_dey; fav-thefilozo
20200901-vN_First_Draft_Report_EDVAC_Moore_Sch_1945	1945-06-30T00:00:00Z	1945	Von Neumann, John, 1903-1957	First draft of a report on the EDVAC	eng	opensource; community; fav-artechnologue; fav-chris_ssss; fav-edward_soper; fav-p_o_s; fav-sky357; fav-szarka; fav-vmlkzw9haxjs; fav-zaziemetro
mathematicalfoun0613vonn	1955-01-01T00:00:00Z	1955	Von Neumann, John, 1903-1957	Mathematical foundations of quantum mechanics	eng; ger	trent_university; internetarchivebooks; printdisabled; fav-418283142; fav-8jtxumapmemrkmt; fav-abdullah_saba; fav-ajay_agarwal945; fav-alex3_14159; fav-aneczka15; fav-antonioprieto
computerbrain0000vonn	2000-01-01T00:00:00Z	2000	Von Neumann, John, 1903-1957	The computer and the brain	eng	trent_university; internetarchivebooks; printdisabled; fav-1g2th3; fav-bengi7878; fav-cevikmac; fav-conail; fav-gregourious; fav-hypercube8; fav-industrial; fav-jastor; fav-jkdanon
firstdraftofrepo00vonn	1945-01-01T00:00:00Z	1945	Von Neumann, John, 1903-1957; Alexander, Samuel N., 1910-1967, former owner. DSI; United States. National Bureau of Standards, former owner. DSI; United States. Army. Ordnance Dept	First draft of a report on the EDVAC	eng	smithsonian; fav-alexander_a_nazarenko; fav-anaxagoras12; fav-banelyxxx; fav-chris_ssss; fav-conail; fav-cw2323; fav-edward_soper; fav-hypercube8; fav-indicium172; fav-jastor; fav-
computerbrain00vonn	1958-01-01T00:00:00Z	1958	Von Neumann, John, 1903-1957	The computer and the brain	eng	internetarchivebooks; americana; printdisabled; fav-abdullah_saba; fav-andrey_safronov; fav-antonioprieto; fav-archive_archivearchive; fav-bi_ko_bbm; fav-bsherman26; fav-chezo; fav
papersofjohnvonn00vonn	1987-01-01T00:00:00Z	1987	Von Neumann, John; Aspray, William, editor; Burks, Arthur W. (Arthur Walter), 1915-2008, editor	Papers of John von Neumann on computing and computer theory	eng	mitpress; americana; inlibrary; printdisabled; fav-38djaj3jnl3jn383810zzr; fav-abdul_fattah398; fav-akhilgarapati; fav-albertobalsam50020618; fav-anchee; fav-andy765422; fav-anothe
mathematischegru0000vonn	1943-01-01T00:00:00Z	1943	Von Neumann, John, 1903-1957	Mathematische Grundlagen der Quantenmechanik	ger	trent_university; internetarchivebooks; inlibrary; printdisabled; fav-bengi7878; fav-donnaspecter; fav-heathcote-inegi; fav-hypercube8; fav-indicium172; fav-jkdanonymoushouse; fav-
