identifier	date	year	creator	title	language	collection
architectureofap0001pall	1721-01-01T00:00:00Z	1721	Palladio, Andrea, 1508-1580; Leoni, Giacomo, approximately 1686-1746, editor; Dubois, Nicholas, approximately 16665-1735, translator	The architecture of A. Palladio in four books : containing a short treatise of the five orders, and the most necessary observations concerning all sorts of building; as also the di	English	oberlinartlibrary; oberlincollegelibrary; americana; globallibraries; fav-19omhs72; fav-alinso; fav-celeste75
mma_the_architecture_of_a_palladio_in_four_books_containing_a_short_treatise_on_348912	1715-01-01T00:00:00Z	1715	Bernard Picart; Andrea Palladio; James [Giacomo] Leoni; John Harris, the elder; Michael Vandergucht; John Watts; Nicholas DuBois	The Architecture of A. Palladio in Four Books containing a Short Treatise on the Five Orders		metropolitanmuseumofart-gallery; fav-africape; fav-akmck; fav-alessandro_nuzzo; fav-mspiggy55
bim_eighteenth-century_quattro-libri-dell-arc_palladio-andrea_1735	1735-01-01T00:00:00Z	1735	Palladio, Andrea	[Quattro libri dell' architettura. English]. Andrea Palladio's Architecture, in four books containing a dissertation on the five orders & ye most necessary observations relating to	English	pub_eighteenth-century; bim_microfilm; microfilm; fav-smith111
bim_eighteenth-century_the-architecture-of-a-p_palladio-andrea_1715_3	1715-01-01T00:00:00Z	1715	Palladio, Andrea	The architecture of A. Palladio; in four books. Containing, a short treatise of the five orders, and the most necessary observations concerning all sorts of building, ... Revis'd, 	English	pub_eighteenth-century; bim_microfilm; microfilm
bim_eighteenth-century_the-architecture-of-a-p_palladio-andrea_1721_2	1721-01-01T00:00:00Z	1721	Palladio, Andrea	The architecture of A. Palladio; in four books. Containing a short treatise of the five orders, and ... observations concerning all sorts of building; as also the different constru	English	pub_eighteenth-century; bim_microfilm; microfilm
bim_eighteenth-century_the-architecture-of-a-p_palladio-andrea_1742_2	1742-01-01T00:00:00Z	1742	Palladio, Andrea	The architecture of A. Palladio; in four books. Containing a short treatise of the five orders, and ... observations concerning all sorts of building: as also the different constru	English	pub_eighteenth-century; bim_microfilm; microfilm; fav-jazmin_haro_t
gri_33125011569684	1738-01-01T00:00:00Z	1738	Palladio, Andrea, 1508-1580	The four books of architecture	eng	getty; americana; fav-19omhs72; fav-2025reader265; fav-aengusrae; fav-aj_iba_ez; fav-aleksanderhamid; fav-andrea_cu_un_e; fav-annemichelle; fav-av_iid; fav-baal_apos_s_grace; fav-b
architectureofapvol2pall	1721-01-01T00:00:00Z	1721	Palladio, Andrea, 1508-1580; Leoni, Giacomo, approximately 1686-1746, editor; Dubois, Nicholas, approximately 1665-1735, translator	The architecture of A. Palladio in four books : containing a short treatise of the five orders, and the most necessary observations concerning all sorts of building; as also the di	English	oberlinartlibrary; oberlincollegelibrary; americana; globallibraries; fav-19omhs72; fav-deserto10; fav-laparisi65
gri_33125008860922	1742-01-01T00:00:00Z	1742	Palladio, Andrea, 1508-1580	The architecture of A. Palladio, in four books : containing a short treatise of the five orders, and the most necessary observations concerning all sorts of building : as also the 	eng	getty; americana; fav-19omhs72; fav-b_nanton; fav-dat_quoc833; fav-deserto10; fav-dradax; fav-eighth_jackal; fav-emiliano_jim_nez; fav-erivaldo_gabriel; fav-freebird13; fav-ggoniem
thingiverse-3908282	2019-10-10T00:00:00Z	2019	CNC Models (cncmodels4you)	animal head collection (For CNC and Remixes, any use) (3908282)		thingiverse; fav-artevious; fav-d_c385
