# numFound=13 rows=13 query=creator:"Aristotle" AND title:(life OR biography)
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
politicseconomic00arisrich	1876-01-01T00:00:00Z	1876	Aristotle; Gillies, John, 1747-1836; Walford, Edward, 1823-1897	The Politics and Economics of Aristotle : translated, with notes, original and selected, and analyses, to which are prefixed an introductory essay and a life of Aristotle by Dr. Gi	eng; grc	cdl; americana; fav-aristo25; fav-clavius; fav-dong_a_shin; fav-erickomar25; fav-erivaldo_gabriel; fav-hatsumomo; fav-mjuninn; fav-sjpp; fav-sleast
bim_eighteenth-century_aristotles-ethics-and-p_aristotle_1797_1	1797-01-01T00:00:00Z	1797	Aristotle	Aristotle's Ethics and Politics, comprising his practical philosophy, translated from the Greek. Illustrated by introductions and notes; the critical history of his life; and a new	English	pub_eighteenth-century; bim_microfilm; microfilm; fav-hania702
AristotlesPsychologyATreatiseOnThePrincipleOfLifedeAnimaAndParva	1902-01-01T00:00:00Z	1902	Aristotle	Aristotle's psychology; a treatise on the principle of life (De anima and Parva naturalia)	English	OhioStateUniversityLibrary; americana; fav-21_saint; fav-eveepretty
anaccountlifean00hallgoog	1878-01-01T00:00:00Z	1878	James Spedding , Aristotle, Octavius Freire Owen, Porphyry , Ralph Waldo Emerson , Henry Thornton Craven , William Brough , Andrew Halliday	An Account of the Life and Times of Francis Bacon: Extracted from the Edition of His Occasional ...	English	americana
bim_eighteenth-century_aristotles-ethics-and-p_aristotle_1797_2	1797-01-01T00:00:00Z	1797	Aristotle	Aristotle's Ethics and Politics, comprising his practical philosophy, translated from the Greek. Illustrated by introductions and notes; the critical history of his life; and a new	English	pub_eighteenth-century; bim_microfilm; microfilm
cu31924064123320	1897-01-01T00:00:00Z	1897	Aristotle	Aristotle on youth & old age, life & death and respiration	gre; eng	cornell; americana; fav-haci_etinkaya; fav-lucke133
aristotlespoliti0000unse	1876-01-01T00:00:00Z	1876	Aristotle	The politics and economics of Aristotle : translated, with notes, original and selected, and analyses, to which are prefixed an introductory essay and a life of Aristotle by Dr. Gi	eng	internetarchivebooks; fav-eligere34; fav-sjpp
cu31924028995807	1902-01-01T00:00:00Z	1902	Aristotle	Aristotle's psychology, a treatise on the principle of life (De anima and Parva naturalia)	eng	cornell; americana; fav-david_montblanc; fav-kether_hassan; fav-ma_jacinta_gomez_de_la_torre; fav-psychnstatstutor; fav-uri_aurora_87
b21782647	1897-01-01T00:00:00Z	1897	Aristotle. n 79004182; Ogle, William, 1827-1912; Aristotle. De vita et morte; Aristotle. De respiratione; Aristotle. Parva naturalia	Aristotle on youth & old age, life & death and respiration	eng	wellcomelibrary; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary; fav-geo_hardy; fav-haci_etinkaya
aristotlespsycho00aris	1902-01-01T00:00:00Z	1902	Aristotle; Hammond, William Alexander, 1861-1938	Aristotles psychology ; a treatise on the principles of life (De anima and Parva naturalia)	eng	mugar; blc; americana; bostonuniversitylibraries; fav-alib; fav-bill_kearns; fav-clavius; fav-jdrgp2; fav-personal_mail288; fav-retiredscholar; fav-wandering_observer
aristotlespsycho00arisuoft	1902-01-01T00:00:00Z	1902	Aristotle; Hammond, William Alexander, 1861-1938	Aristotle's psychology; a treatise on the principles of life (De anima and Parva naturalia) Tr. with introduction and notes	eng	robarts; toronto; university_of_toronto; fav-evethc
aristotleonyouth00aris	1897-01-01T00:00:00Z	1897	Aristotle; Ogle, W	Aristotle on youth & old age, life & death and respiration	gre; eng	cdl; americana; fav-gaultierdeleau; fav-jmb214; fav-montejohnson; fav-samiam39
aristotlespsycho01aris	1902-01-01T00:00:00Z	1902	Aristotle; Hammond, William A. (William Alexander), 1861-1938, tr	Aristotle's psychology [microform]; a treatise on the principle of life (De anima and Parva naturalia)	eng	ColumbiaUniversityLibraries; microfilm; americana
