# numFound=1872 rows=400 query=creator:"Aristotle"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
htcbe7bkbat0rhf5he1ly9llxxfdssrenwwlefbz			De Anima by Aristotle (384 BCE - 322 BCE)	Book III Chapters 4-9		podcasts_mirror_bobarchives; podcasts_mirror
8jrnhshnheuqf2ihf2hgmzr8spfohhcxsvdqlque			Constitution of Athens, The by Aristotle (384 BCE - 322 BCE)	02 - Chapters 13-21 (Text 20)		podcasts_mirror_bobarchives; podcasts_mirror
CATEGORIES_277			ARISTOTLE	CATEGORIES		opensource; community
MSLat038_2	1275-01-01T00:00:00Z	1275	Aristotle	MS Lat 038, Organon, or logical treatises	lat	ds-legacy-data; folkscanomy_historical_texts; folkscanomy; fav-pere432
MSLat039_2	1300-01-01T00:00:00Z	1300	Aristotle	MS Lat 039, Politica...	lat	ds-legacy-data; folkscanomy_historical_texts; folkscanomy; fav-jamesstepsr; fav-pere432
thingiverse-3054934	2018-08-17T00:00:00Z	2018	Aristotle Allen (BitRacer)	sintron-y-tensioner (3054934)		thingiverse
themistiiparaph02arisgoog	1866-01-01T00:00:00Z	1866	Themistius; Aristotle; Spengel, Leonhard von, 1803-1880	Paraphrase Aristotelis librorum quae supersunt	lat; grc	americana; fav-gabriel_jaloto
india.history.resource.110879	1893-01-01T00:00:00Z	1893	Aristotle; Sandy’s, John Edwin	Aristotle’s Constitution of Athens, a revised text with an introduction critical and explanatory notes testimonia and indices	eng; grc	IndiaHistory; JaiGyan
worksaristotle06arisgoog	1908-01-01T00:00:00Z	1908	Aristotle; Ross, W. D. (William David), 1877-1971, ed; Smith, J. A. (John Alexander), 1863-1939, joint ed	The works of Aristotle	eng; grc	americana; fav-james_derryberry; fav-khegan; fav-tomas_alemany
workstranslatedi04arisuoft	1908-01-01T00:00:00Z	1908	Aristotle; Ross, W. D. (William David), 1877-; Smith, J. A. (John Alexander), 1863-1939	Works. Translated into English under the editorship of W.D. Ross	eng	robarts; toronto; university_of_toronto; fav-james_derryberry; fav-jamesstepsr; fav-jdrgp2; fav-obadiahministries777; fav-palebot
dasbuchzdermeta00arisgoog	1863-01-01T00:00:00Z	1863	Aristotle	Das buch Z der Metaphysik	German	americana
poeticskinglear0000aris	1966-01-01T00:00:00Z	1966	Aristotle - Shakespeare	Poetics - King Lear	eng	internetarchivebooks; printdisabled; inlibrary
