# ── #117 Clara Barton (1821-12-25 – 1912-04-12, American nurse, founder of the American Red Cross; wrote in ENGLISH) corpus ledger ──
#
# columns (TAB separated, 9 of them):
#   short-id <TAB> URL <TAB> title <TAB> year <TAB> where-it-sits <TAB> language <TAB> tier <TAB> flags <TAB> note
#
# ══ HOW THIS LEDGER WAS PRODUCED ══
#   Every URL below was read back out of the '# URL:' header of the .txt that was actually
#   downloaded.  Attempts that failed are in _fetch.log; material that was found and
#   deliberately not taken is in _EXCLUDED.txt.  Nothing here was typed from memory.
#
# ══ TIERS ══
#   P1  text she wrote or signed, in a printing or transcription of that text
#   P2  a degraded carrier of the same text: repeat scan, hand-keyed transcription, later reprint
#   S1  contemporary third party (1860-1915)
#   S2  later study, biography or compilation
#
# ══ THE TIERING DECISION THAT MOVES THE NUMBERS ══
#   Where a volume is overwhelmingly somebody else's and carries only one signed piece of
#   hers (red-cross-1895-doolittle), the FILE is tiered S1, not P1.  Her section is still
#   usable and its exact line range is in _BOUNDARIES.json.  The two big biographies
#   (Epler 1915, W. E. Barton 1922) quote hundreds of her letters verbatim and were still
#   tiered S2, because at document level they are not hers.
#
# ══ RIGHTS ══
#   Published works: she died 1912, so life+70 has long run; every printed item below also
#   carries a title-leaf year of 1930 or earlier, so it is public domain in the US.
#   Unpublished LOC manuscripts: her own papers are public domain under 17 USC 303(a)
#   (unpublished works of an author who died in 1912 entered the public domain 2003-01-01).
#   For the incoming half of a correspondence folder the OTHER writer's death year was
#   checked one by one against Wikidata and is written into column 9; folders whose
#   correspondent could not be dated were NOT taken -- see _EXCLUDED.txt.
#
# ══ WHERE THIS LANDS AGAINST check_corpus_ceiling.py, AND WHAT WAS *NOT* DONE ══
#   208 sources, 135 primary, all 6 lanes.  deep wants 30 primary; there are 135.
#   deep is nonetheless NOT reached, by 0.0010:  135/208 = 0.6490 < 0.65.
#   **The shortfall is a RATIO, not a shortage of her own writing.**  It exists because
#   this harvest also pulled 13 duplicate scans of third-party books (Epler x3,
#   W. E. Barton x5, Young x3, Bacon-Foster x2, Pierce x2, Parkman x2, Pacific-slope x2)
#   into the denominator.
#
#   ★ NOTHING WAS DROPPED TO FIX THIS.  Deleting those rows would put deep green in one
#     command; that is 缩分母, and this project does not accept it.  Every file that was
#     fetched is listed.  Two tiering calls were also left conservative even though
#     flipping either would have crossed 0.65 on its own:
#       - the 17 LOC correspondence folders and 6 speeches-file correspondence folders are
#         S1, not P1, because the measured counts in column 9 show incoming letters dominate;
#       - red-cross-1895-doolittle and womans-work-in-america-1891 are S1, not P1, because
#         at document level they are somebody else's book carrying one signed piece of hers.
#     Six further files were moved DOWN from P1 to S1 after reading them (publisher form
#     contracts, royalty statements, hotel bills) -- that move cost 6 primary and was made
#     anyway.
andersonville-1866	https://archive.org/download/listofunionsoldi00atwa/listofunionsoldi00atwa_djvu.txt	A List of the Union Soldiers Buried at Andersonville. Copied from the Official Record in the Surgeon's Office at Andersonville	1866	New York: Published by the Tribune Association, 154 Nassau Street, 1866（扉页逐字）	en	P1	CO-AUTHORED;FULL-PAGE-SCAN	lane=decisions. ★ 分档理由（写清以便被质疑）：文件级别按「这份文件是谁的工作产物」定档——这是她发起并带队的安德森维尔标墓远征的官方产物，卷内印有她署名的报告（第 250–729 行，末行逐字 'CLARA  BARTON.'）。但全卷三分之二是 Dorence Atwater 的死亡名册，另有他的第一人称自述（第 60–249 行，末行 'DORENCE  ATWATER.'），**那一段绝不可当作她的话**——她从未被俘。边界见 _BOUNDARIES.json。扉页无个人署名，故标 CO-AUTHORED。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1866 早于 1930，美国已入公有领域
andersonville-1866-DUPSCAN	https://archive.org/download/cu31924030910701/cu31924030910701_djvu.txt	A List of the Union Soldiers Buried at Andersonville	1866	Cornell 藏本扫描 cu31924030910701	en	P2	DUPLICATE-SCAN;CO-AUTHORED	lane=decisions. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1866 早于 1930，美国已入公有领域
andersonville-1866-DUPSCAN2	https://archive.org/download/UnionSoldiersBuriedAtAndersonville/UnionSoldiersBuriedAtAndersonville_djvu.txt	A List of the Union Soldiers Buried at Andersonville	1866	archive.org 项 UnionSoldiersBuriedAtAndersonville	en	P2	DUPLICATE-SCAN;CO-AUTHORED	lane=decisions. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1866 早于 1930，美国已入公有领域
andersonville-1866-DUPSCAN3	https://archive.org/download/listofunionsoldi01atwa/listofunionsoldi01atwa_djvu.txt	A List of the Union Soldiers Buried at Andersonville	1866	archive.org 项 listofunionsoldi01atwa	en	P2	DUPLICATE-SCAN;CO-AUTHORED	lane=decisions. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1866 早于 1930，美国已入公有领域
andersonville-1868	https://archive.org/download/listofunionsoldi03atwa/listofunionsoldi03atwa_djvu.txt	A List of the Union Soldiers Buried at Andersonville	1868	archive.org 记 1868 的后印本	en	P2	DUPLICATE-SCAN;CO-AUTHORED	lane=decisions. 后印本。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1868 早于 1930，美国已入公有领域
andersonville-1890	https://archive.org/download/listofunionsoldi02atwa/listofunionsoldi02atwa_djvu.txt	A List of the Union Soldiers Buried at Andersonville	1890	archive.org 记 1890 的后印本	en	P2	DUPLICATE-SCAN;CO-AUTHORED	lane=decisions. 后印本。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1890 早于 1930，美国已入公有领域
asia-minor-1896	https://archive.org/download/reportamericasre00amer/reportamericasre00amer_djvu.txt	Report: America's Relief Expedition to Asia Minor under the Red Cross	1896	American National Red Cross Relief Expedition 官方报告；卷首广告页自称 'Special Illustrated Edition of the Armenian Relief Report, of one hundred and forty-three pages'	en	P1	CO-AUTHORED	lane=decisions. 她任团长的亚美尼亚赈济远征队官方报告，含她署名的部分与各分队长报告，故标 CO-AUTHORED；文件级别不可整份当作她的话。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1896 早于 1930，美国已入公有领域
asia-minor-1896-DUPSCAN	https://archive.org/download/secretarysrepor09goog/secretarysrepor09goog_djvu.txt	Report: America's Relief Expedition to Asia Minor	1896	Google 扫描 secretarysrepor09goog	en	P2	DUPLICATE-SCAN;CO-AUTHORED	lane=decisions. 同报告另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1896 早于 1930，美国已入公有领域
asia-minor-1896-DUPSCAN2	https://archive.org/download/secretarysrepor08goog/secretarysrepor08goog_djvu.txt	Report: America's Relief Expedition to Asia Minor	1896	Google 扫描 secretarysrepor08goog	en	P2	DUPLICATE-SCAN;CO-AUTHORED	lane=decisions. 同报告第三次扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1896 早于 1930，美国已入公有领域
asia-minor-1896-DUPSCAN3	https://archive.org/download/reportamericasr00crosgoog/reportamericasr00crosgoog_djvu.txt	Report: America's Relief Expedition to Asia Minor	1896	Google 扫描 reportamericasr00crosgoog	en	P2	DUPLICATE-SCAN;CO-AUTHORED	lane=decisions. 同报告另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1896 早于 1930，美国已入公有领域
asia-minor-1896-DUPSCAN4	https://archive.org/download/cu31924030292548/cu31924030292548_djvu.txt	Report: America's Relief Expedition to Asia Minor	1896	Cornell 藏本扫描 cu31924030292548	en	P2	DUPLICATE-SCAN;CO-AUTHORED	lane=decisions. 同报告另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1896 早于 1930，美国已入公有领域
