# numFound=283 rows=200 query=(creator:"Bismarck, Otto" OR creator:"Bismarck-Schönhausen, Otto")
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
11166432bsb	1912-01-01T00:00:00Z	1912	Bismarck, Otto von	Vier Reden zur äußeren Politik. 4	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11635415bsb	1888-01-01T00:00:00Z	1888	Bismarck, Otto von	Ausgewählte Reden des Fürsten von Bismarck: mit einer biographischen Skizze, erläuternden Einleitungen und Anmerkungen, sowie einem Anhang, enthaltend Reden des Abgeordneten von Bi	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11635420bsb	1885-01-01T00:00:00Z	1885	Bismarck, Otto von	Fürst Bismarck als Redner: vollständige Sammlung der parlamentarischen Reden Bismarcks seit dem Jahre 1847. Sachlich und chronologisch geordnet mit Einleitungen und Erläuterungen v	German	german-online-libraries; booksbylanguage_german; booksbylanguage
diepolitischenr06unkngoog	1892-01-01T00:00:00Z	1892	Bismarck, Otto, Fürst von, 1815-1898; Kohl, Horst Ernst Arminius, 1855-1917, ed	Die politischen reden des fürsten Bismarck. Historischkritische gesammtausg.	ger	americana
diepolitischenr09bismgoog	1892-01-01T00:00:00Z	1892	Bismarck, Otto, Fürst von, 1815-1898	Die politischen Reden des Fürsten Bismarck. Historisch-kritische Gesamtausg.	ger	americana
dieredendesgraf00bismgoog	1870-01-01T00:00:00Z	1870	Bismarck, Otto von	Die Reden des Grafen von Bismarck-Schönhausen. Dritte Sammlung, 1869-1870	ger	europeanlibraries
bub_gb_QPUGAQAAIAAJ	1892-01-01T00:00:00Z	1892	Bismarck, Otto, Fürst von, 1815-1898; Kohl, Horst Ernst Arminius, 1855-1917, ed	Die politischen reden des fürsten Bismarck. Historischkritische gesammtausg.	ger	americana
bub_gb_-a0PAAAAQAAJ	1898-01-01T00:00:00Z	1898	Bismarck, Otto, Fürst von, 1815-1898; Poschinger, Heinrich, Ritter von, 1845-1911	Bismarck-Portefeuille	ger	europeanlibraries; fav-magnesamdal
bub_gb_JjsRAAAAYAAJ	1887-01-01T00:00:00Z	1887	Germany. Reichstag; Bismarck, Otto, Fürst von, 1815-1898; Moltke, Helmuth, Graf von, 1800-1891	Die Militär-vorlage im Deutschen Reichstage; eine sachgemässe Schilderung der Reichstags-Verhandlungen für das deutsche Volk	ger	americana
diepolitischenr02bismgoog	1892-01-01T00:00:00Z	1892	Bismarck, Otto, Fürst von, 1815-1898	Die politischen Reden des Fürsten Bismarck. Historisch-kritische Gesamtausg.	ger	americana
diepolitischenre02bismuoft	1892-01-01T00:00:00Z	1892	Bismarck, Otto, Fürst von, 1815-1898	Die politischen Reden;	ger	robarts; toronto; university_of_toronto
gedankenunderin00bism	1898-01-01T00:00:00Z	1898	Bismarck, Otto, Fürst von, 1815-1898; Kohl, Horst, 1855-1917	Gedanken und erinnerungen;	ger	cdl; americana; fav-czytelnik102; fav-ivan_markovic309; fav-pequeniosaltamontes; fav-sylvanis
bismarckmanstate01bism	1898-01-01T00:00:00Z	1898	Bismarck, Otto, Fürst von, 1815-1898	Bismarck, the man & the statesman; being the reflections and reminiscences of Otto, prince von Bismarck	eng	internetarchivebooks; americana; fav-adam_k340; fav-alaxi; fav-azkitty; fav-comegalletas2000; fav-elful_albastru_; fav-erivaldo_gabriel; fav-farmertre; fav-guisman_yosua_silitonga_
bismarckbriefe00bism	1898-01-01T00:00:00Z	1898	Bismarck, Otto, Fürst von, 1815-1898; Kohl, Horst, 1855-1917	Bismarckbriefe 1836-1873	ger	cdl; americana; fav-kimusch
furstbismarckna02penz	1897-01-01T00:00:00Z	1897	Penzler, Johannes, 1850-1909; Bismarck, Otto, Fürst von, 1815-1898	Fürst Bismarck nach seiner Entlassung : Leben und Politik des Fürsten seit seinem Scheiden aus dem Amte, auf Grund aller authentischen Kundgebungen	ger	cdl; americana
furstbismarckna06penz	1897-01-01T00:00:00Z	1897	Penzler, Johannes, 1850-1909; Bismarck, Otto, Fürst von, 1815-1898	Fürst Bismarck nach seiner Entlassung : Leben und Politik des Fürsten seit seinem Scheiden aus dem Amte, auf Grund aller authentischen Kundgebungen	ger	cdl; americana
30081009593132	1924-01-01T00:00:00Z	1924	Bismarck, Otto, Fürst von, 1815-1898	Die gesammelten Werke	ger	vanderbilt-university
30081009592993	1924-01-01T00:00:00Z	1924	Bismarck, Otto, Fürst von, 1815-1898	Die gesammelten Werke	ger	vanderbilt-university
30081009593009	1924-01-01T00:00:00Z	1924	Bismarck, Otto, Fürst von, 1815-1898	Die gesammelten Werke	ger	vanderbilt-university
30081009593090	1924-01-01T00:00:00Z	1924	Bismarck, Otto, Fürst von, 1815-1898	Die gesammelten Werke	ger	vanderbilt-university
kaiservsbismarck00bismuoft	1921-01-01T00:00:00Z	1921	Bismarck, Otto, Fürst von, 1815-1898	The Kaiser vs. Bismarck : suppressed letters by the Kaiser and new chapters from the autobiography of the Iron Chancellor	eng	robarts; toronto; university_of_toronto; fav-d_r_s; fav-xurdin
bub_gb_uWjTAAAAMAAJ	1907-01-01T00:00:00Z	1907	Wolf, Gustav; Bismarck, Otto Fürst von. asn	Bismarcks Lehrjahre	und	americana; fav-magnesamdal
bismarckbriefe00kohlgoog	1898-01-01T00:00:00Z	1898	Bismarck, Otto, Fürst von, 1815-1898	Bismarckbriefe 1836-1873	ger	americana; fav-gyorgyvasilyev
bub_gb_BbIPAAAAQAAJ	1898-01-01T00:00:00Z	1898	Bismarck, Otto, Fürst von, 1815-1898; Poschinger, Heinrich, Ritter von, 1845-1911	Bismarck-Portefeuille	ger	europeanlibraries; fav-magnesamdal
30081009593108	1924-01-01T00:00:00Z	1924	Bismarck, Otto, Fürst von, 1815-1898	Die gesammelten Werke	ger	vanderbilt-university
bub_gb_NjNDAQAAMAAJ	1898-01-01T00:00:00Z	1898	Bismarck, Otto, Fürst von, 1815-1898; Poschinger, Heinrich, Ritter von, 1845-1911	Bismarck-Portefeuille	ger	americana; fav-werner_ben_bosche_kohn; fav-zabbok
cu31924026407944	1899-01-01T00:00:00Z	1899	Bismarck, Otto, Fürst von, 1815-1898; Bulter, Arthur John, 1844-1910	Bismarck, the man & the statesman; being the reflection and reminiscences of Otto, prince von Bismarck, written and dictated by himself after his retirement from office	eng	cornell; americana; fav-12xie; fav-cooptriple; fav-rm131312717; fav-stuart_cannell; fav-tio_gabunia
11635426bsb	1889-01-01T00:00:00Z	1889	Bismarck, Otto von	Fürst Bismarck als Redner: vollständige Sammlung der parlamentarischen Reden Bismarcks seit dem Jahre 1847. Sachlich und chronologisch geordnet mit Einleitungen und Erläuterungen v	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11635427bsb	1889-01-01T00:00:00Z	1889	Bismarck, Otto von	Fürst Bismarck als Redner: vollständige Sammlung der parlamentarischen Reden Bismarcks seit dem Jahre 1847. Sachlich und chronologisch geordnet mit Einleitungen und Erläuterungen v	German	german-online-libraries; booksbylanguage_german; booksbylanguage
diepolitischenre10bismuoft	1892-01-01T00:00:00Z	1892	Bismarck, Otto, Fürst von, 1815-1898	Die politischen Reden;	ger	robarts; toronto; university_of_toronto
12028711bsb	1899-01-01T00:00:00Z	1899	Bismarck, Otto von	Bismarck the man and the statesman being The reflections and reminiscences of Otto Prince von Bismarck: written and dictated by himself after his retirement from office. Translated	English	german-online-libraries; booksbylanguage_german; booksbylanguage
vospominaniiamem0000bism	2001-01-01T00:00:00Z	2001	Bismarck, Otto, Fürst von, 1815-1898	Vospominanii͡a, memuary	rus	internetarchivebooks; inlibrary; printdisabled; fav-hadrianwasright
12028712bsb	1899-01-01T00:00:00Z	1899	Bismarck, Otto von	Mysli i vospominanija Ottona fon-Bismarka: [Bismarck] Priloženie "Russkaja Starina" 1899	German	german-online-libraries; booksbylanguage_german; booksbylanguage
