# numFound=50 合并自 creator:"Brandeis, Louis Dembitz"(41) + creator:"Brandeis, Louis D."(9)
identifier	date	year	creator	title	language	collection
consolidationofg00bran	1905-01-01T00:00:00Z	1905	Brandeis, Louis Dembitz, 1856-1941; Massachusetts. Board of Trade	Consolidation of gas companies and of electric light companies	eng	university_of_illinois_urbana-champaign; americana; fav-ian_bowen286; fav-redbull2k5
businessaprofes00poolgoog	1971-01-01T00:00:00Z	1971	Brandeis, Louis Dembitz, 1856-1941	Business: a profession	eng	americana
businessaprofes01poolgoog	1971-01-01T00:00:00Z	1971	Brandeis, Louis Dembitz, 1856-1941	Business: a profession	eng	americana
caseforshorterwo01franuoft	1916-01-01T00:00:00Z	1916	Frankfurter, Felix, 1882-1965; Oregon, defendant; Brandeis, Louis Dembitz, 1856-1941; Bunting, Franklin O., plaintiff; Goldmark, Josephine Clara, 1877-	The case for the shorter work day ... Franklin O. Bunting, plaintiff in error, vs. the State of Oregon, defendant in error. Brief for the defendant in error ... Felix Frankfurter o	eng	robarts; toronto; university_of_toronto; fav-cascadiarising
wordsofjusticebr00bran	1953-01-01T00:00:00Z	1953	Brandeis, Louis Dembitz, 1856-1941; Goldman, Solomon, 1893-1953, ed	The words of Justice Brandeis;	eng	internetarchivebooks; americana; inlibrary; printdisabled; fav-iconoclast753
familylettersofl0000bran	2002-01-01T00:00:00Z	2002	Brandeis, Louis Dembitz, 1856-1941	The family letters of Louis D. Brandeis	eng	internetarchivebooks; inlibrary; printdisabled
lettersoflouisdb01loui	1971-01-01T00:00:00Z	1971	Brandeis, Louis Dembitz, 1856-1941	Letters of Louis D. Brandeis	eng	internetarchivebooks; inlibrary; printdisabled; fav-rebec; americanuniversity-ol; barryuniversity-ol; binghamton-ol; cua-ol; dartmouthlibrary-ol; framingham-ol; georgetown-universi
agc3261.0001.001.umich.edu	1912-01-01T00:00:00Z	1912	Goldmark, Josephine, 1877-1950; Brandeis, Louis Dembitz, 1856-1941	Fatigue and efficiency; a study in industry	eng	michigan_books; americana
halfbrotherhalfs00bran	1991-01-01T00:00:00Z	1991	Brandeis, Louis Dembitz, 1856-1941; Frankfurter, Felix, 1882-1965; Urofsky, Melvin I; Levy, David W., 1937-	Half brother, half son : the letters of Louis D. Brandeis to Felix Frankfurter	eng	internetarchivebooks; inlibrary; printdisabled; fav-aaron404; fav-decote; fav-iconoclast753; fav-loopynet; fav-mmos; fav-rebec; fav-robertfarrellbx; fav-s_jkeoiqje; fav-stevexx; bi
cu31924082456439	1914-01-01T00:00:00Z	1914	Brandeis, Louis Dembitz, 1856-1941	Other people's money : and how the bankers use it	eng	cornell; americana; fav-asim_el_bey; fav-baron_secluna; fav-bbkang; fav-bookw0rm9820; fav-cheermoon; fav-iconoclast753; fav-lfpalson; fav-loopynet; fav-manikhe; fav-mchlvlnt76; fav
fatigueefficiency00gold	1912-01-01T00:00:00Z	1912	Goldmark, Josephine Clara, 1877-1950; Brandeis, Louis Dembitz, 1856-1941	Fatigue and efficiency; a study in industry	eng	cdl; americana; fav-babstar; fav-zoeannl
