# numFound=254 rows=200 query=title:(Brunel)
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
o204pwbeova6es7kzr90wt733cd4ndha3uj1cfak	2019-05-30T00:00:00Z	2019	Le Top du Super Moscato Show	RMC : 30/05 - Le Top du Super Moscato Show : Brunel, Galthie, Labit, Elissalde, va-t-il y avoir bagarre ?		podcasts_mirror_bobarchives; podcasts_mirror
unvoyageurdauph00revigoog	1880-01-01T00:00:00Z	1880	Charles Jules Revillout, Ch J Revillout	Un voyageur dauphinois resté inconnu, Antoine de Brunel, seigneur de St ...	French	americana
youtube-ye2cNV3XUrI	2024-01-24T00:00:00Z	2024	Ryan Dawson	Jean Luc Brunel Did K1ll Himself?		altcensored; fringe; deemphasize
b8q8hikuhujhuztuctpea80a4kdglphxv0rzx9ay	2014-12-03T00:00:00Z	2014	Mindalia.com-Salud,Espiritualidad,Conocimiento	Autoconstrucción de turbinas eólicas por Marie-Laura Brunel		podcasts_mirror_bobarchives; podcasts_mirror
youtube-Gfp_fjk9Fa8	2018-12-30T00:00:00Z	2018	librairie mollat	Dominique Brunel - Nez : la revue olfactive. n° 6		mirrortube; social-media-video; additional_collections_video; deemphasize
bwb_KU-684-310	1964-01-01T00:00:00Z	1964	L.T. C. Rolt	Isambard Kingdom Brunel: A Biography	eng	internetarchivebooks; printdisabled; inlibrary
littlebookofbrun0000jone	2013-01-01T00:00:00Z	2013	Jones, Robin, 1953- author	Little book of Brunel	eng	internetarchivebooks; inlibrary; printdisabled; fav-geniuswaitress
gmb-2015-117628	2015-12-09T00:00:00Z	2015	Nederlandse overheid; Dutch government; Kampen	Verleende omgevingsvergunning Brunel naast nr 27 in Kampen	dut	dutchgovernmentdocuments; government-documents
gmb-2015-20205	2015-03-11T00:00:00Z	2015	Nederlandse overheid; Dutch government; Almelo	Verleende omgevingsvergunning reguliere procedure, Van Lunterenstraat 55 t/m 61, 1435191, bouw 4 woningen (type Brunel XXL), 4 maart 2015	dut	dutchgovernmentdocuments; government-documents
bwb_KR-210-354	1958-01-01T00:00:00Z	1958	l.t.c. rolt	isambard kingdom brunel	eng	internetarchivebooks; printdisabled; inlibrary
ryandawson-dwz7CGm4bls	2020-08-18T00:00:00Z	2020	Ryan Dawson	"Jean Luc Brunel Found"		fringe; deemphasize
storyofbrunel00rolt	1968-01-01T00:00:00Z	1968	Rolt, L. T. C., 1910-1974	The story of Brunel	eng	internetarchivebooks; inlibrary; printdisabled
infootstepsofikb0000falc	2014-01-01T00:00:00Z	2014	Falconer, Jonathan, author	In the footsteps of I.K. Brunel	eng	internetarchivebooks; inlibrary; printdisabled; fav-ogrzech
organizingsocial0000brun	1980-01-01T00:00:00Z	1980	Brunel Social Services Unit	Organizing social services departments : further studies by the Brunel Social Services Unit	eng	internetarchivebooks; inlibrary; printdisabled
menofironbrunels0000duga	2003-01-01T00:00:00Z	2003	Dugan, Sally	Men of iron : Brunel, Stephenson and the inventions that shaped the modern work	eng	internetarchivebooks; inlibrary; printdisabled; universityofarizona-ol
lifeofisambardki0000brun	2004-01-01T00:00:00Z	2004	Brunel, Isambard	The life of Isambard Kingdom Brunel, civil engineer	eng	internetarchivebooks; inlibrary; printdisabled; fav-amplifydd; fav-marlab999; fav-ogrzech; fav-pasquale486
lifeofisambardki0000benn	2006-01-01T00:00:00Z	2006	Bennett, Leonie	The life of Isambard Kingdom Brunel	eng	internetarchivebooks; inlibrary; printdisabled; fav-marlab999
youtube-B7A83MQlYUE	2020-04-17T00:00:00Z	2020	Public Sénat	Sylvie Brunel demande une revalorisation des agriculteurs		mirrortube; social-media-video; additional_collections_video; deemphasize
free-stile-hands-free-footpath-gate	2024-05-27T00:00:00Z	2024	Lauren Payne, Accessible Gates Workshop	Hands-Free Accessible Footpath Gate (Free Stile) Product Design Undergraduate Major Project Report Brunel University	eng	opensource; fav-trang_v_461
osf-registrations-h8ctr-v1	2017-11-13T00:00:00Z	2017	Bianca de Haan; Justin O'Brien	Replication of Eskine et al. (2011) at Brunel University London		osf-registration-providers-osf-v1; osf-registrations; osf
