# numFound=192 rows=192 query=title:(Great Western Railway)
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
bwb_KT-301-644	1962-01-01T00:00:00Z	1962	o. s. nock	the great western railway	eng	internetarchivebooks; printdisabled; inlibrary
rtofchiefofburea00unit	1921-01-01T00:00:00Z	1921	United States.: Interstate Commerce Commission	Rt of the chief of the Bureau of safety covering the investigation of an accident which occurred on the Chicago great western railway near Wyeth, Mo., on January 3, 1920	eng	ufgdp; univ_florida_smathers; americana
gov.uscourts.cod.188270				Beatty Group LLC v. Great Western Railway of Colorado LLC	eng	usfederalcourts; USGovernmentDocuments; government-documents
statementofaccou00grea	1854-01-01T00:00:00Z	1854	Great Western Railway Company (Canada)	Statement of accounts and report of the directors of the Great Western railway of Canada	eng	queens_university; toronto
cihm_46998	1851-01-01T00:00:00Z	1851	Great Western Railway Company (Canada)	The Great Western Railway of Canada [microform] : proceedings of a convention of its American friends, held at Niagara Falls, on 5th and 6th May, 1851; with extract from report upo	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm
greatsouthernan00commgoog	1857-01-01T00:00:00Z	1857	Great Britain Parliament. House of Commons. Select Committee on Railways , Select Committee on Railways, Parliament , Great Britain, House of Commons	Great Southern and Western (of Ireland) Railway: Extension from Tullamore to ...	English	americana
cihm_45632	1861-01-01T00:00:00Z	1861	Great Western Railway Company (Canada)	Great Western Railway of Canada, and United States mail route [microform] : from Suspension Bridge, N.F., to Detroit, and branches from Hamilton to Toronto, from Komoka to Sarnia, 	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm; fav-pere432
cihm_50017	1863-01-01T00:00:00Z	1863	Great Western Railway Company (Canada)	Great Western Railway of Canada, and United States mail route [microform] : from Suspension Bridge, Niagara Falls to Detroit, and branches from Hamilton to Toronto, from Komoka to 	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm; fav-pere432
cihm_63718	1851-01-01T00:00:00Z	1851	Great Western Railway Company (Canada)	The Great Western Railway of Canada [microform] : condition of the subscription list, 1851	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm
cscrm_2021_01_000457			Beebe, Lucius, 1902-1966; Clegg, Charles, 1916-1979	Great Western Railway Company (Colo.) Freight train Colorado		californiastaterailroadmuseum; stream_only; beebe-clegg; americana; californiarevealed
reportofdirector00grea	1855-01-01T00:00:00Z	1855	Great Western Railway Company (Canada)	Report of the directors of the Great Western railway to the shareholdlers, upon the report made by the commission, appointed to enquire into certain accidents upon the G. W. R. Apr	eng	queens_university; toronto
dr_covers-to-chicago-and-grand-trunk-railway-in-connection-with-the-grand-tr-00914133	1887-01-01T00:00:00Z	1887	Chicago and Grand Trunk Railway Company; J.M.W. Jones Stationery and Printing Co.	(Covers to) Chicago and Grand Trunk Railway in connection with the Grand Trunk R'y of Canada including Great Western Division forming the Niagara Falls Air Line. Issued June 4th, 1		david-rumsey-map-collection
greatwesternrail0000unse_u4q8	1964-01-01T00:00:00Z	1964	O. S. Nock	The Great Western Railway in the 20th Century	eng	internetarchivebooks; printdisabled; inlibrary
historyofgreatw00seko	1895-01-01T00:00:00Z	1895	Sekon, G. A., 1867-	A history of the Great Western Railway; being the story of the broad gauge	eng	robarts; toronto; university_of_toronto; fav-tanyaj; fav-vitoballs
railwayeccentri00brungoog	1846-01-01T00:00:00Z	1846	Cole, Henry, 1808-1882	Railway eccentrics : inconsistencies of men of genius exemplified in the practice and precept of Isambard Kingdom Brunel, Esq., and in the theoretical opinions of Charles Alexander	eng	americana; fav-mattattack_nortzferatu
op1253100-1001	1894-01-01T00:00:00Z	1894		Contract, December 1892, with Glasgow and South Western Railway Company, Portpatrick and Wigtownshire Joint Committee, and Belfast and Northern Counties Railway Company for Mail Se	eng	britishparliamentarypublications; universityofsouthamptonlibrary; patron-library-collection
deedsofgreatrail00darriala	1920-01-01T00:00:00Z	1920	Darroch, G. R. S	Deeds of a great railway; a record of the enterprise and achievements of the London and north-western railway company during the great war	eng	cdl; americana; fav-cherchezlafemme; fav-scomoflopsy
greatwesternrail0000osno_f4p5	1964-01-01T00:00:00Z	1964	O. S. Nock	The great western railway	eng	internetarchivebooks; inlibrary; printdisabled; fav-caroper
summaryoftransac00unse	1853-01-01T00:00:00Z	1853		A summary of transactions relative to the proposed formation of a new and wide street, from the Terminus of the Midland Great Western Railway and the Kings Inns, to Richmond Bridge	eng	university_of_illinois_urbana-champaign; americana
the-great-southern-buy-back-thesis	2021-02-01T00:00:00Z	2021	Thomas Goode	The Great Southern buy-back: The Colony of Western Australia and the Great Southern Railway 1880-1897 thesis	eng	opensource
reportofdirecto00grea	1866-01-01T00:00:00Z	1866	Great Western Railway Company (Canada)	Report of the directors of the Great Western railway of Canada, for the half-year ending 31st July, 1866	eng	queens_university; toronto
planagreementfor00chicrich	1909-01-01T00:00:00Z	1909	Chicago Great Western Railroad Company; J.P. Morgan & Co	Plan and agreement for the reorganization of the Chicago Great Western railway company. Dated June 1, 1909	eng	cdl; americana; fav-spc77; fav-tangreen
greatwesternrail0000unse_q7z9	1995-01-01T00:00:00Z	1995	Patrcik Whitehouse ; David St. John Thomas	The Great Western Railway	eng	internetarchivebooks; printdisabled; fav-chloe_andrews827
historyofgreatwe0002etma	1964-01-01T00:00:00Z	1964	E.T. MacDermot; C.R. Clinker	History of the Great Western Railway	eng	internetarchivebooks; printdisabled; inlibrary; fav-foxyisinhell
historyofgreatwe00sekouoft	1895-01-01T00:00:00Z	1895	Sekon, G. A., 1867-	A history of the Great Western Railway; being the story of the broad gauge	eng	robarts; toronto; university_of_toronto; fav-ihamso; fav-j_m_briscoe; fav-vitoballs
dr_text-page-to-glacier-waterton-international-peace-park-issued-by-great-n-8206002	1952-01-01T00:00:00Z	1952	Great Northern Railway Company	(Text Page to) Glacier-Waterton International Peace Park. Issued by Great Nothern Railway. Copyright, Great Northern Railway Co. 1952, Printed in U.S.A. (Drawn by) Wessel. (cover t		david-rumsey-map-collection
cihm_33157	1869-01-01T00:00:00Z	1869	Great Western Railway Company (Canada); Howard, G. H., fl. 1869	Rules and regulations for the conduct of the traffic and for the guidance of the officers and men in the service of the Great Western Railway Company [microform]	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm; fav-mira_storm
cscrm_2021_01_000454			Beebe, Lucius, 1902-1966; Clegg, Charles, 1916-1979	Great Western Railway Company (Colo.) Locomotive No. 60 Colorado		californiastaterailroadmuseum; stream_only; beebe-clegg; americana; californiarevealed
greatwesternrail0000rode	2012-01-01T00:00:00Z	2012	Roden, Andrew	Great Western Railway : a history	eng	internetarchivebooks; printdisabled
reportsofcommiss00cana	1855-01-01T00:00:00Z	1855	Canada. Commissioners to inquire into accidents and detentions on the Great Western Railway	Reports of the commissioners appointed to inquire into a series of accidents and detentions on the Great Western Railway, Canada West, by commission bearing date Nov. 3, 1854	eng	smithsonian
dr_covers-to-db-cooke--cos-great-western-railway-guide-exhibiting-all-3795001	1856-01-01T00:00:00Z; 1840-01-01T00:00:00Z	1856	Cooke, D.B & Co.	(Covers to) D.B. Cooke & Co.'s Great Western Railway Guide. Exhibiting All Stations With Distances From Each other. Chicago, 1856. Entered ... 1856 by D.B. Cooke & Company. Middlet		david-rumsey-map-collection
dr_text-page-to-chicago-and-grand-trunk-railway-in-connection-with-the-grand-00914134	1887-01-01T00:00:00Z	1887	Chicago and Grand Trunk Railway Company; J.M.W. Jones Stationery and Printing Co.	(Text Page to) Chicago and Grand Trunk Railway in connection with the Grand Trunk R'y of Canada including Great Western Division forming the Niagara Falls Air Line. Issued June 4th		david-rumsey-map-collection
jstor-3304406	1880-08-01T00:00:00Z	1880	Bennett, Edmund H.	High Court of Justice. Exchequer Division. Finch and Another v. Great Western Railway Company	eng	jstor_amerlawregi1852; jstor_ejc; journals
greatwesternrail0000brya	2013-01-01T00:00:00Z	2013	Bryan, Tim	The Great Western Railway between the wars	eng	internetarchivebooks; inlibrary; printdisabled; fav-natterlee; fav-peterhoff317
dr_glacier-waterton-international-peace-park-issued-by-great-nothern-railway-8206003	1952-01-01T00:00:00Z	1952	Great Northern Railway Company; Wessel	Glacier-Waterton International Peace Park. Issued by Great Nothern Railway. Copyright, Great Northern Railway Co. 1952, Printed in U.S.A. (Drawn by) Wessel. (cover title) Glacier N		david-rumsey-map-collection
cscrm_2021_01_000458			Beebe, Lucius, 1902-1966; Clegg, Charles, 1916-1979	Great Western Railway Company (Colo.) Freight train Colorado		californiastaterailroadmuseum; stream_only; beebe-clegg; americana; californiarevealed
goldenyearsofbri0000garr_v3a5	1996-01-01T00:00:00Z	1996	Garratt, Colin	The golden years of British steam trains. Great Western Railway	eng	internetarchivebooks; inlibrary; printdisabled; fav-crescenzio603
cihm_92897	1872-01-01T00:00:00Z	1872	Great Western Railway Company (Canada). Library	Great Western Railway Library [microform] : by-laws and catalogue of books	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm
cscrm_2021_01_000450			Clegg, Charles, 1916-1979	Great Western Railway Company (Colo.) Locomotive No. 60 [Highball, p. 152] Colorado		californiastaterailroadmuseum; stream_only; beebe-clegg; americana; californiarevealed
cscrm_2021_01_000463			Clegg, Charles, 1916-1979	Great Western Railway Company (Colo.) Combination No. 100 [Highball, p. 160] Loveland (Colo.)		californiastaterailroadmuseum; stream_only; beebe-clegg; americana; californiarevealed
cihm_63717	1855-01-01T00:00:00Z	1855	Great Western Railway Company (Canada)	The Great Western Railway of Canada [microform] : chartered by the Legislature of Canada, directors, Robert William Harris, Esq. .	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm
cihm_27515	1879-01-01T00:00:00Z	1879	Great Western Railway Company (Canada)	Rules & regulations for the conduct of the traffic and for the guidance of the officers & servants in the employment of the Great Western Railway Co. [microform]	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm; fav-ggorgg
cihm_08306	1886-01-01T00:00:00Z	1886	Halifax and Great Western Railway Company	Halifax and Great Western Railway [microform] : report of negotiations at Ottawa, 1886	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm
cihm_37339	1860-01-01T00:00:00Z	1860	Detroit and Milwaukee Railroad Company	Pocket guide for passengers by the Detroit and Milwaukee Railway & Steamship Line [microform] : the great north-western U.S. mail route .	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm
cihm_53940	1850-01-01T00:00:00Z	1850	Canada. Laws, etc	Acts incorporating the Great Western Rail-road Company [microform] : with the several amendments thereto, together with the act guaranteeing the province to the bonds of railway co	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm; fav-dumbname11
greatwesternrail0000oswa	1962-01-01T00:00:00Z	1962	Oswald Stevens NOCK	The Great Western Railway in the 19th Century	eng	internetarchivebooks; printdisabled; inlibrary
rain-steam-and-speed-the-great-western-railway-endlos			Humanity	Rain, Steam and Speed – The Great Western Railway	english	the-endlos-museum; individual-image-collections
cscrm_2021_01_000459			Beebe, Lucius, 1902-1966; Clegg, Charles, 1916-1979	Great Western Railway Company (Colo.) No. 60 and freight train Colorado		californiastaterailroadmuseum; stream_only; beebe-clegg; americana; californiarevealed
western-maryland-scenic-railroad	2004-01-01T00:00:00Z	2004	Wide Eye Productions	Great Scenic Railway Journeys Presents The Western Maryland Scenic Railroad	eng	opensource_movies; fav-keiccnffjjrd
1045_SWODA	1875-01-01T00:00:00Z	1875		Great Western Railway Yards	eng	swontariophotographs; universityofwindsor; toronto
greatwesternrail0000unse_j2l9	1987-01-01T00:00:00Z	1987		The Great Western Railway in the 1930's. vol. 2	eng	internetarchivebooks; inlibrary; printdisabled; fav-foxyisinhell
biostor-94395	1841-01-01T00:00:00Z	1841		XIX.—Description of some new Species of Ammonites found in the Oxford Clay on the line of the Great Western Railway near Christian Malford	English	biostor; journals
micro_IA40385605_1040	1971-01-01T00:00:00Z	1971	Supreme Court of the United States	Noe v. Chicago Great Western Railway Co., 402 U.S. 1009 (1971) (No. 1631)	eng	us-supreme-court; USGovernmentDocuments; microfiche; government-documents
cihm_36090	1854-01-01T00:00:00Z	1854	Scott, William, engineer	Statement of William Scott, late western division engineer of the Great Western Railway [microform] : to the shareholders and the public of North America, relative to the mode of h	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm
cihm_28336	1876-01-01T00:00:00Z	1876	Grand Trunk Railway Company of Canada; Great Western Railway Company (Canada)	Copy correspondence, April-June 1876, between the Great Western Railway of Canada and the Grand Trunk Railway of Canada [microform] : regarding an offer by the first named company 	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm
historyofgreatwe0000nock	1982-01-01T00:00:00Z	1982	Nock, O. S. (Oswald Stevens), 1905-1994	History of the Great Western Railway. Vol. 3, 1923-1947	eng	internetarchivebooks; inlibrary; printdisabled; fav-natterlee; fav-pluto_apos_s_railroads_archives; fav-zimbush
greatwesternrail0000osno	1951-01-01T00:00:00Z	1951	o. s. nock	the great western railway	eng	internetarchivebooks; inlibrary; printdisabled
cscrm_2021_01_000453			Beebe, Lucius, 1902-1966; Clegg, Charles, 1916-1979	Great Western Railway Company (Colo.) Locomotive No. 51 Colorado		californiastaterailroadmuseum; stream_only; beebe-clegg; americana; californiarevealed
cihm_55483	1865-01-01T00:00:00Z	1865	Great Western Railway Company (Canada)	Great Western Railway of Canada [microform] : from Niagara Falls to Detroit and lines from Hamilton to Toronto, from Harrisburg to Guelph, from Komoka to Sarnia : passenger train t	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm; fav-pere432
cihm_32779	1854-01-01T00:00:00Z	1854	Great Western Railway Company (Canada)	Acts incorporating the Great Western Railway Company [microform] : with the several acts amending or relating to the same : and acts incorporating certain other companies or relati	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm
cihm_43016	1856-01-01T00:00:00Z	1856	Buchanan, Isaac, 1810-1883; Great Western Railway Company (Canada)	To the shareholders in Great Britain of the Great Western Railway of Canada [microform]	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm
