# numFound=184 rows=184 query=creator:"Burbank, Luther"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
traininghumanpl03burbgoog	1907-01-01T00:00:00Z	1907	Burbank, Luther, 1849-1926	The training of the human plant	eng	americana; fav-kiehal
harvestofyears00burb_0	1927-01-01T00:00:00Z	1927	Burbank, Luther, 1849-1926	The harvest of the years	eng	bplhoughton; bostonpubliclibrary; americana; fav-ivanovich24
howplantsaretrai01burb	1921-01-01T00:00:00Z	1921	Burbank, Luther, 1849-1926	How plants are trained to work for man	eng	ncsulibraries; americana; fav-j_david_black; fav-jennifer_waggener
burbankseedbook00burbu	1899-01-01T00:00:00Z	1899	Burbank, Luther Company	The Burbank seed book	English	seedcatalogs; biodiversity
catalogueoffruit1886burb	1886-01-01T00:00:00Z	1886	Burbank, Luther, 1849-1926; Santa Rosa Nurseries; Henry G. Gilbert Nursery and Seed Trade Catalog Collection	Catalogue of fruit and shade trees, ornamental plants and roses	eng	usda-nurseryandseedcatalog; usdanationalagriculturallibrary; fedlink; americana; biodiversity; fav-bonardh
lutherburbankhis02burbrich	1914-01-01T00:00:00Z	1914	Burbank, Luther, 1849-1926; Luther Burbank Society; Whitson, John; John, Robert; Williams, Henry Smith, 1863-1943	Luther Burbank : his methods and discoveries and their practical application	eng	cdl; americana; fav-ggoniem88; fav-ivanovich24
lutherburbankhis03burbrich	1914-01-01T00:00:00Z	1914	Burbank, Luther, 1849-1926; Luther Burbank Society; Whitson, John; John, Robert; Williams, Henry Smith, 1863-1943	Luther Burbank : his methods and discoveries and their practical application	eng	cdl; americana; fav-bitrik; fav-ivanovich24
lutherburbankhis04burbrich	1914-01-01T00:00:00Z	1914	Burbank, Luther, 1849-1926; Luther Burbank Society; Whitson, John; John, Robert; Williams, Henry Smith, 1863-1943	Luther Burbank : his methods and discoveries and their practical application	eng	cdl; americana
lutherburbankhis05burb	1914-01-01T00:00:00Z	1914	Burbank, Luther, 1849-1926; Whitson, John; John, Robert; Williams, Henry Smith, 1863-1943; Luther Burbank Society	Luther Burbank, his methods and discoveries and their practical application; prepared from his original field notes covering more than 100,000 experiments made during forty years d	eng	ncsulibraries; americana; fav-ivanovich24
lutherburbankhi05socigoog	1914-01-01T00:00:00Z	1914	Burbank, Luther, 1849-1926; Whitson, John; John, Robert; Williams, Henry Smith, 1863-1943; Luther Burbank Society	Luther Burbank : his methods and discoveries and their practical application	eng	americana
