# numFound=590 rows=300 query=creator:"Churchill, Winston"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
richardcarvelvol05366gut			Churchill, Winston, 1871-1947	Richard Carvel - Volume 02	eng	gutenberg
secondworldwar02chur_3	1961-01-01T00:00:00Z	1961	Churchill, Winston, 1874-1965	The Second World War	eng	bplhoughton; bostonpubliclibrary; americana; printdisabled; fav-bluearcher95; fav-lullo
richardcarvelvol05365gut			Churchill, Winston, 1871-1947	Richard Carvel - Volume 01	eng	gutenberg
detweedewereldoo0000chur	1989-01-01T00:00:00Z	1989	Churchill, Winston (Winston Leonard Spencer), 1874-1965	De Tweede Wereldoorlog / 7. De Japanse stormloop, december 1941-juli 1942	dut	internetarchivebooks; inlibrary; printdisabled; fav-andromeda_aderoben
detweedewereldoo0003chur	1989-01-01T00:00:00Z	1989	Churchill, Winston (Winston Leonard Spencer), 1874-1965	De Tweede Wereldoorlog / 3, Frankrijks val, mei-augustus 1940	dut	internetarchivebooks; inlibrary; printdisabled
detweedewereldoo0010chur	1989-01-01T00:00:00Z	1989	Churchill, Winston (Winston Leonard Spencer), 1874-1965	De Tweede Wereldoorlog / 10. Van Teheran tot Rome, november 1943-juni 1944	dut	internetarchivebooks; inlibrary; printdisabled
synapseml_gutenberg_the_crisis_volume_01_by_winston_churchil			Churchill, Winston, 1871-1947	The Crisis — Volume 01	English	gutenberg-audiobooks; audio_bookspoetry
richardcarvel00chur_1	1923-01-01T00:00:00Z	1923	Churchill, Winston, 1871-1947	Richard Carvel	eng	university_of_illinois_urbana-champaign; americana
travellerinwarti00churiala	1918-01-01T00:00:00Z	1918	Churchill, Winston, 1871-1947	A traveller in war-time; with an essay on the American contribution and the democratic idea	eng	cdl; americana; fav-duke17
winstonclementin0000chur	2001-01-01T00:00:00Z	2001	Churchill, Winston, 1874-1965	Winston and Clementine : the personal letters of the Churchills	eng	internetarchivebooks; printdisabled; fav-cactus20; fav-l_overton; fav-merts; fav-mile_atanasov; fav-priscillagrant; fav-redmarley; framingham-ol; occidentalcollegelibrary-ol; openl
worldcrisis00chur	1923-01-01T00:00:00Z	1923	Churchill, Winston, 1874-1965	The world crisis	eng	robarts; toronto; university_of_toronto; fav-0papai; fav-a_v_formation_of_geese; fav-aalkoryshy; fav-ak-47-ak-74; fav-alberto_moschini; fav-cch69; fav-cecallah11; fav-drewblanco; f
worldcrisis0004unse	1927-01-01T00:00:00Z	1927	Churchill, Winston, 1874-1965	The world crisis ..	eng	marygrovecollege; internetarchivebooks; americana; fav-dere-hono; fav-jdrgp2; fav-timerover
secondworldwar04chur	1985-01-01T00:00:00Z	1985	Churchill, Winston, 1874-1965	The Second World War	eng	bplhoughton; bostonpubliclibrary; americana; printdisabled; fav-au518987077; fav-hiperborea; fav-nolshaubs; fav-ripfrog
secondworldwar02chur_2	1985-01-01T00:00:00Z	1985	Churchill, Winston, 1874-1965	The Second World War	eng	bplhoughton; bostonpubliclibrary; americana; printdisabled; fav-archive3001502; fav-bahadir_koc; fav-bsullivan7; fav-elizavetarhb; fav-fernando_teixeira; fav-garfunkel_be; fav-kuna
crisis0000chur_s7h0	1959-01-01T00:00:00Z	1959	Churchill Winston	The Crisis	eng	internetarchivebooks; inlibrary; printdisabled
thecelebritycomp05387gut			Churchill, Winston, 1871-1947	The Celebrity, Complete	eng	gutenberg
secondworldwar04chur_2	1961-01-01T00:00:00Z	1961	Churchill, Winston, 1874-1965	The Second World War	eng	bplhoughton; bostonpubliclibrary; americana; printdisabled
runninginplace0000chur	1973-01-01T00:00:00Z	1973	Churchill, Winston J., 1940-	Running in place	eng	internetarchivebooks; inlibrary; printdisabled; binghamton-ol; rochester-ol; universityofcoloradoboulder-ol
secondworldwar0005unse_m3b8	1972-01-01T00:00:00Z	1972	Churchill, Winston Spencer	Closing the ring	eng	internetarchivebooks; inlibrary; printdisabled; fav-lookh
churchillpowerof0000chur_u7v2	2012-01-01T00:00:00Z	2012	Churchill, Winston, 1874-1965	Churchill : the power of words : his remarkable life recounted through his writings and speeches : 200 readings	eng	internetarchivebooks; printdisabled; fav-jmb14; fav-mastermind93
warspeeches01chur	1953-01-01T00:00:00Z	1953	Churchill, Winston, 1874-1965	War speeches	eng	bplhoughton; bostonpubliclibrary; americana; printdisabled; fav-camarada23; fav-mike1_0
secondworldwar6v00wins_0	1985-01-01T00:00:00Z	1985	Churchill, Winston, 1874-1965	The Second World War	eng	internetarchivebooks; printdisabled; fav-acardamone9; fav-ak-47-ak-74; fav-alaxi; fav-crystalcutie; fav-dzana_todosijevic147; fav-evgnet; fav-ewancharles; fav-fernando_teixeira; fa
secondworldwar03chur	1985-01-01T00:00:00Z	1985	Churchill, Winston, 1874-1965	The Second World War	eng	bplhoughton; bostonpubliclibrary; americana; printdisabled; fav-dancedany; fav-nolshaubs
