identifier	year	lang	role	title
bim_..._porta-linguarum-trilingu_komensk-jan-amos_1631_0	1631	lat	author	Porta linguarum trilinguis reserata
bim_..._porta-linguarum-trilingu_komensk-jan-amos_1631	1631	lat	author	Porta linguarum trilinguis reserata（另一件）
ianuae-latinitatis-vestibulum-mod-apr-16	1631	lat	author	IANUAE LATINITATIS VESTIBULUM
bim_..._porta-linguarum-trilingu_komensky-jan-amos_1631	1631	lat	author	Porta linguarum trilinguis（另一件）
bim_..._porta-linguarum-trilingu_komensk-jan-amos_1633	1633	lat	author	Porta linguarum trilinguis 1633
bim_..._the-gate-of-tongues-unlo_komensky-jan-amos_1633	1633	eng	译本	The gate of tongues unlocked
bim_..._janua-linguarum-reserata_komensky-jan-amos_1636	1636	eng	译本	Janua linguarum reserata: or a seed-plot of all languages
bim_..._conatuum-comenianorum-pr_komensk-jan-amos_1637	1637	lat	author	Conatuum Comenianorum praeludia
bim_..._porta-linguarum-trilingu_komensk-jan-amos_1637	1637	lat	author	Porta linguarum trilinguis 1637
bim_..._porta-sapienti-reserata_komensky-jan-amos_1637	1637	lat	author	Porta Sapientiae reserata
bim_..._reverendi-et-clarissimi-_komensk-jan-amos_1638	1638	lat	author	Pansophiae prodromus
bim_..._porta-linguarum-trilingu_komensk-jan-amos_1639_0	1639	lat	author	Porta linguarum trilinguis 1639
bub_gb_osV7tLZaelwC	1639	lat	**另一个人**	**Bernhard Comenius**｜Prodomus exequiarum…pragensis
bim_..._porta-linguarum-_komensk-jan-amos_1639	1639	lat	author	Porta linguarum 1639
bim_..._porta-linguarum-trilingu_komensk-jan-amos_1639	1639	lat	author	Porta linguarum trilinguis（另一件）
bim_..._porta-linguarum-trilingu_komensky-jan-amos_1640	1640	lat	author	Porta linguarum trilinguis 1640
bim_..._janua-linguarum-reserata_komensk-jan-amos_1640	1640	lat	author	Janua linguarum reserata 1640
bim_..._janua-linguarum-reserata_comenius-johann-amos_1641	1641	lat	author	Janua linguarum reserata 1641
bub_gb_0NUpuyshKawC	1642	lat	author	I.A. Comenii Ianua linguarum reserata aurea（标 Russian，实拉丁）
Ianua_Linguae_Graecae	1642	grc	**多人合编**	Ianua Linguae Graecae（creator 列 5 人）
janualinguarumreseratathegateoflan	1643	lat	author	Janua Linguarum Reserata The Gate Of Languages
b32990431	1643	lat	author	Ianua linguarum reserata aurea（标 lat,dut,fre）
bim_..._janua-linguarum-reserata_comenius-johann-amos_1643	1643	lat	author	Janua linguarum reserata 1643
jacomeniiianuali00come	1643	lat	author	Ianua linguarum reserata（标 lat,gre,fre；John Adams 旧藏）
bub_gb_z936eB25Cb4C	1644	lat	author	Pansophiae prodromus
8X510INV1013FA	1644	lat	author	Nova et accurata vestibuli Comeniani editio（标 pol,lat,ger）
bub_gb_jTnquISFzxwC	1645	lat	author	Pansophiae diatyposis
bim_..._janua-linguarum-_comenius-johann-amos_1645	1645	lat	author	Janua linguarum 1645
bub_gb_MGhEAAAAcAAJ	1645	lat	author	Pansophiae diatyposis（另一件）
bim_..._joh-amos-comenii-vestib_comenius-johann-amos_1647	1647	lat	author	Vestibulum novissimum linguae Latinae
bim_..._janua-linguarum-reserata_comenius-johann-amos_1647	1647	lat	author	Janua linguarum reserata 1647
bim_..._joh-amos-comenii-vestib_comenius-johann-amos_1647_b	1647	lat	author	Vestibulum（另一件）
bim_..._a-continuation-of-mr-jo_comenius-johann-amos_1648	1648	eng	译本	A continuation of mr. john-amos-comenius school endeavours
jbc.bj.uj.edu.pl.DIGSTDR000361	1649	lat	**他是编者**	**Johannis Lasitii** Historiae De Origine…Fratrum Bohemicorum
bim_..._janua-linguarum-reserata_comenius-johann-amos_1650	1650	lat	author	Janua linguarum reserata 1650
dbc.wroc.pl.BOss_XVII_3923	1651	lat	author	Artium Rudiorum, Subtiliorum, Subtilissimarum
bim_..._naturall-philosophie-_comenius-johann-amos_1651	1651	eng	译本	Naturall philosophie
naturallphilosop00come	1651	eng	译本	Naturall philosophie reformed by divine light（creator 标 author）
bim_..._a-patterne-of-universall_comenius-johann-amos_1651	1651	eng	译本	A patterne of universall knowledge
dbc.wroc.pl.BOss_XVII_3922	1651	lat	author	Januae LL. Comenianae
