# numFound=193 rows=193 query=(creator:"Comenius, Johann Amos" OR creator:"Komenský, Jan Amos" OR creator:"Comenius, John Amos")
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
bub_gb_iaoPAAAAQAAJ	1815-01-01T00:00:00Z	1815	Comenius, Johann Amos, 1592-1670	La Porte des langues ouverte, pour apprendre la langue latine, la langue française et toute autre langue et en même temps tous les fondements des sciences et des arts	fre; lat	europeanlibraries; fav-alinso; fav-cds181; fav-juliocvaras; fav-kutkut16; fav-malachi_lewandowski
bim_early-english-books-1641-1700_janua-linguarum-_comenius-johann-amos_1645	1645-01-01T00:00:00Z	1645	Comenius, Johann Amos.	Janua linguarum, ... 1645	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm; fav-juhseh
didaktikanawren00comeuoft	1849-01-01T00:00:00Z	1849	Comenius, Johann Amos, 1592-1670	Didaktika. Nawrení krátké o obnowení kol w Králowstwí eském. Píslowí ili Maudrost starých pedk za zrcadlo wystawená potomkm	cze	robarts; toronto; university_of_toronto
scholarumreforma0000come	1956-01-01T00:00:00Z	1956	Comenius, Johann Amos, 1592-1670	Scholarum reformator pansophieus : Comenii de educatione et scholis methodo naturali emendandis cogitationes novissimae	lat	claremont_school_of_theology; internetarchivebooks; inlibrary; printdisabled; fav-daniil_nikel; fav-fernando_scoparo
bim_early-english-books-1475-1640_joh-amos-comenii-vestib_comenius-johann-amos_1647	1647-01-01T00:00:00Z	1647	Comenius, Johann Amos	Joh. Amos Comenii Vestibulum ... 1647	Middle English	pub_early-english-books-1475-1640; bim_microfilm; microfilm
bim_early-english-books-1475-1640_porta-linguarum-trilingu_komensk-jan-amos_1639	1639-01-01T00:00:00Z	1639	Komenský, Jan Amos.	Porta linguarum trilinguis, Reserata & Aperta: ... 1639	lat; eng; fre	pub_early-english-books-1475-1640; bim_microfilm; microfilm
bim_early-english-books-1641-1700_janua-linguarum-reserata_comenius-johann-amos_1652	1652-01-01T00:00:00Z	1652	Comenius, Johann Amos.	Janua linguarum reserata ... 1652	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm
bim_early-english-books-1641-1700_janua-linguarum-reserata_komensk-jan-amos_1640	1640-01-01T00:00:00Z	1640	Komenský, Jan Amos.	Janua linguarum reserata: ... 1640	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm
bim_early-english-books-1641-1700_janua-linguarum-trilingu_comenius-johann-amos_1685	1685-01-01T00:00:00Z	1685	Comenius, Johann Amos.	Janua linguarum trilinguis; ... 1685	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm; fav-loryenipsum
bub_gb_aeFDAAAAYAAJ	1883-01-01T00:00:00Z	1883	Comenius, Johann Amos, 1592-1670; Wernic, Henryk, 1829-1905, tr	Wielka dydaktyka Jana Amosa Komeńskiego	pol	americana
bub_gb_MAITAAAAIAAJ	1832-01-01T00:00:00Z	1832	Comenius, Johann Amos, 1592-1670; Gailer, J. E	Neuer Orbis Pictus für die Jugend, oder Schauplatz der Natur, der Kunst und des Menschenlebens in 316 lithographirten Abbildungen mit genauer Erklärung in deutscher	ger; fre	americana; fav-alinso; fav-coversine
bub_gb_HiRbAAAAcAAJ	1730-01-01T00:00:00Z	1730	Comenius, Johann Amos	[Orbis sensualium pictus]	und	europeanlibraries; fav-dieu_et_ma_tre; fav-flpmsk; fav-hwiepke; fav-kiwiroo; fav-ldp1165; fav-moonmoonli520; fav-pere432
bub_gb_g8osAAAAMAAJ	1907-01-01T00:00:00Z	1907	Comenius, Johann Amos, 1592-1670	Schola Ludus, d.i. Die schule als spiel-Ins deutsche übertragen	ger	americana; fav-tayo1994
bub_gb_pm19WvafqqUC	1907-01-01T00:00:00Z	1907	Comenius, Johann Amos, 1592-1670; Keatinge, M. W. (Maurice Walter), 1868-1935	The great didactic of John Amos Comenius	eng; lat	americana
janaamosakomens00kagoog	1893-01-01T00:00:00Z	1893	Comenius, Johann Amos, 1592-1670	Jana Amosa Komenského Sebraná díla kazatelská	cze	americana
10584856bsb	1806-01-01T00:00:00Z	1806	Comenius, Johann Amos	Onomastikon peri tu pantos Iōannu Amōsu Komeniu	German	german-online-libraries; booksbylanguage_german; booksbylanguage
orbispictusofjoh00come	1887-01-01T00:00:00Z	1887	Comenius, Johann Amos, 1592-1670	The Orbis pictus of John Amos Comenius	eng	newyorkpubliclibrary; americana; fav-alinso; fav-anduce; fav-astroos; fav-axius1; fav-cascadiarising; fav-chroniclaughter_2; fav-devilsapricot; fav-dnstoddart; fav-elliot_hernandez
labyrintsvtarjsr0000come_a4g3	1955-01-01T00:00:00Z	1955	Comenius, Johann Amos, 1592-1670	Labyrint světa a ráj srdce : to jest, světlé vymalování, kterak v tom světě a věcech jeho všechněch nic není než matení a motaní ..	cze	claremont_school_of_theology; internetarchivebooks; inlibrary; printdisabled
10261284bsb	1774-01-01T00:00:00Z	1774	Comenius, Johann Amos	Das wiedergefundene Paradies	German	german-online-libraries; booksbylanguage_german; booksbylanguage
bub_gb_GyAoAAAAYAAJ	1809-01-01T00:00:00Z	1809	Comenius, Johann Amos, 1592-1670	Labirynt swěta a rág srdce : to gest swětlé wymalowanj, kterak w tom swětě, a wěcech geho wssechněch, nic nenj než matenj a motanj, kolotánj a lopotowanj, mámenj a ssalba ... ale k	cze; lat	americana
angelofpeace00come	1944-01-01T00:00:00Z	1944	Comenius, Johann Amos, 1592-1670	The angel of peace	eng	Princeton; americana; fav-mblakeney
janaamosekomensk00come	1892-01-01T00:00:00Z	1892	Comenius, Johann Amos, 1592-1670; Smaha, Josef, [from old catalog] tr	Jana Amose Komenského didaktika veliká, vseobecné umeni, jak vsecky vsemu uciti ..	pol	library_of_congress; americana
bequestofunityof0000come	1940-01-01T00:00:00Z	1940	Comenius, Johann Amos, 1592-1670	The bequest of the Unity of brethren;	eng	claremont_school_of_theology; internetarchivebooks; printdisabled; inlibrary; fav-mblakeney; fav-mprusso-archive
derrheinalsschic00paqu	1920-01-01T00:00:00Z	1920	Paquet, Alfons, 1881-1944; Comenius, Johann Amos, 1592-1670. Unum necessarium. German. Selections	Der Rhein als Schicksal : oder, Das Problem der Völker	ger	cdl; americana
11104945bsb	1730-01-01T00:00:00Z	1730	Comenius, Johann Amos	Joh. Amos Comenii Orbis Sensualium Picti Pars ...: Hoc est: Omnium fundamentalium in mundo rerum, & in vita actionum, Pictura & Nomenclatura. 2	German	german-online-libraries; booksbylanguage_german; booksbylanguage
10448791bsb	1743-01-01T00:00:00Z	1743	Comenius, Johann Amos	Erste Liebe	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11092509bsb	1739-01-01T00:00:00Z	1739	Comenius, Johann Amos	Kurz-gefaßte Kirchen-Historie Der Böhmischen Brüder	German	german-online-libraries; booksbylanguage_german; booksbylanguage
bub_gb_gS0VAAAAYAAJ	1808-01-01T00:00:00Z	1808	Comenius, Johann Amos, 1592-1670	Zri͡elishche vselennyi͡a na Frant͡suzskom, Rossīĭskom i Ni͡emet͡skom i͡azykakh	rus; fre; ger; lat	americana
bub_gb_hzhFAAAAYAAJ	1858-01-01T00:00:00Z	1858	Comenius, Johann Amos, 1592-1670; Gindely, Antonín, 1829-1892	Jana Amosa Komenského Informatorium školy mateřské, to jest pořádná a zřetedlná zpráva, kterak rodičové pobožní i sami i skrze chůvy, pěstouny a jiné pomocníky sv	cze	americana
bim_early-english-books-1641-1700_novitestamenti-epitome_comenius-johann-am_1658	1658-01-01T00:00:00Z	1658	Comenius, Johann Amos	Novitestamenti Epitome 1658	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm
bim_early-english-books-1641-1700_johan-amos-comenii-schol_comenius-johann-amos_1664	1664-01-01T00:00:00Z	1664	Comenius, Johann Amos	Johan-amos-comenii Schola-ludus... 1664	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm; fav-alinso
bim_early-english-books-1475-1640_porta-linguarum-trilingu_komensk-jan-amos_1633	1633-01-01T00:00:00Z	1633	Komenský, Jan Amos.	Porta linguarum trilinguis, reserata et aperta. 1633	lat; eng; fre	pub_early-english-books-1475-1640; bim_microfilm; microfilm; fav-alinso
bim_early-english-books-1641-1700_joh-amos-comenii-vestib_comenius-johann-amos_1647	1647-01-01T00:00:00Z	1647	Comenius, Johann Amos	Joh. Amos Comenii Vestibulum novissimum linguæ Latinæ:... 1647	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm; fav-mylmyl5
bim_early-english-books-1641-1700_joh-amos-commenii-orbi_comenius-johann-amos_1659	1659-01-01T00:00:00Z	1659	Comenius, Johann Amos.	Joh. Amos. Commenii Orbis sensualium pictus. ... 1659	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm; fav-malachi_lewandowski; fav-mothergoosesuru; fav-nickedsmart
bim_early-english-books-1641-1700_janua-linguarum-reserata_comenius-johann-amos_1647	1647-01-01T00:00:00Z	1647	Comenius, Johann Amos.	Janua linguarum reserata: ... 1647	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm
