# numFound=493 rows=300 query=creator:"Dewey, John"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
theschoolandsoci00deweuoft	1907-01-01T00:00:00Z	1907	Dewey, John, 1859-1952; University of Chicago. Elementary School	The school and society; being three lectures, supplemented by a statement of the University Elementary School	eng	trinitycollege; toronto; university_of_toronto; fav-danger02; fav-drewblanco; fav-maicea
jstor-2012801	1912-09-26T00:00:00Z	1912	Dewey, John	In Response to Professor McGilvary	eng	jstor_jphilpsycsciemet; jstor_ejc; journals
schoolsociety00deweuoft	1899-01-01T00:00:00Z	1899	Dewey, John, 1859-1952	The school and society : being three lectures	eng	thomasfisher; toronto; university_of_toronto; fav-zesray
schoolsociety01dewe	1915-01-01T00:00:00Z	1915	Dewey, John, 1859-1952	The school and society	eng	library_of_congress; americana; fav-jillymorris
schoolsocietybei0000dewe	1900-01-01T00:00:00Z	1900	Dewey, John, 1859-1952	The school and society : being three lectures	eng	marygrovecollege; internetarchivebooks; americana; fav-associate-richard-greydanus; fav-floura28zz; fav-joanaz
schoolstomorrow01dewegoog	1915-01-01T00:00:00Z	1915	Dewey, John, 1859-1952; Dewey, Evelyn, 1889- joint author	Schools of to-morrow	eng	americana
jstor-1760369	1886-04-16T00:00:00Z	1886	Dewey, John	Inventory of Philosophy Taught in American Colleges	eng	jstor_science; jstor_ejc; journals
mcclellanarith00mclerich	1902-01-01T00:00:00Z	1902	McLellan, J. A. (James Alexander), 1832-1907; Dewey, John, 1859-1952; Ames, A. F. (Albert Flintoft)	The public school arithmetic for grammar grades, based on McLellan and Dewey's "Psychology of number,"	eng	cdl; americana; fav-archiveuser7949fqga; fav-francis_tsang; fav-msalee; fav-ramap
jstor-2939872	1922-06-08T00:00:00Z	1922	Dewey, John	Realism without Monism or Dualism--I.: Knowledge Involving the Past	eng	jstor_jphilosophy; jstor_ejc; journals; fav-jginger1975; fav-thismanandthedreamsurfers
psychology00dewegoog	1891-01-01T00:00:00Z	1891	Dewey, John, 1859-1952	Psychology	eng	americana
democracyeducati0000dewe_r8d0	2005-01-01T00:00:00Z	2005	Dewey, John, 1859-1952	Democracy and education	eng	internetarchivebooks; inlibrary; printdisabled; fav-hiroyuki95; fav-rahman_hamidur
waytruthlifehand00dewe	1888-01-01T00:00:00Z	1888	Dewey, John Hamlin	The way, the truth and the life; a hand book of Christian theosophy, healing, and psychic culture, a new education, based upon the ideal and method of the Christ	eng	library_of_congress; americana; fav-_gratefulone_; fav-_how121590; fav-allencole83; fav-avis_reader; fav-gnosisking; fav-kether_hassan; fav-swswswswsw
studiesinlogica00dewegoog	1903-01-01T00:00:00Z	1903	Dewey, John, 1859-1952	Studies in logical theory	eng	americana; fav-varipon
humannaturecondu00dewe_0	1922-01-01T00:00:00Z	1922	Dewey, John, 1859-1952	Human nature and conduct; an introduction to social psychology	eng	university_of_illinois_urbana-champaign; americana
schoolsociety0000dewe_d1x4	1930-01-01T00:00:00Z	1930	Dewey, John, 1859-1952	The school and society	eng	internetarchivebooks
in.ernet.dli.2015.189240	1902-01-01T00:00:00Z	1902	Dewey , John	Leibnizs New Essays Concerning The Human Understanding	eng	digitallibraryindia; JaiGyan; fav-palebot
logictheoryofinq0000dewe_w1w5	2013-01-01T00:00:00Z	2013	Dewey, John, 1859-1952	Logic : the theory of inquiry	eng	internetarchivebooks; printdisabled; fav-anna_vaughn; fav-baraka_magera; fav-fojks; fav-icactus; fav-matthew_chalk; fav-miukumiuku; fav-writer27
dli.ernet.237179	1922-01-01T00:00:00Z	1922	Dewey John	Human Nature and Conduct (1922)	eng	digitallibraryindia; JaiGyan; fav-rezart
democracyeducati00deweiala	1916-01-01T00:00:00Z	1916	Dewey, John, 1859-1952	Democracy and education; an introduction to the philosophy of education	eng	cdl; americana; fav-jahanzeb_shah; fav-kaankural; fav-montejohnson; fav-nindya_r; fav-riyaz_ahmed543
democracyeducati00deweuoft	1916-01-01T00:00:00Z	1916	Dewey, John, 1859-1952	Democracy and education : an introduction to the philosophy of education	eng	kellylibrary; toronto; university_of_toronto; fav-anamaria836; fav-born2bblue; fav-dshields2025; fav-fachruddin; fav-habtamulajebo; fav-kiehal
democracyandedu03dewegoog	1916-01-01T00:00:00Z	1916	Dewey, John, 1859-1952	Democracy and education: an introduction to the philosophy of education	eng	americana
studiesinlogica02dewegoog	1903-01-01T00:00:00Z	1903	Dewey, John, 1859-1952	Studies in logical theory	eng	americana
reconstructionin0000dewe_o0b7	1988-01-01T00:00:00Z	1988	Dewey, John, 1859-1952	Reconstruction in philosophy and essays, 1920	eng	internetarchivebooks; inlibrary; printdisabled; fav-jackieharkozy; fav-matthew_chalk; fav-melissa_1234
ethics02tuftgoog	1929-01-01T00:00:00Z	1929	Dewey, John	Ethics	eng	americana; fav-kkeuseman; fav-mpeng; fav-surya999
leibnizsnewessa00deweuoft	1888-01-01T00:00:00Z	1888	Dewey, John, 1859-1952	Leibniz's new essays concerning the human understanding : a critical exposition	eng	thomasfisher; toronto; university_of_toronto; fav-ahmdg; fav-david_montblanc; fav-uri_aurora
schoolsocietychi0000dewe_x5c7	1990-01-01T00:00:00Z	1990	Dewey, John, 1859-1952	The school and society & the child and the curriculum	eng	internetarchivebooks; printdisabled
johndeweyamerica0002dewe	2002-01-01T00:00:00Z	2002	Dewey, John, 1859-1952	John Dewey and American education	eng	internetarchivebooks; printdisabled; fav-boynamedsue55; fav-kelilah26; fav-myossmeyelashes
interestandeffo00dewegoog	1913-01-01T00:00:00Z	1913	Dewey, John, 1859-1952	Interest and effort in education	eng	americana
jstor-27896910	1891-10-01T00:00:00Z	1891	Dewey, John	THE PRESENT POSITION OF LOGICAL THEORY	eng	jstor_themonist; jstor_ejc; journals; fav-madan_mohan_singi
jstor-2140917	1907-03-01T00:00:00Z	1907	Dewey, John	[untitled] Political Science Quarterly, (1907-03-01), pages 133-135	eng	jstor_polisciequar; jstor_ejc; journals
jstor-2012995	1915-09-16T00:00:00Z	1915	Dewey, John	The Logic of Judgments of Practise	eng	jstor_jphilpsycsciemet; jstor_ejc; journals
jstor-2013329	1911-02-02T00:00:00Z	1911	Dewey, John	Rejoinder to Dr. Spaulding	eng	jstor_jphilpsycsciemet; jstor_ejc; journals
jstor-2012132	1904-02-04T00:00:00Z	1904	Dewey, John	Notes Upon Logical Topics	eng	jstor_jphilpsycsciemet; jstor_ejc; journals
jstor-2176175	1898-11-01T00:00:00Z	1898	Dewey, John	Social Interpretations: Rejoinder	eng	jstor_philrevi; jstor_ejc; journals
johndeweyarthurf00dewe	1964-01-01T00:00:00Z	1964	Dewey, John, 1859-1952; Altman, Jules; Bentley, Arthur Fisher, 1870-1957; Ratner, Sidney, 1908-	John Dewey and Arthur F. Bentley : a philosophical correspondence, 1932-1951	eng	internetarchivebooks; inlibrary; printdisabled
jstor-40216730	1915-12-01T00:00:00Z	1915	Dewey, John	Address of the President: Delivered at the Annual Meeting of the Association: December 31, 1915	eng	jstor_bulamassunivprof; jstor_ejc; journals
individu00dewe	1930-01-01T00:00:00Z	1930	Dewey, John, 1859-1952	Individualism, old and new	eng	internetarchivebooks; americana
humannaturecond00dewe	1922-01-01T00:00:00Z	1922	Dewey, John, 1859-1952-	Human nature and conduct; an introduction to social psychology	eng	internetarchivebooks; americana; fav-david_montblanc; fav-fryzelek; fav-ivanastafyev; fav-jahanzeb_shah; fav-lbj631; fav-miranda_blair; fav-p_ribeiro; fav-tomo098; openlibrary-d-ol
middleworks1899102john	1976-01-01T00:00:00Z	1976	Dewey, John, 1859-1952; Boydston, Jo Ann, 1924-	The middle works, 1899-1924	eng	internetarchivebooks; inlibrary; printdisabled; fav-blackhandishot; fav-fryzelek; fav-hiroyuki95; fav-louise_brandes; fav-matthew_chalk; fav-scelsi2; barryuniversity-ol
in.ernet.dli.2015.209505	1891-01-01T00:00:00Z	1891	Dewey,john.	Psychology	eng	digitallibraryindia; JaiGyan; fav-groenkonijn; fav-kindle37
nfsl_1_119928	1980-01-01T00:00:00Z	1980	R. Ladd Livingston, Jerald E. Dewey, John Schwandt, K. Andrew Knapp, David P. Beckman	Idaho Forest Insect and Disease Conditions 1980	eng	usda-usfsfhphistoricalcollection; usda-nfslcollection; usdanationalagriculturallibrary; fedlink
freedomculture0000dewe	1963-01-01T00:00:00Z	1963	Dewey, John, 1859-1952	Freedom and culture	eng	marygrovecollege; internetarchivebooks; americana; inlibrary; printdisabled; fav-aperlman; fav-galennaklar; fav-ladybug483; fav-rodgarcia1818
in.ernet.dli.2015.90386	1934-01-01T00:00:00Z	1934	Dewey, John	A Common Faith	eng	digitallibraryindia; JaiGyan; fav-aru13; fav-bessarion42; fav-caleb_mu_oz-welsh; fav-chapalan; fav-coogangildersleeve; fav-corporatedem; fav-daarnold; fav-elena_griffiths; fav-eric
in.ernet.dli.2015.90305	1922-01-01T00:00:00Z	1922	Dewey, John	Human Nature And Conduct An Introduction To Social Psychology	eng	digitallibraryindia; JaiGyan; fav-tomo098
