# numFound=19 rows=19 query=creator:"Ford, Henry, 1863-1947"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
wodeshenghuoyugo0000ford	2005-01-01T00:00:00Z	2005	Ford, Henry, 1863-1947	Wo de sheng huo yu gong zuo	chi	popularchinesebooks; internetarchivebooks; inlibrary; printdisabled
fordidealsbeing00fordgoog	1926-01-01T00:00:00Z	1926	Ford, Henry, 1863-1947	Ford ideals	eng	americana; fav-aristo25; fav-brian_mayer; fav-du_h; fav-jwile62; fav-kasper_thorslund_hansen
mylifework0000unse	1922-01-01T00:00:00Z	1922	Ford, Henry, 1863-1947	My life and work	eng	trent_university; internetarchivebooks; fav-frankfor; fav-stig223
expandedannotate0000ford	2013-01-01T00:00:00Z	2013	Ford, Henry, 1863-1947	The expanded and annotated My life and work : Henry Ford's universal code for world-class success	eng	internetarchivebooks; printdisabled; fav-fab959; fav-mrwrightc7
mylifeworkautobi0000ford	2012-01-01T00:00:00Z	2012	Ford, Henry, 1863-1947	My life and work : an autobiography of Henry Ford	eng	internetarchivebooks; inlibrary; printdisabled; fav-billybob419; fav-david_england; fav-ed_wards; fav-fab959; fav-hawkseked222; fav-in_der_b_cherei; fav-jamesey92; fav-jayant_singh
mylifework0000ford_y6k1	2003-01-01T00:00:00Z	2003	Ford, Henry, 1863-1947	My life and work	eng	internetarchivebooks; printdisabled; fav-b_rger89; fav-fab959; fav-mrwrightc7
todaytomorrow0000ford	1988-01-01T00:00:00Z	1988	Ford, Henry, 1863-1947	Today and tomorrow	eng	internetarchivebooks; printdisabled; fav-bookman9876; fav-goldennuggets; fav-jay_russell670; fav-luis_garmendia; fav-robert111444; fav-stevenponce; fav-vadiraja_rao_m_k
henryfordletter00ford	1923-01-01T00:00:00Z	1923	Ford, Henry, 1863-1947, author, correspondent	Henry Ford letter to Judge R.A. Parker, dated Dearborn, Mich., 14 July 1923	eng	smithsonian
guidebookforedis00henr	1937-01-01T00:00:00Z	1937	Henry Ford Museum and Greenfield Village; Ford, Henry, 1863-1947	A guide book for the Edison Institute Museum and Greenfield Village	eng	illinoishistoryandlincoln; university_of_illinois_urbana-champaign; americana; fav-vitoballs
caseagainstlittl00ford	1916-01-01T00:00:00Z	1916	Ford, Henry, 1863-1947	The case against the little white slaver [microform], volumes I, II, III and IV	eng	transcluding; ColumbiaUniversityLibraries; microfilm; americana; fav-fwenfarmer; fav-littlelishka; fav-mrwrightc7
mylifework00ford	1922-01-01T00:00:00Z	1922	Ford, Henry, 1863-1947	My life and work	eng	internetarchivebooks; americana; fav-andwhatsnext; fav-aru13; fav-aveholle; fav-bacoleii; fav-cctu_pico_sena; fav-deniz39; fav-fullertonm; fav-in_der_b_cherei; fav-konrad_sui; fav-
365ofhenryfordss00ford	1923-01-01T00:00:00Z	1923	Ford, Henry, 1863-1947	365 of Henry Ford's sayings	eng	tischlibrary; blc; americana; fav-andwhatsnext; fav-du_h; fav-frydtjof; fav-goldennuggets; fav-littlelishka; fav-mjuninn; fav-summerbabe; fav-tayyab12
mylifework0000ford	1973-01-01T00:00:00Z	1973	Ford, Henry, 1863-1947	My life and work	eng	internetarchivebooks; inlibrary; printdisabled; fav-j_-s_boire; fav-mjuninn; fav-rajat_bhatia409; fav-zufeal; americanuniversity-ol; dartmouthlibrary-ol; ithacacollege-ol; johnshop
fordidealsbeings00fordiala	1922-01-01T00:00:00Z	1922	Ford, Henry, 1863-1947	Ford ideals : being a selection from "Mr. Ford's page" in The Dearborn Independent	eng	cdl; americana; fav-abdul_fattah398; fav-aristo25; fav-goldennuggets; fav-lil_mami_apos_tu_apos_; fav-littlelishka; fav-mrwrightc7
henryedselfordl00ford	1939-01-01T00:00:00Z	1939	Ford, Henry, 1863-1947, author, correspondent	Henry and Edsel Ford letter to Albert W. Howard, dated Ford Motor Company, Office of the President, Rouge Plant, Dearborn, Michigan, 1 August 1939	eng	smithsonian
mylifework00ford_0	1922-01-01T00:00:00Z	1922	Ford, Henry, 1863-1947	My life and work	eng	Princeton; americana; fav-mahmoud_mahmoud918
meinlebenundwerk00forduoft	1923-01-01T00:00:00Z	1923	Ford, Henry, 1863-1947	Mein Leben und Werk. Unter Mitwirkung von Samuel Crowther	ger	robarts; toronto; university_of_toronto; fav-baxan8; fav-mmos; fav-ostara1989
mylifeandwork07213gut			Ford, Henry, 1863-1947	My Life and Work	eng	gutenberg; fav-agnieszka; fav-pjs_pereira; fav-tompcharles_yahoo_fr
fordonmanagement0000ford	1991-01-01T00:00:00Z	1991	Ford, Henry, 1863-1947	Ford on management	eng	internetarchivebooks; inlibrary; printdisabled; fav-ceedrico; fav-jamesey92; fav-mrwrightc7; dartmouthlibrary-ol; johnshopkins-ol; occidentalcollegelibrary-ol
