# numFound=165 rows=165 query=creator:"Ford, Henry"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
washingtonandhi02fordgoog	1918-01-01T00:00:00Z	1918	Ford, Henry Jones, 1851-1925	Washington and his colleagues; a chronicle of the rise and fall of federalism	eng	americana
woodrowwilsonman02ford	1916-01-01T00:00:00Z	1916	Ford, Henry Jones, 1851-1925	Woodrow Wilson, the man and his work;	eng	library_of_congress; americana; fav-streetsbeatz; fav-trishtrinitron
wodeshenghuoyugo0000ford	2005-01-01T00:00:00Z	2005	Ford, Henry, 1863-1947	Wo de sheng huo yu gong zuo	chi	popularchinesebooks; internetarchivebooks; inlibrary; printdisabled
woodrowwilsonma00fordgoog	1916-01-01T00:00:00Z	1916	Ford, Henry Jones, 1851-1925	Woodrow Wilson, the man and his work;	eng	americana
representativego0000unse_j9a3	1924-01-01T00:00:00Z	1924	Ford, Henry Jones, 1851-1925	Representative government	eng	internetarchivebooks; fav-jacobo_00
risefallrevoluti00fordrich	1918-01-01T00:00:00Z	1918	Ford, Henry Jones, 1851-1925	Washington and his colleagues; a chronicle of the rise and fall of federalism	eng	cdl; americana
fordidealsbeing00fordgoog	1926-01-01T00:00:00Z	1926	Ford, Henry, 1863-1947	Ford ideals	eng	americana; fav-aristo25; fav-brian_mayer; fav-du_h; fav-jwile62; fav-kasper_thorslund_hansen
todaytomorrow0000ford_t6y5	1926-01-01T00:00:00Z	1926	Ford, Henry; Crowther, Samuel	Today and Tomorrow	eng	internetarchivebooks
alexanderhamilt00fordgoog	1920-01-01T00:00:00Z	1920	Ford, Henry Jones, 1851-1925	Alexander Hamilton,	eng	americana
irishinamer00fordrich	1915-01-01T00:00:00Z	1915	Ford, Henry Jones, 1851-1925	The Scotch-Irish in America	eng	cdl; americana; fav-carly_orem; fav-cascadiarising; fav-coolsky147; fav-evolnhoj; fav-j_glastonbury; fav-jartman; fav-kornstudio; fav-mary_letson; fav-piptay123; fav-poetrychick; f
mylifework0000unse	1922-01-01T00:00:00Z	1922	Ford, Henry, 1863-1947	My life and work	eng	trent_university; internetarchivebooks; fav-frankfor; fav-stig223
mylifeworkautobi0000ford	2012-01-01T00:00:00Z	2012	Ford, Henry, 1863-1947	My life and work : an autobiography of Henry Ford	eng	internetarchivebooks; inlibrary; printdisabled; fav-billybob419; fav-david_england; fav-ed_wards; fav-fab959; fav-hawkseked222; fav-in_der_b_cherei; fav-jamesey92; fav-jayant_singh
historyofhamilto01ford	1881-01-01T00:00:00Z	1881	Ford, Henry A., comp; Ford, Kate B., joint comp; Williams, L.A. & co., Cleveland, O., pub	History of Hamilton County, Ohio, with illustrations and biographical sketches	eng	library_of_congress; americana; fav-avstock; fav-beccaforste; fav-bradley_in_dc; fav-cclift; fav-crop1963; fav-earlofpineapple; fav-genbvillelibrary; fav-gillyfield; fav-historybra
jstor-1009980	1904-03-01T00:00:00Z	1904	Ford, Henry Jones	Principles of Municipal Organization	eng	jstor_annaameracadpoli; jstor_ejc; journals
jstor-1945788	1915-02-01T00:00:00Z	1915	Ford, Henry Jones	[untitled] The American Political Science Review (1915-02-01), page 185	eng	jstor_amerpoliscierevi; jstor_ejc; journals
jstor-1944949	1910-11-01T00:00:00Z	1910	Ford, Henry Jones	[untitled] The American Political Science Review, (1910-11-01), pages 614-616	eng	jstor_amerpoliscierevi; jstor_ejc; journals
humanenvironment0000unse	1970-01-01T00:00:00Z	1970	Ford, Henry, II, 1917-1987	The human environment and business	eng	internetarchivebooks; inlibrary; printdisabled
jstor-1009287	1900-03-01T00:00:00Z	1900	Ford, Henry Jones	[untitled] Annals of the American Academy of Political and Social Science, (1900-03-01), pages 133-134	eng	jstor_annaameracadpoli; jstor_ejc; journals
expandedannotate0000ford	2013-01-01T00:00:00Z	2013	Ford, Henry, 1863-1947	The expanded and annotated My life and work : Henry Ford's universal code for world-class success	eng	internetarchivebooks; printdisabled; fav-fab959; fav-mrwrightc7
jstor-1944644	1915-05-01T00:00:00Z	1915	Ford, Henry Jones	[untitled] The American Political Science Review, (1915-05-01), pages 409-410	eng	jstor_amerpoliscierevi; jstor_ejc; journals
jstor-1946194	1914-08-01T00:00:00Z	1914	Ford, Henry J.	[untitled] The American Political Science Review, (1914-08-01), pages 514-515	eng	jstor_amerpoliscierevi; jstor_ejc; journals
mylifework0000ford_y6k1	2003-01-01T00:00:00Z	2003	Ford, Henry, 1863-1947	My life and work	eng	internetarchivebooks; printdisabled; fav-b_rger89; fav-fab959; fav-mrwrightc7
henryfordletter00ford	1923-01-01T00:00:00Z	1923	Ford, Henry, 1863-1947, author, correspondent	Henry Ford letter to Judge R.A. Parker, dated Dearborn, Mich., 14 July 1923	eng	smithsonian
dli.ministry.17618	1929-01-01T00:00:00Z	1929	Ford, Henry	My Philosophy Industry	eng	digitallibraryindia; JaiGyan; fav-magnesamdal
naturalhistorys00fordgoog	1915-01-01T00:00:00Z	1915	Ford, Henry Jones, 1851-1925	The natural history of the state: an introduction to political science	eng	americana; fav-thegreenflyingkiwi
in.ernet.dli.2015.143020	1916-01-01T00:00:00Z	1916	Ford,henry Jones	Woodrow Wilson The Man And His Work	eng	digitallibraryindia; JaiGyan
clevelanderaach02fordgoog	1919-01-01T00:00:00Z	1919	Ford, Henry Jones, 1851-1925	The Cleveland era; a chronicle of the new order politics	eng	americana; fav-head_wizard
jstor-3038567	1909-01-01T00:00:00Z	1909	Ford, Henry Jones	Discussion	eng	jstor_procamerpoliscie; jstor_ejc; journals
jstor-2141060	1907-09-01T00:00:00Z	1907	Ford, Henry Jones	The Ethics of Empire	eng	jstor_polisciequar; jstor_ejc; journals
jstor-1946406	1915-11-01T00:00:00Z	1915	Ford, Henry Jones	[untitled] The American Political Science Review, (1915-11-01), pages 803-804	eng	jstor_amerpoliscierevi; jstor_ejc; journals
jstor-1944890	1911-08-01T00:00:00Z	1911	Ford, Henry Jones	[untitled] The American Political Science Review, (1911-08-01), pages 476-477	eng	jstor_amerpoliscierevi; jstor_ejc; journals
dli.ernet.527298	1922-01-01T00:00:00Z	1922	Ford Henry	My Life and Work(1922)	eng	digitallibraryindia; JaiGyan
historyofputnamm00ford	1860-01-01T00:00:00Z	1860	Ford, Henry Allen	The history of Putnam and Marshall counties : embracing an account of the settlement ... of Bureau and Stark counties, with an appendix, containing notices of old settlers ... list	eng	illinois_state_lib; carli_lib; americana; fav-cawils03; fav-sernagerardo; fav-thejennsmith
mylifework00ford	1922-01-01T00:00:00Z	1922	Ford, Henry, 1863-1947	My life and work	eng	internetarchivebooks; americana; fav-andwhatsnext; fav-aru13; fav-aveholle; fav-bacoleii; fav-cctu_pico_sena; fav-deniz39; fav-fullertonm; fav-in_der_b_cherei; fav-konrad_sui; fav-
islepinesanessa00volugoog	1920-01-01T00:00:00Z	1920	Worthington Chauncey Ford, Henry Neville , Club of Odd Volumes	The Isle of Pines, 1668: An Essay in Bibliography	English	americana
clevelanderachro0000ford	1919-01-01T00:00:00Z	1919	Ford, Henry Jones, 1851-1925	The Cleveland era : a chronicle of the new order in politics	eng	internetarchivebooks; fav-rrb1776; fav-stinkers
jstor-1009538	1899-07-01T00:00:00Z	1899	Ford, Henry Jones	[untitled] Annals of the American Academy of Political and Social Science, (1899-07-01), pages 115-117	eng	jstor_annaameracadpoli; jstor_ejc; journals
jstor-1946195	1914-08-01T00:00:00Z	1914	Ford, Henry J.	[untitled] The American Political Science Review, (1914-08-01), pages 515-516	eng	jstor_amerpoliscierevi; jstor_ejc; journals
jstor-1010921	1907-05-01T00:00:00Z	1907	Ford, Henry Jones	[untitled] Annals of the American Academy of Political and Social Science, (1907-05-01), pages 223-225	eng	jstor_annaameracadpoli; jstor_ejc; journals
jstor-1012540	1912-09-01T00:00:00Z	1912	Ford, Henry Jones	Direct Legislation and the Recall	eng	jstor_annaameracadpoli; jstor_ejc; journals
jstor-2762622	1909-07-01T00:00:00Z	1909	Ford, Henry Jones	The Pretensions of Sociology	eng	jstor_amerjsoci; jstor_ejc; journals
jstor-1945975	1919-08-01T00:00:00Z	1919	Ford, Henry Jones	[untitled] The American Political Science Review, (1919-08-01), pages 505-506	eng	jstor_amerpoliscierevi; jstor_ejc; journals
naturalhistoryof00forduoft	1915-01-01T00:00:00Z	1915	Ford, Henry Jones, 1851-1925	The natural history of the state; an introduction to political science	eng	robarts; toronto; university_of_toronto; fav-flora_low
cu31924100538879	1916-01-01T00:00:00Z	1916	Ford, Henry Jones, 1851-1925	Woodrow Wilson, the man and his work;	eng	cornell; americana
clevelanderaach01fordgoog	1919-01-01T00:00:00Z	1919	Ford, Henry Jones, 1851-1925	The Cleveland era; a chronicle of the new order politics	eng	americana
