identifier	year	lang	kind	note
bub_gb_B2EtVC2qYw8C	1822	ger	原著	Ueber deutsche Erziehung ... Keilhau
bub_gb_SwUZBYgEJnMC	1840	ger	原著	Entwurf eines Planes zur Begründung eines KinderGartens
bub_gb_kmc0AQAAMAAJ	1862	ger	原著-编集	Gesammelte pädagogische Schriften（Lange 编）
bub_gb_xhwBAAAAYAAJ	1862	ger	原著-编集	Gesammelte pädagogische Schriften
bub_gb_SMoJAQAAIAAJ	1863	ger	原著-编集	Die Menschenerziehung und Aufsätze
10762804bsb	1863	ger	原著-编集	Gesammelte pädagogische Schriften 1,2
aidstofamilygove00meyeuoft	1879	eng	**他人著作**	Bertha Meyer 著「according to Froebel」（含 Spencer）
definitionsanda00frgoog	1881	eng	**另一个人**	**Karl Friedrich Fröbel**（侄子）Definitions and axioms
friedrichfrbels00frgoog	1883	ger	原著-编集	Menschen-erziehung, Erziehungs-, Unterrichts- und Lehrkunst
mutterundkoseli00frgoog	1883	ger	原著	Mutter- und Kose Lieder
educationofman00froe	1885	eng	译本	The education of man（Jarvis 译）
laeducacindelh01fr	1885	spa	译本	La educación del hombre（Núñez 译）
educationman00frgoog	1885	eng	译本	The Education of Man
educationman02frgoog	1886	eng	译本	The Education of Man
autobiooffriedri00froeiala	1886	eng	译本-编	Autobiography（Moore/Michaelis 编译）
educationofman0000frie_b2d7	1886	eng	译本	The Education of Man
educationman00unkngoog	1886	eng	译本	The Education of Man（Hailmann）
educationman02hailgoog	1887	eng	译本	The Education of Man（Hailmann）
froebelmaterial00payngoog	1887	eng	**他人著作**	Froebel: Materials to Aid a Comprehension（Michaelis/Payne）
internationaledu0005will	1887	—	译本-丛书	International Education Series（Harris 编）
educationman00hailgoog	1887	eng	译本	The Education of Man（Hailmann）
educationman00froegoog	1887	eng	译本	The Education of Man（Hailmann）
educationofman0000unse_w1m0	1887	eng	译本	the education of man
educationofman00fruoft	1887	eng	译本	The education of man（Hailmann）
educationman01hailgoog	1887	eng	译本	The Education of Man（Hailmann）
educationofman00fr2	1887	eng	译本	The education of man（Hailmann 译）
educationofman0000frie	1887	eng	译本	The Education Of Man
educationman01frgoog	1887	eng	译本	The Education of Man
motherssongsgame00fruoft	1888	eng	译本	Mother's songs, games and stories
laeducacindelh00fr	1888	spa	译本	La educación del hombre（Núñez 译/Hailmann 编）
autobiographyoff00fr	1889	eng	译本-编	Autobiography（Michaelis/Moore）
autobiographyfr01moorgoog	1889	eng	译本-编	Autobiography
autobiographyoff00frob	1889	eng	译本-编	Autobiography
FroebelEducazioneUomo	1889	ita	译本	L Educazione Dell Uomo
autobiographyfr00moorgoog	1889	eng	译本-编	Autobiography
educationofman00f	1890	eng	译本	The education of man（Hailmann 译）
autobiographyoff00froeiala	1891	eng	译本-编	Autobiography
froebelsletterso00froe	1891	eng	译本-编	Froebel's letters on the kindergarten（Poesche 译）
lettersonkinderg00friala	1891	eng	译本-编	Letters on the kindergarten
froebelsletters00poesgoog	1891	eng	译本-编	Froebel's Letters on the Kindergarten
