# numFound=51 rows=51 query=(creator:"Fröbel, Friedrich" OR creator:"Froebel, Friedrich" OR creator:"Frobel, Friedrich")
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
educationofman00fr	1901-01-01T00:00:00Z	1901	Fröbel, Friedrich, 1782-1852; Hailmann, W. N. (William Nicholas), 1836-1920	The education of man	eng	uconn_libraries; blc; americana; fav-beagiss; fav-delon108
froebelschiefwri00frrich	1912-01-01T00:00:00Z	1912	Fröbel, Friedrich, 1782-1852; Fletcher, Samuel Sigmund Fechheimer; Welton, James, 1854-1942	Froebel's chief writings on education	eng	cdl; americana
friedrichfroebel02fr	1902-01-01T00:00:00Z	1902	Fröbel, Friedrich, 1782-1852; Jarvis, Josephine, [from old catalog] tr	Friedrich Froebel's Education by development	eng	library_of_congress; americana; fav-collapsiblelung; fav-jahanzeb_shah
autobiographyoff00frob	1889-01-01T00:00:00Z	1889	Fröbel, Friedrich, 1782-1852; Michaelis, Emilie; Moore, H. Keatley, b. 1846	Autobiography of Friedrich Froebel	eng	cdl; americana
friedrichfroebe01jarvgoog	1895-01-01T00:00:00Z	1895	Froebel, Friedrich Wilhelm August, 1782-1852. [from old catalog]; Jarvis, Josephine., [from old catalog] tr	Friedrich Froebel's pedagogics of the kindergarten	eng	americana; fav-vcerv
autobiographyoff00fruoft	1906-01-01T00:00:00Z	1906	Fröbel, Friedrich, 1782-1852; Michaelis, Emilie; Moore, Henry Keatley, 1846-	Autobiography of Friedrich Froebel	eng	robarts; toronto; university_of_toronto; fav-jahanzeb_shah; fav-kenneth_lau
froebelletters00friala	1893-01-01T00:00:00Z	1893	Fröbel, Friedrich, 1782-1852; Heinemann, Arnold H	Froebel letters;	eng	cdl; americana; fav-jo_o_francisco_allochio_filho; fav-p-naut; fav-vitaminb12wastaken
mottoescommentar00frrich	1895-01-01T00:00:00Z	1895	Fröbel, Friedrich, 1782-1852; Eliot, Henrietta R. (Henrietta Robins Mack), b. 1845; Blow, Susan E. (Susan Elizabeth), 1843-1916	The mottoes and commentaries of Friedrich Froebel's Mother play	eng	cdl; americana; fav-spetee56
motherplaynurser00froe	1906-01-01T00:00:00Z	1906	Froebel, Friedrich Wilhelm August, 1782-1852. [from old catalog]; Peabody, Elizabeth Palmer, 1804-1894, [from old catalog] ed; Dwight, Fannie E., [from old catalog] tr; Jarvis, Jos	Mother-play and nursery songs;	eng	library_of_congress; americana; fav-cascadiarising; fav-coco789; fav-keila100pre; fav-ojibwagirl; fav-theschoolyard; fav-winter_freeze
autobiographyoff00froeiala	1891-01-01T00:00:00Z	1891	Froebel, Friedrich, 1782-1852; Michaelis, Emilie; Moore, H. Keatley, b. 1846	Autobiography of Friedrich Froebel	eng	cdl; americana
laeducacindelh00fr	1888-01-01T00:00:00Z	1888	Fröbel, Friedrich, 1782-1852; Núñez, José Abelardo, 1840- [from old catalog] tr; Hailmann, William Nicholas, 1836- [from old catalog] ed	La educación del hombre	spa	library_of_congress; americana
friedrichfroebel00froe	1902-01-01T00:00:00Z	1902	Froebel, Friedrich Wilhelm August, 1782-1852. [from old catalog]; Jarvis, Josephine, [from old catalog] tr	Friedrich Froebel's Education by development, the second part of the Pedagogics of the kindergarten;	eng	americana
friedrichfroebe02jarvgoog	1899-01-01T00:00:00Z	1899	Froebel, Friedrich Wilhelm August, 1782-1852. [from old catalog]; Jarvis, Josephine, [from old catalog] tr	Friedrich Froebel's Education by development	eng	americana; fav-bibliteca_materialista; fav-mia_dimitrova
educationofman00frrich	1896-01-01T00:00:00Z	1896	Fröbel, Friedrich, 1782-1852; Hailmann, William Nicholas, 1836-1920, tr	The education of man ;	eng	cdl; americana; fav-jahanzeb_shah; fav-jehme; fav-jocelynshafferneese; fav-spyro5972; fav-zuzo_the_original
richfroebelfried00frrich	1909-01-01T00:00:00Z	1909	Fröbel, Friedrich, 1782-1852	Friedrich Froebel's pedagogics of the kindergarten, or, His ideas concerning the play and playthings of the child;	eng	cdl; americana; fav-cascadiarising; fav-elora_crawford; fav-jo_o_francisco_allochio_filho
lettersonkinderg00friala	1891-01-01T00:00:00Z	1891	Fröbel, Friedrich, 1782-1852; Michaelis, Emilie; Moore, H. Keatley, b. 1846	Letters on the kindergarten	eng	cdl; americana; fav-jo_o_francisco_allochio_filho
educationofman00f	1890-01-01T00:00:00Z	1890	Fröbel, Friedrich, 1782-1852; Hailmann, William Nicholas, 1836- [from old catalog] tr	The education of man	eng	library_of_congress; americana; fav-jahanzeb_shah
10762804bsb	1863-01-01T00:00:00Z	1863	Fröbel, Friedrich	Friedrich Fröbel's gesammelte pädagogische Schriften. 1,2	German	german-online-libraries; booksbylanguage_german; booksbylanguage
songsandmusicfr00compgoog	1895-01-01T00:00:00Z	1895	Friedrich Fröbel , Friedrich Wilhelm August Froebel, Susan Elizabeth Blow, D . Appleton and Company	The Songs and Music of Friedrich Froebel's Mother Play (Mutter und Kose Lieder)	English	americana; fav-patricia_otro; fav-rose687
friedrichfroebel03fr	1895-01-01T00:00:00Z	1895	Fröbel, Friedrich, 1782-1852; Jarvis, Josephine, [from old catalog] tr	Friedrich Froebel's pedagogics of the kindergarten	eng	library_of_congress; americana; fav-collapsiblelung
FroebelEducazioneUomo	1889-01-01T00:00:00Z	1889	Fröbel, Friedrich	L Educazione Dell Uomo	ita	bibliotechetorino; europeanlibraries; fav-nytnat; fav-silvia_busilacchi
educationofman00froe	1885-01-01T00:00:00Z	1885	Froebel, Friedrich [Wilhelm August], 1782-1852. [from old catalog]; Jarvis, Josephine, [from old catalog] tr	The education of man	eng	americana; fav-anon3242; fav-apdi_shakur; fav-autumnjohnson; fav-drewblanco; fav-fabalish; fav-iroquoian_reda; fav-jkatz55; fav-loretta22; fav-neenscrame; fav-rebekah_perrin; fav-s
friedrichfroebel01fr	1903-01-01T00:00:00Z	1903	Fröbel, Friedrich, 1782-1852; Jarvis, Josephine, [from old catalog] tr	Friedrich Froebel's Education by development, the second part of the Pedagogics of the kindergarten;	eng	library_of_congress; americana; fav-jennifer_avila291
friedrichfroebe03jarvgoog	1895-01-01T00:00:00Z	1895	Froebel, Friedrich Wilhelm August, 1782-1852. [from old catalog]; Jarvis, Josephine., [from old catalog] tr	Friedrich Froebel's pedagogics of the kindergarten	eng	americana; fav-sara_cacciatori
educationofman00fruoft	1887-01-01T00:00:00Z	1887	Fröbel, Friedrich, 1782-1852; Hailmann, William Nicholas, 1836-1920	The education of man	eng	oiseut; toronto; university_of_toronto; fav-ching_hui_li; fav-jahanzeb_shah; fav-jays197; fav-jotahum; fav-lt_grimm; fav-mindykatt; fav-miss_portinari
froebelschiefwri00fruoft	1912-01-01T00:00:00Z	1912	Fröbel, Friedrich, 1782-1852; Fletcher, S. S. F. (Samuel Sigmund Fechheimer); Welton, James, 1854-	Froebel's chief writings on education	eng	oiseut; toronto; university_of_toronto
froebelsletterso00froe	1891-01-01T00:00:00Z	1891	Froebel, Friedrich [Wilhelm August], 1782-1852. [from old catalog]; Poesche, Hermann, 1826- [from old catalog] tr; Michaelis, Emilie, [from old catalog] ed; Moore, H. Keatley, [fro	Froebel's letters on the kindergarten;	eng	americana; fav-beardedchildren
friedrichfroebel00fr	1899-01-01T00:00:00Z	1899	Fröbel, Friedrich, 1782-1852; Jarvis, Josephine, [from old catalog] tr	Friedrich Froebel's Education by development	eng	library_of_congress; americana; fav-aracelis; fav-dkgg
autobiographyoff00frbe	1908-01-01T00:00:00Z	1908	Fröbel, Friedrich, 1782-1852; Michaelis, Emilie; Moore, Henry Keatley, 1846-	Autobiography of Friedrich Froebel	eng	robarts; toronto; university_of_toronto; fav-jahanzeb_shah
aidstofamilygove00meyeuoft	1879-01-01T00:00:00Z	1879	Meyer, Bertha, 1822-1896; Fröbel, Friedrich, 1782-1852; Spencer, Herbert, 1820-1903	Aids to family government, or, From the cradle to the school, according to Froebel [microform]	eng	oiseut; toronto; university_of_toronto
autobiographyoff00fr	1889-01-01T00:00:00Z	1889	Fröbel, Friedrich, 1782-1852; Michaelis, Emilie; Moore, Henry Keatley, b. 1846	Autobiography of Friedrich Froebel	eng	library_of_congress; americana; fav-adriana_peynado; fav-caio_sato; fav-jahanzeb_shah; fav-jo_o_francisco_allochio_filho
bub_gb_kmc0AQAAMAAJ	1862-01-01T00:00:00Z	1862	Fröbel, Friedrich, 1782-1852; Lange, Wichard, 1826-1884	Friedrich Fröbel's Gesammelte pädogogische schriften	ger	americana
motherssongsgame00fruoft	1888-01-01T00:00:00Z	1888	Fröbel, Friedrich, 1782-1852	Mother's songs, games and stories : Fröbel's "Mutter- und Kose-Lieder"	eng	oiseut; toronto; university_of_toronto; fav-cascadiarising; fav-collapsiblelung; fav-dax_mc; fav-elora_crawford; fav-q_han; fav-rebekah_perrin; fav-theschoolyard
autobiography00fruoft	1908-01-01T00:00:00Z	1908	Fröbel, Friedrich, 1782-1852	Autobiography;	eng	robarts; toronto; university_of_toronto
autobiooffriedri00froeiala	1886-01-01T00:00:00Z	1886	Froebel, Friedrich, 1782-1852; Moore, H. Keatley, b. 1846; Michaelis, Emilie	Autobiography of Friedrich Froebel	eng	cdl; americana; fav-caecixl; fav-vitaminb12wastaken
