# numFound=61 rows=61 query=(creator:"Fröbel, Friedrich Wilhelm August" OR creator:"Froebel, Friedrich Wilhelm August" OR title:"Menschenerziehung" OR creator:"Fröbel, Friedrich")
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
songsmusicoffrie00fr	1901-01-01T00:00:00Z	1901	Fröbel, Friedrich, 1782-1852; Blow, Susan E. (Susan Elizabeth), 1843-1916, ed	The songs and music of Friedrich Froebel's Mother play (Mutter und kose lieder)	eng	library_of_congress; americana; fav-feya_; fav-winter_freeze
mottoescommentar00frrich	1895-01-01T00:00:00Z	1895	Fröbel, Friedrich, 1782-1852; Eliot, Henrietta R. (Henrietta Robins Mack), b. 1845; Blow, Susan E. (Susan Elizabeth), 1843-1916	The mottoes and commentaries of Friedrich Froebel's Mother play	eng	cdl; americana; fav-spetee56
motherplaynurser00froe	1906-01-01T00:00:00Z	1906	Froebel, Friedrich Wilhelm August, 1782-1852. [from old catalog]; Peabody, Elizabeth Palmer, 1804-1894, [from old catalog] ed; Dwight, Fannie E., [from old catalog] tr; Jarvis, Jos	Mother-play and nursery songs;	eng	library_of_congress; americana; fav-cascadiarising; fav-coco789; fav-keila100pre; fav-ojibwagirl; fav-theschoolyard; fav-winter_freeze
friedrichfroebel00froe	1902-01-01T00:00:00Z	1902	Froebel, Friedrich Wilhelm August, 1782-1852. [from old catalog]; Jarvis, Josephine, [from old catalog] tr	Friedrich Froebel's Education by development, the second part of the Pedagogics of the kindergarten;	eng	americana
10724494bsb	1811-01-01T00:00:00Z	1811	Graser, Johann Baptist	Divinität oder das Princip der einzig wahren Menschenerziehung: mit besonderer Anwendung auf eine neue daraus hervorgehende Elementar-Unterrichts-Methode : Mit vier Tabellen auf St	German	german-online-libraries; booksbylanguage_german; booksbylanguage
motherssongsgame00fruoft	1888-01-01T00:00:00Z	1888	Fröbel, Friedrich, 1782-1852	Mother's songs, games and stories : Fröbel's "Mutter- und Kose-Lieder"	eng	oiseut; toronto; university_of_toronto; fav-cascadiarising; fav-collapsiblelung; fav-dax_mc; fav-elora_crawford; fav-q_han; fav-rebekah_perrin; fav-theschoolyard
frauengedankenb00megegoog	1907-01-01T00:00:00Z	1907	Marie zur Megede , Werner Zur Megede	Frauengedanken über Menschenerziehung	German	americana; fav-gbvpaiva
autobiographyoff00frbe	1908-01-01T00:00:00Z	1908	Fröbel, Friedrich, 1782-1852; Michaelis, Emilie; Moore, Henry Keatley, 1846-	Autobiography of Friedrich Froebel	eng	robarts; toronto; university_of_toronto; fav-jahanzeb_shah
friedrichfroebe02jarvgoog	1899-01-01T00:00:00Z	1899	Froebel, Friedrich Wilhelm August, 1782-1852. [from old catalog]; Jarvis, Josephine, [from old catalog] tr	Friedrich Froebel's Education by development	eng	americana; fav-bibliteca_materialista; fav-mia_dimitrova
11771832bsb	1814-01-01T00:00:00Z	1814	Jaeck, Heinrich Joachim	Kurze Darstellung des Graserischen Werkes: Divinität oder das Prinzip der einzig wahren Menschenerziehung	German	german-online-libraries; booksbylanguage_german; booksbylanguage
educationofman00fr	1901-01-01T00:00:00Z	1901	Fröbel, Friedrich, 1782-1852; Hailmann, W. N. (William Nicholas), 1836-1920	The education of man	eng	uconn_libraries; blc; americana; fav-beagiss; fav-delon108
studentsfroebel01herfgoog	1896-01-01T00:00:00Z	1896	Fröbel, Friedrich, 1782-1852; Herford, W. H. (William Henry), 1820-1908	The student's Froebel adapted from Die erziehung der menschheit of F. Froebel	eng	americana
10762804bsb	1863-01-01T00:00:00Z	1863	Fröbel, Friedrich	Friedrich Fröbel's gesammelte pädagogische Schriften. 1,2	German	german-online-libraries; booksbylanguage_german; booksbylanguage
10763136bsb	1814-01-01T00:00:00Z	1814	Jaeck, Heinrich Joachim	Kurze Darstellung des Graserischen Werkes: Divinität oder das Prinzip der einzig wahren Menschenerziehung	German	german-online-libraries; booksbylanguage_german; booksbylanguage
autobiographyoff00fruoft	1906-01-01T00:00:00Z	1906	Fröbel, Friedrich, 1782-1852; Michaelis, Emilie; Moore, Henry Keatley, 1846-	Autobiography of Friedrich Froebel	eng	robarts; toronto; university_of_toronto; fav-jahanzeb_shah; fav-kenneth_lau
11928222bsb	1813-01-01T00:00:00Z	1813	Graser, Johann Baptist	Divinität oder das Prinzip der einzigen wahren Menschenerziehung: mit besonderer Anwendung auf eine neue daraus hervorgehende Elementar-Unterrichts-Methode	German	german-online-libraries; booksbylanguage_german; booksbylanguage
educationofman00fr2	1887-01-01T00:00:00Z	1887	Fröbel, Friedrich, 1782-1852; Hailmann, William Nicholas, 1836- [from old catalog] tr	The education of man	eng	library_of_congress; americana; fav-delon108; fav-jo_o_francisco_allochio_filho; fav-mctuck
lettersonkinderg00friala	1891-01-01T00:00:00Z	1891	Fröbel, Friedrich, 1782-1852; Michaelis, Emilie; Moore, H. Keatley, b. 1846	Letters on the kindergarten	eng	cdl; americana; fav-jo_o_francisco_allochio_filho
educationofman00frbe	1903-01-01T00:00:00Z	1903	Fröbel, Friedrich, 1782-1852; Hailmann, W. N. (William Nicholas), 1836-1920, tr	The education of man	eng; ger	library_of_congress; americana; fav-anamaria836; fav-anon3242; fav-deba611; fav-jahanzeb_shah; fav-kenneth_lau; fav-williamss856
10724495bsb	1813-01-01T00:00:00Z	1813	Graser, Johann Baptist	Divinität oder das Prinzip der einzigen wahren Menschenerziehung: mit besonderer Anwendung auf eine neue daraus hervorgehende Elementar-Unterrichts-Methode	German	german-online-libraries; booksbylanguage_german; booksbylanguage
friedrichfroebe03jarvgoog	1895-01-01T00:00:00Z	1895	Froebel, Friedrich Wilhelm August, 1782-1852. [from old catalog]; Jarvis, Josephine., [from old catalog] tr	Friedrich Froebel's pedagogics of the kindergarten	eng	americana; fav-sara_cacciatori
friedrichfroebel01fr	1903-01-01T00:00:00Z	1903	Fröbel, Friedrich, 1782-1852; Jarvis, Josephine, [from old catalog] tr	Friedrich Froebel's Education by development, the second part of the Pedagogics of the kindergarten;	eng	library_of_congress; americana; fav-jennifer_avila291
