# numFound=47 rows=47 query=creator:"Howard, Albert"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
in.ernet.dli.2015.45769	1908-01-01T00:00:00Z	1908	Howard, Albert	On Flax Dodder	eng	digitallibraryindia; JaiGyan; fav-sarsmy
preachingchristi0000john_n3y8	1957-01-01T00:00:00Z	1957	Johnson, Howard Albert, 1915-	Preaching the Christian year	eng	internetarchivebooks; printdisabled; inlibrary
in.ernet.dli.2015.206285	1924-01-01T00:00:00Z	1924	Howard Albert	Crop-production In India	eng	digitallibraryindia; JaiGyan; fav-neel707; fav-sgulick1
dli.ernet.5754	1924-01-01T00:00:00Z	1924	Howard Albert	Crop Production In India	eng	digitallibraryindia; JaiGyan; fav-9172suerc; fav-rohit_jha168
indexverborvmcsv00howa	1922-01-01T00:00:00Z	1922	Howard, Albert Andrew, 1858-1925; Jackson, Carl Newell	Index verborvm C. Svetoni Tranqvilli stiliqve eivs propreitatvm nonnvllarm, confecervnt Albertvs Andreas Howard [et] Carolvs NewellJackson	ita	pimslibrary; toronto; university_of_toronto; fav-clavius
allengreenoughsn01alle	1903-01-01T00:00:00Z	1903	Allen, Joseph Henry, 1820-1898; Greenough, J. B. (James Bradstreet), 1833-1901, joint author; Kittredge, George Lyman, 1860-1941; Howard, Albert Andrew, 1858-1925; D'Ooge, Benjamin	Allen and Greenough's New Latin grammar for schools and colleges	eng	library_of_congress; americana; fav-2jules; fav-bab_osman; fav-burlingame; fav-christina_gagne; fav-claudiusclaudianus; fav-drnn1076; fav-ivy_s; fav-knownlandadmin; fav-laichar; fa
interchurchhymna0000fran_s0t5	1946-01-01T00:00:00Z	1946	Frank A. Morgan | Katharine Howard | Albert W. Palmer	Inter-Church Hymnal	eng	internetarchivebooks; printdisabled; inlibrary
allenandgreenou02howagoog	1896-01-01T00:00:00Z	1896	Allen, Joseph Henry, 1820-1898; Greenough, J. B. (James Bradstreet), 1833-1901, joint author; Howard, Albert Andrew, 1858-1925	Allen and Greenough's shorter Latin grammar for schools and academies	eng; lat	americana; fav-cereberg
jstor-310461	1890-01-01T00:00:00Z	1890	Howard, Albert A.	On the Use of the Perfect Infinitive in Latin with the Force of the Present	eng	jstor_harvstudclasphil; jstor_ejc; journals
in.ernet.dli.2015.122393	1927-01-01T00:00:00Z	1927	Howard, Albert	India Of Today The Development Of Indian Agriculture Vol. Iii	eng	digitallibraryindia; JaiGyan
in.ernet.dli.2015.239057	1927-01-01T00:00:00Z	1927	Howard Albert	The Development Of India Agricuture	eng	digitallibraryindia; JaiGyan; fav-9172suerc
in.ernet.dli.2015.208641	1929-01-01T00:00:00Z	1929	Howard Albert	The Application Of Science To Crop-prodiction	eng	digitallibraryindia; JaiGyan; fav-9172suerc; fav-rohit_jha168; fav-sgulick1
cu31924031242153	1915-01-01T00:00:00Z	1915	Howard, Albert Andrew, 1858-1925, ed	Latin selections, illustrating public life in the Roman commonwealth in the time of Cicero	eng	cornell; americana
dli.ernet.233441	1924-01-01T00:00:00Z	1924	Howard Albert	Crop Production In India	eng	digitallibraryindia; JaiGyan; fav-kenpal
istheregod0000stev	2003-01-01T00:00:00Z	2003	Stevens, H. A. (Howard Albert), 1945-	Is there a god???	eng	internetarchivebooks; inlibrary; printdisabled
jstor-310316	1906-01-01T00:00:00Z	1906	Howard, Albert A.	Valerius Antias and Livy	eng	jstor_harvstudclasphil; jstor_ejc; journals; fav-shmhz72
in.ernet.dli.2015.39080	1909-01-01T00:00:00Z	1909	Howard, Albert	Fruit Experiments At Pusa	eng	digitallibraryindia; JaiGyan
kierkegaardcriti0000john	1962-01-01T00:00:00Z	1962	Johnson, Howard Albert, 1915- ed	A Kierkegaard critique; an international selection of essays interpreting Kierkegaard	eng	internetarchivebooks; printdisabled; inlibrary; fav-yangzheng_lin
preachingchristi0000john	1957-01-01T00:00:00Z	1957	Johnson, Howard Albert, 1915- ed	Preaching the Christian year	eng	claremont_school_of_theology; internetarchivebooks; inlibrary; printdisabled; fav-4u6u2702
jstor-261805	1908-07-01T00:00:00Z	1908	Howard, Albert A.	[untitled] Classical Philology, (1908-07-01), pages 350-352	eng	jstor_clasphil; jstor_ejc; journals
dli.ernet.240869	1915-01-01T00:00:00Z	1915	Howard Albert A	Latin Selections	eng	digitallibraryindia; JaiGyan; fav-chapalan; fav-trendyweb1
