identifier	year	role	title
bub_gb_QqetAAAAMAAJ	1770	former owner	Commentaries on the laws of England（Blackstone 著）
bim_eighteenth-century_a-summary-view-of-the-ri_jefferson-thomas_1774	1774	author	A summary view of the rights of British America
bim_eighteenth-century_a-summary-view-of-the-ri_jefferson-thomas_1774_0	1774	author	A summary view（另一扫描件）
southerndele00maryrich	1774	co-creator	A dialogue between a southern delegate and his spouse
summaryviewofrig00jeff_0	1774	author	A summary view
summaryviewofrig00jeff_1	1774	author	A summary view
summaryviewofrig00jeff	1774	author	A summary view
yhm-spe-rob-aa03a	1774	author	A Dialogue between a Southern delegate and his spouse
volante-de-dunlap-declaracion-de-la-independencia	1776	author	Volante De Dunlap（独立宣言西译）
service-rbc-rbc0001-2004-2004pe76546-2004pe76546_202505	1776	author	Declaration of Independence（Dunlap 印本）
declaracion-de-independencia	1776	author	Declaración De Independencia
version-final-de-la-declaracion-de-la-independencia	1776	author	Versión Final De La Declaración
McGillLibrary-rbsc_lc_political-miscellaneous_lande00255-16542	1779	former owner	Political, miscellaneous and philosophical pieces（Franklin 著）
politicalmiscel00frangoog	1779	former owner	同上（另一扫描件）
letterbookofgene00linc	1779	recipient	Letter book of General Lincoln（含致 Jefferson 的信）
letterbookofgene00linc_0	1779	recipient	同上（另一扫描件）
lettertothomasje00mass	1780	recipient	Letter to Thomas Jefferson（Massei 写）
lettertonathanea00jeff	1780	author	Letter to Nathanael Greene（**他写的**）
lettertothomasje00nels	1781	recipient	Letter to Thomas Jefferson（Nelson 写）
bim_eighteenth-century_notes-on-the-state-of-vi_jefferson-thomas_1782	1782	author	Notes on the state of Virginia
lettertothomasje00livi	1783	recipient	Letter to Thomas Jefferson（Livingston 写）
bub_gb_G0P3_aTlowUC	1784	former owner	Select works of the Emperor Julian
bim_eighteenth-century_notes-on-the-establimen_jefferson-thomas_1784	1784	author	Notes on the establishment of a money unit
bub_gb_r2SKoxbZo7MC	1784	author	Notes on the establishment of a money unit
bim_eighteenth-century_draught-of-a-fundamental_jefferson-thomas_1784	1784	author	Draught of a fundamental constitution
notesonestablism00jeff	1785	author	Notes on the establishment of a money unit
ldpd_5943221_000	1785	author	Notes on the establishment of a money unit
tudesconomiques00fovigoog	1786	author	Draught of a fundamental constitution
observationssurl00jeff	1786	author	Observations sur la Virginie（与 Morellet）
bim_eighteenth-century_notes-on-the-state-of-vi_jefferson-thomas_1787	1787	author	Notes on the state of Virginia
McGillLibrary-129176-4896	1787	former owner	Histoire de la derniere guerre（Leboucher 著）
notesonstateofvi1787jeff	1787	author	Notes on the state of Virginia
aberms.jeffersont.1790.07.04	1790	author	Letter from Thomas Jefferson to Maria Jefferson
bub_gb_AOWdxtAbZWwC	1790	contributor	Report of the secretary of state
returnofwholenum00unitrich	1791	signer	Return of the whole number of persons
reportofsecretar00unit_9	1791	contributor	Report of the secretary of state
cihm_39120	1792	author	Papers relative to Great-Britain（与 Hammond）
2573025R.nlm.nih.gov	1793	dedicatee	Tentamen medicum inaugurale（Stokes 著，题献给他）
bim_eighteenth-century_authentic-copies-of-the-_jefferson-thomas-presi_1794	1794	author	Authentic copies of the correspondence
2568056R.nlm.nih.gov	1794	dedicatee	An inaugural dissertation（Rose 著，题献给他）
bim_eighteenth-century_authentic-copies-of-the-_jefferson-thomas-presi_1794_0	1794	author	Authentic copies（另一扫描件）
bim_eighteenth-century_notes-on-the-state-of-vi_jefferson-thomas_1794	1794	author	Notes on the state of Virginia
newviewsoforigin00bartarch	1797	co-creator	New views of the origin of the tribes（与 Barton）
jstor-1005097	1799	author	Barometrical Measurement of the Blue-Ridge
jstor-1005103	1799	author	A Memoir on the Discovery of Certain Bones
