# numFound=696 rows=200 query=creator:"Jefferson, Thomas"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
treatiseonpoliti00destuoft	1817-01-01T00:00:00Z	1817	Destutt de Tracy, Antoine Louis Claude, comte, 1754-1836; Jefferson, Thomas, 1743-1826	A treatise on political economy; to which is prefixed a preceding work on the understanding; or Elements of ideology; with an analytical table, and a introduction on the faculty of	eng	robarts; toronto; university_of_toronto; fav-antigubernarementis; fav-bunny33; fav-clussoxx; fav-gawkingon; fav-kanki; fav-leeifrankjaw; fav-lu_prado_
virginiareports04gratgoog	1900-01-01T00:00:00Z	1900	Michie, Thomas Johnson, 1867-; Jefferson, Thomas, 1743-1826; Grattan, Peachy R. (Peachy Ridgway), 1801-1881	Virginia reports : Jefferson--33 Grattan, 1730-1880	eng	americana
virginiareports05gratgoog	1900-01-01T00:00:00Z	1900	Michie, Thomas Johnson, 1867-; Jefferson, Thomas, 1743-1826; Grattan, Peachy R. (Peachy Ridgway), 1801-1881	Virginia reports : Jefferson--33 Grattan, 1730-1880	eng	americana
virginiakentucky00jeff	1832-01-01T00:00:00Z	1832	Jefferson, Thomas, 1743-1826; Madison, James, 1751-1836; Calhoun, John C. (John Caldwell), 1782-1850; Elliot, Jonathan, 1784-1846, comp	The Virginia and Kentucky resolutions of 1798 and '99; with Jefferson's original draught thereof. Also, Madison's report, Calhoun's address, resolutions of the several states in re	eng	library_of_congress; americana; fav-stephen_maclean; fav-thelatasia
gpl_1600362	1806-01-01T00:00:00Z	1806	Jefferson, Thomas	The memorial of the merchants & traders of the city of Baltimore	eng	George_Peabody_Library; Johns_Hopkins_University; americana
historyexpediti05jeffgoog	1893-01-01T00:00:00Z	1893	Lewis, Meriwether, 1774-1809; Clark, William, 1770-1838; Coues, Elliott, 1842-1899; Jefferson, Thomas, 1743-1826	History of the expedition under the command of Lewis and Clark : to the sources of the Missouri River, thence across the Rocky Mountains and down the Columbia River to the Pacific 	eng	americana
historyofgreece02mitfuoft	1808-01-01T00:00:00Z	1808	Mitford, William, 1744-1827; Jefferson, Thomas, 1743-1826, former owner. DLC; Thomas Jefferson Library Collection (Library of Congress) DLC	The history of Greece	eng	robarts; toronto; university_of_toronto; fav-born2bblue
constitutionofununit	1828-01-01T00:00:00Z	1828	United States. Congress (20th, 1st : 1827-1828); Jefferson, Thomas, 1743-1826. Manual of parliamentary practice	The Constitution of the United States of America : the rules of the Senate, and of the House of Representatives : with Jefferson's Manual	eng	lincolncollection; americana; fav-crypticmind2474; fav-jdrgp2; fav-joe_guajardo; fav-rjhealth
familylettersoft00jeff	1966-01-01T00:00:00Z	1966	Jefferson, Thomas, 1743-1826. cn; Betts, Edwin Morris, 1892-1958, ed. cn; Bear, James Adam, ed. dn	The family letters of Thomas Jefferson	eng	internetarchivebooks; inlibrary; printdisabled; fav-deelflowers; fav-fabio_ferni; fav-joe_crab_t; fav-learned_southron; fav-sandytheo
bertoluccisdream0000klin	1987-01-01T00:00:00Z	1987	Kline, T. Jefferson (Thomas Jefferson), 1942-	Bertolucci's dream loom : a psychoanalytic study of cinema	eng	internetarchivebooks; printdisabled; fav-av_iid; fav-awaozer; fav-kkeisho; fav-saifopenlibrary
cu31924026091581	1869-01-01T00:00:00Z	1869	Jefferson, Thomas, 1743-1826	The writings of Thomas Jefferson : being his autobiography, correspondence, reports, messages, addresses, and other writings, official and private. Pub. by the order of the Joint C	eng	cornell; americana
cu31924071238426	1861-01-01T00:00:00Z	1861	Jefferson, Thomas, 1743-1826; Washington, H. A. (Henry Augustine), 1820-1858	The writings of Thomas Jefferson: being his autobiography, correspondence, reports, messages, addresses, and other writings, official and private	eng	cornell; americana
cu31924071238442	1861-01-01T00:00:00Z	1861	Jefferson, Thomas, 1743-1826; Washington, H. A. (Henry Augustine), 1820-1858	The writings of Thomas Jefferson: being his autobiography, correspondence, reports, messages, addresses, and other writings, official and private	eng	cornell; americana
cu31924071238467	1861-01-01T00:00:00Z	1861	Jefferson, Thomas, 1743-1826; Washington, H. A. (Henry Augustine), 1820-1858	The writings of Thomas Jefferson: being his autobiography, correspondence, reports, messages, addresses, and other writings, official and private	eng	cornell; americana; fav-daggerface67
cu31924092892037	1904-01-01T00:00:00Z	1904	Jefferson, Thomas, 1743-1826; Ford, Paul Leicester, 1865-1902, ed	The works of Thomas Jefferson;	eng	cornell; americana; fav-jdrgp2; fav-lostokie
