identifier	year	lang	work
immanuelkantpap00kant	1744	ger	Immanuel Kant papers, 1744-1905?
00074230bsb	1746	German	Gedanken von der wahren Schätzung der lebendigen Kräfte
11427758bsb	1755	German	Allgemeine Naturgeschichte und Theorie des Himmels
00076033bsb	1755	German	Allgemeine Naturgeschichte und Theorie des Himmels
10927047bsb	1763	German	Versuch den Begriff der negativen Größen
10046174bsb	1763	German	Versuch den Begriff der negativen Größen
11273286bsb	1763	German	Der einzig mögliche Beweisgrund
10927128bsb	1763	German	Versuch den Begriff der negativen Größen
11760849bsb	1763	German	Der einzig mögliche Beweisgrund
11273288bsb	1766	German	Träume eines Geistersehers
11435232bsb	1766	German	Träume eines Geistersehers
10927046bsb	1766	German	Träume eines Geistersehers
11916175bsb	1766	German	Träume eines Geistersehers
10927129bsb	1766	German	Träume eines Geistersehers
10927050bsb	1766	German	Träume eines Geistersehers
10927085bsb	1770	German	Der einzige mögliche Beweis vom Daseyn Gottes
11273289bsb	1770	German	Der einzig mögliche Beweis vom Daseyn Gottes
11916172bsb	1771	German	Beobachtungen über das Gefühl des Schönen und Erhabenen
10927049bsb	1771	German	Beobachtungen über das Gefühl des Schönen und Erhabenen
10927130bsb	1771	German	Beobachtungen über das Gefühl des Schönen und Erhabenen
gri_33125009315587	1771	ger	Beobachtungen über das Gefühl（含 Hartknoch）
00073694bsb	1781	German	Critik der reinen Vernunft
11916159bsb	1781	German	Critik der reinen Vernunft
CritiqueOfPureReason_201304	1781	eng	Critique Of Pure Reason（英译）
11916153bsb	1783	German	Prolegomena
10927045bsb	1783	German	Prolegomena
11760824bsb	1783	German	Prolegomena
10926990bsb	1785	German	Grundlegung zur Metaphysik der Sitten
11916165bsb	1785	German	Grundlegung zur Metaphysik der Sitten
10927034bsb	1786	German	Metaphysische Anfangsgründe der Naturwissenschaft
11845780bsb	1786	German	Metaphysische Anfangsgründe der Naturwissenschaft
critikderreinen02kantgoog	1787	ger	Critik der reinen Vernunft
in.ernet.dli.2015.149681	1787	eng	Kritik Der Reinen Vernunft Ed.2nd
b28738615	1787	ger	Metaphysische Anfangsgründe der Naturwissenschaft
10927035bsb	1787	German	Metaphysische Anfangsgründe der Naturwissenschaft
10702868bsb	1787	German	Critik der reinen Vernunft
bub_gb_Oc0AAAAAcAAJ	1787	ger	Metaphysische Anfangsgründe der Naturwissenschaft
11916156bsb	1787	German	Critik der reinen Vernunft
critikderreinen01kantgoog	1787	ger	Critik der reinen Vernunft
bub_gb_qZEPAAAAQAAJ	1787	ger	Critik der reinen Vernunft
