# numFound=1032 rows=200 query=creator:"Kant, Immanuel"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
analyticofbeauti0000kant	1963-01-01T00:00:00Z	1963	Kant, Immanuel, 1724-1804	Analytic of the beautiful, from the Critique of judgment. With excerpts from Anthropology from a pragmatic viewpoint. second book	eng	marygrovecollege; internetarchivebooks; americana; printdisabled; inlibrary; fav-keila100pre
analyticofbeauti00kant	1963-01-01T00:00:00Z	1963	Kant, Immanuel, 1724-1804	Analytic of the beautiful, from the Critique of judgment. With excerpts from Anthropology from a pragmatic viewpoint, second book	eng	internetarchivebooks; printdisabled; inlibrary; fav-keyday
11273316bsb	1838-01-01T00:00:00Z	1838	Kant, Immanuel	Immanuel Kant's Werke. 5	German	german-online-libraries; booksbylanguage_german; booksbylanguage
aje7738.0003.001.umich.edu	1873-01-01T00:00:00Z	1873	Kant, Immanuel, 1724-1804; Cohen, Hermann, 1842-1918; Valentiner, Theodor, ed; Vorländer, Karl, 1860-1928, ed; Kinkel, Waler, 1871- ed; Schiele, Friedrich Michael, 1867- ed; Buek, 	Sämtliche werke ..	ger	michigan_books; americana; fav-dj_bumo; fav-gakrum; fav-italo2016; fav-mit_einem_t; fav-watchlar
educationaltheor0000kant	1904-01-01T00:00:00Z	1904	Kant, Immanuel, 1724-1804	The Educational theory of Immanual Kant	eng	internetarchivebooks; fav-dilbag_singh; fav-haci_etinkaya; fav-user611254; fav-warushiru
11760846bsb	1795-01-01T00:00:00Z	1795	Kant, Immanuel	Iman. Kant zwo Abhandlungen über moralische und politische Gegenstände	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11278335bsb	1802-01-01T00:00:00Z	1802	Kant, Immanuel	Immanuel Kant's physische Geographie. 2	German	german-online-libraries; booksbylanguage_german; booksbylanguage
fondementpourlam0000kant	2000-01-01T00:00:00Z	2000	Kant, Immanuel, 1724-1804	Fondement pour la métaphysique des moeurs	fre	internetarchivebooks; inlibrary; printdisabled
werkeingemeinsch0010kant	1912-01-01T00:00:00Z	1912	Kant, Immanuel, 1724-1804	Werke, in Gemeinschaft mit Hermann Cohen [et al.]	ger	internetarchivebooks; graduatetheologicalunion
werkeingemeinsch0003kant	1912-01-01T00:00:00Z	1912	Kant, Immanuel, 1724-1804	Werke, in Gemeinschaft mit Hermann Cohen [et al.]	ger	internetarchivebooks; graduatetheologicalunion; fav-hansblumenberg; fav-watchlar
werkeingemeinsch0004kant	1912-01-01T00:00:00Z	1912	Kant, Immanuel, 1724-1804	Werke, in Gemeinschaft mit Hermann Cohen [et al.]	ger	internetarchivebooks; graduatetheologicalunion; fav-canrits; fav-carlos_noyola; fav-watchlar
cu31924029021950	1915-01-01T00:00:00Z	1915	Kant, Immanuel, 1724-1804	Kant's critical philosophy for English readers	eng	cornell; americana; fav-jay_duh; fav-lancearaiza; fav-matsudo
india.history.resource.90167	1881-01-01T00:00:00Z	1881	Kant, Immanuel; Muller, F. Max (Tr.); Noire, Ludwig	Immanuel Kant’s Critique of Pure Reason, in Commemoration of the Centenary of its first publication	eng	IndiaHistory; JaiGyan
11916156bsb	1787-01-01T00:00:00Z	1787	Kant, Immanuel	Critik der reinen Vernunft	German	german-online-libraries; booksbylanguage_german; booksbylanguage
critiquedelarai02kantgoog	1845-01-01T00:00:00Z	1845	Kant, Immanuel	La critique de la raison pure. Tome premier	fre	americana; fav-petterquille
critiquedelarai02tissgoog	1845-01-01T00:00:00Z	1845	Kant, Immanuel, 1724-1804; Tissot, J. (Joseph), 1801-1876. tr	Critique de la raison pure	fre	europeanlibraries; fav-benhabel
critiquepurerea05kantgoog	1901-01-01T00:00:00Z	1901	Kant, Immanuel, 1724-1804	Critique of pure reason	eng	americana; fav-balancerstudio; fav-peter1001r
b24885046	1912-01-01T00:00:00Z	1912	Kant, Immanuel, 1724-1804. n 79021614; Vorländer, Karl, 1860-1928. n 87896699	Anthropologie in pragmatischer Hinsicht	ger	wellcomelibrary; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary; fav-archilocus; fav-david_johann_lensing; fav-felippe_silva; fav-heuler_unseen_is; fav-jm15xy; fa
bub_gb_mIdQAAAAYAAJ	1838-01-01T00:00:00Z	1838	Kant, Immanuel, 1724-1804	Immanuel Kant's Werke, sorgfaltig revidirte Gesammtausgabe in zehn Bänden	ger	americana
bub_gb_tawUAAAAQAAJ	1800-01-01T00:00:00Z	1800	Kant, Immanuel, 1724-1804	Anthropologie in pragmatischer Hinsicht abgefasst, [Immanuel Kant]	ger	europeanlibraries; fav-gaultierdeleau; fav-lirabarba; fav-minette1993
10044864bsb	1795-01-01T00:00:00Z	1795	Kant, Immanuel	Critik der reinen Vernunft. 2	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11916179bsb	1797-01-01T00:00:00Z	1797	Kant, Immanuel	I. Kants Sämmtliche kleine Schriften: Nach der Zeitfolge geordnet. 3	German	german-online-libraries; booksbylanguage_german; booksbylanguage
kant-della-forza-dell-animo	1828-01-01T00:00:00Z	1828	Kant, Immanuel	Della Forza Dell'Animo	ita	testifilosofiascienzaitaliani; europeanlibraries
11172289bsb	1898-01-01T00:00:00Z	1898	Kant, Immanuel	Lose Blätter aus Kants Nachlass. 3	German	german-online-libraries; booksbylanguage_german; booksbylanguage
bub_gb_Oc0AAAAAcAAJ	1787-01-01T00:00:00Z	1787	Kant, Immanuel, 1724-1804	Metaphysische Anfangsgründe der Naturwissenschaft	ger	americana
immanuelkantsgru00kant	1870-01-01T00:00:00Z	1870	Kant, Immanuel, 1724-1804; Kirchmann, J. H. von (Julius Hermann), 1802-1884	Immanuel Kant's Grundlegung zur metaphysik der sitten	ger	uconn_libraries; blc; americana; fav-czytelnik102; fav-dynamiclc; fav-gakrum; fav-harpocrates887; fav-kansonai; fav-navis_nau; fav-oli_oil; fav-patton13; fav-petervanderputten; fav
11763485bsb	1803-01-01T00:00:00Z	1803	Kant, Immanuel	Immanuel Kants physische Geographie. 3,1	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11171882bsb	1912-01-01T00:00:00Z	1912	Kant, Immanuel	Anthropologie in pragmatischer Hinsicht. 44	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11163859bsb	1873-01-01T00:00:00Z	1873	Kant, Immanuel	Die vier lateinischen Dissertationen: Herausgegeben von J. H. von Kirchmann. (Inhalt: Meditalionum quarundam de igue succincta delineation .. - Metaphysicae cum geometria junetae u	German	german-online-libraries; booksbylanguage_german; booksbylanguage
briefwechselvoni01kant	1912-01-01T00:00:00Z	1912	Kant, Immanuel, 1724-1804; Fischer, H. E. (H. Ernst), 1881-	Briefwechsel von Imm. Kant	ger	robarts; toronto; university_of_toronto; fav-emre_bektas; fav-euthydemus
briefwechselvoni02kant	1912-01-01T00:00:00Z	1912	Kant, Immanuel, 1724-1804; Fischer, H. E. (H. Ernst), 1881-	Briefwechsel von Imm. Kant	ger	robarts; toronto; university_of_toronto
11017958bsb	1872-01-01T00:00:00Z	1872	Kant, Immanuel	Kritik der Urtheilskraft. 9	German	german-online-libraries; booksbylanguage_german; booksbylanguage
dli.ministry.13241	1926-01-01T00:00:00Z	1926	Kant, Immanuel; Abbott, Thomas Kingsmill	Fundamental principles of the metaphysics of ethics	eng	digitallibraryindia; JaiGyan
bub_gb_7rI_AAAAYAAJ	1803-01-01T00:00:00Z	1803	Kant, Immanuel, 1724-1804	Immanuel Kant's physische Geographie	ger	europeanlibraries
bub_gb_nsALAAAAIAAJ	1902-01-01T00:00:00Z	1902	Kant, Immanuel, 1724-1804; Holger, Katharina; Gerreshelm, Eduard; Heidemann, Ingeborg; Martin, Gottfried, 1901-; Preussische Akademie der Wissenschaften; Deutsche Akademie der Wiss	Gesammelte Schriften	ger	americana; fav-gakrum; fav-stirner
essentialkant00kant	1970-01-01T00:00:00Z	1970	Kant, Immanuel, 1724-1804; Zweig, Arnulf, ed	The essential Kant	eng	internetarchivebooks; inlibrary; printdisabled; fav-an_ach1153; fav-davidpizza22; fav-iansc007; fav-inesrobalo; fav-manikhe; fav-peter_voivodoff; fav-qateralnada; fav-uri_aurora; f
10137396bsb	1868-01-01T00:00:00Z	1868	Kant, Immanuel	Immanuel Kant's sämmtliche Werke: in chronologischer Reihenfolge. 8	German	german-online-libraries; booksbylanguage_german; booksbylanguage
metaphysischean01kantgoog	1990-01-01T00:00:00Z	1990	Kant, Immanuel, 1724-1804; Ludwig, Bernd	Metaphysische Anfangsgründe der Tugendlehre : Metaphysik der Sitten, zwieter Teil	ger	europeanlibraries
metaphysicofethi00kantiala	1871-01-01T00:00:00Z	1871	Kant, Immanuel, 1724-1804; Semple, John William, d. 1842; Calderwood, Henry, 1830-1897	The metaphysic of ethics	eng	cdl; americana; fav-lovetoreadtheory
b28764523	1799-01-01T00:00:00Z	1799	Kant, Immanuel, 1724-1804. n 79021614	Anthropologie in pragmatischer Hinsicht abgefasst	ger	wellcomelibrary; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary; fav-knownlandadmin
Kant-polmica-CRP			Kant, Immanuel	Immanuel Kant - La polémica sobre la Crítica de la Razón Pura (respuesta a Eberhard)	spa	booksbylanguage_spanish; booksbylanguage; fav-carlos_noyola; fav-ebl191; fav-fernando_jaramillo556; fav-jorge_canarias; fav-learnyu; fav-lordsith2714; fav-pcruz; fav-phormugos; fav
KantAntropologiaPrammatica	1921-01-01T00:00:00Z	1921	Kant, Immanuel	Antropologia Prammatica	ita	bibliotechetorino; europeanlibraries; fav-francesca_masci592; fav-giandy; fav-leone_baraldi; fav-shmhz72
11760824bsb	1783-01-01T00:00:00Z	1783	Kant, Immanuel	Prolegomena zu einer jeden künftigen Metaphysik die als Wissenschaft wird auftreten können	German	german-online-libraries; booksbylanguage_german; booksbylanguage
ProlegomeniKantMartinetti	1913-01-01T00:00:00Z	1913	Kant, Immanuel	Prolegomeni ad ogni metafisica futura che vorrà presentarsi come scienza	ita	bibliotechetorino; europeanlibraries; fav-a_lesilio; fav-alspinelli; fav-attilio_lesilio; fav-mari42306
kritikderurteils0001kant	1983-01-01T00:00:00Z	1983	Kant, Immanuel 1724-1804 Verfasser	Kritik der Urteilskraft und Schriften zur Naturphilosophie	ger	internetarchivebooks; inlibrary; printdisabled
werkeingemeinsch01kantuoft	1922-01-01T00:00:00Z	1922	Kant, Immanuel, 1724-1804; Cassirer, Ernst, 1874-1945	Werke. In Gemeinschaft mit Hermann Cohen [et al.] hrsg. von Ernst Cassirer	ger	robarts; toronto; university_of_toronto; fav-fabduc
11273297bsb	1796-01-01T00:00:00Z	1796	Kant, Immanuel	Theorie der reinmoralischen Religion: mit Rücksicht auf das reine Christenthum kurz dargestellt	German	german-online-libraries; booksbylanguage_german; booksbylanguage
kantsgesammeltes13kant	1910-01-01T00:00:00Z	1910	Kant, Immanuel, 1724-1804; Deutsche Akademie der Wissenschaften zu Berlin	Kant's gesammelte Schriften	ger	kellylibrary; toronto; university_of_toronto; fav-daniil_nikel; fav-erenkeskin; fav-gakrum; fav-martin_borm
kantsprolegomena00kantuoft	1902-01-01T00:00:00Z	1902	Kant, Immanuel, 1724-1804; Carus, Paul, 1852-1919	Kant's Prolegomena to any future metaphysics	eng	kellylibrary; toronto; university_of_toronto; fav-aristo25; fav-aru13; fav-john_deluca; fav-jonnad12; fav-lil_1256; fav-lily_yohn; fav-pinkdress1011; fav-pjconcierge; fav-ramy78; f
00074230bsb	1746-01-01T00:00:00Z	1746	Kant, Immanuel	Gedanken von der wahren Schätzung der lebendigen Kräfte und Beurtheilung der Beweise derer sich Herr von Leibnitz und andere Mechaniker in dieser Streitsache bedienet haben: nebst 	German	german-online-libraries; booksbylanguage_german; booksbylanguage
