# numFound=337 rows=337 query=creator:"Leonardo, da Vinci"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
bub_gb_q7wDAAAAYAAJ	1882-01-01T00:00:00Z	1882	Leonardo, da Vinci, 1452-1519; Ludwig, Heinrich, 1829-1897	Das Buch von der Malerei	ger	americana
b28755959_0002	1786-01-01T00:00:00Z	1786	Leonardo, da Vinci, 1452-1519. n 79034525; Hollar, Wenceslaus, 1607-1677, engr. n 50034895; Portland Museum. n 80081212	Characaturas [sic]	eng	wellcomelibrary; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary; fav-arneojostristes; fav-gray333; fav-kinsella7; fav-laureno827; fav-marigerm; fav-rene_cruz651; 
dasbuchvondermal01leonuoft	1882-01-01T00:00:00Z	1882	Leonardo, da Vinci, 1452-1519; Biblioteca apostolica vaticana. MSS. (Urb. lat. 1270); Ludwig, Heinrich, 1829-1897	Das Buch von der Malerei. Nach dem Codex vaticanus (Urbinas) 1270, hrsg., übers. und erläutert von Heinrich Ludwig	ger	robarts; toronto; university_of_toronto
clevelandart-1923.348-beatrice-d-este	1895-01-01T00:00:00Z	1895	Samuel Arlent-Edwards (American, 1862–1938); Leonardo da Vinci (Italian, 1452–1519)	Beatrice D'Este		clevelandart; fav-19omhs72; fav-oho_blanco
bub_gb_IAtAAAAAIAAJ	1920-01-01T00:00:00Z	1920	Leonardo (da Vinci)	Leonardo Da Vinci	German	americana
8ldvc			Leonardo Da Vinci	The Notebooks of Leonardo Da Vinci, Complete		gutenberg; fav-19omhs72; fav-april_e; fav-cabrabesol; fav-jfejes; fav-mmm_m130; fav-mr_z480; fav-sekolah; fav-terrestial63; fav-the_truth_under_fire; fav-trip_woodruff
atreatiseonpaint00leon	1802-01-01T00:00:00Z	1802	Leonardo, da Vinci, 1452-1519; Rigaud, J. F. (John Francis), 1742-1810; Hawkins, John Sidney, 1758-1842	A treatise on painting	eng	yrlsc; davinci; cdl; americana; fav-ali_55; fav-blewbubbles; fav-dale52; fav-delezen; fav-dragonfly21; fav-drewblanco; fav-jahanzeb_shah; fav-john_wellman; fav-kiraxxz; fav-kokigay
b29288769	1846-01-01T00:00:00Z	1846	Walker, Alexander. n 79126963; Hume; Hogarth. nb2006006103; Burke; Knight. n 95096599; Alison. nb2003053556; Leonardo, da Vinci, 1452-1519. n 79034525; Holting, Gustav. nr 92019802	Beauty: illustrated chiefly by an analysis and classification of beauty in women	eng	wellcomelibrary; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary; fav-19omhs72; fav-breeadams27; fav-burntselena; fav-fernielhobbit; fav-freyjagustafsson; fav-isai
leonardodavincil0000leon	1964-01-01T00:00:00Z	1964	Leonardo, da Vinci, 1452-1519	Leonardo da Vinci : life and work, paintings and drawings	eng	marygrovecollege; internetarchivebooks; americana; inlibrary; printdisabled; fav-artursz; fav-atefmohsen; fav-barry_o_apos_neill; fav-isaiah_hernandez160; fav-jmelgar; fav-joeyborr
8ldv1			Leonardo Da Vinci	The Notebooks of Leonardo Da Vinci, Volume 1		gutenberg
da-vinci-hidden-sketch-virgin-on-the-rocks	1508-01-01T00:00:00Z	1508	Leonardo da Vinci	Da Vinci Hidden Sketch Virgin of The Rocks		opensource_image; community
clevelandart-1916.779-virgin-and-child	2024-06-07T00:00:00Z	2024	Leonardo da Vinci (Italian, 1452–1519)	Virgin and Child		clevelandart; fav-19omhs72; fav-cerebrospinalforest; fav-jsmags; fav-jswhittle; fav-rose0077
clevelandart-1923.328-la-belle-ferronniere	1895-01-01T00:00:00Z	1895	Samuel Arlent-Edwards (American, 1862–1938); Leonardo da Vinci (Italian, 1452–1519)	La Belle Ferronnière		clevelandart; fav-19omhs72; fav-beetsalad
leonardodavinci00thom	1998-01-01T00:00:00Z	1998	David, Thomas, 1967-; David, Thomas. Leonardo da Vinci. Spanish	Leonardo da Vinci : Mona Lisa	spa	internetarchivebooks; printdisabled; fav-adexco; fav-carbrakesbroken; fav-karlina; fav-marumo_mk; fav-saraids; fav-the_story_farmer; fav-yulieth12
gri_33125015154343	1904-01-01T00:00:00Z	1904	Leonardo, da Vinci, 1452-1519	Frammenti letterari e filosofici	ita	getty; americana; fav-19omhs72; fav-carlos_noyola; fav-mimomu; fav-xsocial
gri_33125017557493	1901-01-01T00:00:00Z	1901	Leonardo, da Vinci, 1452-1519	Esquisses et études de têtes. Feuillets inédits, reproduits d'apres les originaux conservés a la Bibliothèque du Chateau de Windsor. Publication honorée de la souscription du	fre	getty; americana; fav-19omhs72; fav-barbara_carnevale; fav-hullajump
gri_33125017557733	1901-01-01T00:00:00Z	1901	Leonardo, da Vinci, 1452-1519	Notes et croquis sur l'anatomie du cheval : feuillets inédits, reproduits d'après les originaux conservés a la Bibliothèque du Chateau de Windsor	fre	getty; americana; fav-19omhs72
desvortreflichen00leon	1747-01-01T00:00:00Z	1747	Leonardo, da Vinci, 1452-1519; Böhm, Johann Georg, 1672 or 3-1746	Des vortreflichen Florentinischen Mahlers Lionardo da Vinci höchst-nützlicher Tractat von der Mahlerey : aus dem Italiänischen und Frantzöischen in das Teutsche übersetzet : auch n	ger	yrlsc; davinci; cdl; americana; fav-19omhs72; fav-deanna_majella; fav-fleur1883; fav-kantiano; fav-kayle_whitham; fav-magnum_opus_1; fav-n_b984; fav-negrete58; fav-patricia_manzano
notebooksleonardo0002unse_r9b7	1970-01-01T00:00:00Z	1970	Leonardo da Vinci	The notebooks of Leonardo Da Vinci	eng	internetarchivebooks; inlibrary; printdisabled; fav-ahnet; fav-albedomercurius; fav-aujala_bahadur; fav-ca_ron_manley; fav-chaton_enrag_; fav-croissante_la; fav-fadwaabbas; fav-fla
bwb_Y0-BCD-475	1932-01-01T00:00:00Z	1932	Leonardo Da Vinci	Master DRaughtsmen Number 2	eng	printdisabled; internetarchivebooks; inlibrary
literaryworksofl02leonuoft	1883-01-01T00:00:00Z	1883	Leonardo, da Vinci, 1452-1519; Richter, Jean Paul, 1847-1937	The literary works of Leonardo da Vinci;	eng	robarts; toronto; university_of_toronto; fav-19omhs72; fav-abiogenesisstudio; fav-ajspain; fav-amanda_nuo; fav-aru13; fav-calutu_ruxandra; fav-christopeach; fav-connie_fu; fav-core
leonardodavincil00anto	2004-01-01T00:00:00Z	2004	Mason, Antony; Leonardo, da Vinci, 1452-1519	Leonardo da Vinci	eng	internetarchivebooks; delawarecountydistrictlibrary; americana; inlibrary; printdisabled; fav-andi_andi; fav-borbotela; fav-cv_collection; fav-emmanuel_adama; fav-gyu95; fav-humbol
mma_four_heads_from_characaturas_by_leonardo_da_vinci_from_drawings_by_wincels_411923	1786-01-01T00:00:00Z	1786	Wenceslaus Hollar (Wenzel Vaclav); Leonardo da Vinci; John Clarke	Four Heads (from Characaturas by Leonardo da Vinci, from Drawings by Wincelslaus Hollar, out of the Portland Museum)		metropolitanmuseumofart-gallery
mma_male_torso_from_the_side_360771	1645-01-01T00:00:00Z	1645	Wenceslaus Hollar (Wenzel Vaclav); Leonardo da Vinci	Male Torso from the Side		metropolitanmuseumofart-gallery; fav-akalien
mma_embroidery_pattern_with_an_oblong_panel_in_its_center_387559	1521-01-01T00:00:00Z	1521	Albrecht Dürer; Leonardo da Vinci	Embroidery Pattern with an Oblong Panel in its Center		metropolitanmuseumofart-gallery; fav-cattt29; fav-jaeliyah; fav-ln158
