identifier	year	role	title
publiclandsinill00linc	1839	author	Public lands in Illinois（州议会委员会）
reportsfromjoint00linc	1840	author	Reports from the Joint Select Committee ... State Bank of Illinois
revolutionaryser00campb	1848	former owner	Revolutionary services and civil life of General William Hull（Campbell 著）
speechofmrlincol4137linc	1848	author	Speech of Mr. Lincoln ... civil and diplomatic appropriation bill
speechofmrlincol00linc	1848	author	Speech of Mr. Lincoln ... reference of the President's message
speechofmrlincol4136linc	1848	author	Speech of Mr. Lincoln ... reference of the President's message
revolutionaryse01clargoog	1848	former owner	Revolutionary services ... William Hull
revolutionaryse00clargoog	1848	former owner	Revolutionary services ... William Hull
williamfullerorl00linc	1848	committee	William Fuller and Orlando Saltmarsh : report
hmbarneymarch91801unit	1848	committee	H. M. Barney : March 9, 1848
speechofmralinco00linc	1848	author	Speech of Mr. A. Lincoln ... June 20, 1848
newspapersubscri01unit	1848	committee	Newspaper subscriptions : March 9, 1848
revolutionaryse00campgoog	1848	former owner	Revolutionary services ... William Hull
buoyingvesselsov00linc	1849	author	Buoying vessels over shoals（专利 6,469 说明书）
buoyingvesselso00linc	1849	author	Buoying vessels over shoals（专利 6,469 说明书）
reportofcommissisenunit	1850	mentioned	Report of the Commissioner of Patents 1849（内含其专利）
reportofcommissiunit	1850	mentioned	Report of the commissioner of patents 1849
canalclaimscommu00illi	1853	co-signer	Canal claims : communication from the Governor
scrapbookonlawpo01robe	1855	former owner	Scrap book on law and politics（Robertson 著）
mexicoitspeasant00wils	1856	former owner	Mexico, its peasants and its priests（Wilson 著）
GR_2494	1857	author	Speech of the Hon. Abram Lincoln, in reply to Judge Douglas
speechofhonabram00linc	1857	author	Speech ... in reply to Judge Douglas, June 26th 1857
speechofhonabrahlinc	1857	author	Speech ... in reply to Judge Douglas, June 26th 1857
campaigninill3407linc	1858	joint	The campaign in Illinois : last joint debate（与 Douglas）
speechofhonabrah00linc	1858	author	Speech ... Springfield, July 17, 1858
proceedingsofrep7982repu	1858	proceedings	Proceedings of the Republican State Convention 1858
speechesofdougla00linc	1858	joint	Speeches of Douglas and Lincoln, Charleston Ill. 1858
proceedingsofr00repu	1858	proceedings	Proceedings of the Republican state convention 1858
campaigninillino00linc	1858	joint	The campaign in Illinois ; Last joint debate
hamiltonslectur01hamiuoft	1859	former owner	Lectures on metaphysics and logic（Hamilton 著）
historyofindepen00beli	1859	former owner	History of Independence Hall（Belisle 著）
douglasenemytono00linc	1859	author	Douglas an enemy to the North
addressofhonabra00inlinc	1860	author	Cooper Institute 演说 1860-02-27
addressofhonabra3561linc	1860	author	Cooper Institute 演说 1860-02-27
lifepublicservic00hinton	1860	about	The life and public services of Hon. Abraham Lincoln（Hinton 著）
lifeofabrahamlin00howa	1860	about	The life of Abraham Lincoln（Howard 著，含演说摘录）
politicaldebates00inlinc	1860	joint	Political debates ... Lincoln and Douglas 1858
proceedingsofre00repu	1860	former owner	Proceedings of the Republican National Convention 1860
lifepublicservic00bartrich	1860	about	The life and public services（Bartlett 著）
earlyspeechesofaconlinc	1860	author	Early speeches of Abraham Lincoln, 1830-1860
politicaldebates01linc	1860	joint	Political debates ... 1858
testimonyofframe00linc	1860	author	The testimony of the framers of the constitution（Cooper Institute）
lifespeechesofab00vose	1860	about	The life and speeches of Abraham Lincoln and Hannibal Hamlin（Vose 编）
lifepublicserv00bart	1860	about	The life and public services（Bartlett 著）
politicaldebat00linc	1860	joint	Political debates ... 1858
livesspeechesofa00howeuoft	1860	about	Lives and speeches of Abraham Lincoln and Hannibal Hamlin（Howells 著）
factsforpeopleva00linc	1860	joint	Facts for the People（含 Lincoln/Trumbull/Douglas 演说）
politicaldebtween00lincrich	1860	joint	Political debates ... 1858
illinoisdail18610212bail	1860	newspaper	Illinois daily state journal（登其告别演说）
lifepublicserv00bart2	1860	about	The life and public services（Bartlett 著，另一扫描件）
