# numFound=54 rows=54 query=creator:"Sullivan, Louis"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
democracymansear0000sull	1961-01-01T00:00:00Z	1961	Sullivan, Louis H., 1856-1924	Democracy: a man-search	eng	internetarchivebooks; printdisabled; inlibrary
jstor-660379	1918-01-01T00:00:00Z	1918	Sullivan, Louis R.	[untitled] American Anthropologist, (1918-01-01), pages 91-92	eng	jstor_ameranth; jstor_ejc; journals
jstor-660228	1917-07-01T00:00:00Z	1917	Sullivan, Louis R.	Growth of the Nasal Bridge in Children	eng	jstor_ameranth; jstor_ejc; journals
testamentofstone00sull	1963-01-01T00:00:00Z	1963	Sullivan, Louis H., 1856-1924; English, Maurice	The testament of stone; themes of idealism and indignation from the writings of Louis Sullivan	eng	internetarchivebooks; inlibrary; printdisabled; fav-arafa1234; fav-calvin_martin_ii; fav-csaldana89; fav-dimitri_from_athens; fav-jscull; fav-m_research; fav-moh_abdo; fav-reader58
louissullivanpub0000sull	1988-01-01T00:00:00Z	1988	Sullivan, Louis H., 1856-1924	Louis Sullivan : the public papers	eng	internetarchivebooks; inlibrary; printdisabled; fav-aapo_fransila; fav-arnageddon; fav-belinda_l_pez_mesa; fav-doggyb; fav-jbushyhead; fav-jscull; fav-kim_doogan; fav-m_research; f
reporttocongress00sull_8	1992-01-01T00:00:00Z	1992	Sullivan, Louis Wade, 1933-; Shalala, Donna E; Jencks, Stephen F; United States. Department of Health and Human Services. Office of the Secretary; United States. Health Care Financ	Report to Congress : monitoring utilization of and access to services for Medicare beneficiaries under physician payment reform	eng	cms-reports; cmslibrary; fedlink; medicalheritagelibrary; americana; medicallibrary
esseanth00sull	1928-01-01T00:00:00Z	1928	Sullivan, Louis R. (Louis Robert), 1892-1925; American Museum of Natural History	Essentials of anthropometry : a handbook for explorers and museum collectors	eng	americanmuseumnaturalhistory; biodiversity; americana; fav-alex_a_dews; fav-heather_cole; fav-rodneyc
contributiontoto00sullrich	1922-01-01T00:00:00Z	1922	Sullivan, Louis R. (Louis Robert), 1892-1925; Gifford, Edward Winslow, 1887-; McKern, W. C. (Will Carleton), 1892-	A contribution to Tongan somatology	eng	cdl; americana
jstor-660632	1918-07-01T00:00:00Z	1918	Sullivan, Louis R.	[untitled] American Anthropologist, (1918-07-01), pages 322-323	eng	jstor_ameranth; jstor_ejc; journals
jstor-660201	1917-01-01T00:00:00Z	1917	Sullivan, Louis R.	Variations in the Glenoid Fossae	eng	jstor_ameranth; jstor_ejc; journals
jstor-83957	1920-03-15T00:00:00Z	1920	Sullivan, Louis R.	Anthropometry of the Siouan Tribes	eng	jstor_procnatiacadscie; jstor_ejc; journals
developmentimple00sull	1992-01-01T00:00:00Z	1992	Sullivan, Louis Wade, 1933-	Development and implementation of a plan to coordinate the physician review activities of peer review organizations and carriers : report to Congress	eng	cms-related-reports; us-congress; cmslibrary; medicalheritagelibrary; fedlink; americana; medicallibrary
democracymansear00sull	1961-01-01T00:00:00Z	1961	Sullivan, Louis H.	Democracy: a man-search	eng	universityoffloridaduplicates; univ_florida_smathers; americana; fav-belinda_l_pez_mesa; fav-darladrury853; fav-firstcaucasoid; fav-nelson_flores_reyes; fav-raksha_thakur
