# numFound=246 rows=200 query=(creator:"Machiavelli, Niccolò" OR creator:"Machiavelli, Niccolo")
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
bub_gb_hepDAAAAYAAJ	1874-01-01T00:00:00Z	1874	Machiavelli, Niccolò, 1469-1527	Le istorie fiorentine di Niccolò Machiavelli ; ridotte alla miglior lezione con le notizie della vita e dell'opere dell'autore	ita	americana
princemach00mach	1992-01-01T00:00:00Z	1992	Machiavelli, Niccolò, 1469-1527; Thompson, N. H	The prince	eng	internetarchivebooks; printdisabled; fav-allybrooke26; fav-andra_hunter; fav-bahadir_koc; fav-crystal_hua; fav-darian_mcmahon; fav-faris_ahmed712; fav-heather_grace; fav-hjonck; fa
MarriageOfBelfagor	1719-01-01T00:00:00Z	1719	Machiavelli, Niccolò, 1469-1527	Marriage Of Belfagor	eng	brynmawrcollege; americana; fav-alessia_p; fav-amadou_m_sarr; fav-christie_jenkins; fav-harpocrates887; fav-jaderek_13; fav-joey_floppa; fav-klotusflower96; fav-lostokie; fav-reddv
dli.ministry.18165	1826-01-01T00:00:00Z	1826	Machiavelli, Niccolo	Opere	eng	digitallibraryindia; JaiGyan
worksofnicholasm03mach	1775-01-01T00:00:00Z	1775	Machiavelli, Niccolò, 1469-1527; John Adams Library (Boston Public Library) BRL; Farneworth, Ellis, d. 1763; Frederick II, King of Prussia, 1712-1786; Adams, John, 1735-1826, forme	The works of Nicholas Machiavel ... : translated from the originals : illustrated with notes, annotations, dissertations, and several new plans on the Art of war	eng	johnadamsBPL; bostonpubliclibrary; americana; fav-d_r_s; fav-hydieio17716; fav-lostokie; fav-manayprasadkushwaha20; fav-mlovew; fav-n_y_sonnet; fav-ravendon
dli.ministry.02746			Machiavelli, Niccolo	The history of florence, and of the affairs of Italy, from the earliest times to the death of Lorenzo the magnificent; together with the prince and various historical tracts	eng	digitallibraryindia; JaiGyan
b30335073	1595-01-01T00:00:00Z	1595	Machiavelli, Niccolò, 1469-1527	The Florentine historie	eng; ita	wellcomelibrary; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary; fav-don_t_drink_paint_water; fav-hunter_marfuggi; fav-jo_o_pedro_martins_pinheiro; fav-pere432
countcarlosforza0000mach	1958-01-01T00:00:00Z	1958	Machiavelli, Niccolò, 1469-1527	Count Carlo Sforza presents the living thoughts of Machiavelli	eng	claremont_school_of_theology; internetarchivebooks; inlibrary; printdisabled; fav-apple22968; fav-conail; fav-jo_o_pedro_martins_pinheiro; fav-scotty747; fav-shay_mar
bim_early-english-books-1641-1700_the-works-of-the-famous-_machiavelli-niccolo_1675_1	1675-01-01T00:00:00Z	1675	Machiavelli, Niccolo.	The works of the famous nicolas machiavel, ... 1675	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm
historyofflorenc00machuoft	1901-01-01T00:00:00Z	1901	Machiavelli, Niccolò, 1469-1527	History of Florence and of the affairs of Italy, from the earliest times to the death of Lorenzo the Magnificent. With an introduction by Hugo Albert Rennert. [Autograph éd. de lux	eng	robarts; toronto; university_of_toronto; fav-d_r_s; fav-trishtrinitron; fav-two_wolves_within
bub_gb_jzPjhqlQI24C	1851-01-01T00:00:00Z	1851	Machiavelli, Niccolò, 1469-1527; Niccolini, Giovanni Battista, 1782-1861	Le istorie fiorentine	ita	europeanlibraries
in.ernet.dli.2015.511998	1872-01-01T00:00:00Z	1872	Machiavelli, Niccolo	From The Earliest Times To The Death Of Lorenzo, The Magnificent Together With The Prince	san	digitallibraryindia; JaiGyan; fav-lucke133
countcarlosforza00mach	1958-01-01T00:00:00Z	1958	Machiavelli, Niccolò, 1469-1527; Sforza, Carlo, conte, 1872-1952	Count Carlo Sforza presents the living thoughts of Machiavelli	eng	internetarchivebooks; americana; inlibrary; printdisabled; fav-arubio; fav-booksearcher; fav-harpocrates887; fav-just4comments; fav-lorenzo358; fav-poorneema; fav-samuel_e_chamberl
theprinceandothe00machuoft	1883-01-01T00:00:00Z	1883	Machiavelli, Niccolò, 1469-1527; Morley, Henry, 1822-1894	The Prince, and other pieces;	eng	robarts; toronto; university_of_toronto; fav-christie_jenkins; fav-dreamer444806; fav-fzkong; fav-julesam78; fav-reo867; fav-stephen_maclean
worksmac02mach	1762-01-01T00:00:00Z	1762	Machiavelli, Niccolò, 1469-1527; Farneworth, Ellis, d. 1763, tr. and ed	Works;	eng; ita	robarts; toronto; university_of_toronto; fav-d_r_s
worksofnicholasm01mach	1775-01-01T00:00:00Z	1775	Machiavelli, Niccolò, 1469-1527; Farneworth, Ellis, d. 1763; Frederick II, King of Prussia, 1712-1786. Anti-Machiavel; Adams, John, 1735-1826, former owner; Boston Public Library) 	The works of Nicholas Machiavel ... : translated from the originals : illustrated with notes, annotations, dissertations, and several new plans on the Art of war	eng	johnadamsBPL; bostonpubliclibrary; americana; fav-d_r_s; fav-hydieio17716; fav-isramilos; fav-lostokie; fav-marsupi; fav-n_y_sonnet; fav-nitin_m8460; fav-noahgrey; fav-oluthe
princerevisedtra00mach	1992-01-01T00:00:00Z	1992	Machiavelli, Niccolo, 1469-1527; Adams, Robert Martin, 1915-	The prince : a revised translation, backgrounds, interpretations, marginalia	eng	internetarchivebooks; americana; inlibrary; printdisabled; fav-adam_a827; fav-debdatta_ghosh; fav-gofretbeyin; fav-jacob_sherburne; fav-lorenzo358; fav-maarchive; fav-mmehmetsahin;
princemac00machuoft	1921-01-01T00:00:00Z	1921	Machiavelli, Niccolò, 1469-1527; Ricci, Luigi	The prince	eng	pimslibrary; harvardclassicssingles; toronto; university_of_toronto; fav-95johnd; fav-9933706; fav-a7mmt; fav-aakash_gupta496; fav-addison_hornstra; fav-adf1025; fav-ajay_mathew325
BRes092070	1813-01-01T00:00:00Z	1813	Machiavelli, Niccolò, 1469-1527	Opere di Niccolò Machiavelli T. 5	ita	bibliotecauniversitariadesevilla; patron-library-collection; fav-jerambam
ilprincipe00machuoft	1891-01-01T00:00:00Z	1891	Machiavelli, Niccolò, 1469-1527; Burd, Laurence Arthur	Il principe	ita	robarts; toronto; university_of_toronto; fav-bincom2210_2; fav-dogspray; fav-germ_n_rivas; fav-ikjot_nijjar; fav-ken_geddes; fav-lola_pelloni; fav-purshotam_yadav549; fav-vickielyn
10078631bsb	1816-01-01T00:00:00Z	1816	Machiavelli, Niccolò	Nicolò Macchiavelli's Geschichte des Castruccio Castracani von Lucca	German	german-online-libraries; booksbylanguage_german; booksbylanguage
diplomaticwritin02machuoft	1882-01-01T00:00:00Z	1882	Machiavelli, Niccolò, 1469-1527; Detmold, Christian Edward, 1810-1887	The historical, political, and diplomatic writings	eng	robarts; toronto; university_of_toronto; fav-drewblanco; fav-lucas_a_silva; fav-slavomira
portablemachiave00mach	1979-01-01T00:00:00Z	1979	Machiavelli, Niccolò, 1469-1527; Bondanella, Peter E., 1943-; Musa, Mark	The portable Machiavelli	eng; ita	internetarchivebooks; americana; printdisabled; fav-1caro; fav-adam_a827; fav-agenia_fanvids; fav-bahadir_koc; fav-breeadams27; fav-charlie75; fav-cwilh604; fav-david_ross905; fav-
scrittiscelti00mach	1956-01-01T00:00:00Z	1956	Machiavelli, Niccolò, 1469-1527; Arangio-Ruiz, Vladimiro, b. 1887, editor	Scritti scelti	ita	internetarchivebooks; inlibrary; printdisabled; fav-giona
bim_eighteenth-century_opere-inedite-di-niccolo_machiavelli-niccol_1760	1760-01-01T00:00:00Z	1760	Machiavelli, Niccolò	Opere inedite di Niccolo' Machiavelli. 1760	English	pub_eighteenth-century; bim_microfilm; microfilm; fav-eddy_convens
bim_early-english-books-1641-1700_machiavels-vindication-_machiavelli-niccolo_1691	1691-01-01T00:00:00Z	1691	Machiavelli, Niccolo	Machiavel's vindication of himself... 1691	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm
bim_early-english-books-1641-1700_machivaels-discourses-_machiavelli-niccolo_1663_0	1663-01-01T00:00:00Z	1663	Machiavelli, Niccolo.	Machivael's discourses ... 1663	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm
princebyniccolom36mach	1965-01-01T00:00:00Z	1965	Machiavelli, Niccolò, 1469-1527; More, Thomas, Sir, Saint, 1478-1535. Utopia; Luther, Martin, 1483-1546. Ninety-five theses; Luther, Martin, 1483-1546. Address to the German nobili	The prince / by Niccolo Machiavelli. Utopia	eng	internetarchivebooks; americana; inlibrary; printdisabled; fav-ahmed_bousnina175; fav-anstep; fav-daniel_tanase; fav-dark_matta; fav-disco75; fav-elizabeth_march; fav-hadikhamis; f
machiavelli00machuoft	1905-01-01T00:00:00Z	1905	Machiavelli, Niccolò, 1469-1527; Cust, Henry, John, 1861-1917	Machiavelli	eng	robarts; toronto; university_of_toronto; fav-0_02570; fav-anika_sarkar373; fav-anstep; fav-aristo25; fav-bwkaplan; fav-callumlovesinternetarchive; fav-doons66; fav-eddy_convens; fa
worksoffamousnic00mach	1720-01-01T00:00:00Z	1720	Machiavelli, Niccolò, 1469-1527; Neville, Henry, 1620-1694	The works of the famous Nicholas Machiavel, citizen and secretary of Florence	eng	clarkartinstitutelibrary; americana; fav-aetherealization; fav-aldenjix; fav-avali536; fav-candycane9; fav-cctu_pico_sena; fav-elizabeth_mackay; fav-lostokie; fav-manayprasadkushwa
BRes092069	1813-01-01T00:00:00Z	1813	Machiavelli, Niccolò, 1469-1527	Opere di Niccolò Machiavelli T. 3	ita	bibliotecauniversitariadesevilla; patron-library-collection; fav-jerambam; fav-jo_o_pedro_martins_pinheiro
BRes092071	1813-01-01T00:00:00Z	1813	Machiavelli, Niccolò, 1469-1527	Opere di Niccolò Machiavelli T. 6	ita	bibliotecauniversitariadesevilla; patron-library-collection; fav-jerambam; fav-jo_o_pedro_martins_pinheiro
isotoriefiorenti02mach	1813-01-01T00:00:00Z	1813	Machiavelli, Niccolò, 1469-1527	Isotorie Fiorentine	ita	robarts; toronto; university_of_toronto
operemach09mach	1804-01-01T00:00:00Z	1804	Machiavelli, Niccolò, 1469-1527	Opere	ita	robarts; toronto; university_of_toronto; fav-christie_jenkins
carteggiodisplom2mach	1813-01-01T00:00:00Z	1813	Machiavelli, Niccolò, 1469-1527; Cavagna Sangiuliani di Gualdana, Antonio, conte, 1843-1913, former owner. IU-R	Carteggio displomatico e familiare	ita	university_of_illinois_urbana-champaign; americana; fav-jo_o_pedro_martins_pinheiro
