short	work_title	year	lang	lane	tier	translation	carrier_file	byline_verbatim	good_rate	bad_rate	url	dedup_note
mendel-1853-gartenrettig	Ueber Verwuestung am Gartenrettig durch Raupen (Botys margaritalis) | Verh. zool.-bot. Ver. Wien 3:116-118	1853	de	writings|expression	P1	no	verhandlungendes353zool.txt	Der hochwuerdige Herr G. Mendel hielt folgenden Vortrag : // TOC: G. Mendtl: Ueb. Verwuestung am Gartenrettig durch Raupen	0.11576	0.00017	https://archive.org/details/verhandlungendes353zool	carrier exclusive to this work
mendel-1854-bruchus-pisi	(Ueber Bruchus pisi) - Mendels Schreiben, mitgetheilt von V. Kollar | Verh. zool.-bot. Ver. Wien 4:27-28	1854	de	conversations	P1	no	verhandlungendes454zool.txt	Hr. Direet. V. Kollar theilt nachstehendes, vor einigen Tagen ihm zugekommene Schreiben Sr. Hochw., des Hrn. G. Mendel, Capitulars des Stiftes St. Thomas in Bruenn mit.	0.10418	0.00021	https://archive.org/details/verhandlungendes454zool	carrier exclusive. ATTRIBUTION CAVEAT: journal TOC credits Kollar (V. Kollar: Ueber Bruchus pisi); only the embedded letter is Mendels
mendel-1857-gewitter-bruenn	Ueber das Gewitter in Bruenn am 7. August | Bruenner Zeitung Nr.186, 18.08.1857, S.1343	1857	de	writings|expression	P1	no	bz_0c6eaf10-cc5e-11e4-a19f-001018b5eb5c.txt	Die k. k. Central-Anstalt fuer Meteorologie verdankt dem Herrn StiftScapitular Gregor Mendel den folgenden Bericht ueber daS in Bruenn am 7. d. M. zum Ausbruch gelangte Gewitter	0.11099	0.00053	https://www.digitalniknihovna.cz/mzk/uuid/uuid:0c6eaf10-cc5e-11e4-a19f-001018b5eb5c	carrier exclusive (single page cut from the issue). 5 further pages of the same issue sit on disk as bz_0c7a95f0/0c81c1e0/0c971ea0/0c9c00a0/0ca0bb90*.txt and carry NO listed work
mendel-1863-bemerkungen-uebersicht	Bemerkungen zu der graphisch-tabellarischen Uebersicht der meteorologischen Verhaeltnisse von Bruenn | Verh. naturf. Ver. Bruenn 1:246-249	1863	de	writings	P1	no	verhandlungendes1218natu.txt	graphisch-tabellarischen Uebersicht der meteorologischen Verhaeltnisse von Bruenn, Be von Professor G. Mendel. Vorgelegt in der Sitzung vom 14. Jaenner 1863.	0.10528	0.00015	https://archive.org/details/verhandlungendes1218natu	SHARED carrier with mendel-1864-met-beob-1863 (one scan = Bd.1-2)
mendel-1864-met-beob-1863	Meteorologische Beobachtungen aus Maehren und Schlesien fuer das Jahr 1863 | Verh. naturf. Ver. Bruenn 2:99-121	1864	de	writings	P1	no	verhandlungendes1218natu.txt	Professor G. Mendel. // Bd.10 Generalregister: Mendel G. Meteorologische Beobachtungen in Maehren Be Oak. Schlesien im Jahre 1863. .. . . : 1.09	0.10528	0.00015	https://archive.org/details/verhandlungendes1218natu	SHARED carrier with mendel-1863-bemerkungen-uebersicht (one scan = Bd.1-2)
mendel-1865-met-beob-1864	Meteorologische Beobachtungen aus Maehren und Schlesien fuer das Jahr 1864 | Verh. naturf. Ver. Bruenn 3:209-220	1865	de	writings	P1	no	ia34.txt	aus Maehren und Schlesien fuer das Jahr 1864. Zusammengestellt vn @. Mendel. (Vorgelegt in der Sitzung vom 8. Maerz 1865.)	0.11262	0.00031	https://archive.org/details/verhandlungendes3418natu	SHARED carrier with mendel-1866-versuche-pflanzen-hybriden + mendel-1866-met-beob-1865 (one scan = Bd.3-4; file was renamed ia34.txt on download, IA item is verhandlungendes3418natu)
mendel-1866-versuche-pflanzen-hybriden	Versuche ueber Pflanzen-Hybriden | Verh. naturf. Ver. Bruenn 4:3-47	1866	de	writings	P1	no	ia34.txt	Mendel Gregor. Versuche ueber Pflanzen-Hybriden .. 2... 2.2.2.2... 3 // end of text: Gregor Mendel.	0.11262	0.00031	https://archive.org/details/verhandlungendes3418natu	SHARED carrier with mendel-1865-met-beob-1864 + mendel-1866-met-beob-1865 (Bd.3-4). DEDUP-COLLAPSED, NOT counted: BHL page 48299076; IA Verhandlungende00Natu; Ostwalds Klassiker 121 (1901 bub_gb_l448AAAAIAAJ, 1911 biolib.de); Gutenberg versucheberpflan40854gut; DTA mendel_pflanzenhybriden_1866; vlp lit26745
mendel-1866-met-beob-1865	Meteorologische Beobachtungen aus Maehren und Schlesien fuer das Jahr 1865 | Verh. naturf. Ver. Bruenn 4:318-330	1866	de	writings	P1	no	ia34.txt	_ Mendel Gregor. Meteorologische Beobachtungen aus Maehren und Schlesien	0.11262	0.00031	https://archive.org/details/verhandlungendes3418natu	SHARED carrier with mendel-1865-met-beob-1864 + mendel-1866-versuche-pflanzen-hybriden (Bd.3-4)
mendel-1867-met-beob-1866	Meteorologische Beobachtungen aus Maehren und Schlesien fuer das Jahr 1866 | Verh. naturf. Ver. Bruenn 5:160-172	1867	de	writings	P1	no	verhandlungendes5618natu.txt	aus Maehren und Schlesien fuer das Jahr 1866. Zusammengestellt vn G. Mendel.	0.11687	0.00024	https://archive.org/details/verhandlungendes5618natu	carrier is the Bd.5-6 scan. CONTENT OVERLAP: this file also contains all of Bd.6 = the text of vnvb-bd6-1867-makowsky-geum in a different scan; sha256 differs so hash-dedup will NOT catch it
mendel-1870-hieracium-bastarde	Ueber einige aus kuenstlicher Befruchtung gewonnene Hieracium-Bastarde | Verh. naturf. Ver. Bruenn 8:26-31	1870	de	writings	P1	no	verhandlungendes7818natu.txt	@. Mendel, Ueber einige aus kuenstlicher Befruchtung entnommen Hiere // end of text: G. Mendel.	0.11617	0.00021	https://archive.org/details/verhandlungendes7818natu	SHARED carrier with mendel-1870-met-beob-1869 (one scan = Bd.7-8). DEDUP-COLLAPSED: Ostwalds Klassiker 121 reprint
mendel-1870-met-beob-1869	Meteorologische Beobachtungen aus Maehren und Schlesien im Jahre 1869 | Verh. naturf. Ver. Bruenn 8:131-143	1870	de	writings	P1	no	verhandlungendes7818natu.txt	%. Mendel. Meteorologische Beitachkunsen aus Maehren ed Schlesien im Jan JOD // Zusammengestellt vn G. Mendel.	0.11617	0.00021	https://archive.org/details/verhandlungendes7818natu	SHARED carrier with mendel-1870-hieracium-bastarde (one scan = Bd.7-8)
mendel-1871-windhose	Die Windhose vom 13. October 1870 | Verh. naturf. Ver. Bruenn 9:229-246	1871	de	writings	P1	no	verhandlungendes91870natu.txt	Bd.10 Generalregister: Mendel @. Die Windhose am 13. October 1870. . . . 229	0.10658	0.00018	https://archive.org/details/verhandlungendes91870natu	carrier exclusive. NOTE: MendelWeb gives pp.54-71; the printed Generalregister gives 229, which is adopted
mendel-1879-regenfall-gewitter	(Regenfall und Gewitter zu Bruenn im Juni 1879.) | Z. oesterr. Ges. Meteorol. 14:315-316	1879	de	conversations	P1	no	zogm14_p315_316.txt	(Regenfall und Gewitter zu Bruenn im Juni 1879.) Herr Abt Mendel schreibt uns aus Bruenn:	0.14316	0.00000	https://www.digitale-sammlungen.de/en/view/bsb11392895?page=349	CUT-OUT: only scan pp.349-350 (printed 315-316) of MDZ bsb11392895 were saved, so this is an independent file, NOT a shared volume. ATTRIBUTION CAVEAT: editorial frame, no separate byline, attributed in running text only
