# numFound=265 rows=265 query=creator:"Michelangelo Buonarroti"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
poemes0000mich	1983-01-01T00:00:00Z	1983	Michelangelo Buonarroti, 1475-1564	Poèmes	fre; ita	internetarchivebooks; inlibrary; printdisabled; fav-barry_o_apos_neill; fav-dompedro; fav-glennn
seventyetchedfa00fishgoog	1852-01-01T00:00:00Z	1852	Raphael , Michelangelo Buonarroti, Joseph Fisher	Seventy Etched Facsimiles: On a Reduced Scale, After the Original Studies by Michel Angelo and ...	English	europeanlibraries
teatroitalianoa00trisgoog	1808-01-01T00:00:00Z	1808	Giulio Ferrario , Sperone Speroni , Luigi Alamanni , Pietro Aretino , Lodovico Ariosto , Francesco Baldovini , Francesco Berni , Michelangelo Buonarroti, Niccolò Campani, Silvestro	Teatro italiano antico	ita	americana; fav-enrico_gori; fav-kylie101
satire-nr	2021-12-13T00:00:00Z	2021	Michelangelo Buonarroti il Giovane	Satire. Epistola al Signor Niccolò Arrighetti, Edizione critica per cura di Danilo Romei, s.l., Independently published, 2021	ita	booksbylanguage_italian; booksbylanguage
poesiemic00michuoft	1920-01-01T00:00:00Z	1920	Michelangelo Buonarroti, 1475-1564	Poesie;	ita	robarts; toronto; university_of_toronto; fav-balbyns; fav-curiosus; fav-drewblanco
michelangelodesm1906knap	1906-01-01T00:00:00Z	1906	Knapp, Fritz, 1870-1938; Michelangelo Buonarroti, 1475-1564	Michelangelo : des Meisters Werke in 166 Abbildungen : mit einer biographischen Einleitung	ger	brigham_young_university; americana; fav-vlados_bogachevskii
peste_202203	2022-03-17T00:00:00Z	2022	Michelangelo Buonarroti il Giovane	Frottole della peste (1630-1633). A Francesco Furini, Edizione critica per cura di Danilo Romei.	ita	booksbylanguage_italian; booksbylanguage; fav-brixxo40
workofmichelange00mich	1913-01-01T00:00:00Z	1913	Michelangelo Buonarroti, 1475-1564; Knapp, Fritz, 1870-	The work of Michelangelo, reproduced in one hundred and sixty-nine illustrations;	eng	robarts; toronto; university_of_toronto; fav-ajspain; fav-altgaming; fav-fxbowman; fav-gleos
selectedpoemsfr00buongoog	1885-01-01T00:00:00Z	1885	Michelangelo Buonarroti	Selected Poems from Michelangelo Buonarroti	English	americana; fav-steinmein
daslebenmichelan1922roll	1922-01-01T00:00:00Z	1922	Rolland, Romain, 1866-1944; Michelangelo Buonarroti, 1475-1564; Herzog, Wilhelm, 1884-1960; Klette, Werner, 1885-	Das leben Michelangelos	ger	brigham_young_university; americana; fav-bookhunter222; fav-mmos; fav-rusiozi
sonnetsofmichela0000mich	1988-01-01T00:00:00Z	1988	Michelangelo Buonarroti, 1475-1564	The sonnets of Michelangelo	eng	internetarchivebooks; printdisabled; fav-elchini; fav-mimioteca1
coursdarchitectu00avil	1738-01-01T00:00:00Z	1738	Aviler, Augustin-Charles d', 1653-1701; Vignola, 1507-1573. Regola delli cinque ordini d'architettura. French; Michelangelo Buonarroti, 1475-1564; Bouchardon, Edme, 1698-1762; Le B	Cours d'architecture : qui comprend Les ordres de Vignole, avec des commentaires, les figures & les descriptions de ses plus beaux bâtimens, & de ceux de Michel-Ange, des instructi	fre	getty; americana; fav-1919189246; fav-19omhs72; fav-_n_a_tt_a_; fav-alexandru_petre; fav-alfredo_tigani; fav-alvelin; fav-archiveuser8475pcay; fav-badlands73; fav-bonbonmerci; fav-
michelangelo147500mich	1953-01-01T00:00:00Z	1953	Michelangelo Buonarroti, 1475-1564; Scherer, Margaret Roseman	Michelangelo, 1475-1564	eng	internetarchivebooks; americana; inlibrary; printdisabled; fav-celevstial; fav-doralys; fav-erivaldo_gabriel; fav-kylie_bogenschutz
reiglesdescinqor00vign	1740-01-01T00:00:00Z	1740	Vignola, 1507-1573; Poilly, Nicolas-Jean-Baptiste de, 1707-1780; Michelangelo Buonarroti, 1475-1564	Reigles des cinq ordres d'architecture	fre; ita	getty; americana; fav-19omhs72; fav-badlands73; fav-branrogers; fav-declangray; fav-emchateau; fav-helgiklimov; fav-kiarabelen; fav-kimberly_desjardins; fav-mhoving; fav-negrete58;
vitadimichelangel02gott	1876-01-01T00:00:00Z	1876	Gotti, Aurelio, 1834-1904; Michelangelo Buonarroti, 1475-1564	Vita di Michelangelo Buonarroti : narrata con l'aiuto di nuovi documenti	ita	getty; americana; fav-brixxo40; fav-rarnheim
gri_33125017826997	1935-01-01T00:00:00Z	1935	Michelangelo Buonarroti, 1475-1564	Die Decke der Sixtinischen Kapelle	ger	getty; americana; fav-bookhunter222; fav-empamue; fav-gray333
bub_gb_-Ex3yhDSSTcC	1623-01-01T00:00:00Z	1623	Michelangelo Buonarroti	Rime di Michelagnolo Buonarroti. Raccolte da Michelagnolo suo nipote	Italian	europeanlibraries; fav-beatrice_stefanini; fav-chicco85
bwb_C0-DAF-342	1954-01-01T00:00:00Z	1954	michelangelo buonarroti	rime	eng	internetarchivebooks; printdisabled; inlibrary
sculpturesofmich0000mich	1939-01-01T00:00:00Z	1939	Michelangelo Buonarroti	The Sculptures of Michelangelo (Phaidon Edition)	eng	internetarchivebooks; printdisabled; inlibrary
sonettoineditod00buongoog	1875-01-01T00:00:00Z	1875	Michelangelo Buonarroti	Sonetto inedito di Michelangelo Buonarroti: il Giovine, sovra la sua Galleria	Italian	americana
michelangelobuon00cath	2006-01-01T00:00:00Z	2006	Nichols, Catherine; Michelangelo Buonarroti, 1475-1564	Michelangelo Buonarroti	eng	internetarchivebooks; inlibrary; printdisabled; fav-gee777; fav-jewillems; cnusd-ol; hamiltonpubliclibrary-ol
mikeranjerotente0000mich	2013-01-01T00:00:00Z	2013	Michelangelo Buonarroti, 1475-1564	Mikeranjero ten : tensai no kiseki : Shisutīna Reihaid̄o 500-nensai kinen = Michelangelo Buonarroti : the making of a genius and the 500th anniversary of the Sistine Chapel	jpn; ita; eng	internetarchivebooks; inlibrary; printdisabled; fav-8v8; fav-artursz; fav-barry_o_apos_neill; fav-general_consumer; fav-haikei_maeda; fav-vercin3171; fav-vicolll
rimedimichelagn00biaggoog	1821-01-01T00:00:00Z	1821	Michelangelo Buonarroti, Nicolà Giosafatte Biagioli	Rime di Michelagnolo Buonarroti, il vecchio	Italian	europeanlibraries
quaderno	2021-05-26T00:00:00Z	2021	Michelangelo Buonarroti il Giovane	Quaderno delle rime burlesche, Edizione critica per cura di Danilo Romei, s.l., Independently published, 2021	ita	booksbylanguage_italian; booksbylanguage
ldpd_9355154_000	1845-01-01T00:00:00Z	1845	Michelangelo Buonarroti,	Lettre adressée à Madame la comtesse de*** à l'occasion d'un crucifix en ivoire, sculpté par Michel-Ange, que possède cette dame.	English	ColumbiaUniversityLibraries; americana
bub_gb_az-3FvsPFwYC	1615-01-01T00:00:00Z	1615	Michelangelo Buonarroti	La Tancia commedia rusticale	Italian	europeanlibraries
eightyfouretche00raphgoog	1862-01-01T00:00:00Z	1862	Joseph Fisher , Michelangelo Buonarroti, Raphael	Eighty-four Etched Fac-similes: On a Reduced Scale After the Original Studies by Micael Angelo ...	English	europeanlibraries
regoladellicinqv0000vign	1600-01-01T00:00:00Z	1600	Vignola, 1507-1573; Michelangelo Buonarroti, 1475-1564, artist	Regola delli cinqve ordini d'architettvra	Italian	oberlinartlibrary; oberlincollegelibrary; americana; globallibraries; fav-19omhs72; fav-ahaseebf; fav-aurexgo; fav-jscull
