identifier	year	lang	role	title
b33023153	1706	fre	**另一个人**	Pestalozzi, Geronimo Giovanni 1674-1742｜Traité de l'eau de mille fleurs
b-3-29-auis-de-precaution-contre-la-maladie-contagieuse-de-marseille	1721	fre	**另一个人**	Pestalozzi, Jérôme Jean｜Auis de precaution…Marseille
avisdeprecaution00pest	1721	fre	**另一个人**	Jérôme Jean 1674-1742｜Avis de precaution
b30521968_0002	1721	fre	**另一个人**	同上
BIUSante_90958x42x02	1721	fre	**另一个人**	同上
b31971726	1722	fre	**另一个人**	Jérôme Jean｜Dissertation sur les causes…de la peste
b3053981x	1723	fre	**另一个人**	Jérôme Jean｜Opuscules sur la maladie contagieuse de Marseille
10769192bsb	1780	ger	author	Ueber Gesezgebung und Kindermord
lienhardundgert00pestgoog	1781	ger	author	Lienhard und Gertrud（**无副题＝初版**）
lienhardundgert01pestgoog	1781	ger	author	Lienhard und Gertrud（另一件）
11941366bsb	1782	ger	author	Christoph und Else: Mein zweytes Volks Buch
11941363bsb	1783	ger	author	Lienhard und Gertrud: **Ein Buch für das Volk** 2
11941364bsb	1785	ger	author	Lienhard und Gertrud: Ein Buch für das Volk 3
11941365bsb	1787	ger	author	Lienhard und Gertrud: Ein Buch für das Volk 4
11341416bsb	1787	ger	author	同上（另一件）
10116094bsb	1790	ger	author	Lienhard und Gertrud: **Ein Versuch…zu vereinfachen** 1
11941361bsb	1790	ger	author	同上（另一件）
10116095bsb	1790	ger	author	…Ein Versuch… 2
11941362bsb	1790	ger	author	同上（另一件）
10311310bsb	1790	ger	author	同上（另一件）
10116096bsb	1792	ger	author	…Ein Versuch… 3
10311311bsb	1792	ger	author	同上（另一件）
10041514bsb	1797	ger	author	Meine Nachforschungen über den Gang der Natur
10116099bsb	1797	ger	author	Figuren zu meinem ABC Buch
bim_eighteenth-century_leonard-gertrude-a-po_pestalozzi-johann-heinr_1800	1800	eng	**转译两道**	Leonard & Gertrude（德→法→英）
11301506bsb	1801	ger	author	Anweisung zum Buchstabieren- und Leselehren
11758584bsb	1801	ger	author	Wie Gertrud ihre Kinder lehrt
leonardandgertr00pestgoog	1801	eng	**转译两道**	Leonard and Gertrude（德→法→英）
leonardgertrudep00pest	1801	eng	译本	Leonard and Gertrude
10861557bsb	1801	ger	author	Anweisung zum Buchstabieren（另一件）
11301318bsb	1801	ger	author	Wie Gertrud ihre Kinder lehrt（另一件）
10082563bsb	1803	ger	author	ABC der Anschauung 1
buchdermtter00pest	1803	ger	author	Buch der mütter
10082564bsb	1803	ger	author	ABC der Anschauung 2
10763703bsb	1803	ger	author	Pestalozzi's Elementar-Bücher 1
11723716bsb	1803	ger	author	Fabeln
reflection-pestalozzi-en	1808	eng	**待核**	Reflection Pestalozzi EN（题名非德文原题）
muhakeme-pestalozzi	1808	tur	**待核**	MUHAKEME : Pestalozzi（土耳其文）
10770240bsb	1815	ger	author	An die Unschuld, den Ernst und den Edelmuth
wochenschriftfr00pestgoog	1815	ger	author	Wochenschrift für Menschenbildung
