# 从 04-探源.tsv 现筛：language 含 grc/greek 且 year ≤1930
# ★ 本轮目的是**量声口**，不是铺满语料 —— 译本量到的是译者
identifier	date	year	creator	title	language	collection
philebusplato03platgoog	1860-01-01T00:00:00Z	1860	Plato	The Philebus of Plato, with a revised text and English notes	grc; eng	americana; fav-agent-lisa; fav-oofyprosser; fav-theo_ar
euthyphro00plat	1909-01-01T00:00:00Z	1909	Plato; Stock, St. George William Joseph, 1850-	The Euthyphro;	grc; eng	robarts; toronto; university_of_toronto; fav-agent-lisa; fav-clavius; fav-kindle37; fav-latzer001; fav-lucke133; fav-stag_king; fav-user_9648
dialogos02platuoft	1921-01-01T00:00:00Z	1921	Plato	Dialogos	spa; grc	robarts; toronto; university_of_toronto; fav-alquintero; fav-atdcavalcante13; fav-dorianbyh; fav-francisco_eick; fav-izakto; fav-jamesstepsr; fav-learnyu; fav-tito_eli_zer_nemesio_
afx0245.0003.001.umich.edu	1894-01-01T00:00:00Z	1894	Plato; Jowett, Benjamin, 1817-1893; Campbell, Lewis, 1830-1908	Plato's Republic : the Greek text	grc	michigan_books; americana; fav-antonyliber; fav-chapalan; fav-clavius; fav-davidskszp; fav-epexelenkhos
bub_gb_OmQLib9osX8C	1871-01-01T00:00:00Z	1871	Plato	The Gorgias of Plato with english notes, introduction, and appendix by W.H.Thompson	Greek	europeanlibraries; fav-mayapreimes
bub_gb_OPL8YtK4ROMC	1863-01-01T00:00:00Z	1863	Plato	Platonis Phædo. The Phædo of Plato. Edited, with introduction and notes, by W. D. Geddes	grc	europeanlibraries; fav-user_10996
worksanewandlite06platuoft	1854-01-01T00:00:00Z	1854	Plato; Cary, Henry, 1804-1870; Davis, Henry, 1866-1952; Burges, George, 1786?-1864	Works; a new and literal version, chiefly from the text of Stallbaum	eng; grc	robarts; toronto; university_of_toronto; fav-agent-lisa; fav-gone_to_persia
worksnewliteralv05platuoft	1854-01-01T00:00:00Z	1854	Plato; Cary, Henry, 1804-1870; Davis, Henry, 1866-1952; Burges, George, 1786?-1864	Works; a new and literal version, chiefly from the text of Stallbaum	eng; grc	robarts; toronto; university_of_toronto; fav-lalovox; fav-satir_fanes
gorgiasdialogue00sommgoog	1872-01-01T00:00:00Z	1872	Plato, Édouard Sommer	Gorgias: dialogue de Platon : édition classique, publiée avec des arguments et des notes en français	French; grc	americana
gorgiasplato01thomgoog	1905-01-01T00:00:00Z	1905	Plato	The Gorgias of Plato	eng; grc	americana; fav-agent-lisa
apologysocrates00platgoog	1834-01-01T00:00:00Z	1834	Plato	Apology of Socrates, Crito, and Phaedo : from the text of Bekker	grc; lat	americana; fav-agent-lisa
