# numFound=2618 rows=400 query=creator:"Plato"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
philebusplato03platgoog	1860-01-01T00:00:00Z	1860	Plato	The Philebus of Plato, with a revised text and English notes	grc; eng	americana; fav-agent-lisa; fav-oofyprosser; fav-theo_ar
fsgpxredzitjt2f4yjstly9wf9nvkmfqbvvwb3qm			Πολιτεια του Πλατωνα (τομος πρωτος), Η by Plato (Πλάτων) (c. 428 BCE - c. 347 BCE)	Βιβλίον Α - Κεφάλαιο 3		podcasts_mirror_bobarchives; podcasts_mirror
plato_beta_win			Plato Team	Plato Beta 0.5.135		open_source_software
savefanfiction-31905-Gotcha_-Plato			Plato	Gotcha!	English	savefanfiction; patron-library-collection; fanfiction
educationofyoung00plat	1901-01-01T00:00:00Z	1901	Plato; Bosanquet, Bernard, 1848-1923, tr	The education of the young in The Republic of Plato;	eng	library_of_congress; americana; fav-agent-lisa; fav-clavius; fav-ruan_mateus; fav-super_yiayia
euthyphrapologyc01plat	1943-01-01T00:00:00Z	1943	Plato	Euthyphro. Apology. Crito. Phaedo. Phaedrus	eng; grc	brigham_young_university; americana; fav-agent-lisa; fav-alessia_p; fav-clavius; fav-jamesstepsr; fav-kenlberry; fav-nynnmah; fav-ooths; fav-rkahramanyol; fav-sophiscott; fav-tr_mo
euthyphro00plat	1909-01-01T00:00:00Z	1909	Plato; Stock, St. George William Joseph, 1850-	The Euthyphro;	grc; eng	robarts; toronto; university_of_toronto; fav-agent-lisa; fav-clavius; fav-kindle37; fav-latzer001; fav-lucke133; fav-stag_king; fav-user_9648
euthyphroapology007372mbp	1953-01-01T00:00:00Z	1953	Plato	Euthyphro Apology Crito And Symposium	eng	universallibrary; fav-shelbyanne; fav-user_10996
euthydemusprota00platgoog	1906-01-01T00:00:00Z	1906	Plato	Euthydemus, Protagoras, ex recognitione Caroli Friderici Hermanni	lat	americana; fav-agent-lisa
upontakingcounsel	2016-02-22T00:00:00Z	2016	Plato	Sisyphus by Plato (Hi-Res Audiobook)	eng	audio_bookspoetry; fav-a_m_santos; fav-ananya_gautam; fav-cat275; fav-geoffreyedwards; fav-jason347; fav-kedrabut; fav-ravyne_hawke; fav-saturn_underwood
dialoguescontain00platuoft	1899-01-01T00:00:00Z	1899	Plato; Jowett, Benjamin, 1817-1893	Dialogues: containing The Apology of Socrates, Crito, Phaedo, and Protagoras; with introd. by the translator, Benjamen Jowett	eng	kellylibrary; toronto; university_of_toronto; fav-lostokie; fav-shmhz72; fav-wickedmayfair
dialogos02platuoft	1921-01-01T00:00:00Z	1921	Plato	Dialogos	spa; grc	robarts; toronto; university_of_toronto; fav-alquintero; fav-atdcavalcante13; fav-dorianbyh; fav-francisco_eick; fav-izakto; fav-jamesstepsr; fav-learnyu; fav-tito_eli_zer_nemesio_
dialoguesofplato00plat_1	1986-01-01T00:00:00Z	1986	Plato	The dialogues of Plato	eng	internetarchivebooks; printdisabled; fav-agent-lisa; fav-hjm12240; fav-jmanmanj; fav-kitlightning; fav-taratj; cnusd-ol; universityofcoloradoboulder-ol; worthingtonlibraries-ol
textezurideenleh0000plat	1978-01-01T00:00:00Z	1978	Plato	Texte zur Ideenlehre	ger	internetarchivebooks; inlibrary; printdisabled; fav-czytelnik102; fav-mmos; fav-snake726
platonas-charmidas-2016.-lt	2016-01-01T00:00:00Z	2016	Plato (427–347 BC)	Charmidas = Χαρμίδης	grc; Lithuanian	booksbylanguage_greek; booksbylanguage; fav-arnizzltu
synapseml_gutenberg_apology_by_plato			Plato, 427? BC-347? BC	Apology	English	gutenberg-audiobooks; audio_bookspoetry
