# numFound=39 rows=39 query=title:(Roebling) AND mediatype:texts
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
bub_gb_Di6x5SMUdl4C	1860-01-01T00:00:00Z	1860	John A. Roebling	Report of John A. Roebling, civil engineer to the presidents and director of the niagara falls suspension and niagara falls internatinoal bridge companies, on the condition of the 	English	europeanlibraries
gov.uscourts.nyeb.245653				210 Roebling LLC	eng	usfederalcourts; USGovernmentDocuments; government-documents
chiefengineerwas0000wagn	2017-01-01T00:00:00Z	2017	Wagner, Erica, 1967- author	Chief engineer : Washington Roebling : the man who built the Brooklyn Bridge	eng	internetarchivebooks; printdisabled; openlibrary-d-ol
chiefengineerwas0000wagn_h4t5	2017-01-01T00:00:00Z	2017	Wagner, Erica, 1967- author	Chief engineer : Washington Roebling : the man who built the Brooklyn Bridge	eng	internetarchivebooks; printdisabled
am-57-615				Roebling Medal		journals_contributions; journals
reportjohnaroeb01compgoog	1852-01-01T00:00:00Z	1852	John Augustus Roebling, Niagara Falls Suspension Bridge Company	Report of John A. Roebling to the Directors of the Niagara Falls ...	English	americana
roebling-swaged-fittings-1948	1948-01-01T00:00:00Z	1948	John A. Roebling's Sons Company	Roebling Swaged Fittings 1948	eng	catalogs_inbox; catalogs
dc_circ_1957_13878_mary_roebling_v_reconstruction_fin_corp	1957-01-01T00:00:00Z	1957	United States. Court of Appeals (District of Columbia Circuit)	Mary Roebling v. Reconstruction Finance Corp., 257 F.2d 615 (D.C. Cir. 1958)	eng	georgetown-university-law-library; americana
englishitalianfr00kend	1941-01-01T00:00:00Z	1941	Kende Galleries at Gimbel Brothers	English, Italian, French and American schools, including two Tudor portraits (one of Mary, Queen of Scots); rare portrait by "Il Pordenone"; works by Carboni, Magnasco, Beechey, Ro	eng	metmuseumlibraries; americana; fav-mariah_carey_stan
RoeblingCablesForTheHudsonRiverBridgeProblemsAndRequirements	1930-01-01T00:00:00Z	1930	John A. Roebling's Sons Co	Roebling cables for the Hudson River Bridge : problems and requirements, research, manufacture, plant installation, cable stringing equipment, cable spinning, strand adjustments, v	English	buildingtechnologyheritagelibrary; catalogs
gov.uscourts.nyeb.527300				344 ROEBLING 123 LLC	eng	usfederalcourts; USGovernmentDocuments; government-documents
reportofjohnaroe00roeb	1860-01-01T00:00:00Z	1860	Roebling, John Augustus, 1806-1869 author	Report of John A. Roebling, civil engineer, to the presidents and directors of the Niagara Falls Suspension and Niagara Falls International Bridge Companies, on the condition of th	eng	thomasfishercanadiana; thomasfisher; toronto; university_of_toronto
track-01_202103	1976-09-24T00:00:00Z	1976		BP Ferdinand Roebling III		opensource_media; community
gov.uscourts.wawd.6776				Roebling Management v. Weiner	eng	usfederalcourts; USGovernmentDocuments; government-documents
micro_IA40386010_1191	2002-01-01T00:00:00Z	2002	Supreme Court of the United States	Roebling Liquors, Inc. v. Commissioner of Taxation & Finance, 537 U.S. 816 (2002) (No. 01-1676)	eng	microfiche; us-supreme-court; USGovernmentDocuments
ldpd_11290547_000	1852-01-01T00:00:00Z	1852	Roebling, John Augustus, 1806-1869; Niagara Falls International Bridge Company; Niagara Falls Suspension Bridge Company	Report of John A. Roebling, civil engineer [electronic resource] : to the directors of the Niagara Falls International and Suspension Bridge companies	eng	ColumbiaUniversityLibraries; durstoldyorklibrary; americana
dc_circ_1960_15689_mary_g_roebling_v_robert_b_anderson	1960-01-01T00:00:00Z	1960	United States. Court of Appeals (District of Columbia Circuit)	Mary G. Roebling v. Robert B. Anderson, 288 F.2d 386 (D.C. Cir. 1961)	eng	georgetown-university-law-library; americana
roeblingrevisite0000unse	2007-01-01T00:00:00Z	2007	Various Author	Roebling revisited	eng	internetarchivebooks; inlibrary; printdisabled
in.ernet.dli.2015.60319	1945-01-01T00:00:00Z	1945	D.b. Steinman	The Builders Of The Bridge The Story Of John Roebling And His Son	eng	digitallibraryindia; JaiGyan; fav-1939a; fav-aliviatolbert; fav-easycolorexpress; fav-elarsi; fav-jahanzeb_shah; fav-makimaki250
micro_IA34806415_2331	1944-01-01T00:00:00Z	1944	Supreme Court of the United States	Roebling v. Commissioner, 323 U.S. 773 (1944) (No. 515)	eng	microfiche; us-supreme-court; USGovernmentDocuments
johnaroeblingacc00barb	1908-01-01T00:00:00Z	1908	Barber, Alfred Newton, 1867-; Stokes, Edward Casper, 1860-; Estabrook, Henry Dodge, 1854-1917	John A. Roebling; an account of the ceremonies at the unveiling of a monument to his memory	eng	library_of_congress; americana
micro_IA40386420_0922	1960-01-01T00:00:00Z	1960	Supreme Court of the United States	Roebling v. Dillon (No. 852)	eng	microfiche; USGovernmentDocuments; us-supreme-court
johnaroeblingacc00barbiala	1908-01-01T00:00:00Z	1908	Barber, Alfred Newton, 1867-; Stokes, Edward C. (Edward Casper), 1860-1942; Estabrook, Henry Dodge, 1854-1917	John A. Roebling; an account of the ceremonies at the unveiling of a monument to his memory	eng	cdl; americana
inmemoriamjohnar00unse	1869-01-01T00:00:00Z	1869		In memoriam, John A. Roebling : born June 12, 1806, died July 22, 1869, aged 63 years	eng	getty; americana
washingtonroebli0000roeb	2009-01-01T00:00:00Z	2009	Roebling, Washington Augustus, 1837-1926	Washington Roebling's father : a memoir of John A. Roebling	eng	internetarchivebooks; inlibrary; printdisabled; fav-kristenf
reportjohnaroeb00compgoog	1860-01-01T00:00:00Z	1860	John Augustus Roebling, Niagara Falls Suspension Bridge Company	Report of John A. Roebling to the Presidents and Directors of the Niagara ...	English	americana
Vol333153332Werner	2006-01-01T00:00:00Z	2006	Werner, Göran	John August Roebling - The Niagara Railway Suspension Bridge	eng	opensource; community
gov.uscourts.wawd.20745				Community Resources v. Roebling Investment	eng	usfederalcourts; USGovernmentDocuments; government-documents
buildersofbridge0000dbst_v6k9	1945-01-01T00:00:00Z	1945	D.B. Steinman	The Builders of the Bridge : the story of john roebling and his son	eng	internetarchivebooks; printdisabled; inlibrary
inmemoriamjohnar00brow	1869-01-01T00:00:00Z	1869	Brown, John C. [from old catalog]	In memoriam, John A. Roebling	eng	library_of_congress; americana
jbc.bj.uj.edu.pl.NDIGDZS091870	1871-05-04T00:00:00Z	1871		Am 29 März 1871 entschlief sanst im Herrn nach langen Leiden, im 30 Lebensjahre Clara Roebling geborne Gierschner […]	ger	nabozenstwozalobne; polishpublicdomain
TheRoeblingSystemOfFire-proofConstruction	1905-01-01T00:00:00Z	1905	Roebling Construction Company	The Roebling System of Fire-Proof Construction	English	buildingtechnologyheritagelibrary; catalogs; fav-dhcdesign; fav-sara_gelber; fav-vitoballs
gov.uscourts.njd.215467				UFCW LOCAL 152 RETAIL MEAT PENSION FUND v. ROEBLING FOOD EXPRESS, INC.	eng	usfederalcourts; USGovernmentDocuments; government-documents
JerseyWireLathFormerlyRoeblingWireLathTheBestPlasterFoundation	1923-01-01T00:00:00Z	1923	New Jersey Wire Cloth Company	Jersey wire lath, formerly: Roebling wire lath : the best plaster foundation for all classes of building.	English	buildingtechnologyheritagelibrary; catalogs; fav-adare_brown; fav-jasonhanchang; fav-millenium2000; fav-mortargeek
gov.uscourts.alnd.150478				Roebling v. City of Tuscaloosa, AL	eng	usfederalcourts; USGovernmentDocuments; government-documents
buildersofbridge0000stei_g4v5	1972-01-01T00:00:00Z	1972	Steinman, D. B. (David Barnard), 1886-1960	The builders of the bridge; the story of John Roebling and his son	eng	internetarchivebooks; printdisabled; inlibrary; fav-raleigh_dewan; binghamton-ol; dartmouthlibrary-ol; occidentalcollegelibrary-ol; the-claremont-colleges-ol; uni-ol; universityofa
testsroeblingsy00compgoog	1899-01-01T00:00:00Z	1899	Roebling Construction Company	Tests of the Roebling System of Fire-proof Construction: A System of Fire-proofing that is Fire ...	English	americana
