# numFound merged from all probes
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
JerseyWireLathFormerlyRoeblingWireLathTheBestPlasterFoundation	1923-01-01T00:00:00Z	1923	New Jersey Wire Cloth Company	Jersey wire lath, formerly: Roebling wire lath : the best plaster foundation for all classes of building.	English	buildingtechnologyheritagelibrary; catalogs; fav-adare_brown; fav-jasonhanchang; fav-millenium2000; fav-mortargeek
RoeblingCablesForTheHudsonRiverBridgeProblemsAndRequirements	1930-01-01T00:00:00Z	1930	John A. Roebling's Sons Co	Roebling cables for the Hudson River Bridge : problems and requirements, research, manufacture, plant installation, cable stringing equipment, cable spinning, strand adjustments, v	English	buildingtechnologyheritagelibrary; catalogs
TheRoeblingSystemOfFire-proofConstruction	1905-01-01T00:00:00Z	1905	Roebling Construction Company	The Roebling System of Fire-Proof Construction	English	buildingtechnologyheritagelibrary; catalogs; fav-dhcdesign; fav-sara_gelber; fav-vitoballs
Vol333153332Werner	2006-01-01T00:00:00Z	2006	Werner, Göran	John August Roebling - The Niagara Railway Suspension Bridge	eng	opensource; community
afewreflections01walfgoog	1916-01-01T00:00:00Z	1916	Roebling, firm, wire manufacturers, Trenton. (1916. John A. Roebling's sons co.) [from old catalog]	Wire in electrical construction	eng	americana; fav-twist_turn_skeleton_key
am-57-615				Roebling Medal		journals_contributions; journals
bigbridgetobrook00brow	1956-01-01T00:00:00Z	1956	Browin, Frances Williams, 1898-	Big bridge to Brooklyn; the Roebling story	eng	internetarchivebooks; americana; printdisabled; inlibrary; fav-fraxinus; fav-gamjduke; fav-nosingsong; fav-the_story_farmer
bub_gb_Di6x5SMUdl4C	1860-01-01T00:00:00Z	1860	John A. Roebling	Report of John A. Roebling, civil engineer to the presidents and director of the niagara falls suspension and niagara falls internatinoal bridge companies, on the condition of the 	English	europeanlibraries
buildersofbridge0000dbst_v6k9	1945-01-01T00:00:00Z	1945	D.B. Steinman	The Builders of the Bridge : the story of john roebling and his son	eng	internetarchivebooks; printdisabled; inlibrary
buildersofbridge0000stei_g4v5	1972-01-01T00:00:00Z	1972	Steinman, D. B. (David Barnard), 1886-1960	The builders of the bridge; the story of John Roebling and his son	eng	internetarchivebooks; printdisabled; inlibrary; fav-raleigh_dewan; binghamton-ol; dartmouthlibrary-ol; occidentalcollegelibrary-ol; the-claremont-colleges-ol; uni-ol; universityofa
chiefengineerwas0000wagn	2017-01-01T00:00:00Z	2017	Wagner, Erica, 1967- author	Chief engineer : Washington Roebling : the man who built the Brooklyn Bridge	eng	internetarchivebooks; printdisabled; openlibrary-d-ol
chiefengineerwas0000wagn_h4t5	2017-01-01T00:00:00Z	2017	Wagner, Erica, 1967- author	Chief engineer : Washington Roebling : the man who built the Brooklyn Bridge	eng	internetarchivebooks; printdisabled
cihm_13289	1877-01-01T00:00:00Z	1877	Roebling, W. A. (Washington Augustus), 1837-1926	A reply to the recent criticism made by Mr. Edward Wasell, upon the Niagara Railway suspension bridge [microform]	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm
