identifier	year	lang	role	title
discoursquiremp00rous	1750	fre	author	Discours qui a remporté le prix a l'Academie de Dijon
politics-and-the-arts-letter-rousseau-jean-jacques-1712-17	1750	—	**20世纪译注**	Politics And The Arts [Allan Bloom]
bim_eighteenth-century_the-discourse-which-carr_rousseau-jean-jacques_1751	1751	eng	译本	The discourse which carried the præmium at Dijon
observationsdeje00rous	1751	fre	author	Observations de Jean-Jacques Rousseau de Geneve
bim_eighteenth-century_discours-qui-a-remporte_rousseau-jean-jacques_1751	1751	eng	译本	Discours qui a remporte' le prix（英书目著录）
lettredejjrouss00rous	1751	fre	author	Lettre de J.J. Rousseau a M. Grimm（**方向：出**）
discoursquirempo00rous	1751	fre	**含驳论者**	Discours…（creator 含 Le Cat, Claude Nicolas）
bim_eighteenth-century_the-discourse-which-carr_rousseau-jean-jacques_1751_0	1751	eng	译本	The discourse which carried the præmium（另一件）
bim_eighteenth-century_a-discourse-to-which-th_rousseau-jean-jacques_1752	1752	eng	译本	A discourse, to which the prize was adjudged
ledevinduvillage00rous_0	1753	fre	author	Le devin du village
ba1753lettresur00rous	1753	fre	author	Lettre sur la musique françoise
ledevinduvillage00rous_2	1753	fre	author	Le Devin du village（另一件）
narcisseoulamant00rous	1753	fre	author	Narcisse ou L'amant de lui-même
ledevinduvillage1753rous	1753	fre	author-composer	Le devin du village（标 composer）
lettresurlamusiq00rous	1753	fre	author	Lettre sur la musique françoise（另一件）
dadiscourssurlor00rous	1755	fre	author	Discours sur l'origine…de l'inegalité
discourssurlori01rousgoog	1755	fre	author	同上（印本 2）
discourssurlorig00rous	1755	fre	author	同上（印本 3）
discourssurlori00rous	1755	fre	author	同上（印本 4）
discourssurlori02rousgoog	1755	fre	author	同上（印本 5，含 Académie de Dijon）
discourssu00rous	1755	fre	author	同上（印本 6，含 Todd／Sornique）
ddiscourssurlori00rous	1755	fre	author	同上（印本 7）
discourssurlorig00rous_0	1755	fre	author	同上（印本 8）
discourssurlor00rous	1755	fre	author	同上（印本 9）
jjrousseaucitoy00rousgoog	1758	fre	author	J.J. Rousseau a Mr. d'Alembert
a1758jjrousseauci00rous	1758	fre	author	同上（印本 2）
aa1758jjrousseau00rous	1758	fre	author	同上（印本 3）
jjrousseaucitoy00rous	1758	fre	author	同上（印本 4）
jjrousseaucitoye00rous	1758	fre	author	同上（印本 5）
discourssurl00rous	1759	fre	author	Discours sur l'origine…（1759 印本）
bim_eighteenth-century_a-letter-from-m-roussea_rousseau-jean-jacques_1759	1759	eng	译本	A letter from M. Rousseau to M. d'Alembert
11918927bsb	1761	ger	译本	Die Neue Heloise oder Briefe zweyer Liebenden
discourseuponor00rous	1761	eng	译本	A discourse upon the origin and foundation of the inequality
lettresdedeuxam01rous	1761	fre	author	Lettres de deux amans（新爱洛伊丝原题）
recueildestampes00rous	1761	fre	**图册**	Recueil d'estampes pour La nouvelle Héloïse（**版画不是他的文字**）
prfacedelanouv00rous	1761	fre	author	Préface de La nouvelle Héloïse
11918931bsb	1761	ger	译本	Die Neue Heloise（另一件）
lettresdedeuxama05rous	1761	fre	author	Lettres de deux amans（另一卷）
bim_eighteenth-century_eloisa-or-a-series-of-_rousseau-jean-jacques_1761_1	1761	eng	译本	Eloisa: or, a series of original letters
bim_eighteenth-century_eloisa-or-a-series-of-_rousseau-jean-jacques_1761_3_0	1761	eng	译本	Eloisa（另一卷）
