# numFound=1413 rows=200 query=creator:"Rousseau, Jean-Jacques"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
insanlararasndak0000rous	1998-01-01T00:00:00Z	1998	Rousseau, Jean-Jacques, 1712-1778 aut	İnsanlar arasındaki eşitsizliğin kaynağı ve temelleri üzerine konuşma	tur	internetarchivebooks; inlibrary; printdisabled; fav-aycan_g_k_e; fav-h_samettin_zer; fav-kdrkdrkdr; fav-kldmr61; fav-s_mb_lzade2; fav-shadow_moon287; fav-tuncayelyay_hotmail_com; f
10764054bsb	1762-01-01T00:00:00Z	1762	Rousseau, Jean-Jacques	Herrn Johann Jacob Rousseaus, Bürgers zu Genf, Aemil oder Von der Erziehung. 3	German	german-online-libraries; booksbylanguage_german; booksbylanguage
emile1			rousseau jean-jacques	emile(1)		audio_bookspoetry
eloisaoraseries01rousgoog	1796-01-01T00:00:00Z	1796	Rousseau, Jean-Jacques, 1712-1778; American Imprint Collection (Library of Congress) DLC	Eloisa, or, A series of original letters	eng	americana; fav-eleatic; fav-hightower_jen; fav-level_man; fav-nin4nine; fav-pere432; fav-raykhenberg; fav-tiptoes
mileoudeld03rous	1762-01-01T00:00:00Z	1762	Rousseau, Jean-Jacques, 1712-1778	Émile, ou De l'éducation	fre	thomasfisher; universityofottawa; toronto; university_of_toronto
cu31924027383284	1920-01-01T00:00:00Z	1920	Rousseau, Jean-Jacques, 1712-1778	Selections from the works of Jean-Jacques Rousseau	eng	cornell; americana
espritmaximesetp00rous	1764-01-01T00:00:00Z	1764	Rousseau, Jean-Jacques, 1712-1778	Esprit, maximes, et principes /	fre	johnadamsBPL; bostonpubliclibrary; americana
emile0000rous_n4u3	1964-01-01T00:00:00Z	1964	Rousseau, Jean, Jacques	Emile	fra	internetarchivebooks; inlibrary; printdisabled; fav-bookhunter222; fav-cadujardin; fav-jmb14; fav-mh85; fav-zaaf
11918930bsb	1761-01-01T00:00:00Z	1761	Rousseau, Jean-Jacques	Die Neue Heloise oder Briefe zweyer Liebenden, aus einer kleinen Stadt am Fusse der Alpen. 5	German	german-online-libraries; booksbylanguage_german; booksbylanguage
frenchandenglish00unknuoft	1910-01-01T00:00:00Z	1910	Descartes, René, 1596-1650; Hobbes, Thomas, 1588-1679; Rousseau, Jean-Jacques, 1712-1778; Voltaire, 1694-1778	The Harvard Classics Volume 34	eng	robarts; harvardclassicsbound; toronto; university_of_toronto; fav-aamrhein; fav-adelahmedibrahimkhalil; fav-adele_horne_adele_; fav-anon3242; fav-aru13; fav-avenashi_harvelle; fav
extraitduprojet00sain	1761-01-01T00:00:00Z	1761	Saint-Pierre, Charles Irénée Castel de, 1658-1743; Rousseau, Jean-Jacques, 1712-1778	Extrait du Projet de paix perpétuelle de Monsieur l'abbé de Saint-Pierre	fre	thomasfisher; universityofottawa; toronto; university_of_toronto; fav-agathaesque; fav-harpocrates887
cu31924014398154	1901-01-01T00:00:00Z	1901	Rousseau, Jean-Jacques, 1712-1778. Du contrat social. English; More, Thomas, Sir, Saint, 1478-1535. Utopia; Bacon, Francis, 1561-1626. New Atlantis; Campanella, Tommaso, 1568-1639.	Famous Utopias; being the complete text of Rousseau's social contract; More's Utopia; Bacon's new Atlantis; Campanella's city of the sun;	eng	cornell; americana; fav-dmeadow1; fav-drewblanco; fav-info_msalvetti_gmail_com; fav-irina_novikova; fav-jaareza; fav-jacquesjames; fav-lostokie; fav-mrhallows; fav-sim_n_bol_var_re
e1762emileoudel02rous	1762-01-01T00:00:00Z	1762	Rousseau, Jean-Jacques, 1712-1778	Emile, ou, De l'éducation	fre	thomasfisher; universityofottawa; toronto; university_of_toronto; fav-eneskdl
emileoudeleducat03rous	1780-01-01T00:00:00Z	1780	Rousseau, Jean-Jacques, 1712-1778	Emile; ou, De l'education	fre	thomasfisher; universityofottawa; toronto; university_of_toronto
b30010202_0001	1931-01-01T00:00:00Z	1931	Rousseau, Jean-Jacques, 1712-1778. n 79008220	Confessions of Jean Jacques Rousseau	eng	wellcomelibrary; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary; fav-abilgram; fav-e_fa; fav-folksinger_; fav-graveyardgreg; fav-jahanzeb_shah; fav-lindakb759; fa
oeuvresdejjrouss04rous	1791-01-01T00:00:00Z	1791	Rousseau, Jean-Jacques, 1712-1778	Oeuvres de J.J. Rousseau	fre	thomasfisher; universityofottawa; toronto; university_of_toronto
bim_eighteenth-century_uvres-choisies-de-jj-_rousseau-jean-jacques_1785_1	1785-01-01T00:00:00Z	1785	Rousseau, Jean-Jacques	Œuvres choisies de J.J. Rousseau de Geneve. ... 1785: Vol 1	English	pub_eighteenth-century; bim_microfilm; microfilm
bim_eighteenth-century_the-gospel-of-reason-by_rousseau-jean-jacques_1795	1795-01-01T00:00:00Z	1795	Rousseau, Jean-Jacques	The gospel of reason. By J. J. Rousseau, citizen of Geneva. 1795	English	pub_eighteenth-century; bim_microfilm; microfilm; fav-tiptoes
bim_eighteenth-century_the-cunning-man-a-music_rousseau-jean-jacques_1766	1766-01-01T00:00:00Z	1766	Rousseau, Jean-Jacques	The cunning-man, a musical entertainment, in two acts. As it is performed at the Theatre Royal in Drury-Lane. Originally written and composed by M. J. J. Rousseau. Imitated, and ad	English	pub_eighteenth-century; bim_microfilm; microfilm
bim_eighteenth-century_emilius-and-sophia-or-_rousseau-jean-jacques_1783_2	1783-01-01T00:00:00Z	1783	Rousseau, Jean-Jacques	Emilius and Sophia; or, a new system of education. Translated from the French of Mr. J. J. Rousseau, ... By the translator of Eloisa. 1783: Vol 2	English	pub_eighteenth-century; bim_microfilm; microfilm
bim_eighteenth-century_emilius-and-sophia_rousseau-jean-jacques_1763_2	1763-01-01T00:00:00Z	1763	Rousseau, Jean Jacques	Emilius and Sophia. 1763: Vol 2	English	pub_eighteenth-century; bim_microfilm; microfilm; fav-klotusflower96
bim_eighteenth-century_botanique-english-le_rousseau-jean-jacques_1787	1787-01-01T00:00:00Z	1787	Rousseau, Jean Jacques.	[Botanique. English]. Letters on the elements of botany. 1787	English	pub_eighteenth-century; bim_microfilm; microfilm
bim_eighteenth-century_botanique-english-le_rousseau-jean-jacques_1796	1796-01-01T00:00:00Z	1796	Rousseau, Jean-Jacques.	[Botanique. English]. Letters on the elements of botany, addressed to a lady, by the celebrated J. J. Rousseau. Translated into English, with notes, and twenty-four additional lett	English	pub_eighteenth-century; bim_microfilm; microfilm; fav-endive_wellness
bim_eighteenth-century_les-confessions-de-j-j_rousseau-jean-jacques_1786_9	1786-01-01T00:00:00Z	1786	Rousseau, Jean-Jacques	Les confessions de J. J. Rousseau. Tome Troisième. 1786: Vol 9	English	pub_eighteenth-century; bim_microfilm; microfilm
confessionsofjea01rousuoft	1896-01-01T00:00:00Z	1896	Rousseau, Jean-Jacques, 1712-1778	The confessions of Jean Jacques Rousseau, now for the first time completely translated into English without expurgation	eng	robarts; toronto; university_of_toronto; fav-agust_n_quiroga; fav-annag2025; fav-chapalan; fav-folksinger_; fav-hic8; fav-lucas_a_silva; fav-mark414; fav-noahgrey
confessionsofjjr03904gut			Rousseau, Jean-Jacques, 1712-1778	Confessions of J. J. Rousseau, the - Volume 04	eng	gutenberg
confessionsofjjr03905gut			Rousseau, Jean-Jacques, 1712-1778	Confessions of J. J. Rousseau, the - Volume 05	eng	gutenberg
confessionsdej00rous	1796-01-01T00:00:00Z	1796	Rousseau, Jean-Jacques, 1712-1778	Confessions de J.J. Rousseau. Noms qui ne sont indiqués que par des lettres initiales dans les éditions imprimées. Morceaux inédits ou différences qui se trouvent entre le manuscri	fre	thomasfisher; universityofottawa; toronto; bannedbooks; university_of_toronto
confessionsdejjr00rous	1790-01-01T00:00:00Z	1790	Rousseau, Jean-Jacques, 1712-1778; Levasseur, Thérèse	Confessions de J.-J. Rousseau : noms qui ne sont indiqués que par des lettres initiales dans les éditions imprimées, morceaux inédits ou différences qui se trouvent entre le manusc	fre	universityofottawa; toronto; bannedbooks
collectioncompl76rousgoog	1782-01-01T00:00:00Z	1782	Rousseau, Jean-Jacques, 1712-1778	Collection complete des œuvres de J.J. Rousseau	fre	europeanlibraries
collectioncompl78rousgoog	1782-01-01T00:00:00Z	1782	Rousseau, Jean-Jacques, 1712-1778	Collection complete des oeuvres de J. J. Rousseau ..	fre	americana
collectioncompl31rousgoog	1782-01-01T00:00:00Z	1782	Rousseau, Jean-Jacques, 1712-1778	Collection complète des œuvres de J.J. Rousseau	fre	americana
collectioncompl41rousgoog	1774-01-01T00:00:00Z	1774	Rousseau, Jean-Jacques, 1712-1778	Collection complette des oeuvres de J.J. Rousseau	fre	europeanlibraries
collectioncomple28rous	1790-01-01T00:00:00Z	1790	Rousseau, Jean-Jacques, 1712-1778; Rousseau, Jean-Jacques, 1712-1778. Confessions; Peyrou, Pierre Alexandre, 1729-1794	Collection complete des oeuvres de J.J. Rousseau, citoyen de Geneve	fre	thomasfisher; universityofottawa; toronto; university_of_toronto
confessionsofjjr03912gut			Rousseau, Jean-Jacques, 1712-1778	Confessions of J. J. Rousseau, the - Volume 12	eng	gutenberg
