# numFound merged from all probes
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
10048838bsb	1812-01-01T00:00:00Z	1812	Smeaton, John	Reports. 1	English	german-online-libraries; booksbylanguage_german; booksbylanguage
10048839bsb	1812-01-01T00:00:00Z	1812	Smeaton, John	Reports. 2	English	german-online-libraries; booksbylanguage_german; booksbylanguage
10048840bsb	1812-01-01T00:00:00Z	1812	Smeaton, John	Reports. 3	English	german-online-libraries; booksbylanguage_german; booksbylanguage
10048841bsb	1814-01-01T00:00:00Z	1814	Smeaton, John	Reports. 4	English	german-online-libraries; booksbylanguage_german; booksbylanguage
10081153bsb	1794-01-01T00:00:00Z	1794	Smeaton, John	Experimental Enquiry Concerning The Natural Powers of Wind and Water, To Turn Mills And Other Machines Depending On A Circular Motion And An Experimental Examination Of The Quantit	English	german-online-libraries; booksbylanguage_german; booksbylanguage
10708301bsb	1813-01-01T00:00:00Z	1813	Smeaton, John	Experimental Enquiry Concerning The Natural Powers of Wind and Water, To Turn Mills And Other Machines Depending On A Circular Motion And An Experimental Examination Of The Quantit	English	german-online-libraries; booksbylanguage_german; booksbylanguage
10751330bsb	1851-01-01T00:00:00Z	1851	James, G. P. R.	Henry Smeaton, oder die Jakobiten unter Georg dem Ersten: Ein Roman von G. P. R. James. Aus dem Englischen übersetzt von E. Susemihl. 1	German	german-online-libraries; booksbylanguage_german; booksbylanguage
10751737bsb	1851-01-01T00:00:00Z	1851	James, G. P. R.	Henry Smeaton oder die Jakobiten unter Georg dem Ersten: Ein Roman von G. P. R. James. Aus dem Englischen übersetzt von E. Susemihl. 4	German	german-online-libraries; booksbylanguage_german; booksbylanguage
Memoirs1782178300Renn	1782-01-01T00:00:00Z	1782	Rennie, John, 1761-1821; Bossut, Charles, 1730-1814; Maskelyne, Nevil, 1732-1811; Perronet, Jean-Rodolphe, 1708-1794; Smeaton, John, 1724-1792; Burndy Library, donor. DSI	Memoirs / 1782-1783	eng; fre	smithsonian; fav-negrete58
anaccountsomeex00smeagoog	1754-01-01T00:00:00Z	1754	Smeaton, John, 1724-1792	An account of some experiments upon a machine for measuring the way of a ship at sea	eng	americana
anexperimentale00smeagoog	1760-01-01T00:00:00Z	1760	Smeaton, John, 1724-1792; Pre-1801 Imprint Collection (Library of Congress) DLC	An experimental enquiry concerning the natural powers of water and wind to turn mills	eng	americana; fav-cheslyn_wilson; fav-smith111; fav-xareni28
award-by-john-smeaton-boundary-of-rampgill-coalcleugh-d-wal-31	2011-01-01T00:00:00Z	2011	David McAnelly	Transcript of the Award By John Smeaton, Boundary Of Rampgill & Coalcleugh Veins ( D/Wal/31, Carlisle Archive)	eng	opensource
b30509440	1754-01-01T00:00:00Z	1754	Smeaton, John, 1724-1792	An account of some experiments upon a machine for measuring the way of a ship at sea	eng	wellcomelibrary; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary
b30545067	1754-01-01T00:00:00Z	1754	Smeaton, John, 1724-1792	A description of a new pyrometer : with a table of experiments made therewith	eng	wellcomelibrary; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary
bim_eighteenth-century_a-catalogue-of-books-in_egerton-john_1794	1794-01-01T00:00:00Z	1794	Egerton, John	A catalogue of books, including the library of John Smeaton, ... Which are this day selling ... by John Egerton, ... 1794	English	pub_eighteenth-century; bim_microfilm; microfilm
bim_eighteenth-century_a-description-of-a-new-p_smeaton-john_1755	1755-01-01T00:00:00Z	1755	Smeaton, John.	A description of a new pyrometer, with a table of experiments made therewith. By J. Smeaton, F.R.S. 1755	English	pub_eighteenth-century; bim_microfilm; microfilm
bim_eighteenth-century_a-report-relative-to-tyn_smeaton-john_1772	1772-01-01T00:00:00Z	1772	Smeaton, John	A report relative to Tyne Bridge. 1772	English	pub_eighteenth-century; bim_microfilm; microfilm
bim_eighteenth-century_account-of-an-observatio_smeaton-john_1787	1787-01-01T00:00:00Z	1787	Smeaton, John.	Account of an observation of the right ascension and declination of Mercury out of the meridian, near his greatest elongation, Sept. 1786, made by Mr. John Smeaton, ... From the Ph	English	pub_eighteenth-century; bim_microfilm; microfilm
bim_eighteenth-century_an-account-of-some-exper_smeaton-john_1754	1754-01-01T00:00:00Z	1754	Smeaton, John.	An account of some experiments upon a machine for measuring the way of a ship at sea. By J. Smeaton, F.R.S. 1754	English	pub_eighteenth-century; bim_microfilm; microfilm
bim_eighteenth-century_an-experimental-enquiry-_smeaton-john_1760	1760-01-01T00:00:00Z	1760	Smeaton, John.	An experimental enquiry concerning the natural powers of water and wind to turn mills, and other machines, depending on a circular motion. By J. Smeaton, F.R.S. 1760	English	pub_eighteenth-century; bim_microfilm; microfilm
