# numFound=40 rows=40 query=creator:"Stephenson, George"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
religiousaspects0000step_b6a1	1969-01-01T00:00:00Z	1969	Stephenson, George M. (George Malcolm), 1883-1958	The religious aspects of Swedish immigration	eng	printdisabled; internetarchivebooks; inlibrary
georgestephenso00step	1828-01-01T00:00:00Z	1828	Stephenson, George, 1781-1848, author, correspondent	George Stephenson letter to Robert Stephenson, his son, dated Liverpool, 5 April 1828	eng	smithsonian
foundingofaugust0000step	1927-01-01T00:00:00Z	1927	Stephenson, George M. (George Malcolm), 1883-1958	The founding of the Augustana Synod, 1850-1860	eng	internetarchivebooks; graduatetheologicalunion
politicalhistory0000step	1967-01-01T00:00:00Z	1967	Stephenson, George Malcolm, 1883-1958	The political history of the public lands from 1840 to 1862; from preemption to homestead	eng	internetarchivebooks; inlibrary; printdisabled
powertechnology00step	1986-01-01T00:00:00Z	1986	Stephenson, George E	Power technology	eng	internetarchivebooks; inlibrary; printdisabled
romishchurchorhi00step	1807-01-01T00:00:00Z	1807	Stephenson, George	The Romish church; or, An historical and critical view of some of the leading doctrines of the Church of Rome : in a series of discourses, preached at Bishopwearmouth, in the year 	eng	Princeton; americana
puritanheritage0000step	1978-01-01T00:00:00Z	1978	Stephenson, George M. (George Malcolm), 1883-1958	The Puritan heritage	eng	internetarchivebooks; inlibrary; printdisabled
repairshowtomeas00stepuoft	1890-01-01T00:00:00Z	1890	Stephenson, George	Repairs, how to measure and value them; a handbook for the use of builders, decorators, etc	eng	robarts; toronto; university_of_toronto; fav-laara
powermechanics0000step	1963-01-01T00:00:00Z	1963	Stephenson, George E	Power mechanics	eng	internetarchivebooks; printdisabled; inlibrary
frencharmy18701900step	1979-01-01T00:00:00Z	1979	Stephenson, George Michael.	French Army, 1870-1914 : defeat, recovery, preparation	eng	kansasstateuniversitylibrariestheses; kansasstateuniversitylibraries; americana; theses-and-dissertations
CAT10679089	1955-01-01T00:00:00Z	1955	Southern Forest Experiment Station (New Orleans, La.); Stephenson, George K	The San Jacinto Experimental Forest	eng	usdanationalagriculturallibrary; fedlink; americana
jstor-1902670	1920-09-01T00:00:00Z	1920	Stephenson, George M.	[untitled] The Mississippi Valley Historical Review, (1920-09-01), pages 168-170	eng	jstor_missvallhistrevi; jstor_ejc; journals
smallgasolineeng0000step	1984-01-01T00:00:00Z	1984	Stephenson, George E	Small gasoline engines	eng	internetarchivebooks; inlibrary; printdisabled; fav-downcount321; fav-j_s846; fav-marion1795; fav-t79
conservativechar00step	1921-01-01T00:00:00Z	1921	Stephenson, George Malcolm, 1883-1958	The conservative character of Martin Luther	eng	Princeton; americana
jstor-20160352	1920-08-01T00:00:00Z	1920	Stephenson, George M.	[untitled] Minnesota History Bulletin, (1920-08-01), pages 449-453	eng	jstor_minnhistbull; jstor_ejc; journals
bim_eighteenth-century_a-sermon-preached-in-the_stephenson-george_1792	1792-01-01T00:00:00Z	1792	Stephenson, George	A sermon preached in the parish church of Sunderland, for the benefit of the Sunderland Humane-Society, on Sunday, July 15. 1792. (Being their first anniversary meeting.) By the Re	English	pub_eighteenth-century; bim_microfilm; microfilm
powertechnology0000step	1986-01-01T00:00:00Z	1986	Stephenson, George E	Power technology	eng	internetarchivebooks; inlibrary; printdisabled; fav-joejyoung; fav-turboglyde
conservativecha00step	1921-01-01T00:00:00Z	1921	Stephenson, George Malcolm, 1883-1958	The conservative character of Martin Luther	eng	library_of_congress; americana; fav-trishtrinitron
jstor-20160306	1919-05-01T00:00:00Z	1919	Stephenson, George M.	[untitled] Minnesota History Bulletin (1919-05-01), page 90	eng	jstor_minnhistbull; jstor_ejc; journals
jstor-1889286	1921-06-01T00:00:00Z	1921	Stephenson, George M.	[untitled] The Mississippi Valley Historical Review, (1921-06-01), pages 186-188	eng	jstor_missvallhistrevi; jstor_ejc; journals
historyofamerica0000step	1926-01-01T00:00:00Z	1926	Stephenson, George M. (George Malcolm), 1883-1958	A history of American immigration, 1820-1924	eng	marygrovecollege; internetarchivebooks; americana; fav-candice_livingston; fav-errie_hall; fav-jesse1053; fav-letthemreadcake; fav-raul_agha; fav-theprez98
b29302766	1817-01-01T00:00:00Z	1817	Stephenson, George, 1781-1848. n 50022436; Davy, Humphry, Sir, 1778-1829. n 79142750; Burndy Library. n 83827146	A description of the safety lamp invented by George Stephenson, and now in use at Killingworth colliery. To which is added, an account of the lamp constructed by Sir Humphrey Davy.	eng	wellcomelibrary; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary; fav-spodobek
jstor-1902674	1920-09-01T00:00:00Z	1920	Stephenson, George M.	[untitled] The Mississippi Valley Historical Review (1920-09-01), page 174	eng	jstor_missvallhistrevi; jstor_ejc; journals
animal-farm-1999	1999-01-01T00:00:00Z	1999	John Stephenson; George Orwell	Animal Farm		opensource_movies; fav-alex_sims; fav-e_sousa; fav-ethan_retzinger; fav-indiecinemaster; fav-lastchinchilla; fav-parker_mangum
letters00step	1832-01-01T00:00:00Z	1832	Stephenson, George, 1781-1848, author	Letters	eng	smithsonian
jstor-1895976	1922-12-01T00:00:00Z	1922	Stephenson, George M.	Nativism in the Forties and Fifties, with Special Reference to the Mississippi Valley	eng	jstor_missvallhistrevi; jstor_ejc; journals; fav-jesse1053
jstor-1895982	1922-12-01T00:00:00Z	1922	Stephenson, George M.	[untitled] The Mississippi Valley Historical Review, (1922-12-01), pages 245-247	eng	jstor_missvallhistrevi; jstor_ejc; journals
CAT31365435	1959-01-01T00:00:00Z	1959	Stephenson, George K; Gibbs, Carter B; Southern Forest Experiment Station (New Orleans, La.)	Selective control of cull hardwoods in east Texas	eng	usda-usfssouthernregion; usdanationalagriculturallibrary; fedlink; americana
historyofamerica0000step_a2r6	1964-01-01T00:00:00Z	1964	Stephenson, George M. (George Malcolm), 1883-1958	A history of American immigration, 1820-1924	eng	internetarchivebooks; inlibrary; printdisabled; fav-errie_hall
londonblackwallc00step	1838-01-01T00:00:00Z	1838	Stephenson, George, 1781-1848; Bidder, George Parker, 1806-1878; London & Blackwall Railway	London & Blackwall Commercial Railway : report of Messrs. Geo. Stephenson, & G.P. Bidder	eng	university_of_illinois_urbana-champaign; americana; fav-ser_235
puritanheritage0000step_u8k7	1952-01-01T00:00:00Z	1952	Stephenson, George M. (George Malcolm), 1883-1958	The Puritan heritage	eng	claremont_school_of_theology; internetarchivebooks; inlibrary; printdisabled
politicalhistory00stepuoft	1917-01-01T00:00:00Z	1917	Stephenson, George Malcolm, 1883-	The political history of the public lands from 1840 to 1862, from pre-emption to homestead	eng	robarts; toronto; university_of_toronto; fav-cascadiarising
cihm_991583	1917-01-01T00:00:00Z	1917	Stephenson, George M. (George Malcolm), 1883-1958	The political history of the public lands, from 1840 to 1862 [microform] : from pre-emption to homestead	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm
jstor-1895672	1922-09-01T00:00:00Z	1922	Stephenson, George M.	An Important Swedish Source	eng	jstor_missvallhistrevi; jstor_ejc; journals
religiousaspects00step	1932-01-01T00:00:00Z	1932	Stephenson, George M. (George Malcolm), 1883-1958	The religious aspects of Swedish immigration : a study of immigrant churches	eng	Princeton; americana
jstor-1889298	1921-06-01T00:00:00Z	1921	Stephenson, George M.	[untitled] The Mississippi Valley Historical Review, (1921-06-01), pages 198-199	eng	jstor_missvallhistrevi; jstor_ejc; journals
