# numFound=41 rows=41 query=title:(Stephenson AND railway)
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
per_scotus_1880_69	1880-01-01T00:00:00Z	1880	Supreme Court of the United States	V.K. Stephenson and Others vs. The Texas and Pacific Railway Company. 1880: Vol 69	English	us-supreme-court; microfilm; USGovernmentDocuments; government-documents
storylifegeorge00stepgoog	1859-01-01T00:00:00Z	1859	Samuel Smiles , George Stephenson	The story of the life of George Stephenson, railway engineer. Abridged	English	europeanlibraries; fav-sarah_roe817
georgerobertstep0000rolt	1962-01-01T00:00:00Z	1962	Rolt, L. T. C., 1910-1974	George and Robert Stephenson; the railway revolution. With drawings and maps by Kenneth Lindley	eng	trent_university; internetarchivebooks; inlibrary; printdisabled; fav-anglicusdoctus; fav-jamesken182; fav-revtoller
lifegeorgesteph02smilgoog	1868-01-01T00:00:00Z	1868	Smiles, Samuel, 1812-1904	The life of George Stephenson and of his son Robert Stephenson; comprising also a history of the invention and introduction of the railway locomotive	eng	americana
lifestephenson00smilrich	1858-01-01T00:00:00Z	1858	Smiles, Samuel, 1812-1904; Stephenson, Robert, 1803-1859	The life of George Stephenson, railway engineer	eng	cdl; americana; fav-chonkyapple; fav-tanyaj
per_scotus_1880_186	1880-01-01T00:00:00Z	1880	Supreme Court of the United States	Vernon K. Stephenson vs. Texas and Pacific Railway Co. 1880: Vol 186	English	us-supreme-court; microfilm; USGovernmentDocuments; government-documents
lifegeorgesteph01stepgoog	1858-01-01T00:00:00Z	1858	Smiles, Samuel, 1812-1904	The life of George Stephenson, railway engineer	eng	europeanlibraries
lifegeorgesteph05smilgoog	1857-01-01T00:00:00Z	1857	Smiles, Samuel, 1812-1904	The life of George Stephenson, railway engineer	eng	americana
lifeofgeorgestep00smiluoft	1868-01-01T00:00:00Z	1868	Smiles, Samuel, 1812-1904	The life of George Stephenson and of his son Robert Stephenson; comprising also a history of the invention and introduction of the railway locomotive	eng	gerstein; toronto; university_of_toronto; fav-david_ca406; fav-jahanzeb_shah; fav-mastermind93
georgerobertstep0000rolt_u7t8	1977-01-01T00:00:00Z	1977	Rolt, L. T. C., 1910-1974	George and Robert Stephenson : the railway revolution	eng	internetarchivebooks; inlibrary; printdisabled
youtube-XgSyCl7k1XU	2023-08-06T00:00:00Z	2023	The Great British Channel	George Stephenson: "In Stephenson's Tracks" Manchester to Bradford Railway		mirrortube; social-media-video; additional_collections_video; deemphasize; fav-mart_lou
georgestephenso00laysgoog	1881-01-01T00:00:00Z	1881	Layson, J. F. (John F.)	George Stephenson : the locomotive and the railway	eng	americana; fav-anon3242; fav-spodobek
lifegeorgesteph03stepgoog	1883-01-01T00:00:00Z	1883	Samuel Smiles , Robert Stephenson	The Life of George Stephenson, Railway Engineer	English	americana
lifegeorgesteph05stepgoog	1859-01-01T00:00:00Z	1859	Samuel Smiles , Robert Stephenson	The Life of George Stephenson, Railway Engineer: Railway Engineer	English	americana
lifeofgeorgestep1890smil	1890-01-01T00:00:00Z	1890	Smiles, Samuel, 1812-1904; Stephenson, Robert, 1803-1859	The life of George Stephenson, railway engineer	eng	northeastern; blc; americana; fav-jahanzeb_shah
lifeofstephen00smiliala	1868-01-01T00:00:00Z	1868	Smiles, Samuel, 1812-1904	The life of George Stephenson and of his son Robert Stephenson; comprising also a history of the invention and introduction of the railway locomotive	eng	cdl; americana; fav-david_ca406; fav-inkey_; fav-jahanzeb_shah; fav-mcduncan
lifegeorgesteph04stepgoog	1889-01-01T00:00:00Z	1889	Samuel Smiles , Robert Stephenson	The Life of George Stephenson, Railway Engineer	English	americana
georgestephenso00macngoog	1881-01-01T00:00:00Z	1881	Charles Macnay	George Stephenson and the Progress of Railway Enterprise: With Illustrations	English	americana; fav-spodobek; fav-vitoballs
storylifegeorge00smilgoog	1860-01-01T00:00:00Z	1860	SAMUEL. SMILES	The Story of the Life of George Stephenson, Railway Engineer	English	americana; fav-sarah_roe817
lifegeorgesteph04smilgoog	1858-01-01T00:00:00Z	1858	Smiles, Samuel, 1812-1904	The life of George Stephenson, railway engineer	eng	americana
cu31924022805950	1857-01-01T00:00:00Z	1857	Smiles, Samuel, 1812-1904	The life of George Stephenson, railway engineer	eng	cornell; americana
cu31924022805992	1859-01-01T00:00:00Z	1859	Smiles, Samuel, 1812-1904	The life of George Stephenson, railway engineer	eng	cornell; americana; fav-jahanzeb_shah
lifegeorgesteph02stepgoog	1858-01-01T00:00:00Z	1858	Smiles, Samuel, 1812-1904	The life of George Stephenson, railway engineer	eng	europeanlibraries; fav-chonkyapple
gov.uscourts.msnd.38940				Stephenson v. Kansas City Southern Railway Company	eng	usfederalcourts; USGovernmentDocuments; government-documents
lifegeorgesteph00stepgoog	1858-01-01T00:00:00Z	1858	Smiles, Samuel, 1812-1904	The life of George Stephenson, railway engineer	eng	americana
lifegeorgesteph01smilgoog	1868-01-01T00:00:00Z	1868	Smiles, Samuel, 1812-1904	The life of George Stephenson and of his son Robert Stephenson; comprising also a history of the invention and introduction of the railway locomotive	eng	americana
londonblackwallc00step	1838-01-01T00:00:00Z	1838	Stephenson, George, 1781-1848; Bidder, George Parker, 1806-1878; London & Blackwall Railway	London & Blackwall Commercial Railway : report of Messrs. Geo. Stephenson, & G.P. Bidder	eng	university_of_illinois_urbana-champaign; americana; fav-ser_235
cu31924021408178	1868-01-01T00:00:00Z	1868	Smiles, Samuel, 1812-1904	The life of George Stephenson and of his son Robert Stephenson; comprising also a history of the invention and introduction of the railway locomotive	eng	cornell; americana; fav-jahanzeb_shah
georgerobertstep0000rolt_r3k3	2009-01-01T00:00:00Z	2009	Rolt, L. T. C., 1910-1974	George and Robert Stephenson : the railway revolution	eng	internetarchivebooks; inlibrary; printdisabled; fav-chris_young273
storyoflifeofgeo00smilrich	1859-01-01T00:00:00Z	1859	Smiles, Samuel, 1812-1904	The story of the life of George Stephenson, railway engineer	eng	cdl; americana; fav-banzaia; fav-gangstarr4life; fav-jahanzeb_shah
lifeofgeorgestep00smile	1859-01-01T00:00:00Z	1859	Smiles, Samuel, 1812-1904; Stephenson, Robert, 1803-1859	The life of George Stephenson, railway engineer	eng	americana; fav-ahelmtexas; fav-chonkyapple
