# numFound=65 rows=65 query=title:(life AND Stephenson)
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
xxyozras5advixzefvteysyhcuqsptckpaj6a1lv	2022-01-18T00:00:00Z	2022	Mornings with Sue & Andy	Mercedes Stephenson, Changing Religious Attitudes with Global's Ashleigh Stewart, Provincial Police Force discussion with Okotoks Mayor Tanya Thorn and Creating Your Perfect Life P		podcasts_mirror_bobarchives; podcasts_mirror
cu31924021408178	1868-01-01T00:00:00Z	1868	Smiles, Samuel, 1812-1904	The life of George Stephenson and of his son Robert Stephenson; comprising also a history of the invention and introduction of the railway locomotive	eng	cornell; americana; fav-jahanzeb_shah
storyoflifeofgeo00smilrich	1859-01-01T00:00:00Z	1859	Smiles, Samuel, 1812-1904	The story of the life of George Stephenson, railway engineer	eng	cdl; americana; fav-banzaia; fav-gangstarr4life; fav-jahanzeb_shah
lifegeorgesteph03stepgoog	1883-01-01T00:00:00Z	1883	Samuel Smiles , Robert Stephenson	The Life of George Stephenson, Railway Engineer	English	americana
lifegeorgesteph05stepgoog	1859-01-01T00:00:00Z	1859	Samuel Smiles , Robert Stephenson	The Life of George Stephenson, Railway Engineer: Railway Engineer	English	americana
lifeofrobertstep0000unse	1866-01-01T00:00:00Z	1866	J. C. Jeaffreson	The Life of Robert Stephenson, F.R.S. etc. etc. Late President of the Institution of Civil Engineers. With Descriptive Chapters on Some of His Most Important Professional Works by 	eng	internetarchivebooks
storylifegeorge00stepgoog	1859-01-01T00:00:00Z	1859	Samuel Smiles , George Stephenson	The story of the life of George Stephenson, railway engineer. Abridged	English	europeanlibraries; fav-sarah_roe817
acallfromdeatht00socigoog	1886-01-01T00:00:00Z	1886	Stephenson, Marmaduke, d. 1659; Aungervyle Society	A call from death to life : being an account of the sufferings of Marmaduke Stephenson, William Robinson, and Mary Dyer, in New England in the year 1659	eng	americana; fav-medihealer; fav-streetsbeatz
lifegeorgesteph00smilgoog	1868-01-01T00:00:00Z	1868	Smiles, Samuel, 1812-1904	The life of George Stephenson and of his son Robert Stephenson; comprising also a history of the invention and introduction of the railway locomotive	eng	americana
gov.uscourts.tned.74275				Stephenson v. Liberty Life Assurance Company of Boston	eng	usfederalcourts; USGovernmentDocuments; government-documents
lifegeorgesteph02smilgoog	1868-01-01T00:00:00Z	1868	Smiles, Samuel, 1812-1904	The life of George Stephenson and of his son Robert Stephenson; comprising also a history of the invention and introduction of the railway locomotive	eng	americana
lifeofrobertstep01jeaf_0	1864-01-01T00:00:00Z	1864	Jeaffreson, John Cordy, 1831-1901; Pole, William	The life of Robert Stephenson	eng	university_of_illinois_urbana-champaign; americana; fav-ilana7540
lifeofgeorgestep0000smil	1857-01-01T00:00:00Z	1857	Smiles, Samuel, 1812-1904	The life of George Stephenson, railway engineer	eng	trent_university; internetarchivebooks; fav-aru13; fav-jahanzeb_shah; fav-widuhudar
lifeofreverendth00brad	1913-01-01T00:00:00Z	1913	Bradfield, William	The life of the Reverend Thomas Bowman Stephenson : founder of 'The Children's Home' and of the Wesley Deaconess Institute	eng	cdl; americana; americanmethodism; carli_lib; fav-wmitchell
gov.uscourts.ilnd.122422				Stephenson v. Hartford Life &	eng	usfederalcourts; USGovernmentDocuments; government-documents
johnstephensonr00rowngoog	1908-01-01T00:00:00Z	1908	Phebe Doncaster , John Stephenson Rowntree	John Stephenson Rowntree, His Life and Work	English	americana; fav-alexthearchivist
lifeofstephen00smiliala	1868-01-01T00:00:00Z	1868	Smiles, Samuel, 1812-1904	The life of George Stephenson and of his son Robert Stephenson; comprising also a history of the invention and introduction of the railway locomotive	eng	cdl; americana; fav-david_ca406; fav-inkey_; fav-jahanzeb_shah; fav-mcduncan
lifeofgeorgestep1890smil	1890-01-01T00:00:00Z	1890	Smiles, Samuel, 1812-1904; Stephenson, Robert, 1803-1859	The life of George Stephenson, railway engineer	eng	northeastern; blc; americana; fav-jahanzeb_shah
lifeofreverendt00brad	1913-01-01T00:00:00Z	1913	Bradfield, William	The life of the Reverend Thomas Bowman Stephenson, founder of 'The Children's Home' and of the Wesley Deaconess Institute	eng	robarts; toronto; university_of_toronto
liferobertsteph00jeafgoog	1866-01-01T00:00:00Z	1866	Jeaffreson, John Cordy, 1831-1901; Pole, William, 1814-1900	The life of Robert Stephenson... with descriptive chapters on some of his most important professional works by William Pole	eng	americana
lifestephenson00smilrich	1858-01-01T00:00:00Z	1858	Smiles, Samuel, 1812-1904; Stephenson, Robert, 1803-1859	The life of George Stephenson, railway engineer	eng	cdl; americana; fav-chonkyapple; fav-tanyaj
cu31924022805950	1857-01-01T00:00:00Z	1857	Smiles, Samuel, 1812-1904	The life of George Stephenson, railway engineer	eng	cornell; americana
pmcaz-My_Life_in_Art_-_Helen_Stephenson	2017-10-30T00:00:00Z	2017	Prescott Channel 64	My Life in Art - Helen Stephenson	English	pmcaz; community_media; newsandpublicaffairs
lifegeorgesteph00stepgoog	1858-01-01T00:00:00Z	1858	Smiles, Samuel, 1812-1904	The life of George Stephenson, railway engineer	eng	americana
lifegeorgesteph01smilgoog	1868-01-01T00:00:00Z	1868	Smiles, Samuel, 1812-1904	The life of George Stephenson and of his son Robert Stephenson; comprising also a history of the invention and introduction of the railway locomotive	eng	americana
gov.uscourts.njd.495421				STEPHENSON v. LINCOLN NATIONAL LIFE INSURANCE COMPANY	eng	usfederalcourts; USGovernmentDocuments; government-documents
memoirsoflifetra01beva	1807-01-01T00:00:00Z	1807	Bevan, Joseph G. [from old catalog]	Memoirs of the life and travels...of Sarah Stephenson	eng	library_of_congress; americana; fav-vbland
thelifeofgeorges46229gut			Samuel Smiles	The Life of George Stephenson and of his Son Robert Stephenson	en	gutenberg; fav-spodobek
lifeofrobertstep02jeaf	1866-01-01T00:00:00Z	1866	Jeaffreson, John Cordy, 1831-1901; Pole, William, 1814-1900	Life of Robert Stephenson	eng	ncsulibraries; americana; fav-tanyaj
