# numFound=77 rows=77 query=creator:"Gogh, Vincent van, 1853-1890"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
mynameisvincentv0000mart	2006-01-01T00:00:00Z	2006	Martín, Carme; Gogh, Vincent van, 1853-1890; Luciani, Rebeca	My name is-- Vincent van Gogh	eng	internetarchivebooks; inlibrary; printdisabled; fav-jairalburquerque; fav-reprobando
lettersofpostimp00goghuoft	1912-01-01T00:00:00Z	1912	Gogh, Vincent van, 1853-1890; Ludovici, Anthony Mario, 1882-	The letters of a post-impressionist; being the familiar correspondence of Vincent van Gogh	eng	robarts; toronto; university_of_toronto; fav-arya_mehr; fav-camelian_propinatiu; fav-chapalan; fav-corexim; fav-dmengel; fav-donna_ramzy; fav-eithernich; fav-fb_junk; fav-jack-of-a
briefe0000gogh	1911-01-01T00:00:00Z	1911	Gogh, Vincent van, 1853-1890	Briefe	ger	marygrovecollege; internetarchivebooks; americana; fav-aru13; fav-czytelnik102; fav-giad503; fav-jspr004; fav-yu_rong_ji
brievenaanzijnbr02gogh	1914-01-01T00:00:00Z	1914	Gogh, Vincent van, 1853-1890	Brieven aan zijn broeder; uitgegeven en toegelicht door zijn schoonzuster, J. van Gogh-Bonger	ger	getty; americana; fav-gloomrab; fav-yzerenmolen
vincentvangoghex0000gogh_t2z1	1961-01-01T00:00:00Z	1961	Gogh, Vincent van, 1853-1890	Vincent van Gogh : [exhibition catalogue]	eng	trent_university; internetarchivebooks; inlibrary; printdisabled
vangoghdrawings40000gogh	1987-01-01T00:00:00Z	1987	Gogh, Vincent van, 1853-1890	Van Gogh drawings : 44 plates	eng	internetarchivebooks; inlibrary; printdisabled; fav-ahsen165; fav-atefmohsen; fav-hsjohn; fav-isabella_oprea; fav-jay_hunt597; fav-sara_mangani; fav-urrutikb; fav-user505539
vangoghsworldofc00aign	2001-01-01T00:00:00Z	2001	Aigner-Clark, Julie; Gogh, Vincent van, 1853-1890	Van Gogh's world of color	eng	internetarchivebooks; inlibrary; printdisabled; fav-bianka_young; fav-blake2003; fav-bookaholicholly; fav-brielle_berdan; fav-doggy12345678910; fav-ebm530_yahoo_com; fav-lauren_liu
vangogh0000unse_d3c6	1953-01-01T00:00:00Z	1953	Gogh, Vincent van, 1853-1890	Vincent van Gogh (1853-1890)	eng	internetarchivebooks; inlibrary; printdisabled; fav-digboston; fav-mustafesque; fav-zainiakrom123
pangohuyonghonui0000gogh	1999-01-01T00:00:00Z	1999	Gogh, Vincent van, 1853-1890	Pan Gohŭ, yŏnghon ŭi p'yŏnji	kor	internetarchivebooks; inlibrary; printdisabled; fav-ggomzi81
vangogh00dkpu	1999-01-01T00:00:00Z	1999	Gogh, Vincent van, 1853-1890; Torterolo, Anna	Van Gogh	eng	internetarchivebooks; printdisabled; inlibrary; fav-bat1962js; fav-glennorlando; fav-jai_singh647; fav-juliana359; fav-kauaiguy; fav-koolobo2; fav-marbella_alexei_beer_vilansky; fa
vincentvangoghex00gogh	1920-01-01T00:00:00Z	1920	Gogh, Vincent van, 1853-1890; Montross Gallery	Vincent van Gogh exhibition : October twenty-third, 1920	eng	getty; americana; fav-pedro_lopez363
vangoghbyvincent0000gogh	1990-01-01T00:00:00Z	1990	Gogh, Vincent van, 1853-1890	Van Gogh by Vincent	eng	internetarchivebooks; printdisabled; inlibrary; fav-barry_o_apos_neill; fav-ejess; fav-keshavsengupta; fav-lolie38; fav-moody_c; fav-senilesapien; fav-tonialn; dartmouthlibrary-ol;
cu31924101831505	1913-01-01T00:00:00Z	1913	Gogh, Vincent van, 1853-1890; Ludovici, Anthony Mario, 1882-	The letters of a post-impressionist; being the familiar correspondence of Vincent van Gogh	eng	cornell; americana; fav-ivy315; fav-keelan222; fav-little_ice_cream; fav-lonestarr54_yahoo_com; fav-pedro_lopez363
lettersofvincent0000gogh	1997-01-01T00:00:00Z	1997	Gogh, Vincent van, 1853-1890	The letters of Vincent van Gogh	eng	internetarchivebooks; printdisabled; fav-220_; fav-alicjaab; fav-alyssa521; fav-ballin102825; fav-bee_g; fav-belinda3; fav-bloombirth; fav-brodylad; fav-bruna_ellouyse; fav-bussui;
vangoghmappe0000gogh	1912-01-01T00:00:00Z	1912	Gogh, Vincent van, 1853-1890	Van Gogh. : Mappe	ger	internetarchivebooks; fav-_yk_karaku_; fav-arrle; fav-baytroll; fav-patricia_l948; fav-rochi82; fav-roxy_rovers
picnicsofprovenc00crai	1993-01-01T00:00:00Z	1993	Pyes, Craig; Gogh, Vincent van, 1853-1890	Picnics of Provence : French country-style picnics to enjoy at home or abroad	eng	internetarchivebooks; inlibrary; printdisabled; fav-birkred_blue; fav-cassacass; fav-ceepratt2; fav-heidihopippi; fav-jonathan_housh; fav-lindsayross; fav-sheldon_church
vangoghinbudapes0000gogh	2006-01-01T00:00:00Z	2006	Gogh, Vincent van, 1853-1890	Van Gogh in Budapest	eng; ger	internetarchivebooks; inlibrary; printdisabled
vangoghbyvincent0000gogh_s0t4	1992-01-01T00:00:00Z	1992	Gogh, Vincent van, 1853-1890	Van Gogh by Vincent	eng	internetarchivebooks; inlibrary; printdisabled; fav-brianareads; fav-glennorlando; fav-reprobando; openlibrary-d-ol
deartheoautobiog0000gogh_t6y6	1995-01-01T00:00:00Z	1995	Gogh, Vincent van, 1853-1890	Dear Theo : the autobiography of Vincent Van Gogh	eng	internetarchivebooks; printdisabled; fav-bulentkale; fav-dulle_griet; fav-euzkadi1966; fav-fferalcat; fav-ilamma; fav-justinu007; fav-keelan222; fav-ladywithveil; fav-mayank1962; f
vangoghuhde00uhde	1951-01-01T00:00:00Z	1951	Uhde, Wilhelm, 1874-1947; Gogh, Vincent van, 1853-1890; Pollock, Griselda	Van Gogh	eng	internetarchivebooks; inlibrary; printdisabled; fav-apainter; fav-artursz; fav-barry_o_apos_neill; fav-conail; fav-pedro_lopez363; fav-serato_vivian; openlibrary-d-ol; stmaryscount
paintingsofvince0000gogh	1970-01-01T00:00:00Z	1970	Gogh, Vincent van, 1853-1890	The paintings of Vincent van Gogh : [exhibition] Philadelphia Museum of Art, February 28 to April 5, 1970	eng	marygrovecollege; internetarchivebooks; americana; inlibrary; printdisabled; fav-barry_o_apos_neill; fav-denverf; fav-digboston; fav-ellkeh; fav-st369380
vincentvangoghli00andr	2004-01-01T00:00:00Z	2004	Bassil, Andrea; Gogh, Vincent van, 1853-1890	Vincent van Gogh	eng	internetarchivebooks; delawarecountydistrictlibrary; americana; inlibrary; printdisabled; fav-korin_nicole; fav-kovakblossom; fav-veeerunda; cnusd-ol; hamiltonpubliclibrary-ol; lib
tentoonstellingd00gogh	1892-01-01T00:00:00Z	1892	Gogh, Vincent van, 1853-1890	Tentoonstelling der nagelaten werken van Vincent van Gogh : December 1892	dut	getty; americana; fav-dorgah759; fav-galleryslave
vangogh0000unse_c5v6	1959-01-01T00:00:00Z	1959	Gogh, Vincent van, 1853-1890	Van Gogh	eng	internetarchivebooks; inlibrary; printdisabled; fav-ketanarose; fav-kimstephanie; fav-lawlieties; fav-mary_rosas
vincentbyhimself0000gogh	1985-01-01T00:00:00Z	1985	Gogh, Vincent van, 1853-1890	Vincent by himself : a selection of Van Gogh's paintings and drawings together with extracts from his letters	eng	internetarchivebooks; inlibrary; printdisabled; fav-naomi_mellendorf
vangoghfields0000gogh	2003-01-01T00:00:00Z	2003	Gogh, Vincent van, 1853-1890	Van Gogh : fields	eng	internetarchivebooks; inlibrary; printdisabled; fav-ilamma; fav-little_ice_cream; fav-louhoop; fav-poorvi_rajimwal_568; fav-vsgh; pma-ol
vincentvangogh1800gogh	1953-01-01T00:00:00Z	1953	Gogh, Vincent van, 1853-1890; Goldwater, Robert John, 1907-1973	Vincent van Gogh (1853-1890)	eng	internetarchivebooks; americana; inlibrary; printdisabled; fav-aiyou_chan; fav-dorgah759; fav-dx3906; fav-ghostie_king; fav-moody_c
vangogh00thom	2001-01-01T00:00:00Z	2001	Thomson, Belinda; Gogh, Vincent van, 1853-1890	Van Gogh	eng	internetarchivebooks; inlibrary; printdisabled; fav-essie_yesterday; fav-naomi_mellendorf; fav-s_applegate; americanuniversity-ol; binghamton-ol; dartmouthlibrary-ol; denverpublicl
vangogh185318900000gogh	2004-01-01T00:00:00Z	2004	Gogh, Vincent van, 1853-1890	Van Gogh 1853-1890	eng	internetarchivebooks; inlibrary; printdisabled; fav-alex_a_dews; fav-alicjaab; fav-leavedabox; fav-nobuyuki_arai
