# numFound=15 rows=15 query=creator:"Gogh, Vincent van, 1853-1890" AND mediatype:texts AND date:[1890-01-01 TO 1930-12-31]
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
briefe0000gogh	1911-01-01T00:00:00Z	1911	Gogh, Vincent van, 1853-1890	Briefe	ger	marygrovecollege; internetarchivebooks; americana; fav-aru13; fav-czytelnik102; fav-giad503; fav-jspr004; fav-yu_rong_ji
brievenaanzijnbr02gogh	1914-01-01T00:00:00Z	1914	Gogh, Vincent van, 1853-1890	Brieven aan zijn broeder; uitgegeven en toegelicht door zijn schoonzuster, J. van Gogh-Bonger	ger	getty; americana; fav-gloomrab; fav-yzerenmolen
lettersofpostimp00goghuoft	1912-01-01T00:00:00Z	1912	Gogh, Vincent van, 1853-1890; Ludovici, Anthony Mario, 1882-	The letters of a post-impressionist; being the familiar correspondence of Vincent van Gogh	eng	robarts; toronto; university_of_toronto; fav-arya_mehr; fav-camelian_propinatiu; fav-chapalan; fav-corexim; fav-dmengel; fav-donna_ramzy; fav-eithernich; fav-fb_junk; fav-jack-of-a
vincentvangoghex00gogh	1920-01-01T00:00:00Z	1920	Gogh, Vincent van, 1853-1890; Montross Gallery	Vincent van Gogh exhibition : October twenty-third, 1920	eng	getty; americana; fav-pedro_lopez363
cu31924101831505	1913-01-01T00:00:00Z	1913	Gogh, Vincent van, 1853-1890; Ludovici, Anthony Mario, 1882-	The letters of a post-impressionist; being the familiar correspondence of Vincent van Gogh	eng	cornell; americana; fav-ivy315; fav-keelan222; fav-little_ice_cream; fav-lonestarr54_yahoo_com; fav-pedro_lopez363
vangoghmappe0000gogh	1912-01-01T00:00:00Z	1912	Gogh, Vincent van, 1853-1890	Van Gogh. : Mappe	ger	internetarchivebooks; fav-_yk_karaku_; fav-arrle; fav-baytroll; fav-patricia_l948; fav-rochi82; fav-roxy_rovers
tentoonstellingd00gogh	1892-01-01T00:00:00Z	1892	Gogh, Vincent van, 1853-1890	Tentoonstelling der nagelaten werken van Vincent van Gogh : December 1892	dut	getty; americana; fav-dorgah759; fav-galleryslave
lettersofpostimp00gogh	1913-01-01T00:00:00Z	1913	Gogh, Vincent van, 1853-1890	The letters of a post-impressionist : being the familiar correspondence of Vincent van Gogh	eng	bplhoughton; bostonpubliclibrary; americana; fav-dmengel; fav-troublewillsoonbeover; fav-yoshiyamadeep
briefe1906gogh	1906-01-01T00:00:00Z	1906	Gogh, Vincent van, 1853-1890; Gogh, Theo van, 1857-1891; Bernard, Emile, 1868-1941; Mauthner, Margarete	Briefe	ger	brigham_young_university; americana; fav-filippa_tausendschoen; fav-mmos
brievenaanzijnbr01gogh	1914-01-01T00:00:00Z	1914	Gogh, Vincent van, 1853-1890	Brieven aan zijn broeder; uitgegeven en toegelicht door zijn schoonzuster, J. van Gogh-Bonger	ger	getty; americana; fav-olgfin; fav-yzerenmolen
catalogusdertent00gogh	1905-01-01T00:00:00Z	1905	Gogh, Vincent van, 1853-1890; Amsterdam (Netherlands). Stedelijk Museum	Catalogus der tentoonstelling van schilderijen en teekeningen door Vincent van Gogh : juli en augustus, 1905	dut	getty; americana; fav-galleryslave; fav-jvcalsbeek
gri_33125012764672	1905-01-01T00:00:00Z	1905	Gogh, Vincent van, 1853-1890	100 teekeningen uit de verzameling Hidde Nyland in het Museum te Dordrecht	dut	getty; americana; fav-gray333
briefego00goghuoft	1918-01-01T00:00:00Z	1918	Gogh, Vincent van, 1853-1890; Gogh, Theo van, 1857-1891; Bernard, Emile, 1868-1941; Mauthner, Margarete	Briefe	ger	robarts; toronto; university_of_toronto; fav-camelian_propinatiu; fav-mmos; fav-werner_ochs
McGillLibrary-rbsc_stern_vincent-van-gogh_ND653G7A41928-17738	1928-01-01T00:00:00Z	1928	Gogh, Vincent van, 1853-1890; Faille, J.-B. de la (Jacob-Baart), 1886-1959; Cassirer, Paul, Firm, Art dealers, Berlin	Vincent van Gogh : Gemälde, [Ausstellung] Januar 1928, Paul Cassirer, Berlin	German	mcgilluniversity; mcgilluniversityrarebooks; toronto; fav-chonkyapple; fav-galleryslave; fav-mmos
brievenaanzijnbr03gogh	1914-01-01T00:00:00Z	1914	Gogh, Vincent van, 1853-1890	Brieven aan zijn broeder; uitgegeven en toegelicht door zijn schoonzuster, J. van Gogh-Bonger	ger	getty; americana; fav-mmos; fav-yzerenmolen
