# numFound=66 rows=66 query=creator:"Kandinsky"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
tocka-i-linia-na-ploskosti.-o-duhovnom-v-iskusstve.ios	1926-01-01T00:00:00Z	1926	Wassily Kandinsky	Tocka I Linia Na Ploskosti. O Duhovnom V Iskusstve.ios	rus	opensource
concerningthespi05321gut			Kandinsky, Wassily, 1866-1944	Concerning the Spiritual in Art	eng	gutenberg; fav-albeit1; fav-annelaura; fav-c_mancinelli; fav-cmenton1; fav-fmyles; fav-nicomach; fav-pagie; fav-ponybraddock; fav-redraggedhood; fav-rob_van_gerwen; fav-shiwenxin
tockailinianaplo0000kand	2006-01-01T00:00:00Z	2006	Kandinsky, Wassily (1866-1944). Auteur	Točka i liniâ na ploskosti	rus	internetarchivebooks; inlibrary; printdisabled; fav-almohad; fav-heirbootsmystery; fav-julia_chernykova; fav-kiyoshi_power; fav-m3100; fav-misskellyrick; fav-zenarium
kandinsky-wassily-1866-1944-point-and-line-to-plane	1947-01-01T00:00:00Z	1947	Kandinsky, Wassily, 1866-1944; Кандинский, Василий Васильевич, 1866-1944; Rebay, Hilla, ed., tr.; Dearstyne, Howard, tr.	Point and Line to Plane	eng	opensource; community; fav-agnsw-em; fav-av_iid; fav-d9za; fav-distantcatch; fav-gpeele; fav-jbkcc; fav-kapirajt; fav-kayrayhtx; fav-luchoaudaz_blueadventure; fav-marccic; fav-mark
kandinskyundichm0000nina	1999-02-01T00:00:00Z	1999	Nina Kandinsky	Kandinsky und ich. Mein Leben mit einem großen Künstler.	ger	internetarchivebooks; inlibrary; printdisabled; fav-igor_voloschuk; fav-mmos; fav-waykat
pointlinetoplane00kand	1947-01-01T00:00:00Z	1947	Kandinsky, Wassily, 1866-1944; Dearstyne, Howard, tr; Rebay, Hilla, 1890-1967, ed	Point and line to plane : contribution to the analysis of the pictorial elements	eng	guggenheimmuseum; guggenheimlibrary; artresources; americana; fav-4e0n; fav-a-good-for-nothing; fav-a_esmili; fav-aaaaaamador; fav-abubacar_seedy_ceesay; fav-acadia_kotov; fav-adam
derblauereiter0000hera	1965-01-01T00:00:00Z	1965	Herausgegeben von Wassily Kandinsky und Franz Marc	DerBlaue Reiter	Eng	internetarchivebooks; inlibrary; printdisabled; fav-mmos
insteadofcamerap00kand	1985-01-01T00:00:00Z	1985	Kandinsky, Carla	Instead of a camera : poems	eng	internetarchivebooks; inlibrary; printdisabled
berdasgeistigein46203gut			Wassily Kandinsky	Über das Geistige in der Kunst, Insbesondere in der Malerei	de	gutenberg; fav-gabrielchou; fav-marina_greco; fav-nakahashi_kyoka_5021024; fav-rcjimq_yahoo_com; fav-stellard
dezoomify-result-31			Wassily Kandinsky, Google Art Project	*** Depracated***Wassily Kandinsky, A small and haphazard collection		opensource_image; fav-anastasia_ceci; fav-heidi_karpa; fav-krcztms; fav-mirreople; fav-noname_fpv; fav-tmtm750
wassilykandinsky0000kand_y7d8	1994-01-01T00:00:00Z	1994	Kandinsky, Wassily, 1866-1944	Wassily Kandinsky and Gabriele Münter : letters and reminiscences, 1902-1914	eng	internetarchivebooks; inlibrary; printdisabled; fav-arga_gonza; fav-elynah; fav-emad_sadeghi; fav-madihamandcheese; fav-nathalia_pettengill619; fav-playerazelia; fav-yi_chieh_chen;
