# numFound=39 rows=39 query=creator:"Kandinsky, Wassily"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
kandinskydrawing0001kand	2006-01-01T00:00:00Z	2006	Kandinsky, Wassily, 1866-1944	Kandinsky drawings : catalogue raisonné	eng	internetarchivebooks; printdisabled; fav-anna_monzani; fav-barry_o_apos_neill; fav-berend_smeitink; fav-blue_collar_69; fav-danueire; fav-mitarbeiter_trk; fav-mmaste3; fav-my_utube
kandinsky-wassily-1866-1944-point-and-line-to-plane	1947-01-01T00:00:00Z	1947	Kandinsky, Wassily, 1866-1944; Кандинский, Василий Васильевич, 1866-1944; Rebay, Hilla, ed., tr.; Dearstyne, Howard, tr.	Point and Line to Plane	eng	opensource; community; fav-agnsw-em; fav-av_iid; fav-d9za; fav-distantcatch; fav-gpeele; fav-jbkcc; fav-kapirajt; fav-kayrayhtx; fav-luchoaudaz_blueadventure; fav-marccic; fav-mark
graphicworkofkan0000kand	1973-01-01T00:00:00Z	1973	Kandinsky, Wassily, 1866-1944	The graphic work of Kandinsky; a loan exhibition	eng	printdisabled; internetarchivebooks; inlibrary; fav-internetarchive-23; fav-rodrigo_fiorenza; fav-silot_arap
kandinsky0000bovi	1971-01-01T00:00:00Z	1971	Bovi, Arturo;Kandinsky, Wassily, 1866-1944	Kandinsky	eng	internetarchivebooks; inlibrary; printdisabled; fav-adrianbrn; fav-barry_o_apos_neill; fav-chang_il_lim; fav-concreteartist; fav-jclaudiu; fav-jeremy_kill; fav-karlesons191098; fav
artofspiritualha00kandrich	1914-01-01T00:00:00Z	1914	Kandinsky, Wassily, 1866-1944; Sadleir, Michael, 1888-1957	The art of spiritual harmony	eng	cdl; americana; fav-adrienne_rose_velasco; fav-aimeejo1; fav-alba_aragoneses_ventura; fav-albeit1; fav-aldo_aspilcueta; fav-andres_ramirez_adlet_; fav-av_iid; fav-barbara_carnevale
concerningthespi05321gut			Kandinsky, Wassily, 1866-1944	Concerning the Spiritual in Art	eng	gutenberg; fav-albeit1; fav-annelaura; fav-c_mancinelli; fav-cmenton1; fav-fmyles; fav-nicomach; fav-pagie; fav-ponybraddock; fav-redraggedhood; fav-rob_van_gerwen; fav-shiwenxin
kandinsky-wassily-1866-1944.-kandinsky-in-munich-1896-1914	1982-01-01T00:00:00Z	1982	Kandinsky, Wassily, 1866-1944; Кандинский, Василий Васильевич, 1866-1944; Schorske, Carl E.; Jelavich, Peter; Weiss, Peg, 1932-1996; Messer, Thomas M.	Kandinsky in Munich, 1896-1914	eng	opensource; community; fav-cctu_pico_sena; fav-kathali; fav-marccic; fav-maria_sh734
pointlinetoplane00kand	1947-01-01T00:00:00Z	1947	Kandinsky, Wassily, 1866-1944; Dearstyne, Howard, tr; Rebay, Hilla, 1890-1967, ed	Point and line to plane : contribution to the analysis of the pictorial elements	eng	guggenheimmuseum; guggenheimlibrary; artresources; americana; fav-4e0n; fav-a-good-for-nothing; fav-a_esmili; fav-aaaaaamador; fav-abubacar_seedy_ceesay; fav-acadia_kotov; fav-adam
tockailinianaplo0000kand	2006-01-01T00:00:00Z	2006	Kandinsky, Wassily (1866-1944). Auteur	Točka i liniâ na ploskosti	rus	internetarchivebooks; inlibrary; printdisabled; fav-almohad; fav-heirbootsmystery; fav-julia_chernykova; fav-kiyoshi_power; fav-m3100; fav-misskellyrick; fav-zenarium
wassilykandinsky0000kand	1994-01-01T00:00:00Z	1994	Kandinsky, Wassily, 1866-1944	Wassily Kandinsky and Gabriele Münter : letters and reminiscences, 1902-1914	eng	trent_university; internetarchivebooks; inlibrary; printdisabled; fav-awaozer; fav-barry_o_apos_neill; fav-extivera; fav-johi_kva; fav-manuela_mart_nez; fav-talent1800; fav-user_16
