# numFound=67 rows=67 query=creator:"Watt, James"
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
cihm_97027	1920-01-01T00:00:00Z	1920	Watt, James Crawford, 1886-1971?	Symmetrical bilateral dystopia of the kidneys in a human subject, with outward rotation of the hilus, multiple arteries and veins, and a persistent posterior cardinal vein [microfo	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm
india.history.resource.111682	1854-01-01T00:00:00Z	1854	Watt, James; Muirhead, James Patrick	The Origin and Progress of the Mechanical Invention of James Watt, in Three Volumes, Vol. III- Letters Patent, Specifications of Patents and Appendix	eng	IndiaHistory; JaiGyan
b21438912	1795-01-01T00:00:00Z	1795	Watt, James, 1736-1819; Carrick, Andrew, 1767-1837, Provenance; Bristol Medical Library Society, Provenance; University of Bristol. Library	Description of a pneumatic apparatus, with directions for procuring the factitious airs	eng	universityofbristol; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary
b21438924	1796-01-01T00:00:00Z	1796	Watt, James, 1736-1819; Carrick, Andrew, 1767-1837, Provenance; Bristol Medical Library Society, Provenance; University of Bristol. Library	Supplement to the description of a pneumatic apparatus, for preparing factitious airs : containing a description of a simplified apparatus, and of a portable apparatus	eng	universityofbristol; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary
india.history.resource.37301	1846-01-01T00:00:00Z	1846	Watt ,James; Muirhead, James Patrick	Correspondence of the Late James Watt on his Discovery of the Theoryof the Position of Water	eng	IndiaHistory; JaiGyan
micro_IA41155153_0181	1984-05-25T00:00:00Z	1984	Watt, James H., Jr.; Stefanov, Rebecca	An Exploratory Study of Factors Affecting Usage of an On-Line Computer-Based Bibliographic Retrieval Service.	English	microfiche; eric
gri_33125008563245	1897-01-01T00:00:00Z	1897	Watt, James Cromar	Examples of Greek and Pompeian decorative work	eng	getty; americana; fav-19omhs72; fav-a_starwell; fav-aaaa883; fav-ablmi; fav-abyssearth; fav-acecreative; fav-adriana_carolina658; fav-aetherealization; fav-aga_askk; fav-agapetae; 
essaysonseveralc00watt	1810-01-01T00:00:00Z	1810	Watt, James. [from old catalog]	Essays on several controverted subjects	eng	library_of_congress; americana; fav-lindakb759; fav-mlmoore57; fav-randaclaire
selectedpapersof00boul	1981-01-01T00:00:00Z	1981	Boulton, Matthew, 1728-1809; Watt, James, 1736-1819; Tann, Jennifer, 1939-	The selected papers of Boulton & Watt	eng	internetarchivebooks; inlibrary; printdisabled; fav-lucske008; fav-prash_neo; fav-selginzk; fav-weeredthread; binghamton-ol; dartmouthlibrary-ol; johnshopkins-ol; riceuniversity-ol
bim_eighteenth-century_plain-proof-that-the-pub_watt-james_1796	1796-01-01T00:00:00Z	1796	Watt, James	Plain proof that the public creeds and forms of the Church of Scotland, ... do involve doctrine erroneous and intolerant. With a candid inquiry ... To which are added, a vindicatio	English	pub_eighteenth-century; bim_microfilm; microfilm
ChinaTradePorcelainPatternsofExchange	2004-01-01T00:00:00Z	2004	Watt, James C. Y., An Jiayao, Angela F. Howard, Boris I. Marshak, Su Bai, and Zhao Feng, with contributions by Prudence O. Harper, et al.	China: Dawn of a Golden Age, 200�750 A.D.	English	americana; fav-a_pares; fav-alibby7063; fav-berend_smeitink; fav-fletchlad; fav-joe_crab_t; fav-zoeyzoey1874
johninglislordj00unkngoog	1893-01-01T00:00:00Z	1893	Watt, James Crabb	John Inglis, Lord Justice-general of Scotland. A memoir	eng	americana
johninglislordju00wattuoft	1893-01-01T00:00:00Z	1893	Watt, James Crabb	John Inglis, Lord Justice-General of Scotland, a memoir	eng	robarts; toronto; university_of_toronto
india.history.resource.111621	1854-01-01T00:00:00Z	1854	Watt, James; Muirhead, James Patrick	The Origin and Progress of the Mechanical Invention of James Watt, in Three Volumes, Vol. II- Extracts from Correspondence	eng	IndiaHistory; JaiGyan
johninglislordj00wattgoog	1893-01-01T00:00:00Z	1893	Watt, James Crabb	John Inglis, Lord Justice-general of Scotland. A memoir	eng	americana; fav-jty; fav-vishant_chauhan
micro_IA41153530_0551	1977-01-01T00:00:00Z	1977	Watt, James H., Jr.	Pro- and Anti-Social Behaviors Subsequent to Arousal and Observational Learning from Television.	English	eric; microfiche
micro_IA41153354_0158	1980-08-01T00:00:00Z	1980	Watt, James H., Jr.	Evaluating Causal Models.	English	eric; microfiche
india.history.resource.111611	1854-01-01T00:00:00Z	1854	Watt, James; Muirhead, James Patrick	The Origin and Progress of the Mechanical Invention of James Watt, in Three Volumes, Vol. I- Introductory Memoir and Extracts from Correspondence	eng	IndiaHistory; JaiGyan
poems00roge_0	1834-01-01T00:00:00Z	1834	Rogers, Samuel, 1763-1855; Turner, J. M. W. (Joseph Mallord William), 1775-1851; Stothard, Thomas, 1755-1834; Miller, William, 1796-1882; Goodall, Edward, 1795-1870; Finden, W. (Wi	Poems	eng	getty; americana; fav-amalrik-m; fav-marcus_reads; fav-sorbusaucuparia; fav-zed22
greatnovelistssc00wattrich	1880-01-01T00:00:00Z	1880	Watt, James Crabb	Great novelists. Scott, Thackeray, Dickens, Lytton	eng	cdl; americana; fav-camelian_propinatiu; fav-gangstarr4life; fav-gigglingsophia
jstor-106594	1784-01-01T00:00:00Z	1784	Watt, James	Thoughts on the Constituent Parts of Water and of Dephlogisticated Air; With an Account of Some Experiments on That Subject. In a Letter from Mr. James Watt, Engineer, to Mr. De Lu	eng	jstor_philtranroyasoc3; jstor_ejc; journals
letters00watt	1834-01-01T00:00:00Z	1834	Watt, James, 1769-1848, author	Letters	eng	smithsonian
businessforpunks0000watt	2015-01-01T00:00:00Z	2015	Watt, James (Founder of BrewDog), author	Business for punks : start your business revolution - the BrewDog way	eng	internetarchivebooks; printdisabled; fav-julio_cbp; fav-rodrigo_fiorenza
pubmed-PMC3439734	2012-09-11T00:00:00Z	2012	Reddy, Joseph S; Kumar, Ranjit; Watt, James M; Lawrence, Mark L; Burgess, Shane C; Nanduri, Bindu	Transcriptome profile of a bovine respiratory disease pathogen: Mannheimia haemolytica PHL213.	eng	pubmed; journals
micro_IA41153338_0441	1978-01-01T00:00:00Z	1978	Watt, James H., Jr.; van den Berg, Sjef A.	Time Series Analysis of Alternative Media Effects Theories.	English	microfiche; eric
jameswattjrlett00watt	1804-01-01T00:00:00Z	1804	Watt, James, 1769-1848, author, correspondent	James Watt, Jr. letter to Robert Francis [that is, Robert Fulton], on behalf of Boulton Watt & Company, dated Birmingham, 25 July 1804	eng	smithsonian; fav-ejparsons
micro_IA41153354_0156	1980-01-01T00:00:00Z	1980	Welch, Alicia J.; Watt, James H., Jr.	The Influence of Visual Complexity on Children's Attention to and Learning from "Sesame Street".	English	microfiche; eric
courageofconserv00watt_0	1985-01-01T00:00:00Z	1985	Watt, James G; Wead, Doug	The courage of a conservative	eng	internetarchivebooks; inlibrary; printdisabled; fav-twbrobst
micro_IA41153032_0097	1975-01-01T00:00:00Z	1975	Krull, Robert; Watt, James H., Jr.	Television Program Complexity and Ratings.	English	microfiche; eric
justlittlescrapb00watt	1922-01-01T00:00:00Z	1922	Watt, James, 1888-1923	Just a Little Scrap Book of our Life in India.	eng	majorityworldcollection; Princeton; americana
greatnovelistssc0000watt	1975-01-01T00:00:00Z	1975	Watt, James Crabb	Great novelists: Scott, Thackeray, Dickens, Lytton	eng	internetarchivebooks; inlibrary; printdisabled
b21439011	1794-01-01T00:00:00Z	1794	Beddoes, Thomas, 1760-1808; Watt, James, 1736-1819; University of Bristol. Library	Considerations on the medicinal use of factitious airs, and on the manner of obtaining them in large quantities : in two parts	eng	universityofbristol; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary
cihm_97046	1918-01-01T00:00:00Z	1918	Watt, James Crawford, 1886-1971?	Anatomy of a seven months' foetus exhibiting bilateral absence of the ulna accompanied by monadactyly (and also diaphragmatic hernia) [microform]	eng	university_of_alberta_libraries_microfilm; university_of_alberta_libraries; toronto; microfilm
bim_eighteenth-century_an-account-of-the-scheme_watt-james_1774	1774-01-01T00:00:00Z	1774	Watt, James	An account of the scheme for rendering navigable the rivers Forth and Devon, with estimates of the expence. By James Watt. 1774	English	pub_eighteenth-century; bim_microfilm; microfilm
micro_IA41153537_0422	1991-01-01T00:00:00Z	1991	Watt, James H.; Connecticut Univ., Storrs.	Assessing General Education Outcomes: An Institution-Specific Approach. Final Report.	English	microfiche; eric
correspondenceof00wattrich	1846-01-01T00:00:00Z	1846	Watt, James, 1736-1819; Muirhead, James Patrick, 1813-1898. ed; Cavendish, Henry, 1731-1810; Meusnier de la Place, Jean Baptiste Marie Charles, 1574-1793; Lavoisier, Antoine Lauren	Correspondence of the late James Watt on his discovery of the theory of the composition of water. with a letter from his son	eng	cdl; americana; fav-claudio_a_cama_o_silva; fav-erich_von_dalkenshield; fav-giovanni37; fav-kanki; fav-lucas_a_silva
worktowardknowin0000watt	2015-01-01T00:00:00Z	2015	Watt, James T	Work toward knowing : beginning with Blake	eng	internetarchivebooks; printdisabled; fav-jean_holden
lostinwarbraveli0000watt	2006-01-01T00:00:00Z	2006	Watt, James T. (James Temple), 1939-	Lost in war : the brave life and mysterious death of a Canadian airman	eng	trent_university; internetarchivebooks; inlibrary; printdisabled; fav-ecmat
b21438973	1796-01-01T00:00:00Z	1796	Beddoes, Thomas, 1760-1808; Watt, James, 1736-1819; Kentish, Edward, -1832, Provenance; Bristol Medical Library Society, Provenance; University of Bristol. Library	Medical cases and speculations : including parts IV. and V. of Considerations on the medicinal powers, and the production of factitious airs	eng	universityofbristol; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary
WhenSilkWasGoldCentralAsianandChineseTextiles	1997-01-01T00:00:00Z	1997	Watt, James C. Y., and Anne E. Wardwell, with an essay by Morris Rossabi	When Silk Was Gold: Central Asian and Chinese Textiles	English	americana; fav-aivil_lehgna; fav-avmo; fav-babyredpanda; fav-devilsapricot; fav-erikson_yan; fav-henrik_harpsoe; fav-hezarfen_hisar_be_; fav-ozapollo; fav-pere432; fav-vaneh
jstor-106595	1784-01-01T00:00:00Z	1784	Watt, James	Sequel to the Thoughts on the Constituent Parts of Water and Dephlogisticated Air. In a Subsequent Letter from Mr. James Watt, Engineer, to Mr. De Luc, F. R. S.	eng	jstor_philtranroyasoc3; jstor_ejc; journals
bub_gb_JbdS-R3y72MC	2004-01-01T00:00:00Z	2004	Watt, James C. Y; Harper, Prudence Oliver; Metropolitan Museum of Art (New York, N.Y.)	China : dawn of a golden age, 200-750 AD	eng	americana; fav-alibby7063; fav-allinspiring; fav-beck_peters; fav-bluzima; fav-bt2293; fav-ciompallini; fav-debbym; fav-dianamortenson; fav-dianna_su974; fav-dubilujane; fav-fletch
in.ernet.dli.2015.549586	1825-01-01T00:00:00Z	1825	Watt, James	The London Mechanics Register Vol. 2	san	digitallibraryindia; JaiGyan; fav-lord_brett_sinclair2
micro_IA41153139_0820	1975-01-01T00:00:00Z	1975	Watt, James H., Jr.; Krull, Robert	Arousal Model Components in Television Programming: Form Activity and Violent Content.	English	microfiche; eric
b30741208	1854-01-01T00:00:00Z	1854	Watt, James, 1736-1819	Specification of James Watt : furnaces and fire-places	eng	wellcomelibrary; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary
b21438985	1796-01-01T00:00:00Z	1796	Beddoes, Thomas, 1760-1808; Watt, James, 1736-1819; Carrick, Andrew, 1767-1837, Provenance; Bristol General Hospital, Provenance; Bristol Medico-Chirurgical Society. Library, Prove	Considerations on the medicinal use, and on the production of factitious airs	eng	universityofbristol; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary; fav-kpanks29
DefiningYongleImperialArtinEarlyFifteenthCenturyChina	2005-01-01T00:00:00Z	2005	Watt, James C. Y., and Denise Patry Leidy	Defining Yongle: Imperial Art in Early Fifteenth-Century China	English	americana; fav-berend_smeitink; fav-lucius_veritas_aeternum; fav-marzenaabl
cu31924024630141	1893-01-01T00:00:00Z	1893	Watt, James Crabb	John Inglis, Lord Justice-general of Scotland : A memoir	eng	cornell; americana
jameswattletter00watt	1797-01-01T00:00:00Z	1797	Watt, James, 1736-1819, author, correspondent	James Watt letter to Samuel Lysons, dated Heathfield, Handsworth, Birmingham, England, 1 December 1797	eng	smithsonian
bim_eighteenth-century_disputatio-medica-inaugu_watt-james-m-d_1796	1796-01-01T00:00:00Z	1796	Watt, James, M. D.	Disputatio medica inauguralis, de vita animali a stimulo pendente. 1796	English	pub_eighteenth-century; bim_microfilm; microfilm
b21438961	1795-01-01T00:00:00Z	1795	Beddoes, Thomas, 1760-1808; Watt, James, 1736-1819; Kentish, Edward, -1832, Provenance; Bristol Medical Library Society, Provenance; University of Bristol. Library	Considerations on the medicinal use, and production of factitious airs. Part III	eng	universityofbristol; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary
bim_eighteenth-century_infant-baptism-unchristi_watt-james_1797	1797-01-01T00:00:00Z	1797	Watt, James	Infant-baptism unchristian: an appeal to the sacred scriptures, addressed to every Christian in the North of Ireland. By James Watt, M.D. 1797	English	pub_eighteenth-century; bim_microfilm; microfilm
b2143895x	1795-01-01T00:00:00Z	1795	Beddoes, Thomas, 1760-1808; Watt, James, 1736-1819; Kentish, Edward, -1832, Provenance; Bristol Medical Library Society, Provenance; University of Bristol. Library	Considerations on the medicinal use, and on the production of factitious airs	eng	universityofbristol; ukmhl; medicalheritagelibrary; europeanlibraries; medicallibrary
